crept_manicure v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
crept_manicure v5 118 games, 85382 moves, e=0.915, loss: 1.7, -, 23.7% elo% vs. simple_bot, avg. reward: 0.162, 2.130 sec/game, 3.3 min. total, 509.4 MB
crept_manicure v5 119 games, 86099 moves, e=0.915, loss: 1.7, -, 22.9% elo% vs. simple_bot, avg. reward: 0.163, 2.125 sec/game, 3.3 min. total, 509.3 MB
crept_manicure v5 120 games, 86742 moves, e=0.914, loss: 1.7, -, 22.2% elo% vs. simple_bot, avg. reward: 0.161, 2.128 sec/game, 3.3 min. total, 510.3 MB
crept_manicure v5 121 games, 87516 moves, e=0.913, loss: 1.7, -, 21.5% elo% vs. simple_bot, avg. reward: 0.161, 2.131 sec/game, 3.4 min. total, 510.7 MB
crept_manicure v5 122 games, 88180 moves, e=0.913, loss: 1.6, -, 20.8% elo% vs. simple_bot, avg. reward: 0.161, 2.133 sec/game, 3.4 min. total, 510.7 MB
crept_manicure v5 123 games, 88956 moves, e=0.912, loss: 1.6, -, 20.2% elo% vs. simple_bot, avg. reward: 0.161, 2.136 sec/game, 3.4 min. total, 510.7 MB
crept_manicure v5 124 games, 89677 moves, e=0.911, loss: 1.5, -, 19.6% elo% vs. simple_bot, avg. reward: 0.160, 2.138 sec/game, 3.5 min. total, 510.6 MB
crept_manicure v5 125 games, 90519 moves, e=0.910, loss: 1.5, -, 19.1% elo% vs. simple_bot, avg. reward: 0.161, 2.158 sec/game, 3.5 min. total, 511.0 MB
crept_manicure v5 126 games, 91318 moves, e=0.910, loss: 1.5, -, 18.5% elo% vs. simple_bot, avg. reward: 0.162, 2.128 sec/game, 3.5 min. total, 510.6 MB
crept_manicure v5 127 games, 92039 moves, e=0.909, loss: 1.5, -, 18.0% elo% vs. simple_bot, avg. reward: 0.161, 2.130 sec/game, 3.6 min. total, 511.5 MB
crept_manicure v5 128 games, 92820 moves, e=0.908, loss: 1.5, -, 17.5% elo% vs. simple_bot, avg. reward: 0.163, 2.133 sec/game, 3.6 min. total, 512.5 MB
crept_manicure v5 129 games, 93676 moves, e=0.907, loss: 1.4, -, 17.1% elo% vs. simple_bot, avg. reward: 0.163, 2.150 sec/game, 3.6 min. total, 512.8 MB
crept_manicure v5 130 games, 94494 moves, e=0.906, loss: 1.5, -, 16.6% elo% vs. simple_bot, avg. reward: 0.163, 2.152 sec/game, 3.7 min. total, 512.6 MB
crept_manicure v5 131 games, 95239 moves, e=0.906, loss: 1.4, -, 16.2% elo% vs. simple_bot, avg. reward: 0.164, 2.153 sec/game, 3.7 min. total, 512.6 MB
crept_manicure v5 132 games, 95918 moves, e=0.905, loss: 1.4, -, 15.8% elo% vs. simple_bot, avg. reward: 0.163, 2.138 sec/game, 3.8 min. total, 512.8 MB
crept_manicure v5 133 games, 96723 moves, e=0.904, loss: 1.4, -, 15.4% elo% vs. simple_bot, avg. reward: 0.165, 2.139 sec/game, 3.8 min. total, 513.0 MB
crept_manicure v5 134 games, 97633 moves, e=0.903, loss: 1.3, -, 15.1% elo% vs. simple_bot, avg. reward: 0.165, 2.159 sec/game, 3.8 min. total, 512.9 MB
crept_manicure v5 135 games, 98394 moves, e=0.903, loss: 1.3, -, 14.7% elo% vs. simple_bot, avg. reward: 0.167, 2.164 sec/game, 3.9 min. total, 513.6 MB
crept_manicure v5 136 games, 99258 moves, e=0.902, loss: 1.3, -, 14.4% elo% vs. simple_bot, avg. reward: 0.168, 2.168 sec/game, 3.9 min. total, 513.5 MB
crept_manicure v5 137 games, 100015 moves, e=0.901, loss: 1.3, -, 14.0% elo% vs. simple_bot, avg. reward: 0.169, 2.173 sec/game, 3.9 min. total, 513.5 MB
crept_manicure v5 138 games, 100836 moves, e=0.900, loss: 1.4, -, 13.7% elo% vs. simple_bot, avg. reward: 0.168, 2.181 sec/game, 4.0 min. total, 513.3 MB
crept_manicure v5 139 games, 101519 moves, e=0.899, loss: 1.4, -, 13.4% elo% vs. simple_bot, avg. reward: 0.169, 2.199 sec/game, 4.0 min. total, 513.5 MB
crept_manicure v5 140 games, 102291 moves, e=0.899, loss: 1.4, -, 13.1% elo% vs. simple_bot, avg. reward: 0.170, 2.212 sec/game, 4.1 min. total, 513.5 MB
crept_manicure v5 141 games, 103048 moves, e=0.898, loss: 1.4, -, 12.9% elo% vs. simple_bot, avg. reward: 0.170, 2.210 sec/game, 4.1 min. total, 514.0 MB
crept_manicure v5 142 games, 103729 moves, e=0.897, loss: 1.4, -, 12.6% elo% vs. simple_bot, avg. reward: 0.172, 2.211 sec/game, 4.1 min. total, 514.8 MB
crept_manicure v5 143 games, 104514 moves, e=0.897, loss: 1.4, -, 12.4% elo% vs. simple_bot, avg. reward: 0.173, 2.208 sec/game, 4.2 min. total, 516.3 MB
crept_manicure v5 144 games, 105234 moves, e=0.896, loss: 1.3, -, 12.1% elo% vs. simple_bot, avg. reward: 0.174, 2.206 sec/game, 4.2 min. total, 516.3 MB
crept_manicure v5 145 games, 106134 moves, e=0.895, loss: 1.4, -, 11.9% elo% vs. simple_bot, avg. reward: 0.177, 2.207 sec/game, 4.2 min. total, 516.2 MB
crept_manicure v5 146 games, 106951 moves, e=0.894, loss: 1.4, -, 11.7% elo% vs. simple_bot, avg. reward: 0.177, 2.207 sec/game, 4.3 min. total, 516.3 MB
crept_manicure v5 147 games, 107683 moves, e=0.893, loss: 1.5, -, 11.4% elo% vs. simple_bot, avg. reward: 0.177, 2.205 sec/game, 4.3 min. total, 516.5 MB
crept_manicure v5 148 games, 108432 moves, e=0.893, loss: 1.5, -, 11.2% elo% vs. simple_bot, avg. reward: 0.178, 2.205 sec/game, 4.3 min. total, 516.9 MB
crept_manicure v5 149 games, 109093 moves, e=0.892, loss: 1.5, -, 11.0% elo% vs. simple_bot, avg. reward: 0.179, 2.188 sec/game, 4.4 min. total, 516.8 MB
crept_manicure v5 150 games, 109970 moves, e=0.891, loss: 1.4, -, 10.8% elo% vs. simple_bot, avg. reward: 0.179, 2.197 sec/game, 4.4 min. total, 517.7 MB
