viper_dwindle v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.5 MB
viper_dwindle v5 138 games, 99800 moves, e=0.901, loss: 1.5, -, 41.2% elo% vs. simple_bot, avg. reward: -6.592, 1.282 sec/game, 2.5 min. total, 451.7 MB
viper_dwindle v5 139 games, 100542 moves, e=0.900, loss: 1.6, -, 39.4% elo% vs. simple_bot, avg. reward: -6.582, 1.288 sec/game, 2.5 min. total, 449.5 MB
viper_dwindle v5 140 games, 101210 moves, e=0.900, loss: 1.6, ., 39.8% elo% vs. simple_bot, avg. reward: -6.577, 2.682 sec/game, 3.0 min. total, 452.8 MB
viper_dwindle v5 141 games, 101878 moves, e=0.899, loss: 1.5, -, 38.1% elo% vs. simple_bot, avg. reward: -6.582, 2.667 sec/game, 3.0 min. total, 452.4 MB
viper_dwindle v5 142 games, 102632 moves, e=0.898, loss: 1.6, +, 40.8% elo% vs. simple_bot, avg. reward: -6.583, 3.131 sec/game, 3.2 min. total, 451.1 MB
viper_dwindle v5 143 games, 103306 moves, e=0.898, loss: 1.5, -, 39.0% elo% vs. simple_bot, avg. reward: -6.574, 3.123 sec/game, 3.2 min. total, 452.1 MB
viper_dwindle v5 144 games, 104082 moves, e=0.897, loss: 1.5, +, 41.7% elo% vs. simple_bot, avg. reward: -6.566, 3.135 sec/game, 3.2 min. total, 451.3 MB
viper_dwindle v5 145 games, 104832 moves, e=0.896, loss: 1.5, +, 44.3% elo% vs. simple_bot, avg. reward: -6.564, 3.158 sec/game, 3.3 min. total, 453.9 MB
viper_dwindle v5 146 games, 105597 moves, e=0.895, loss: 1.5, -, 42.3% elo% vs. simple_bot, avg. reward: -6.551, 3.154 sec/game, 3.3 min. total, 452.1 MB
viper_dwindle v5 147 games, 106381 moves, e=0.895, loss: 1.6, +, 45.0% elo% vs. simple_bot, avg. reward: -6.548, 3.146 sec/game, 3.3 min. total, 452.7 MB
viper_dwindle v5 148 games, 107134 moves, e=0.894, loss: 1.6, ., 45.2% elo% vs. simple_bot, avg. reward: -6.540, 3.142 sec/game, 3.3 min. total, 453.4 MB
