amendable_wisdom v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 300.7 MB
amendable_wisdom v2 85 games, 61150 moves, e=0.939, loss: 29.5, +, 55.1% elo% vs. guard_bot, avg. reward: -6.421, 0.881 sec/game, 1.0 min. total, 422.5 MB
amendable_wisdom v2 86 games, 61812 moves, e=0.939, loss: 28.1, ., 54.8% elo% vs. guard_bot, avg. reward: -6.427, 0.871 sec/game, 1.0 min. total, 422.5 MB
amendable_wisdom v2 87 games, 62648 moves, e=0.938, loss: 28.1, ., 54.6% elo% vs. guard_bot, avg. reward: -6.414, 0.876 sec/game, 1.0 min. total, 422.5 MB
amendable_wisdom v2 88 games, 63403 moves, e=0.937, loss: 28.2, ., 54.4% elo% vs. guard_bot, avg. reward: -6.411, 0.875 sec/game, 1.1 min. total, 422.5 MB
amendable_wisdom v2 89 games, 64164 moves, e=0.936, loss: 28.6, ., 54.2% elo% vs. guard_bot, avg. reward: -6.406, 0.870 sec/game, 1.1 min. total, 422.6 MB
amendable_wisdom v2 90 games, 64863 moves, e=0.936, loss: 28.0, ., 54.0% elo% vs. guard_bot, avg. reward: -6.408, 0.869 sec/game, 1.1 min. total, 422.6 MB
amendable_wisdom v2 91 games, 65461 moves, e=0.935, loss: 28.4, ., 53.8% elo% vs. guard_bot, avg. reward: -6.423, 0.858 sec/game, 1.1 min. total, 422.6 MB
amendable_wisdom v2 92 games, 66185 moves, e=0.934, loss: 28.8, ., 53.6% elo% vs. guard_bot, avg. reward: -6.424, 0.862 sec/game, 1.1 min. total, 422.6 MB
amendable_wisdom v2 93 games, 66965 moves, e=0.934, loss: 29.5, ., 53.5% elo% vs. guard_bot, avg. reward: -6.418, 0.860 sec/game, 1.1 min. total, 422.6 MB
amendable_wisdom v2 94 games, 67782 moves, e=0.933, loss: 28.4, ., 53.3% elo% vs. guard_bot, avg. reward: -6.409, 0.864 sec/game, 1.1 min. total, 422.6 MB
amendable_wisdom v2 95 games, 68529 moves, e=0.932, loss: 27.4, ., 53.2% elo% vs. guard_bot, avg. reward: -6.406, 0.859 sec/game, 1.1 min. total, 423.0 MB
amendable_wisdom v2 96 games, 69217 moves, e=0.931, loss: 28.5, ., 53.0% elo% vs. guard_bot, avg. reward: -6.408, 0.844 sec/game, 1.2 min. total, 423.2 MB
amendable_wisdom v2 97 games, 69842 moves, e=0.931, loss: 28.3, ., 52.9% elo% vs. guard_bot, avg. reward: -6.417, 0.824 sec/game, 1.2 min. total, 423.2 MB
amendable_wisdom v2 98 games, 70599 moves, e=0.930, loss: 28.5, ., 52.7% elo% vs. guard_bot, avg. reward: -6.412, 0.810 sec/game, 1.2 min. total, 423.2 MB
amendable_wisdom v2 99 games, 71250 moves, e=0.929, loss: 28.6, ., 52.6% elo% vs. guard_bot, avg. reward: -6.417, 0.787 sec/game, 1.2 min. total, 423.2 MB
amendable_wisdom v2 100 games, 72051 moves, e=0.929, loss: 28.7, ., 52.5% elo% vs. guard_bot, avg. reward: -6.411, 0.780 sec/game, 1.2 min. total, 423.2 MB
amendable_wisdom v3 101 games, 72803 moves, e=0.928, loss: 29.0, ., 50.0% elo% vs. guard_bot, avg. reward: -6.412, 0.783 sec/game, 1.2 min. total, 423.7 MB
amendable_wisdom v3 102 games, 73562 moves, e=0.927, loss: 28.4, ., 50.0% elo% vs. guard_bot, avg. reward: -6.402, 0.782 sec/game, 1.2 min. total, 423.8 MB
amendable_wisdom v3 103 games, 74303 moves, e=0.926, loss: 28.2, ., 50.0% elo% vs. guard_bot, avg. reward: -6.403, 0.781 sec/game, 1.2 min. total, 423.8 MB
amendable_wisdom v3 104 games, 74948 moves, e=0.926, loss: 28.3, ., 50.0% elo% vs. guard_bot, avg. reward: -6.405, 0.781 sec/game, 1.3 min. total, 423.8 MB
amendable_wisdom v3 105 games, 75649 moves, e=0.925, loss: 28.2, ., 50.0% elo% vs. guard_bot, avg. reward: -6.402, 0.780 sec/game, 1.3 min. total, 423.8 MB
amendable_wisdom v3 106 games, 76407 moves, e=0.924, loss: 28.8, ., 50.0% elo% vs. guard_bot, avg. reward: -6.401, 0.781 sec/game, 1.3 min. total, 423.9 MB
amendable_wisdom v3 107 games, 77056 moves, e=0.924, loss: 28.5, +, 52.3% elo% vs. guard_bot, avg. reward: -6.400, 0.771 sec/game, 1.3 min. total, 423.9 MB
amendable_wisdom v3 108 games, 77800 moves, e=0.923, loss: 27.9, ., 52.2% elo% vs. guard_bot, avg. reward: -6.392, 0.768 sec/game, 1.3 min. total, 424.0 MB
amendable_wisdom v3 109 games, 78622 moves, e=0.922, loss: 28.4, ., 52.1% elo% vs. guard_bot, avg. reward: -6.381, 0.777 sec/game, 1.3 min. total, 424.0 MB
amendable_wisdom v3 110 games, 79237 moves, e=0.922, loss: 28.8, ., 52.0% elo% vs. guard_bot, avg. reward: -6.393, 0.778 sec/game, 1.3 min. total, 424.0 MB
amendable_wisdom v3 111 games, 79960 moves, e=0.921, loss: 29.0, ., 51.9% elo% vs. guard_bot, avg. reward: -6.389, 0.779 sec/game, 1.3 min. total, 424.1 MB
amendable_wisdom v3 112 games, 80759 moves, e=0.920, loss: 29.4, ., 51.8% elo% vs. guard_bot, avg. reward: -6.387, 0.782 sec/game, 1.4 min. total, 425.3 MB
amendable_wisdom v3 113 games, 81527 moves, e=0.919, loss: 28.6, ., 51.7% elo% vs. guard_bot, avg. reward: -6.385, 0.781 sec/game, 1.4 min. total, 426.0 MB
amendable_wisdom v3 114 games, 82275 moves, e=0.919, loss: 28.6, ., 51.7% elo% vs. guard_bot, avg. reward: -6.385, 0.786 sec/game, 1.4 min. total, 426.2 MB
amendable_wisdom v3 115 games, 82990 moves, e=0.918, loss: 28.5, ., 51.6% elo% vs. guard_bot, avg. reward: -6.390, 0.785 sec/game, 1.4 min. total, 426.2 MB
amendable_wisdom v3 116 games, 83764 moves, e=0.917, loss: 29.1, ., 51.5% elo% vs. guard_bot, avg. reward: -6.390, 0.791 sec/game, 1.4 min. total, 426.2 MB
amendable_wisdom v3 117 games, 84529 moves, e=0.916, loss: 28.5, ., 51.4% elo% vs. guard_bot, avg. reward: -6.396, 0.791 sec/game, 1.4 min. total, 426.2 MB
amendable_wisdom v3 118 games, 85364 moves, e=0.915, loss: 27.9, ., 51.4% elo% vs. guard_bot, avg. reward: -6.395, 0.793 sec/game, 1.4 min. total, 426.2 MB
amendable_wisdom v3 119 games, 85939 moves, e=0.915, loss: 27.7, ., 51.3% elo% vs. guard_bot, avg. reward: -6.413, 0.794 sec/game, 1.5 min. total, 426.2 MB
amendable_wisdom v3 120 games, 86768 moves, e=0.914, loss: 28.1, ., 51.2% elo% vs. guard_bot, avg. reward: -6.408, 0.793 sec/game, 1.5 min. total, 426.2 MB
amendable_wisdom v3 121 games, 87522 moves, e=0.913, loss: 28.2, ., 51.2% elo% vs. guard_bot, avg. reward: -6.404, 0.792 sec/game, 1.5 min. total, 426.2 MB
amendable_wisdom v3 122 games, 88272 moves, e=0.913, loss: 27.8, ., 51.1% elo% vs. guard_bot, avg. reward: -6.393, 0.786 sec/game, 1.5 min. total, 426.3 MB
amendable_wisdom v3 123 games, 88827 moves, e=0.912, loss: 27.4, ., 51.1% elo% vs. guard_bot, avg. reward: -6.403, 0.773 sec/game, 1.5 min. total, 426.3 MB
amendable_wisdom v3 124 games, 89548 moves, e=0.911, loss: 27.0, +, 53.3% elo% vs. guard_bot, avg. reward: -6.412, 0.780 sec/game, 1.5 min. total, 426.4 MB
amendable_wisdom v3 125 games, 90212 moves, e=0.911, loss: 27.9, ., 53.2% elo% vs. guard_bot, avg. reward: -6.410, 0.775 sec/game, 1.5 min. total, 426.5 MB
amendable_wisdom v3 126 games, 90868 moves, e=0.910, loss: 28.0, +, 55.3% elo% vs. guard_bot, avg. reward: -6.412, 0.777 sec/game, 1.5 min. total, 426.8 MB
amendable_wisdom v3 127 games, 91645 moves, e=0.909, loss: 28.3, ., 55.1% elo% vs. guard_bot, avg. reward: -6.404, 0.775 sec/game, 1.6 min. total, 426.9 MB
amendable_wisdom v3 128 games, 92460 moves, e=0.908, loss: 28.4, +, 57.1% elo% vs. guard_bot, avg. reward: -6.393, 0.783 sec/game, 1.6 min. total, 428.3 MB
amendable_wisdom v3 129 games, 93203 moves, e=0.908, loss: 27.7, ., 56.8% elo% vs. guard_bot, avg. reward: -6.386, 0.774 sec/game, 1.6 min. total, 428.9 MB
amendable_wisdom v3 130 games, 94046 moves, e=0.907, loss: 28.6, +, 58.7% elo% vs. guard_bot, avg. reward: -6.376, 0.779 sec/game, 1.6 min. total, 428.4 MB
amendable_wisdom v3 131 games, 94830 moves, e=0.906, loss: 28.7, ., 58.3% elo% vs. guard_bot, avg. reward: -6.372, 0.784 sec/game, 1.6 min. total, 428.4 MB
amendable_wisdom v3 132 games, 95715 moves, e=0.905, loss: 26.9, ., 58.0% elo% vs. guard_bot, avg. reward: -6.371, 0.786 sec/game, 1.6 min. total, 428.4 MB
amendable_wisdom v3 133 games, 96666 moves, e=0.904, loss: 26.1, +, 59.8% elo% vs. guard_bot, avg. reward: -6.364, 0.798 sec/game, 1.6 min. total, 428.4 MB
amendable_wisdom v3 134 games, 97325 moves, e=0.904, loss: 26.5, ., 59.4% elo% vs. guard_bot, avg. reward: -6.367, 0.786 sec/game, 1.7 min. total, 428.4 MB
amendable_wisdom v3 135 games, 98142 moves, e=0.903, loss: 26.7, ., 59.0% elo% vs. guard_bot, avg. reward: -6.355, 0.787 sec/game, 1.7 min. total, 428.5 MB
amendable_wisdom v3 136 games, 98912 moves, e=0.902, loss: 26.1, ., 58.6% elo% vs. guard_bot, avg. reward: -6.350, 0.788 sec/game, 1.7 min. total, 428.5 MB
amendable_wisdom v3 137 games, 99745 moves, e=0.901, loss: 25.4, ., 58.2% elo% vs. guard_bot, avg. reward: -6.340, 0.793 sec/game, 1.7 min. total, 428.5 MB
amendable_wisdom v3 138 games, 100512 moves, e=0.900, loss: 24.8, ., 57.8% elo% vs. guard_bot, avg. reward: -6.333, 0.791 sec/game, 1.7 min. total, 428.5 MB
amendable_wisdom v3 139 games, 101383 moves, e=0.900, loss: 24.6, ., 57.5% elo% vs. guard_bot, avg. reward: -6.324, 0.806 sec/game, 1.7 min. total, 428.5 MB
