streak_dipper v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.1 MB
streak_dipper v4 112 games, 81323 moves, e=0.919, loss: 8.4, -, 41.3% elo% vs. random_no_suicide, avg. reward: -12.950, 1.300 sec/game, 2.1 min. total, 446.9 MB
streak_dipper v4 113 games, 82130 moves, e=0.919, loss: 8.5, +, 43.9% elo% vs. random_no_suicide, avg. reward: -12.898, 1.331 sec/game, 2.1 min. total, 445.8 MB
streak_dipper v4 114 games, 82799 moves, e=0.918, loss: 8.5, -, 42.0% elo% vs. random_no_suicide, avg. reward: -12.909, 1.337 sec/game, 2.1 min. total, 445.5 MB
streak_dipper v4 115 games, 83492 moves, e=0.917, loss: 8.0, -, 40.1% elo% vs. random_no_suicide, avg. reward: -12.925, 1.335 sec/game, 2.2 min. total, 445.9 MB
streak_dipper v4 116 games, 84205 moves, e=0.917, loss: 8.4, +, 42.8% elo% vs. random_no_suicide, avg. reward: -12.901, 1.290 sec/game, 2.2 min. total, 447.5 MB
streak_dipper v4 117 games, 85009 moves, e=0.916, loss: 8.0, +, 45.4% elo% vs. random_no_suicide, avg. reward: -12.888, 1.261 sec/game, 2.2 min. total, 445.4 MB
streak_dipper v4 118 games, 85684 moves, e=0.915, loss: 7.7, -, 43.3% elo% vs. random_no_suicide, avg. reward: -12.909, 1.201 sec/game, 2.2 min. total, 446.7 MB
streak_dipper v4 119 games, 86450 moves, e=0.914, loss: 7.2, -, 41.3% elo% vs. random_no_suicide, avg. reward: -12.883, 1.185 sec/game, 2.2 min. total, 446.2 MB
streak_dipper v4 120 games, 87085 moves, e=0.914, loss: 7.4, -, 39.5% elo% vs. random_no_suicide, avg. reward: -12.904, 1.183 sec/game, 2.3 min. total, 449.0 MB
streak_dipper v4 121 games, 87939 moves, e=0.913, loss: 7.8, -, 37.8% elo% vs. random_no_suicide, avg. reward: -12.888, 1.200 sec/game, 2.3 min. total, 448.6 MB
streak_dipper v4 122 games, 88603 moves, e=0.912, loss: 8.5, +, 40.5% elo% vs. random_no_suicide, avg. reward: -12.882, 1.188 sec/game, 2.3 min. total, 446.5 MB
streak_dipper v4 123 games, 89398 moves, e=0.911, loss: 8.8, +, 43.2% elo% vs. random_no_suicide, avg. reward: -12.852, 1.184 sec/game, 2.3 min. total, 447.3 MB
streak_dipper v4 124 games, 90056 moves, e=0.911, loss: 8.7, -, 41.2% elo% vs. random_no_suicide, avg. reward: -12.853, 1.177 sec/game, 2.3 min. total, 446.5 MB
streak_dipper v4 125 games, 90859 moves, e=0.910, loss: 9.0, -, 39.4% elo% vs. random_no_suicide, avg. reward: -12.838, 1.165 sec/game, 2.4 min. total, 446.9 MB
