smelting_pointy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 327.6 MB
smelting_pointy v4 124 games, 92544 moves, e=0.908, loss: 1.9, -, 24.3% elo% vs. v2, avg. reward: 0.157, 2.207 sec/game, 3.9 min. total, 550.6 MB
smelting_pointy v4 125 games, 93254 moves, e=0.908, loss: 1.9, -, 23.5% elo% vs. v2, avg. reward: 0.158, 2.195 sec/game, 3.9 min. total, 551.7 MB
smelting_pointy v4 126 games, 94050 moves, e=0.907, loss: 1.9, -, 22.7% elo% vs. v2, avg. reward: 0.158, 2.191 sec/game, 3.9 min. total, 553.7 MB
smelting_pointy v4 127 games, 94767 moves, e=0.906, loss: 1.9, -, 22.0% elo% vs. v2, avg. reward: 0.159, 2.191 sec/game, 4.0 min. total, 554.3 MB
smelting_pointy v4 128 games, 95616 moves, e=0.905, loss: 1.8, -, 21.3% elo% vs. v2, avg. reward: 0.160, 2.217 sec/game, 4.0 min. total, 554.1 MB
smelting_pointy v4 129 games, 96423 moves, e=0.905, loss: 1.8, -, 20.7% elo% vs. v2, avg. reward: 0.161, 2.243 sec/game, 4.0 min. total, 554.1 MB
smelting_pointy v4 130 games, 97190 moves, e=0.904, loss: 1.8, -, 20.1% elo% vs. v2, avg. reward: 0.161, 2.278 sec/game, 4.1 min. total, 553.7 MB
smelting_pointy v4 131 games, 98009 moves, e=0.903, loss: 1.8, -, 19.5% elo% vs. v2, avg. reward: 0.161, 2.289 sec/game, 4.1 min. total, 554.0 MB
smelting_pointy v4 132 games, 98797 moves, e=0.902, loss: 1.8, -, 18.9% elo% vs. v2, avg. reward: 0.162, 2.273 sec/game, 4.2 min. total, 554.3 MB
smelting_pointy v4 133 games, 99615 moves, e=0.901, loss: 2.0, -, 18.4% elo% vs. v2, avg. reward: 0.162, 2.289 sec/game, 4.2 min. total, 554.3 MB
smelting_pointy v4 134 games, 100378 moves, e=0.901, loss: 1.9, -, 17.9% elo% vs. v2, avg. reward: 0.163, 2.291 sec/game, 4.2 min. total, 554.3 MB
smelting_pointy v4 135 games, 101224 moves, e=0.900, loss: 1.9, -, 17.4% elo% vs. v2, avg. reward: 0.164, 2.309 sec/game, 4.3 min. total, 557.7 MB
smelting_pointy v4 136 games, 101993 moves, e=0.899, loss: 1.8, -, 16.9% elo% vs. v2, avg. reward: 0.164, 2.258 sec/game, 4.3 min. total, 557.0 MB
smelting_pointy v4 137 games, 102776 moves, e=0.898, loss: 1.8, -, 16.5% elo% vs. v2, avg. reward: 0.166, 2.267 sec/game, 4.3 min. total, 556.5 MB
smelting_pointy v4 138 games, 103588 moves, e=0.897, loss: 1.7, -, 16.1% elo% vs. v2, avg. reward: 0.166, 2.272 sec/game, 4.4 min. total, 556.9 MB
smelting_pointy v4 139 games, 104404 moves, e=0.897, loss: 1.8, -, 15.7% elo% vs. v2, avg. reward: 0.166, 2.286 sec/game, 4.4 min. total, 556.9 MB
smelting_pointy v4 140 games, 105334 moves, e=0.896, loss: 2.0, -, 15.3% elo% vs. v2, avg. reward: 0.167, 2.295 sec/game, 4.5 min. total, 558.8 MB
smelting_pointy v4 141 games, 106191 moves, e=0.895, loss: 2.1, -, 15.0% elo% vs. v2, avg. reward: 0.168, 2.303 sec/game, 4.5 min. total, 556.9 MB
smelting_pointy v4 142 games, 106958 moves, e=0.894, loss: 2.2, -, 14.6% elo% vs. v2, avg. reward: 0.169, 2.263 sec/game, 4.5 min. total, 559.1 MB
smelting_pointy v4 143 games, 107855 moves, e=0.893, loss: 2.3, -, 14.3% elo% vs. v2, avg. reward: 0.169, 2.293 sec/game, 4.6 min. total, 556.9 MB
smelting_pointy v4 144 games, 108672 moves, e=0.892, loss: 2.3, -, 14.0% elo% vs. v2, avg. reward: 0.170, 2.285 sec/game, 4.6 min. total, 556.8 MB
smelting_pointy v4 145 games, 109560 moves, e=0.892, loss: 2.3, -, 13.7% elo% vs. v2, avg. reward: 0.171, 2.304 sec/game, 4.7 min. total, 558.5 MB
