atrophy_happiness v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.9 MB
atrophy_happiness v4 126 games, 92557 moves, e=0.908, loss: 124.3, -, 18.5% elo% vs. random_no_suicide, avg. reward: 6.233, 1.660 sec/game, 2.8 min. total, 461.3 MB
atrophy_happiness v4 127 games, 93299 moves, e=0.908, loss: 122.9, -, 18.0% elo% vs. random_no_suicide, avg. reward: 6.237, 1.645 sec/game, 2.8 min. total, 461.6 MB
atrophy_happiness v4 128 games, 94063 moves, e=0.907, loss: 123.0, -, 17.5% elo% vs. random_no_suicide, avg. reward: 6.245, 1.639 sec/game, 2.9 min. total, 461.7 MB
atrophy_happiness v4 129 games, 94756 moves, e=0.906, loss: 118.9, -, 17.1% elo% vs. random_no_suicide, avg. reward: 6.250, 1.633 sec/game, 2.9 min. total, 461.7 MB
atrophy_happiness v4 130 games, 95401 moves, e=0.906, loss: 120.6, -, 16.6% elo% vs. random_no_suicide, avg. reward: 6.249, 1.620 sec/game, 2.9 min. total, 462.2 MB
atrophy_happiness v4 131 games, 96266 moves, e=0.905, loss: 122.3, -, 16.2% elo% vs. random_no_suicide, avg. reward: 6.235, 1.635 sec/game, 2.9 min. total, 462.3 MB
atrophy_happiness v4 132 games, 96981 moves, e=0.904, loss: 133.1, -, 15.8% elo% vs. random_no_suicide, avg. reward: 6.234, 1.628 sec/game, 3.0 min. total, 463.0 MB
atrophy_happiness v4 133 games, 97658 moves, e=0.903, loss: 125.0, -, 15.4% elo% vs. random_no_suicide, avg. reward: 6.243, 1.611 sec/game, 3.0 min. total, 463.0 MB
atrophy_happiness v4 134 games, 98374 moves, e=0.903, loss: 125.0, -, 15.1% elo% vs. random_no_suicide, avg. reward: 6.245, 1.620 sec/game, 3.0 min. total, 463.2 MB
atrophy_happiness v4 135 games, 99002 moves, e=0.902, loss: 130.7, -, 14.7% elo% vs. random_no_suicide, avg. reward: 6.239, 1.616 sec/game, 3.0 min. total, 463.0 MB
atrophy_happiness v4 136 games, 99636 moves, e=0.901, loss: 133.4, -, 14.4% elo% vs. random_no_suicide, avg. reward: 6.240, 1.598 sec/game, 3.1 min. total, 463.4 MB
atrophy_happiness v4 137 games, 100530 moves, e=0.900, loss: 135.7, -, 14.0% elo% vs. random_no_suicide, avg. reward: 6.241, 1.613 sec/game, 3.1 min. total, 463.4 MB
atrophy_happiness v4 138 games, 101346 moves, e=0.900, loss: 131.5, -, 13.7% elo% vs. random_no_suicide, avg. reward: 6.233, 1.615 sec/game, 3.1 min. total, 463.7 MB
atrophy_happiness v4 139 games, 102152 moves, e=0.899, loss: 129.3, -, 13.4% elo% vs. random_no_suicide, avg. reward: 6.227, 1.632 sec/game, 3.2 min. total, 463.6 MB
atrophy_happiness v4 140 games, 102827 moves, e=0.898, loss: 130.0, -, 13.1% elo% vs. random_no_suicide, avg. reward: 6.220, 1.617 sec/game, 3.2 min. total, 463.8 MB
atrophy_happiness v4 141 games, 103555 moves, e=0.897, loss: 126.5, -, 12.9% elo% vs. random_no_suicide, avg. reward: 6.228, 1.613 sec/game, 3.2 min. total, 464.0 MB
atrophy_happiness v4 142 games, 104361 moves, e=0.897, loss: 121.2, -, 12.6% elo% vs. random_no_suicide, avg. reward: 6.234, 1.642 sec/game, 3.2 min. total, 464.9 MB
atrophy_happiness v4 143 games, 105169 moves, e=0.896, loss: 127.7, -, 12.4% elo% vs. random_no_suicide, avg. reward: 6.226, 1.663 sec/game, 3.3 min. total, 464.6 MB
atrophy_happiness v4 144 games, 105996 moves, e=0.895, loss: 127.6, -, 12.1% elo% vs. random_no_suicide, avg. reward: 6.229, 1.682 sec/game, 3.3 min. total, 464.3 MB
atrophy_happiness v4 145 games, 106764 moves, e=0.894, loss: 127.9, -, 11.9% elo% vs. random_no_suicide, avg. reward: 6.216, 1.688 sec/game, 3.3 min. total, 464.9 MB
atrophy_happiness v4 146 games, 107580 moves, e=0.893, loss: 129.2, -, 11.7% elo% vs. random_no_suicide, avg. reward: 6.209, 1.689 sec/game, 3.4 min. total, 464.0 MB
