bullfrog_excavator v1 74 games, 53640 moves, e=0.947, loss: nan, +, 51.3% elo% vs. v0, avg. reward: -9.712, 0.303 sec/game, 0.3 min. total, 518.7 MB
bullfrog_excavator v1 75 games, 54275 moves, e=0.946, loss: nan, +, 53.5% elo% vs. v0, avg. reward: -9.731, 0.303 sec/game, 0.3 min. total, 519.3 MB
bullfrog_excavator v1 76 games, 55041 moves, e=0.946, loss: nan, -, 51.1% elo% vs. v0, avg. reward: -9.723, 0.306 sec/game, 0.3 min. total, 521.0 MB
bullfrog_excavator v1 77 games, 55722 moves, e=0.945, loss: nan, -, 48.7% elo% vs. v0, avg. reward: -9.731, 0.304 sec/game, 0.3 min. total, 522.5 MB
bullfrog_excavator v1 78 games, 56586 moves, e=0.944, loss: nan, ., 48.8% elo% vs. v0, avg. reward: -9.707, 0.307 sec/game, 0.3 min. total, 524.5 MB
bullfrog_excavator v1 79 games, 57369 moves, e=0.943, loss: nan, ., 48.8% elo% vs. v0, avg. reward: -9.700, 0.307 sec/game, 0.4 min. total, 526.4 MB
bullfrog_excavator v1 80 games, 58190 moves, e=0.942, loss: nan, -, 46.6% elo% vs. v0, avg. reward: -9.683, 0.311 sec/game, 0.4 min. total, 528.9 MB
bullfrog_excavator v1 81 games, 58927 moves, e=0.942, loss: nan, -, 44.5% elo% vs. v0, avg. reward: -9.685, 0.312 sec/game, 0.4 min. total, 530.7 MB
bullfrog_excavator v1 82 games, 59732 moves, e=0.941, loss: nan, -, 42.5% elo% vs. v0, avg. reward: -9.673, 0.314 sec/game, 0.4 min. total, 532.9 MB
bullfrog_excavator v1 83 games, 60335 moves, e=0.940, loss: nan, +, 45.1% elo% vs. v0, avg. reward: -9.699, 0.315 sec/game, 0.4 min. total, 535.6 MB
bullfrog_excavator v1 84 games, 61146 moves, e=0.939, loss: nan, -, 43.0% elo% vs. v0, avg. reward: -9.687, 0.316 sec/game, 0.4 min. total, 538.7 MB
bullfrog_excavator v1 85 games, 61912 moves, e=0.939, loss: nan, -, 41.1% elo% vs. v0, avg. reward: -9.678, 0.324 sec/game, 0.4 min. total, 542.8 MB
bullfrog_excavator v1 86 games, 62713 moves, e=0.938, loss: nan, -, 39.3% elo% vs. v0, avg. reward: -9.668, 0.324 sec/game, 0.4 min. total, 547.2 MB
bullfrog_excavator v1 87 games, 63472 moves, e=0.937, loss: nan, -, 37.6% elo% vs. v0, avg. reward: -9.663, 0.325 sec/game, 0.4 min. total, 550.6 MB
