demeaning_prong v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.9 MB
demeaning_prong v3 68 games, 47266 moves, e=0.953, loss: 2.8, +, 24.7% elo% vs. random_no_suicide, avg. reward: -9.005, 1.464 sec/game, 1.3 min. total, 469.1 MB
demeaning_prong v3 69 games, 47998 moves, e=0.952, loss: 2.8, +, 27.4% elo% vs. random_no_suicide, avg. reward: -8.992, 1.466 sec/game, 1.3 min. total, 469.1 MB
demeaning_prong v3 70 games, 48668 moves, e=0.952, loss: 2.9, -, 26.4% elo% vs. random_no_suicide, avg. reward: -8.996, 1.491 sec/game, 1.3 min. total, 469.3 MB
demeaning_prong v3 71 games, 49362 moves, e=0.951, loss: 2.7, -, 25.5% elo% vs. random_no_suicide, avg. reward: -8.995, 1.480 sec/game, 1.3 min. total, 469.5 MB
demeaning_prong v3 72 games, 49957 moves, e=0.951, loss: 2.6, -, 24.6% elo% vs. random_no_suicide, avg. reward: -9.018, 1.482 sec/game, 1.3 min. total, 468.1 MB
demeaning_prong v3 73 games, 50561 moves, e=0.950, loss: 2.7, -, 23.8% elo% vs. random_no_suicide, avg. reward: -9.038, 1.464 sec/game, 1.4 min. total, 468.2 MB
demeaning_prong v3 74 games, 51250 moves, e=0.949, loss: 2.4, -, 23.0% elo% vs. random_no_suicide, avg. reward: -9.038, 1.446 sec/game, 1.4 min. total, 469.1 MB
demeaning_prong v3 75 games, 51988 moves, e=0.949, loss: 2.4, +, 25.6% elo% vs. random_no_suicide, avg. reward: -9.027, 1.446 sec/game, 1.4 min. total, 471.9 MB
demeaning_prong v3 76 games, 52691 moves, e=0.948, loss: 2.6, -, 24.7% elo% vs. random_no_suicide, avg. reward: -9.022, 1.432 sec/game, 1.4 min. total, 471.7 MB
demeaning_prong v3 77 games, 53497 moves, e=0.947, loss: 2.0, ., 25.6% elo% vs. random_no_suicide, avg. reward: -9.004, 1.432 sec/game, 1.4 min. total, 471.9 MB
