transpire_herself v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.2 MB
transpire_herself v4 109 games, 79868 moves, e=0.921, loss: 5.4, -, 34.8% elo% vs. random_no_suicide, avg. reward: -9.555, 1.415 sec/game, 2.2 min. total, 482.6 MB
transpire_herself v4 110 games, 80614 moves, e=0.920, loss: 5.5, ., 35.4% elo% vs. random_no_suicide, avg. reward: -9.548, 1.416 sec/game, 2.2 min. total, 478.6 MB
transpire_herself v4 111 games, 81359 moves, e=0.919, loss: 5.7, +, 38.2% elo% vs. random_no_suicide, avg. reward: -9.528, 1.416 sec/game, 2.3 min. total, 480.6 MB
transpire_herself v4 112 games, 82110 moves, e=0.919, loss: 5.5, -, 36.5% elo% vs. random_no_suicide, avg. reward: -9.525, 1.416 sec/game, 2.3 min. total, 485.1 MB
transpire_herself v4 113 games, 82842 moves, e=0.918, loss: 5.7, -, 35.0% elo% vs. random_no_suicide, avg. reward: -9.497, 1.414 sec/game, 2.3 min. total, 481.5 MB
transpire_herself v4 114 games, 83536 moves, e=0.917, loss: 5.8, +, 37.7% elo% vs. random_no_suicide, avg. reward: -9.519, 1.412 sec/game, 2.3 min. total, 482.3 MB
transpire_herself v4 115 games, 84389 moves, e=0.916, loss: 5.6, -, 36.1% elo% vs. random_no_suicide, avg. reward: -9.500, 1.422 sec/game, 2.4 min. total, 486.9 MB
transpire_herself v4 116 games, 85088 moves, e=0.916, loss: 5.3, -, 34.6% elo% vs. random_no_suicide, avg. reward: -9.500, 1.414 sec/game, 2.4 min. total, 482.3 MB
transpire_herself v4 117 games, 85895 moves, e=0.915, loss: 5.4, +, 37.4% elo% vs. random_no_suicide, avg. reward: -9.490, 1.425 sec/game, 2.4 min. total, 482.4 MB
transpire_herself v4 118 games, 86625 moves, e=0.914, loss: 5.2, -, 35.8% elo% vs. random_no_suicide, avg. reward: -9.494, 1.416 sec/game, 2.4 min. total, 487.0 MB
transpire_herself v4 119 games, 87328 moves, e=0.914, loss: 5.2, -, 34.3% elo% vs. random_no_suicide, avg. reward: -9.511, 1.431 sec/game, 2.5 min. total, 487.4 MB
transpire_herself v4 120 games, 88136 moves, e=0.913, loss: 5.1, -, 32.9% elo% vs. random_no_suicide, avg. reward: -9.487, 1.431 sec/game, 2.5 min. total, 482.9 MB
transpire_herself v4 121 games, 88884 moves, e=0.912, loss: 5.3, -, 31.5% elo% vs. random_no_suicide, avg. reward: -9.490, 1.444 sec/game, 2.5 min. total, 483.0 MB
transpire_herself v4 122 games, 89602 moves, e=0.911, loss: 5.2, -, 30.3% elo% vs. random_no_suicide, avg. reward: -9.489, 1.445 sec/game, 2.5 min. total, 484.2 MB
transpire_herself v4 123 games, 90375 moves, e=0.911, loss: 5.1, -, 29.1% elo% vs. random_no_suicide, avg. reward: -9.491, 1.453 sec/game, 2.6 min. total, 488.4 MB
transpire_herself v4 124 games, 91047 moves, e=0.910, loss: 5.2, -, 28.0% elo% vs. random_no_suicide, avg. reward: -9.506, 1.445 sec/game, 2.6 min. total, 488.8 MB
transpire_herself v4 125 games, 91886 moves, e=0.909, loss: 5.2, -, 27.0% elo% vs. random_no_suicide, avg. reward: -9.494, 1.446 sec/game, 2.6 min. total, 488.6 MB
transpire_herself v4 126 games, 92742 moves, e=0.908, loss: 5.3, +, 29.7% elo% vs. random_no_suicide, avg. reward: -9.476, 1.456 sec/game, 2.6 min. total, 484.0 MB
transpire_herself v4 127 games, 93492 moves, e=0.907, loss: 5.1, +, 32.5% elo% vs. random_no_suicide, avg. reward: -9.464, 1.459 sec/game, 2.7 min. total, 484.0 MB
transpire_herself v4 128 games, 94174 moves, e=0.907, loss: 5.2, -, 31.2% elo% vs. random_no_suicide, avg. reward: -9.474, 1.448 sec/game, 2.7 min. total, 484.2 MB
transpire_herself v4 129 games, 94807 moves, e=0.906, loss: 5.2, -, 30.0% elo% vs. random_no_suicide, avg. reward: -9.493, 1.434 sec/game, 2.7 min. total, 488.9 MB
transpire_herself v4 130 games, 95540 moves, e=0.905, loss: 5.2, +, 32.8% elo% vs. random_no_suicide, avg. reward: -9.501, 1.434 sec/game, 2.7 min. total, 484.4 MB
transpire_herself v4 131 games, 96321 moves, e=0.905, loss: 5.0, -, 31.5% elo% vs. random_no_suicide, avg. reward: -9.487, 1.439 sec/game, 2.7 min. total, 489.8 MB
transpire_herself v4 132 games, 97073 moves, e=0.904, loss: 4.9, -, 30.2% elo% vs. random_no_suicide, avg. reward: -9.501, 1.438 sec/game, 2.8 min. total, 487.4 MB
transpire_herself v4 133 games, 97869 moves, e=0.903, loss: 4.9, -, 29.1% elo% vs. random_no_suicide, avg. reward: -9.489, 1.440 sec/game, 2.8 min. total, 486.9 MB
