nutcase_devalue v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.5 MB
nutcase_devalue v3 65 games, 44971 moves, e=0.996, loss: 2.1, -, 21.5% elo% vs. random_no_suicide, avg. reward: -8.982, 1.280 sec/game, 1.1 min. total, 468.0 MB
nutcase_devalue v3 66 games, 45589 moves, e=0.995, loss: 1.8, -, 20.9% elo% vs. random_no_suicide, avg. reward: -9.001, 1.271 sec/game, 1.1 min. total, 468.4 MB
nutcase_devalue v3 67 games, 46285 moves, e=0.995, loss: 1.6, +, 23.4% elo% vs. random_no_suicide, avg. reward: -9.000, 1.268 sec/game, 1.1 min. total, 470.4 MB
nutcase_devalue v3 68 games, 46936 moves, e=0.995, loss: 1.8, -, 22.6% elo% vs. random_no_suicide, avg. reward: -9.007, 1.272 sec/game, 1.1 min. total, 469.0 MB
nutcase_devalue v3 69 games, 47636 moves, e=0.995, loss: 1.8, -, 21.9% elo% vs. random_no_suicide, avg. reward: -9.000, 1.272 sec/game, 1.2 min. total, 471.2 MB
nutcase_devalue v3 70 games, 48483 moves, e=0.995, loss: 1.5, +, 24.4% elo% vs. random_no_suicide, avg. reward: -8.975, 1.267 sec/game, 1.2 min. total, 470.8 MB
nutcase_devalue v3 71 games, 49129 moves, e=0.995, loss: 1.5, -, 23.6% elo% vs. random_no_suicide, avg. reward: -8.986, 1.267 sec/game, 1.2 min. total, 470.8 MB
nutcase_devalue v3 72 games, 49820 moves, e=0.995, loss: 1.6, -, 22.8% elo% vs. random_no_suicide, avg. reward: -8.984, 1.268 sec/game, 1.2 min. total, 470.3 MB
nutcase_devalue v3 73 games, 50505 moves, e=0.995, loss: 1.9, +, 25.4% elo% vs. random_no_suicide, avg. reward: -8.981, 1.256 sec/game, 1.2 min. total, 471.9 MB
nutcase_devalue v3 74 games, 51293 moves, e=0.995, loss: 2.0, -, 24.6% elo% vs. random_no_suicide, avg. reward: -8.966, 1.259 sec/game, 1.3 min. total, 470.6 MB
nutcase_devalue v3 75 games, 52012 moves, e=0.995, loss: 2.1, -, 23.7% elo% vs. random_no_suicide, avg. reward: -8.961, 1.260 sec/game, 1.3 min. total, 471.3 MB
nutcase_devalue v3 76 games, 52631 moves, e=0.995, loss: 2.3, -, 23.0% elo% vs. random_no_suicide, avg. reward: -8.973, 1.260 sec/game, 1.3 min. total, 472.3 MB
nutcase_devalue v3 77 games, 53231 moves, e=0.995, loss: 2.0, -, 22.2% elo% vs. random_no_suicide, avg. reward: -8.993, 1.235 sec/game, 1.3 min. total, 473.1 MB
nutcase_devalue v3 78 games, 53901 moves, e=0.995, loss: 2.3, -, 21.5% elo% vs. random_no_suicide, avg. reward: -8.995, 1.245 sec/game, 1.3 min. total, 475.5 MB
nutcase_devalue v3 79 games, 54543 moves, e=0.995, loss: 2.1, -, 20.9% elo% vs. random_no_suicide, avg. reward: -9.005, 1.248 sec/game, 1.4 min. total, 478.7 MB
nutcase_devalue v3 80 games, 55242 moves, e=0.995, loss: 2.4, -, 20.2% elo% vs. random_no_suicide, avg. reward: -9.007, 1.243 sec/game, 1.4 min. total, 478.5 MB
nutcase_devalue v3 81 games, 56073 moves, e=0.994, loss: 2.5, -, 19.6% elo% vs. random_no_suicide, avg. reward: -8.987, 1.263 sec/game, 1.4 min. total, 477.3 MB
nutcase_devalue v3 82 games, 56797 moves, e=0.994, loss: 2.6, -, 19.1% elo% vs. random_no_suicide, avg. reward: -8.982, 1.255 sec/game, 1.4 min. total, 477.3 MB
nutcase_devalue v3 83 games, 57502 moves, e=0.994, loss: 2.7, -, 18.5% elo% vs. random_no_suicide, avg. reward: -8.978, 1.259 sec/game, 1.5 min. total, 477.3 MB
nutcase_devalue v3 84 games, 58249 moves, e=0.994, loss: 2.5, -, 18.0% elo% vs. random_no_suicide, avg. reward: -8.969, 1.255 sec/game, 1.5 min. total, 477.7 MB
nutcase_devalue v3 85 games, 58861 moves, e=0.994, loss: 2.3, -, 17.5% elo% vs. random_no_suicide, avg. reward: -8.983, 1.236 sec/game, 1.5 min. total, 478.3 MB
nutcase_devalue v3 86 games, 59549 moves, e=0.994, loss: 2.4, -, 17.1% elo% vs. random_no_suicide, avg. reward: -8.983, 1.247 sec/game, 1.5 min. total, 479.5 MB
nutcase_devalue v3 87 games, 60295 moves, e=0.994, loss: 2.5, -, 16.6% elo% vs. random_no_suicide, avg. reward: -8.975, 1.258 sec/game, 1.5 min. total, 479.3 MB
nutcase_devalue v3 88 games, 61060 moves, e=0.994, loss: 2.7, -, 16.2% elo% vs. random_no_suicide, avg. reward: -8.963, 1.266 sec/game, 1.6 min. total, 479.2 MB
nutcase_devalue v3 89 games, 61727 moves, e=0.994, loss: 2.4, -, 15.8% elo% vs. random_no_suicide, avg. reward: -8.969, 1.256 sec/game, 1.6 min. total, 479.7 MB
nutcase_devalue v3 90 games, 62457 moves, e=0.994, loss: 2.4, -, 15.4% elo% vs. random_no_suicide, avg. reward: -8.962, 1.246 sec/game, 1.6 min. total, 479.4 MB
