nemeses_unhappy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.6 MB
nemeses_unhappy v3 92 games, 66736 moves, e=0.934, loss: 4.3, -, 31.1% elo% vs. random_no_suicide, avg. reward: -11.543, 1.974 sec/game, 2.5 min. total, 484.5 MB
nemeses_unhappy v3 93 games, 67473 moves, e=0.933, loss: 4.5, -, 29.9% elo% vs. random_no_suicide, avg. reward: -11.535, 1.976 sec/game, 2.5 min. total, 483.0 MB
nemeses_unhappy v3 94 games, 68271 moves, e=0.932, loss: 4.4, -, 28.7% elo% vs. random_no_suicide, avg. reward: -11.531, 1.983 sec/game, 2.6 min. total, 484.1 MB
nemeses_unhappy v3 95 games, 69025 moves, e=0.932, loss: 4.5, ., 29.5% elo% vs. random_no_suicide, avg. reward: -11.521, 1.994 sec/game, 2.6 min. total, 480.6 MB
nemeses_unhappy v3 96 games, 69723 moves, e=0.931, loss: 4.5, +, 32.3% elo% vs. random_no_suicide, avg. reward: -11.525, 1.967 sec/game, 2.6 min. total, 480.8 MB
nemeses_unhappy v3 97 games, 70403 moves, e=0.930, loss: 4.4, -, 31.0% elo% vs. random_no_suicide, avg. reward: -11.521, 1.977 sec/game, 2.7 min. total, 480.9 MB
nemeses_unhappy v3 98 games, 71090 moves, e=0.930, loss: 4.5, -, 29.8% elo% vs. random_no_suicide, avg. reward: -11.525, 1.952 sec/game, 2.7 min. total, 484.2 MB
nemeses_unhappy v3 99 games, 71906 moves, e=0.929, loss: 4.6, -, 28.7% elo% vs. random_no_suicide, avg. reward: -11.517, 1.961 sec/game, 2.7 min. total, 482.8 MB
nemeses_unhappy v3 100 games, 72755 moves, e=0.928, loss: 4.4, -, 27.6% elo% vs. random_no_suicide, avg. reward: -11.495, 1.968 sec/game, 2.8 min. total, 483.2 MB
nemeses_unhappy v4 101 games, 73594 moves, e=0.927, loss: 4.6, -, 47.7% elo% vs. random_no_suicide, avg. reward: -11.478, 1.980 sec/game, 2.8 min. total, 483.4 MB
nemeses_unhappy v4 102 games, 74352 moves, e=0.926, loss: 4.7, -, 45.5% elo% vs. random_no_suicide, avg. reward: -11.450, 1.972 sec/game, 2.9 min. total, 483.6 MB
nemeses_unhappy v4 103 games, 75151 moves, e=0.926, loss: 4.7, -, 43.4% elo% vs. random_no_suicide, avg. reward: -11.446, 1.996 sec/game, 2.9 min. total, 483.7 MB
nemeses_unhappy v4 104 games, 75940 moves, e=0.925, loss: 4.8, -, 41.5% elo% vs. random_no_suicide, avg. reward: -11.435, 2.027 sec/game, 2.9 min. total, 483.5 MB
nemeses_unhappy v4 105 games, 76727 moves, e=0.924, loss: 4.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: -11.418, 2.041 sec/game, 3.0 min. total, 484.9 MB
nemeses_unhappy v4 106 games, 77493 moves, e=0.923, loss: 5.1, -, 37.9% elo% vs. random_no_suicide, avg. reward: -11.400, 2.054 sec/game, 3.0 min. total, 484.3 MB
nemeses_unhappy v4 107 games, 78406 moves, e=0.922, loss: 5.0, -, 36.3% elo% vs. random_no_suicide, avg. reward: -11.394, 2.064 sec/game, 3.0 min. total, 484.1 MB
nemeses_unhappy v4 108 games, 79306 moves, e=0.921, loss: 4.9, -, 34.8% elo% vs. random_no_suicide, avg. reward: -11.372, 2.124 sec/game, 3.1 min. total, 485.7 MB
nemeses_unhappy v4 109 games, 80108 moves, e=0.921, loss: 5.1, -, 33.3% elo% vs. random_no_suicide, avg. reward: -11.362, 2.156 sec/game, 3.1 min. total, 486.1 MB
nemeses_unhappy v4 110 games, 80885 moves, e=0.920, loss: 5.1, -, 32.0% elo% vs. random_no_suicide, avg. reward: -11.345, 2.179 sec/game, 3.2 min. total, 484.3 MB
nemeses_unhappy v4 111 games, 81754 moves, e=0.919, loss: 5.0, -, 30.7% elo% vs. random_no_suicide, avg. reward: -11.328, 2.205 sec/game, 3.2 min. total, 486.2 MB
nemeses_unhappy v4 112 games, 82440 moves, e=0.918, loss: 5.0, ., 31.5% elo% vs. random_no_suicide, avg. reward: -11.342, 2.209 sec/game, 3.2 min. total, 486.7 MB
nemeses_unhappy v4 113 games, 83170 moves, e=0.918, loss: 4.9, -, 30.2% elo% vs. random_no_suicide, avg. reward: -11.321, 2.194 sec/game, 3.3 min. total, 486.4 MB
nemeses_unhappy v4 114 games, 83975 moves, e=0.917, loss: 4.8, -, 29.1% elo% vs. random_no_suicide, avg. reward: -11.301, 2.200 sec/game, 3.3 min. total, 486.2 MB
nemeses_unhappy v4 115 games, 84727 moves, e=0.916, loss: 4.8, -, 28.0% elo% vs. random_no_suicide, avg. reward: -11.292, 2.181 sec/game, 3.3 min. total, 486.3 MB
nemeses_unhappy v4 116 games, 85483 moves, e=0.915, loss: 5.0, -, 26.9% elo% vs. random_no_suicide, avg. reward: -11.280, 2.192 sec/game, 3.4 min. total, 487.4 MB
nemeses_unhappy v4 117 games, 86194 moves, e=0.915, loss: 4.9, -, 26.0% elo% vs. random_no_suicide, avg. reward: -11.293, 2.198 sec/game, 3.4 min. total, 487.9 MB
nemeses_unhappy v4 118 games, 86859 moves, e=0.914, loss: 4.9, -, 25.1% elo% vs. random_no_suicide, avg. reward: -11.295, 2.197 sec/game, 3.4 min. total, 488.9 MB
nemeses_unhappy v4 119 games, 87727 moves, e=0.913, loss: 4.8, -, 24.2% elo% vs. random_no_suicide, avg. reward: -11.268, 2.203 sec/game, 3.5 min. total, 486.7 MB
nemeses_unhappy v4 120 games, 88432 moves, e=0.912, loss: 5.0, -, 23.4% elo% vs. random_no_suicide, avg. reward: -11.257, 2.171 sec/game, 3.5 min. total, 490.1 MB
nemeses_unhappy v4 121 games, 89119 moves, e=0.912, loss: 4.8, -, 22.6% elo% vs. random_no_suicide, avg. reward: -11.246, 2.158 sec/game, 3.5 min. total, 490.1 MB
nemeses_unhappy v4 122 games, 89854 moves, e=0.911, loss: 4.9, -, 21.9% elo% vs. random_no_suicide, avg. reward: -11.236, 2.146 sec/game, 3.6 min. total, 490.2 MB
nemeses_unhappy v4 123 games, 90632 moves, e=0.910, loss: 4.8, -, 21.2% elo% vs. random_no_suicide, avg. reward: -11.235, 2.163 sec/game, 3.6 min. total, 489.1 MB
