primal_author v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
primal_author v4 111 games, 80827 moves, e=0.920, loss: 2.6, -, 30.7% elo% vs. random_no_suicide, avg. reward: -9.847, 1.413 sec/game, 2.2 min. total, 484.8 MB
primal_author v4 112 games, 81487 moves, e=0.919, loss: 2.7, -, 29.5% elo% vs. random_no_suicide, avg. reward: -9.855, 1.397 sec/game, 2.2 min. total, 484.2 MB
primal_author v4 113 games, 82377 moves, e=0.918, loss: 2.7, -, 28.4% elo% vs. random_no_suicide, avg. reward: -9.830, 1.413 sec/game, 2.3 min. total, 489.8 MB
primal_author v4 114 games, 83087 moves, e=0.918, loss: 2.8, -, 27.3% elo% vs. random_no_suicide, avg. reward: -9.825, 1.412 sec/game, 2.3 min. total, 489.8 MB
primal_author v4 115 games, 83760 moves, e=0.917, loss: 2.7, -, 26.4% elo% vs. random_no_suicide, avg. reward: -9.821, 1.390 sec/game, 2.3 min. total, 490.1 MB
primal_author v4 116 games, 84502 moves, e=0.916, loss: 2.8, -, 25.4% elo% vs. random_no_suicide, avg. reward: -9.801, 1.393 sec/game, 2.3 min. total, 490.0 MB
primal_author v4 117 games, 85452 moves, e=0.915, loss: 2.6, -, 24.5% elo% vs. random_no_suicide, avg. reward: -9.772, 1.420 sec/game, 2.4 min. total, 485.2 MB
primal_author v4 118 games, 86155 moves, e=0.915, loss: 2.5, -, 23.7% elo% vs. random_no_suicide, avg. reward: -9.774, 1.418 sec/game, 2.4 min. total, 490.2 MB
primal_author v4 119 games, 86905 moves, e=0.914, loss: 2.7, -, 22.9% elo% vs. random_no_suicide, avg. reward: -9.762, 1.409 sec/game, 2.4 min. total, 490.0 MB
primal_author v4 120 games, 87626 moves, e=0.913, loss: 3.0, -, 22.2% elo% vs. random_no_suicide, avg. reward: -9.740, 1.422 sec/game, 2.4 min. total, 486.0 MB
primal_author v4 121 games, 88265 moves, e=0.913, loss: 3.1, ., 23.1% elo% vs. random_no_suicide, avg. reward: -9.771, 1.401 sec/game, 2.5 min. total, 488.3 MB
primal_author v4 122 games, 89026 moves, e=0.912, loss: 3.0, -, 22.3% elo% vs. random_no_suicide, avg. reward: -9.765, 1.420 sec/game, 2.5 min. total, 488.8 MB
