slashed_kooky v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 305.0 MB
slashed_kooky v4 105 games, 75675 moves, e=0.925, loss: 6.0, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.785, 1.695 sec/game, 2.5 min. total, 452.1 MB
slashed_kooky v4 106 games, 76464 moves, e=0.924, loss: 6.2, -, 37.9% elo% vs. random_no_suicide, avg. reward: -9.768, 1.695 sec/game, 2.5 min. total, 452.1 MB
slashed_kooky v4 107 games, 77127 moves, e=0.924, loss: 6.3, -, 36.3% elo% vs. random_no_suicide, avg. reward: -9.779, 1.682 sec/game, 2.6 min. total, 452.2 MB
slashed_kooky v4 108 games, 77886 moves, e=0.923, loss: 6.1, -, 34.8% elo% vs. random_no_suicide, avg. reward: -9.762, 1.703 sec/game, 2.6 min. total, 453.5 MB
slashed_kooky v4 109 games, 78574 moves, e=0.922, loss: 6.1, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.767, 1.722 sec/game, 2.6 min. total, 452.5 MB
slashed_kooky v4 110 games, 79410 moves, e=0.921, loss: 5.8, -, 32.0% elo% vs. random_no_suicide, avg. reward: -9.747, 1.740 sec/game, 2.7 min. total, 451.9 MB
slashed_kooky v4 111 games, 80028 moves, e=0.921, loss: 5.9, -, 30.7% elo% vs. random_no_suicide, avg. reward: -9.776, 1.733 sec/game, 2.7 min. total, 454.1 MB
slashed_kooky v4 112 games, 80698 moves, e=0.920, loss: 6.2, -, 29.5% elo% vs. random_no_suicide, avg. reward: -9.772, 1.723 sec/game, 2.7 min. total, 455.0 MB
slashed_kooky v4 113 games, 81419 moves, e=0.919, loss: 5.8, -, 28.4% elo% vs. random_no_suicide, avg. reward: -9.766, 1.744 sec/game, 2.7 min. total, 454.4 MB
slashed_kooky v4 114 games, 82212 moves, e=0.919, loss: 5.8, -, 27.3% elo% vs. random_no_suicide, avg. reward: -9.766, 1.749 sec/game, 2.8 min. total, 455.6 MB
slashed_kooky v4 115 games, 82977 moves, e=0.918, loss: 6.1, -, 26.4% elo% vs. random_no_suicide, avg. reward: -9.758, 1.744 sec/game, 2.8 min. total, 454.7 MB
