sinless_impurity v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.5 MB
sinless_impurity v3 89 games, 66090 moves, e=0.935, loss: 44765.8, -, 9.8% elo% vs. random_no_suicide, avg. reward: 23.672, 1.792 sec/game, 2.2 min. total, 493.1 MB
sinless_impurity v3 90 games, 66845 moves, e=0.934, loss: 45326.3, -, 9.6% elo% vs. random_no_suicide, avg. reward: 24.046, 1.781 sec/game, 2.2 min. total, 493.3 MB
sinless_impurity v3 91 games, 67583 moves, e=0.933, loss: 43686.2, -, 9.4% elo% vs. random_no_suicide, avg. reward: 23.974, 1.770 sec/game, 2.3 min. total, 494.4 MB
sinless_impurity v3 92 games, 68330 moves, e=0.932, loss: 43794.0, -, 9.3% elo% vs. random_no_suicide, avg. reward: 23.901, 1.764 sec/game, 2.3 min. total, 494.7 MB
sinless_impurity v3 93 games, 69124 moves, e=0.932, loss: 39269.9, -, 9.2% elo% vs. random_no_suicide, avg. reward: 24.228, 1.792 sec/game, 2.3 min. total, 496.6 MB
sinless_impurity v3 94 games, 69842 moves, e=0.931, loss: 36534.6, -, 9.0% elo% vs. random_no_suicide, avg. reward: 24.310, 1.785 sec/game, 2.4 min. total, 496.7 MB
sinless_impurity v3 95 games, 70491 moves, e=0.930, loss: 35931.9, -, 8.9% elo% vs. random_no_suicide, avg. reward: 24.589, 1.772 sec/game, 2.4 min. total, 496.9 MB
sinless_impurity v3 96 games, 71127 moves, e=0.930, loss: 41001.4, -, 8.7% elo% vs. random_no_suicide, avg. reward: 24.217, 1.753 sec/game, 2.4 min. total, 496.9 MB
sinless_impurity v3 97 games, 71879 moves, e=0.929, loss: 45349.6, -, 8.6% elo% vs. random_no_suicide, avg. reward: 24.144, 1.768 sec/game, 2.4 min. total, 497.1 MB
sinless_impurity v3 98 games, 72662 moves, e=0.928, loss: 42542.0, -, 8.5% elo% vs. random_no_suicide, avg. reward: 24.329, 1.757 sec/game, 2.5 min. total, 497.1 MB
