shelter_stage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.0 MB
shelter_stage v31 1295 games, 2549951 moves, e=0.010, loss: 2.1, +, 63.7% elo% vs. rowlake, avg. reward: -0.438, 9.324 sec/game, 53.6 min. total, 639.7 MB
shelter_stage v31 1296 games, 2554269 moves, e=0.010, loss: 2.2, +, 65.2% elo% vs. rowlake, avg. reward: -0.438, 9.411 sec/game, 53.7 min. total, 612.1 MB
shelter_stage v31 1297 games, 2558167 moves, e=0.010, loss: 2.1, +, 66.7% elo% vs. rowlake, avg. reward: -0.436, 9.495 sec/game, 53.9 min. total, 612.4 MB
shelter_stage v31 1298 games, 2562225 moves, e=0.010, loss: 2.0, +, 68.0% elo% vs. rowlake, avg. reward: -0.433, 9.739 sec/game, 54.1 min. total, 601.8 MB
shelter_stage v31 1299 games, 2565754 moves, e=0.010, loss: 2.0, +, 69.3% elo% vs. rowlake, avg. reward: -0.433, 9.690 sec/game, 54.2 min. total, 600.7 MB
shelter_stage v31 1300 games, 2569141 moves, e=0.010, loss: 2.3, +, 70.5% elo% vs. rowlake, avg. reward: -0.433, 9.712 sec/game, 54.4 min. total, 604.7 MB
shelter_stage v32 1301 games, 2572746 moves, e=0.010, loss: 2.6, ., 52.2% elo% vs. kamikaze, avg. reward: -0.432, 9.613 sec/game, 54.5 min. total, 613.9 MB
shelter_stage v32 1302 games, 2576929 moves, e=0.010, loss: 2.3, +, 54.4% elo% vs. kamikaze, avg. reward: -0.430, 9.617 sec/game, 54.6 min. total, 615.8 MB
shelter_stage v32 1303 games, 2580586 moves, e=0.010, loss: 2.1, +, 56.5% elo% vs. kamikaze, avg. reward: -0.429, 9.547 sec/game, 54.8 min. total, 619.0 MB
shelter_stage v32 1304 games, 2584228 moves, e=0.010, loss: 2.0, +, 58.4% elo% vs. kamikaze, avg. reward: -0.429, 9.458 sec/game, 54.9 min. total, 619.3 MB
shelter_stage v32 1305 games, 2587952 moves, e=0.010, loss: 2.4, +, 60.3% elo% vs. kamikaze, avg. reward: -0.428, 9.449 sec/game, 55.1 min. total, 620.1 MB
shelter_stage v32 1306 games, 2591682 moves, e=0.010, loss: 3.1, +, 62.0% elo% vs. kamikaze, avg. reward: -0.430, 9.414 sec/game, 55.3 min. total, 617.9 MB
shelter_stage v32 1307 games, 2595497 moves, e=0.010, loss: 2.9, +, 63.6% elo% vs. kamikaze, avg. reward: -0.430, 9.434 sec/game, 55.4 min. total, 619.4 MB
shelter_stage v32 1308 games, 2598930 moves, e=0.010, loss: 3.1, +, 65.2% elo% vs. kamikaze, avg. reward: -0.428, 9.324 sec/game, 55.5 min. total, 619.8 MB
shelter_stage v32 1309 games, 2602750 moves, e=0.010, loss: 2.9, ., 64.5% elo% vs. kamikaze, avg. reward: -0.429, 9.279 sec/game, 55.7 min. total, 617.8 MB
shelter_stage v32 1310 games, 2606173 moves, e=0.010, loss: 2.3, +, 66.0% elo% vs. kamikaze, avg. reward: -0.429, 9.248 sec/game, 55.8 min. total, 622.6 MB
shelter_stage v32 1311 games, 2609894 moves, e=0.010, loss: 2.4, +, 67.4% elo% vs. kamikaze, avg. reward: -0.428, 9.270 sec/game, 56.0 min. total, 619.5 MB
shelter_stage v32 1312 games, 2613882 moves, e=0.010, loss: 2.3, +, 68.7% elo% vs. kamikaze, avg. reward: -0.426, 9.162 sec/game, 56.2 min. total, 621.2 MB
shelter_stage v32 1313 games, 2617532 moves, e=0.010, loss: 2.5, +, 69.9% elo% vs. kamikaze, avg. reward: -0.424, 9.145 sec/game, 56.3 min. total, 622.5 MB
shelter_stage v32 1314 games, 2620992 moves, e=0.010, loss: 2.2, +, 71.1% elo% vs. kamikaze, avg. reward: -0.424, 9.029 sec/game, 56.4 min. total, 622.4 MB
shelter_stage v33 1315 games, 2624344 moves, e=0.010, loss: 2.8, +, 50.1% elo% vs. goulinator, avg. reward: -0.424, 9.057 sec/game, 56.6 min. total, 622.3 MB
shelter_stage v33 1316 games, 2628179 moves, e=0.010, loss: 2.4, +, 52.4% elo% vs. goulinator, avg. reward: -0.423, 9.120 sec/game, 56.8 min. total, 623.3 MB
shelter_stage v33 1317 games, 2632178 moves, e=0.010, loss: 2.0, +, 54.6% elo% vs. goulinator, avg. reward: -0.420, 9.121 sec/game, 56.9 min. total, 623.5 MB
shelter_stage v33 1318 games, 2636023 moves, e=0.010, loss: 2.0, +, 56.6% elo% vs. goulinator, avg. reward: -0.418, 8.919 sec/game, 57.1 min. total, 623.7 MB
shelter_stage v33 1319 games, 2639668 moves, e=0.010, loss: 1.8, +, 58.6% elo% vs. goulinator, avg. reward: -0.416, 8.927 sec/game, 57.2 min. total, 625.7 MB
shelter_stage v33 1320 games, 2643046 moves, e=0.010, loss: 2.2, +, 60.4% elo% vs. goulinator, avg. reward: -0.415, 8.886 sec/game, 57.3 min. total, 624.1 MB
shelter_stage v33 1321 games, 2646244 moves, e=0.010, loss: 1.8, +, 62.2% elo% vs. goulinator, avg. reward: -0.415, 8.931 sec/game, 57.5 min. total, 626.5 MB
shelter_stage v33 1322 games, 2649893 moves, e=0.010, loss: 1.8, +, 63.8% elo% vs. goulinator, avg. reward: -0.413, 8.906 sec/game, 57.6 min. total, 627.2 MB
shelter_stage v33 1323 games, 2653420 moves, e=0.010, loss: 1.9, +, 65.3% elo% vs. goulinator, avg. reward: -0.416, 8.907 sec/game, 57.7 min. total, 630.5 MB
shelter_stage v33 1324 games, 2656894 moves, e=0.010, loss: 2.2, -, 62.5% elo% vs. goulinator, avg. reward: -0.416, 8.876 sec/game, 57.9 min. total, 631.2 MB
shelter_stage v33 1325 games, 2660605 moves, e=0.010, loss: 2.3, +, 64.1% elo% vs. goulinator, avg. reward: -0.416, 8.740 sec/game, 58.0 min. total, 627.9 MB
shelter_stage v33 1326 games, 2664596 moves, e=0.010, loss: 2.6, +, 65.6% elo% vs. goulinator, avg. reward: -0.416, 8.683 sec/game, 58.1 min. total, 628.2 MB
shelter_stage v33 1327 games, 2668391 moves, e=0.010, loss: 2.3, +, 67.1% elo% vs. goulinator, avg. reward: -0.417, 8.627 sec/game, 58.3 min. total, 629.9 MB
shelter_stage v33 1328 games, 2671930 moves, e=0.010, loss: 2.4, +, 68.4% elo% vs. goulinator, avg. reward: -0.417, 8.638 sec/game, 58.4 min. total, 630.3 MB
shelter_stage v33 1329 games, 2675689 moves, e=0.010, loss: 2.0, -, 65.6% elo% vs. goulinator, avg. reward: -0.417, 8.612 sec/game, 58.6 min. total, 634.0 MB
shelter_stage v33 1330 games, 2679679 moves, e=0.010, loss: 1.9, +, 67.0% elo% vs. goulinator, avg. reward: -0.416, 8.593 sec/game, 58.7 min. total, 632.5 MB
shelter_stage v33 1331 games, 2683649 moves, e=0.010, loss: 2.0, +, 68.3% elo% vs. goulinator, avg. reward: -0.414, 8.526 sec/game, 58.8 min. total, 631.8 MB
shelter_stage v33 1332 games, 2687682 moves, e=0.010, loss: 1.8, +, 69.6% elo% vs. goulinator, avg. reward: -0.412, 8.463 sec/game, 59.0 min. total, 632.3 MB
shelter_stage v33 1333 games, 2691688 moves, e=0.010, loss: 1.7, +, 70.8% elo% vs. goulinator, avg. reward: -0.414, 8.445 sec/game, 59.1 min. total, 632.4 MB
shelter_stage v34 1334 games, 2695465 moves, e=0.010, loss: 1.8, +, 54.5% elo% vs. schmosby, avg. reward: -0.413, 8.451 sec/game, 59.2 min. total, 634.9 MB
shelter_stage v34 1335 games, 2698994 moves, e=0.010, loss: 2.4, +, 56.6% elo% vs. schmosby, avg. reward: -0.412, 8.303 sec/game, 59.4 min. total, 636.1 MB
shelter_stage v34 1336 games, 2702858 moves, e=0.010, loss: 2.3, +, 58.5% elo% vs. schmosby, avg. reward: -0.410, 8.174 sec/game, 59.5 min. total, 633.8 MB
shelter_stage v34 1337 games, 2707344 moves, e=0.010, loss: 1.9, +, 60.4% elo% vs. schmosby, avg. reward: -0.408, 8.179 sec/game, 59.6 min. total, 634.3 MB
shelter_stage v34 1338 games, 2711332 moves, e=0.010, loss: 1.6, +, 62.1% elo% vs. schmosby, avg. reward: -0.408, 8.159 sec/game, 59.8 min. total, 633.3 MB
shelter_stage v34 1339 games, 2715505 moves, e=0.010, loss: 1.8, +, 63.7% elo% vs. schmosby, avg. reward: -0.408, 8.178 sec/game, 59.9 min. total, 633.9 MB
shelter_stage v34 1340 games, 2719184 moves, e=0.010, loss: 2.6, +, 65.2% elo% vs. schmosby, avg. reward: -0.407, 8.192 sec/game, 60.1 min. total, 637.5 MB
shelter_stage v34 1341 games, 2723094 moves, e=0.010, loss: 2.8, +, 66.7% elo% vs. schmosby, avg. reward: -0.405, 8.204 sec/game, 60.2 min. total, 639.9 MB
shelter_stage v34 1342 games, 2726723 moves, e=0.010, loss: 2.5, +, 68.0% elo% vs. schmosby, avg. reward: -0.406, 8.141 sec/game, 60.3 min. total, 638.6 MB
shelter_stage v34 1343 games, 2730630 moves, e=0.010, loss: 2.6, +, 69.3% elo% vs. schmosby, avg. reward: -0.405, 8.163 sec/game, 60.5 min. total, 642.4 MB
shelter_stage v34 1344 games, 2734478 moves, e=0.010, loss: 2.5, +, 70.5% elo% vs. schmosby, avg. reward: -0.405, 8.178 sec/game, 60.6 min. total, 641.2 MB
shelter_stage v35 1345 games, 2737969 moves, e=0.010, loss: 2.4, +, 54.5% elo% vs. might_win_sometimes, avg. reward: -0.401, 8.115 sec/game, 60.7 min. total, 640.1 MB
shelter_stage v35 1346 games, 2741854 moves, e=0.010, loss: 1.7, +, 56.6% elo% vs. might_win_sometimes, avg. reward: -0.402, 8.060 sec/game, 60.8 min. total, 641.6 MB
shelter_stage v35 1347 games, 2745725 moves, e=0.010, loss: 2.3, +, 58.5% elo% vs. might_win_sometimes, avg. reward: -0.401, 8.022 sec/game, 61.0 min. total, 642.5 MB
shelter_stage v35 1348 games, 2749997 moves, e=0.010, loss: 2.5, +, 60.4% elo% vs. might_win_sometimes, avg. reward: -0.400, 8.053 sec/game, 61.1 min. total, 645.7 MB
shelter_stage v35 1349 games, 2754292 moves, e=0.010, loss: 2.1, +, 62.1% elo% vs. might_win_sometimes, avg. reward: -0.399, 8.059 sec/game, 61.2 min. total, 643.1 MB
shelter_stage v35 1350 games, 2758261 moves, e=0.010, loss: 1.8, -, 59.4% elo% vs. might_win_sometimes, avg. reward: -0.397, 8.019 sec/game, 61.4 min. total, 644.3 MB
shelter_stage v35 1351 games, 2762014 moves, e=0.010, loss: 1.9, +, 61.2% elo% vs. might_win_sometimes, avg. reward: -0.396, 7.986 sec/game, 61.5 min. total, 644.6 MB
shelter_stage v35 1352 games, 2765667 moves, e=0.010, loss: 2.4, +, 62.8% elo% vs. might_win_sometimes, avg. reward: -0.396, 7.956 sec/game, 61.6 min. total, 644.9 MB
shelter_stage v35 1353 games, 2769807 moves, e=0.010, loss: 2.3, +, 64.4% elo% vs. might_win_sometimes, avg. reward: -0.395, 7.983 sec/game, 61.8 min. total, 648.1 MB
shelter_stage v35 1354 games, 2773459 moves, e=0.010, loss: 2.6, +, 65.9% elo% vs. might_win_sometimes, avg. reward: -0.396, 7.971 sec/game, 61.9 min. total, 648.9 MB
shelter_stage v35 1355 games, 2777446 moves, e=0.010, loss: 2.6, +, 67.3% elo% vs. might_win_sometimes, avg. reward: -0.397, 8.011 sec/game, 62.0 min. total, 649.3 MB
shelter_stage v35 1356 games, 2781678 moves, e=0.010, loss: 2.5, +, 68.6% elo% vs. might_win_sometimes, avg. reward: -0.394, 8.019 sec/game, 62.2 min. total, 645.6 MB
shelter_stage v35 1357 games, 2785781 moves, e=0.010, loss: 1.7, +, 69.8% elo% vs. might_win_sometimes, avg. reward: -0.394, 7.967 sec/game, 62.3 min. total, 645.2 MB
shelter_stage v35 1358 games, 2790090 moves, e=0.010, loss: 1.4, +, 71.0% elo% vs. might_win_sometimes, avg. reward: -0.391, 7.992 sec/game, 62.4 min. total, 647.1 MB
shelter_stage v36 1359 games, 2793673 moves, e=0.010, loss: 1.6, -, 49.9% elo% vs. btr, avg. reward: -0.391, 7.920 sec/game, 62.6 min. total, 649.9 MB
shelter_stage v36 1360 games, 2797552 moves, e=0.010, loss: 1.8, -, 47.6% elo% vs. btr, avg. reward: -0.389, 7.900 sec/game, 62.7 min. total, 650.1 MB
shelter_stage v36 1361 games, 2801399 moves, e=0.010, loss: 2.2, -, 45.4% elo% vs. btr, avg. reward: -0.389, 7.866 sec/game, 62.8 min. total, 653.3 MB
shelter_stage v36 1362 games, 2805265 moves, e=0.010, loss: 2.2, -, 43.4% elo% vs. btr, avg. reward: -0.388, 7.889 sec/game, 63.0 min. total, 656.5 MB
shelter_stage v36 1363 games, 2809451 moves, e=0.010, loss: 1.9, -, 41.4% elo% vs. btr, avg. reward: -0.386, 7.886 sec/game, 63.1 min. total, 654.6 MB
shelter_stage v36 1364 games, 2813624 moves, e=0.010, loss: 1.9, -, 39.6% elo% vs. btr, avg. reward: -0.385, 7.979 sec/game, 63.3 min. total, 654.8 MB
shelter_stage v36 1365 games, 2817565 moves, e=0.010, loss: 1.7, -, 37.8% elo% vs. btr, avg. reward: -0.384, 8.078 sec/game, 63.4 min. total, 657.7 MB
shelter_stage v36 1366 games, 2821300 moves, e=0.010, loss: 2.0, -, 36.2% elo% vs. btr, avg. reward: -0.385, 8.121 sec/game, 63.5 min. total, 657.8 MB
shelter_stage v36 1367 games, 2825165 moves, e=0.010, loss: 2.5, -, 34.7% elo% vs. btr, avg. reward: -0.384, 8.134 sec/game, 63.7 min. total, 660.2 MB
shelter_stage v36 1368 games, 2829390 moves, e=0.010, loss: 2.1, -, 33.3% elo% vs. btr, avg. reward: -0.383, 8.140 sec/game, 63.8 min. total, 659.4 MB
shelter_stage v36 1369 games, 2833618 moves, e=0.010, loss: 2.0, -, 31.9% elo% vs. btr, avg. reward: -0.384, 8.153 sec/game, 64.0 min. total, 658.4 MB
shelter_stage v36 1370 games, 2837559 moves, e=0.010, loss: 2.2, -, 30.6% elo% vs. btr, avg. reward: -0.387, 8.166 sec/game, 64.1 min. total, 658.2 MB
shelter_stage v36 1371 games, 2841434 moves, e=0.010, loss: 2.1, -, 29.5% elo% vs. btr, avg. reward: -0.387, 8.177 sec/game, 64.2 min. total, 657.6 MB
shelter_stage v36 1372 games, 2845095 moves, e=0.010, loss: 2.7, -, 28.3% elo% vs. btr, avg. reward: -0.388, 8.184 sec/game, 64.4 min. total, 661.6 MB
shelter_stage v36 1373 games, 2849076 moves, e=0.010, loss: 2.0, -, 27.3% elo% vs. btr, avg. reward: -0.385, 8.171 sec/game, 64.5 min. total, 662.6 MB
shelter_stage v36 1374 games, 2852632 moves, e=0.010, loss: 1.9, -, 26.3% elo% vs. btr, avg. reward: -0.385, 8.212 sec/game, 64.6 min. total, 663.9 MB
shelter_stage v36 1375 games, 2856491 moves, e=0.010, loss: 1.9, -, 25.4% elo% vs. btr, avg. reward: -0.385, 8.215 sec/game, 64.8 min. total, 663.5 MB
shelter_stage v36 1376 games, 2860453 moves, e=0.010, loss: 2.0, -, 24.5% elo% vs. btr, avg. reward: -0.385, 8.206 sec/game, 64.9 min. total, 661.7 MB
shelter_stage v36 1377 games, 2864136 moves, e=0.010, loss: 2.1, -, 23.7% elo% vs. btr, avg. reward: -0.382, 8.227 sec/game, 65.0 min. total, 664.6 MB
shelter_stage v36 1378 games, 2868333 moves, e=0.010, loss: 1.8, -, 22.9% elo% vs. btr, avg. reward: -0.379, 8.259 sec/game, 65.2 min. total, 663.9 MB
shelter_stage v36 1379 games, 2871786 moves, e=0.010, loss: 2.2, -, 22.2% elo% vs. btr, avg. reward: -0.380, 8.324 sec/game, 65.3 min. total, 665.0 MB
shelter_stage v36 1380 games, 2875295 moves, e=0.010, loss: 1.8, -, 21.5% elo% vs. btr, avg. reward: -0.381, 8.344 sec/game, 65.5 min. total, 668.1 MB
shelter_stage v36 1381 games, 2879215 moves, e=0.010, loss: 2.0, -, 20.8% elo% vs. btr, avg. reward: -0.380, 8.357 sec/game, 65.6 min. total, 666.2 MB
shelter_stage v36 1382 games, 2882774 moves, e=0.010, loss: 2.3, -, 20.2% elo% vs. btr, avg. reward: -0.381, 8.325 sec/game, 65.7 min. total, 666.7 MB
shelter_stage v36 1383 games, 2886479 moves, e=0.010, loss: 2.4, -, 19.6% elo% vs. btr, avg. reward: -0.380, 8.293 sec/game, 65.9 min. total, 668.5 MB
shelter_stage v36 1384 games, 2890332 moves, e=0.010, loss: 1.9, -, 19.0% elo% vs. btr, avg. reward: -0.378, 8.184 sec/game, 66.0 min. total, 668.1 MB
shelter_stage v36 1385 games, 2894069 moves, e=0.010, loss: 2.2, -, 18.5% elo% vs. btr, avg. reward: -0.379, 8.123 sec/game, 66.1 min. total, 668.3 MB
shelter_stage v36 1386 games, 2898206 moves, e=0.010, loss: 2.1, -, 18.0% elo% vs. btr, avg. reward: -0.378, 8.121 sec/game, 66.2 min. total, 669.9 MB
shelter_stage v36 1387 games, 2902393 moves, e=0.010, loss: 1.9, -, 17.5% elo% vs. btr, avg. reward: -0.378, 8.131 sec/game, 66.4 min. total, 668.7 MB
shelter_stage v36 1388 games, 2906169 moves, e=0.010, loss: 2.0, -, 17.0% elo% vs. btr, avg. reward: -0.379, 8.084 sec/game, 66.5 min. total, 671.1 MB
shelter_stage v36 1389 games, 2910165 moves, e=0.010, loss: 1.5, -, 16.6% elo% vs. btr, avg. reward: -0.378, 8.057 sec/game, 66.6 min. total, 671.2 MB
shelter_stage v36 1390 games, 2914285 moves, e=0.010, loss: 2.0, -, 16.2% elo% vs. btr, avg. reward: -0.378, 8.081 sec/game, 66.8 min. total, 668.8 MB
shelter_stage v36 1391 games, 2918393 moves, e=0.010, loss: 1.9, -, 15.8% elo% vs. btr, avg. reward: -0.376, 8.120 sec/game, 66.9 min. total, 669.0 MB
shelter_stage v36 1392 games, 2922311 moves, e=0.010, loss: 2.0, -, 15.4% elo% vs. btr, avg. reward: -0.377, 8.156 sec/game, 67.1 min. total, 672.8 MB
shelter_stage v36 1393 games, 2926170 moves, e=0.010, loss: 1.8, -, 15.0% elo% vs. btr, avg. reward: -0.379, 8.139 sec/game, 67.2 min. total, 674.3 MB
shelter_stage v36 1394 games, 2930075 moves, e=0.010, loss: 2.8, -, 14.7% elo% vs. btr, avg. reward: -0.379, 8.126 sec/game, 67.3 min. total, 674.2 MB
shelter_stage v36 1395 games, 2934158 moves, e=0.010, loss: 2.5, -, 14.3% elo% vs. btr, avg. reward: -0.378, 8.112 sec/game, 67.5 min. total, 674.6 MB
shelter_stage v36 1396 games, 2937797 moves, e=0.010, loss: 2.1, -, 14.0% elo% vs. btr, avg. reward: -0.379, 8.043 sec/game, 67.6 min. total, 675.0 MB
shelter_stage v36 1397 games, 2941762 moves, e=0.010, loss: 2.3, -, 13.7% elo% vs. btr, avg. reward: -0.378, 7.998 sec/game, 67.7 min. total, 672.3 MB
shelter_stage v36 1398 games, 2945404 moves, e=0.010, loss: 2.1, -, 13.4% elo% vs. btr, avg. reward: -0.379, 7.885 sec/game, 67.8 min. total, 676.5 MB
shelter_stage v36 1399 games, 2949538 moves, e=0.010, loss: 1.9, -, 13.1% elo% vs. btr, avg. reward: -0.377, 7.875 sec/game, 68.0 min. total, 674.2 MB
shelter_stage v36 1400 games, 2953153 moves, e=0.010, loss: 2.0, -, 12.9% elo% vs. btr, avg. reward: -0.378, 7.836 sec/game, 68.1 min. total, 677.8 MB
shelter_stage v37 1401 games, 2956722 moves, e=0.010, loss: 2.1, -, 47.7% elo% vs. btr, avg. reward: -0.380, 7.796 sec/game, 68.2 min. total, 675.6 MB
shelter_stage v37 1402 games, 2960743 moves, e=0.010, loss: 2.4, -, 45.5% elo% vs. btr, avg. reward: -0.379, 7.862 sec/game, 68.3 min. total, 677.0 MB
shelter_stage v37 1403 games, 2964880 moves, e=0.010, loss: 1.8, -, 43.4% elo% vs. btr, avg. reward: -0.379, 7.951 sec/game, 68.5 min. total, 682.3 MB
shelter_stage v37 1404 games, 2968340 moves, e=0.010, loss: 2.4, -, 41.5% elo% vs. btr, avg. reward: -0.380, 7.939 sec/game, 68.6 min. total, 681.5 MB
shelter_stage v37 1405 games, 2972300 moves, e=0.010, loss: 2.2, -, 39.6% elo% vs. btr, avg. reward: -0.378, 7.993 sec/game, 68.8 min. total, 682.0 MB
shelter_stage v37 1406 games, 2976353 moves, e=0.010, loss: 1.7, -, 37.9% elo% vs. btr, avg. reward: -0.374, 8.002 sec/game, 68.9 min. total, 679.6 MB
shelter_stage v37 1407 games, 2980110 moves, e=0.010, loss: 1.5, -, 36.3% elo% vs. btr, avg. reward: -0.374, 7.993 sec/game, 69.1 min. total, 682.4 MB
shelter_stage v37 1408 games, 2983762 moves, e=0.010, loss: 2.0, -, 34.8% elo% vs. btr, avg. reward: -0.374, 7.988 sec/game, 69.2 min. total, 683.3 MB
shelter_stage v37 1409 games, 2987685 moves, e=0.010, loss: 2.4, -, 33.3% elo% vs. btr, avg. reward: -0.373, 8.022 sec/game, 69.3 min. total, 686.4 MB
shelter_stage v37 1410 games, 2991468 moves, e=0.010, loss: 2.0, -, 32.0% elo% vs. btr, avg. reward: -0.371, 7.990 sec/game, 69.5 min. total, 684.1 MB
shelter_stage v37 1411 games, 2995295 moves, e=0.010, loss: 1.7, -, 30.7% elo% vs. btr, avg. reward: -0.370, 7.968 sec/game, 69.6 min. total, 686.5 MB
shelter_stage v37 1412 games, 2999299 moves, e=0.010, loss: 1.9, -, 29.5% elo% vs. btr, avg. reward: -0.371, 8.010 sec/game, 69.7 min. total, 687.9 MB
shelter_stage v37 1413 games, 3003623 moves, e=0.010, loss: 2.3, -, 28.4% elo% vs. btr, avg. reward: -0.369, 8.064 sec/game, 69.9 min. total, 683.8 MB
shelter_stage v37 1414 games, 3007484 moves, e=0.010, loss: 2.1, -, 27.3% elo% vs. btr, avg. reward: -0.369, 8.085 sec/game, 70.0 min. total, 685.6 MB
shelter_stage v37 1415 games, 3010833 moves, e=0.010, loss: 2.7, -, 26.4% elo% vs. btr, avg. reward: -0.370, 8.051 sec/game, 70.1 min. total, 688.1 MB
shelter_stage v37 1416 games, 3014612 moves, e=0.010, loss: 3.0, -, 25.4% elo% vs. btr, avg. reward: -0.369, 8.096 sec/game, 70.3 min. total, 691.6 MB
shelter_stage v37 1417 games, 3018051 moves, e=0.010, loss: 3.2, -, 24.5% elo% vs. btr, avg. reward: -0.373, 8.080 sec/game, 70.4 min. total, 692.6 MB
shelter_stage v37 1418 games, 3021565 moves, e=0.010, loss: 3.2, -, 23.7% elo% vs. btr, avg. reward: -0.375, 8.095 sec/game, 70.5 min. total, 693.2 MB
shelter_stage v37 1419 games, 3025220 moves, e=0.010, loss: 3.0, -, 22.9% elo% vs. btr, avg. reward: -0.376, 8.086 sec/game, 70.7 min. total, 692.3 MB
shelter_stage v37 1420 games, 3029300 moves, e=0.010, loss: 2.1, -, 22.2% elo% vs. btr, avg. reward: -0.375, 8.179 sec/game, 70.8 min. total, 691.8 MB
shelter_stage v37 1421 games, 3033190 moves, e=0.010, loss: 2.0, -, 21.5% elo% vs. btr, avg. reward: -0.374, 8.226 sec/game, 70.9 min. total, 689.0 MB
shelter_stage v37 1422 games, 3037026 moves, e=0.010, loss: 1.7, -, 20.8% elo% vs. btr, avg. reward: -0.373, 8.213 sec/game, 71.1 min. total, 691.4 MB
shelter_stage v37 1423 games, 3040924 moves, e=0.010, loss: 1.6, -, 20.2% elo% vs. btr, avg. reward: -0.371, 8.181 sec/game, 71.2 min. total, 691.7 MB
shelter_stage v37 1424 games, 3044934 moves, e=0.010, loss: 1.6, -, 19.6% elo% vs. btr, avg. reward: -0.371, 8.226 sec/game, 71.4 min. total, 692.7 MB
shelter_stage v37 1425 games, 3048533 moves, e=0.010, loss: 1.8, -, 19.1% elo% vs. btr, avg. reward: -0.372, 8.184 sec/game, 71.5 min. total, 690.8 MB
shelter_stage v37 1426 games, 3052391 moves, e=0.010, loss: 2.1, -, 18.5% elo% vs. btr, avg. reward: -0.372, 8.155 sec/game, 71.6 min. total, 693.3 MB
shelter_stage v37 1427 games, 3055489 moves, e=0.010, loss: 2.9, -, 18.0% elo% vs. btr, avg. reward: -0.375, 8.095 sec/game, 71.7 min. total, 695.7 MB
shelter_stage v37 1428 games, 3058955 moves, e=0.010, loss: 3.6, -, 17.5% elo% vs. btr, avg. reward: -0.377, 8.131 sec/game, 71.9 min. total, 695.8 MB
shelter_stage v37 1429 games, 3062367 moves, e=0.010, loss: 3.6, -, 17.1% elo% vs. btr, avg. reward: -0.379, 8.055 sec/game, 72.0 min. total, 693.1 MB
shelter_stage v37 1430 games, 3066133 moves, e=0.010, loss: 3.0, -, 16.6% elo% vs. btr, avg. reward: -0.378, 8.062 sec/game, 72.1 min. total, 697.4 MB
shelter_stage v37 1431 games, 3070431 moves, e=0.010, loss: 2.1, -, 16.2% elo% vs. btr, avg. reward: -0.377, 8.107 sec/game, 72.3 min. total, 695.3 MB
shelter_stage v37 1432 games, 3074537 moves, e=0.010, loss: 1.5, -, 15.8% elo% vs. btr, avg. reward: -0.376, 8.112 sec/game, 72.4 min. total, 695.6 MB
shelter_stage v37 1433 games, 3078671 moves, e=0.010, loss: 1.6, -, 15.4% elo% vs. btr, avg. reward: -0.376, 8.099 sec/game, 72.6 min. total, 699.5 MB
shelter_stage v37 1434 games, 3082929 moves, e=0.010, loss: 1.8, -, 15.1% elo% vs. btr, avg. reward: -0.375, 8.114 sec/game, 72.7 min. total, 698.0 MB
shelter_stage v37 1435 games, 3086690 moves, e=0.010, loss: 2.3, -, 14.7% elo% vs. btr, avg. reward: -0.374, 8.175 sec/game, 72.9 min. total, 700.7 MB
shelter_stage v37 1436 games, 3090398 moves, e=0.010, loss: 2.0, -, 14.4% elo% vs. btr, avg. reward: -0.373, 8.187 sec/game, 73.0 min. total, 701.4 MB
shelter_stage v37 1437 games, 3094189 moves, e=0.010, loss: 1.8, -, 14.0% elo% vs. btr, avg. reward: -0.373, 8.220 sec/game, 73.1 min. total, 699.5 MB
shelter_stage v37 1438 games, 3098089 moves, e=0.010, loss: 1.5, -, 13.7% elo% vs. btr, avg. reward: -0.373, 8.254 sec/game, 73.3 min. total, 699.1 MB
shelter_stage v37 1439 games, 3102060 moves, e=0.010, loss: 1.5, -, 13.4% elo% vs. btr, avg. reward: -0.371, 8.259 sec/game, 73.4 min. total, 699.6 MB
shelter_stage v37 1440 games, 3106063 moves, e=0.010, loss: 2.0, -, 13.1% elo% vs. btr, avg. reward: -0.369, 8.251 sec/game, 73.6 min. total, 704.6 MB
shelter_stage v37 1441 games, 3109573 moves, e=0.010, loss: 2.3, -, 12.9% elo% vs. btr, avg. reward: -0.370, 8.200 sec/game, 73.7 min. total, 702.2 MB
shelter_stage v37 1442 games, 3113497 moves, e=0.010, loss: 2.1, -, 12.6% elo% vs. btr, avg. reward: -0.369, 8.187 sec/game, 73.8 min. total, 705.7 MB
shelter_stage v37 1443 games, 3117415 moves, e=0.010, loss: 2.2, -, 12.4% elo% vs. btr, avg. reward: -0.369, 8.136 sec/game, 73.9 min. total, 702.8 MB
shelter_stage v37 1444 games, 3121651 moves, e=0.010, loss: 2.3, -, 12.1% elo% vs. btr, avg. reward: -0.368, 8.147 sec/game, 74.1 min. total, 702.4 MB
shelter_stage v37 1445 games, 3125688 moves, e=0.010, loss: 2.1, -, 11.9% elo% vs. btr, avg. reward: -0.367, 8.181 sec/game, 74.2 min. total, 705.8 MB
shelter_stage v37 1446 games, 3129902 moves, e=0.010, loss: 1.6, -, 11.7% elo% vs. btr, avg. reward: -0.366, 8.209 sec/game, 74.4 min. total, 703.3 MB
