bullfight_antiviral v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.1 MB
bullfight_antiviral v3 93 games, 66765 moves, e=0.934, loss: 2.7, +, 51.0% elo% vs. random_no_suicide, avg. reward: -6.430, 1.528 sec/game, 1.9 min. total, 445.3 MB
bullfight_antiviral v3 94 games, 67549 moves, e=0.933, loss: 2.7, ., 51.0% elo% vs. random_no_suicide, avg. reward: -6.420, 1.537 sec/game, 1.9 min. total, 445.6 MB
bullfight_antiviral v3 95 games, 68256 moves, e=0.932, loss: 2.7, -, 48.6% elo% vs. random_no_suicide, avg. reward: -6.423, 1.548 sec/game, 2.0 min. total, 446.7 MB
bullfight_antiviral v3 96 games, 68864 moves, e=0.932, loss: 2.6, +, 51.0% elo% vs. random_no_suicide, avg. reward: -6.434, 1.528 sec/game, 2.0 min. total, 448.0 MB
bullfight_antiviral v3 97 games, 69618 moves, e=0.931, loss: 2.6, +, 53.2% elo% vs. random_no_suicide, avg. reward: -6.427, 1.516 sec/game, 2.0 min. total, 448.9 MB
bullfight_antiviral v3 98 games, 70396 moves, e=0.930, loss: 2.6, +, 55.4% elo% vs. random_no_suicide, avg. reward: -6.419, 1.522 sec/game, 2.0 min. total, 449.0 MB
bullfight_antiviral v3 99 games, 71090 moves, e=0.930, loss: 2.5, +, 57.4% elo% vs. random_no_suicide, avg. reward: -6.421, 1.511 sec/game, 2.1 min. total, 448.4 MB
bullfight_antiviral v3 100 games, 71795 moves, e=0.929, loss: 2.6, -, 54.8% elo% vs. random_no_suicide, avg. reward: -6.418, 1.497 sec/game, 2.1 min. total, 449.0 MB
bullfight_antiviral v4 101 games, 72544 moves, e=0.928, loss: 2.6, -, 47.7% elo% vs. random_no_suicide, avg. reward: -6.398, 1.510 sec/game, 2.1 min. total, 448.6 MB
bullfight_antiviral v4 102 games, 73279 moves, e=0.927, loss: 2.6, -, 45.5% elo% vs. random_no_suicide, avg. reward: -6.395, 1.508 sec/game, 2.1 min. total, 448.6 MB
