water_affection v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.9 MB
water_affection v3 78 games, 55315 moves, e=0.945, loss: 3.4, +, 49.4% elo% vs. v2, avg. reward: -10.131, 1.573 sec/game, 1.7 min. total, 426.6 MB
water_affection v3 79 games, 56063 moves, e=0.944, loss: 3.0, +, 51.7% elo% vs. v2, avg. reward: -10.123, 1.574 sec/game, 1.8 min. total, 422.2 MB
water_affection v3 80 games, 56858 moves, e=0.944, loss: 2.8, +, 53.9% elo% vs. v2, avg. reward: -10.107, 1.599 sec/game, 1.8 min. total, 422.6 MB
water_affection v3 81 games, 57691 moves, e=0.943, loss: 2.9, +, 56.0% elo% vs. v2, avg. reward: -10.088, 1.602 sec/game, 1.8 min. total, 422.7 MB
water_affection v3 82 games, 58412 moves, e=0.942, loss: 3.0, -, 53.5% elo% vs. v2, avg. reward: -10.090, 1.597 sec/game, 1.8 min. total, 422.7 MB
water_affection v3 83 games, 59150 moves, e=0.941, loss: 2.7, -, 51.0% elo% vs. v2, avg. reward: -10.086, 1.593 sec/game, 1.9 min. total, 423.0 MB
water_affection v3 84 games, 59846 moves, e=0.941, loss: 2.6, -, 48.7% elo% vs. v2, avg. reward: -10.090, 1.594 sec/game, 1.9 min. total, 422.8 MB
water_affection v3 85 games, 60576 moves, e=0.940, loss: 2.7, +, 51.0% elo% vs. v2, avg. reward: -10.085, 1.611 sec/game, 1.9 min. total, 422.9 MB
water_affection v3 86 games, 61354 moves, e=0.939, loss: 2.4, +, 53.3% elo% vs. v2, avg. reward: -10.074, 1.610 sec/game, 1.9 min. total, 423.6 MB
water_affection v3 87 games, 62154 moves, e=0.938, loss: 2.7, -, 50.8% elo% vs. v2, avg. reward: -10.058, 1.614 sec/game, 2.0 min. total, 424.6 MB
water_affection v3 88 games, 62869 moves, e=0.938, loss: 2.8, +, 53.1% elo% vs. v2, avg. reward: -10.059, 1.623 sec/game, 2.0 min. total, 428.6 MB
water_affection v3 89 games, 63600 moves, e=0.937, loss: 2.8, -, 50.7% elo% vs. v2, avg. reward: -10.056, 1.624 sec/game, 2.0 min. total, 424.8 MB
water_affection v3 90 games, 64383 moves, e=0.936, loss: 2.7, +, 52.9% elo% vs. v2, avg. reward: -10.047, 1.625 sec/game, 2.1 min. total, 424.8 MB
water_affection v3 91 games, 65159 moves, e=0.935, loss: 3.0, +, 55.1% elo% vs. v2, avg. reward: -10.036, 1.637 sec/game, 2.1 min. total, 424.7 MB
water_affection v3 92 games, 65839 moves, e=0.935, loss: 2.9, +, 57.1% elo% vs. v2, avg. reward: -10.042, 1.622 sec/game, 2.1 min. total, 426.6 MB
water_affection v3 93 games, 66631 moves, e=0.934, loss: 3.2, +, 59.0% elo% vs. v2, avg. reward: -10.030, 1.617 sec/game, 2.1 min. total, 424.7 MB
water_affection v3 94 games, 67250 moves, e=0.933, loss: 2.8, +, 60.9% elo% vs. v2, avg. reward: -10.045, 1.605 sec/game, 2.2 min. total, 425.1 MB
water_affection v3 95 games, 68000 moves, e=0.933, loss: 3.1, +, 62.6% elo% vs. v2, avg. reward: -10.038, 1.606 sec/game, 2.2 min. total, 427.2 MB
water_affection v3 96 games, 68737 moves, e=0.932, loss: 2.8, -, 59.8% elo% vs. v2, avg. reward: -10.032, 1.613 sec/game, 2.2 min. total, 427.2 MB
water_affection v3 97 games, 69431 moves, e=0.931, loss: 2.9, -, 57.1% elo% vs. v2, avg. reward: -10.039, 1.615 sec/game, 2.2 min. total, 427.3 MB
water_affection v3 98 games, 70160 moves, e=0.931, loss: 3.1, -, 54.5% elo% vs. v2, avg. reward: -10.040, 1.633 sec/game, 2.3 min. total, 427.2 MB
water_affection v3 99 games, 70937 moves, e=0.930, loss: 2.8, -, 52.0% elo% vs. v2, avg. reward: -10.028, 1.657 sec/game, 2.3 min. total, 427.2 MB
water_affection v3 100 games, 71762 moves, e=0.929, loss: 2.7, +, 54.2% elo% vs. v2, avg. reward: -10.013, 1.652 sec/game, 2.3 min. total, 427.8 MB
water_affection v4 101 games, 72617 moves, e=0.928, loss: 2.8, +, 52.3% elo% vs. v2, avg. reward: -9.997, 1.681 sec/game, 2.4 min. total, 427.9 MB
water_affection v4 102 games, 73327 moves, e=0.927, loss: 2.7, -, 49.9% elo% vs. v2, avg. reward: -9.999, 1.677 sec/game, 2.4 min. total, 428.1 MB
water_affection v4 103 games, 74106 moves, e=0.927, loss: 2.9, +, 52.2% elo% vs. v2, avg. reward: -9.996, 1.684 sec/game, 2.4 min. total, 428.4 MB
water_affection v4 104 games, 74838 moves, e=0.926, loss: 2.5, ., 52.1% elo% vs. v2, avg. reward: -10.006, 1.698 sec/game, 2.5 min. total, 429.4 MB
water_affection v4 105 games, 75382 moves, e=0.925, loss: 2.3, -, 49.7% elo% vs. v2, avg. reward: -10.021, 1.677 sec/game, 2.5 min. total, 429.4 MB
water_affection v4 106 games, 76084 moves, e=0.925, loss: 2.7, -, 47.4% elo% vs. v2, avg. reward: -10.018, 1.676 sec/game, 2.5 min. total, 429.5 MB
water_affection v4 107 games, 76812 moves, e=0.924, loss: 2.8, -, 45.2% elo% vs. v2, avg. reward: -10.001, 1.673 sec/game, 2.5 min. total, 429.6 MB
water_affection v4 108 games, 77636 moves, e=0.923, loss: 2.9, +, 47.8% elo% vs. v2, avg. reward: -9.971, 1.680 sec/game, 2.6 min. total, 429.6 MB
water_affection v4 109 games, 78416 moves, e=0.922, loss: 3.1, -, 45.6% elo% vs. v2, avg. reward: -9.946, 1.696 sec/game, 2.6 min. total, 429.4 MB
water_affection v4 110 games, 79129 moves, e=0.922, loss: 2.9, +, 48.1% elo% vs. v2, avg. reward: -9.946, 1.694 sec/game, 2.6 min. total, 429.4 MB
water_affection v4 111 games, 79945 moves, e=0.921, loss: 2.8, -, 45.9% elo% vs. v2, avg. reward: -9.928, 1.682 sec/game, 2.6 min. total, 430.1 MB
water_affection v4 112 games, 80699 moves, e=0.920, loss: 2.8, -, 43.8% elo% vs. v2, avg. reward: -9.917, 1.699 sec/game, 2.7 min. total, 430.6 MB
water_affection v4 113 games, 81451 moves, e=0.919, loss: 2.9, +, 46.3% elo% vs. v2, avg. reward: -9.905, 1.700 sec/game, 2.7 min. total, 432.1 MB
water_affection v4 114 games, 82133 moves, e=0.919, loss: 3.1, -, 44.2% elo% vs. v2, avg. reward: -9.905, 1.705 sec/game, 2.7 min. total, 431.7 MB
water_affection v4 115 games, 82782 moves, e=0.918, loss: 2.9, -, 42.2% elo% vs. v2, avg. reward: -9.918, 1.692 sec/game, 2.8 min. total, 435.3 MB
water_affection v4 116 games, 83596 moves, e=0.917, loss: 2.8, -, 40.3% elo% vs. v2, avg. reward: -9.903, 1.698 sec/game, 2.8 min. total, 434.1 MB
water_affection v4 117 games, 84413 moves, e=0.916, loss: 3.5, -, 38.6% elo% vs. v2, avg. reward: -9.885, 1.712 sec/game, 2.8 min. total, 432.4 MB
water_affection v4 118 games, 85097 moves, e=0.916, loss: 3.8, -, 36.9% elo% vs. v2, avg. reward: -9.869, 1.698 sec/game, 2.8 min. total, 432.3 MB
water_affection v4 119 games, 85889 moves, e=0.915, loss: 4.0, -, 35.3% elo% vs. v2, avg. reward: -9.862, 1.687 sec/game, 2.9 min. total, 432.5 MB
water_affection v4 120 games, 86594 moves, e=0.914, loss: 3.3, -, 33.9% elo% vs. v2, avg. reward: -9.865, 1.674 sec/game, 2.9 min. total, 434.5 MB
water_affection v4 121 games, 87388 moves, e=0.913, loss: 3.5, -, 32.5% elo% vs. v2, avg. reward: -9.854, 1.643 sec/game, 2.9 min. total, 432.7 MB
water_affection v4 122 games, 88148 moves, e=0.913, loss: 3.6, -, 31.2% elo% vs. v2, avg. reward: -9.849, 1.650 sec/game, 2.9 min. total, 434.8 MB
water_affection v4 123 games, 88906 moves, e=0.912, loss: 3.2, -, 30.0% elo% vs. v2, avg. reward: -9.833, 1.646 sec/game, 3.0 min. total, 434.2 MB
water_affection v4 124 games, 89590 moves, e=0.911, loss: 3.1, -, 28.8% elo% vs. v2, avg. reward: -9.835, 1.635 sec/game, 3.0 min. total, 434.3 MB
water_affection v4 125 games, 90274 moves, e=0.911, loss: 3.7, +, 31.6% elo% vs. v2, avg. reward: -9.832, 1.654 sec/game, 3.0 min. total, 436.5 MB
water_affection v4 126 games, 91043 moves, e=0.910, loss: 3.6, +, 34.4% elo% vs. v2, avg. reward: -9.814, 1.664 sec/game, 3.1 min. total, 434.4 MB
water_affection v4 127 games, 91743 moves, e=0.909, loss: 3.4, -, 32.9% elo% vs. v2, avg. reward: -9.812, 1.652 sec/game, 3.1 min. total, 436.3 MB
water_affection v4 128 games, 92679 moves, e=0.908, loss: 3.0, -, 31.6% elo% vs. v2, avg. reward: -9.776, 1.674 sec/game, 3.1 min. total, 434.4 MB
water_affection v4 129 games, 93433 moves, e=0.908, loss: 2.7, -, 30.4% elo% vs. v2, avg. reward: -9.761, 1.664 sec/game, 3.1 min. total, 434.1 MB
water_affection v4 130 games, 94155 moves, e=0.907, loss: 3.1, -, 29.2% elo% vs. v2, avg. reward: -9.759, 1.663 sec/game, 3.2 min. total, 436.2 MB
water_affection v4 131 games, 94944 moves, e=0.906, loss: 3.2, -, 28.1% elo% vs. v2, avg. reward: -9.760, 1.664 sec/game, 3.2 min. total, 436.8 MB
water_affection v4 132 games, 95847 moves, e=0.905, loss: 3.2, -, 27.1% elo% vs. v2, avg. reward: -9.724, 1.677 sec/game, 3.2 min. total, 436.4 MB
water_affection v4 133 games, 96639 moves, e=0.904, loss: 2.6, -, 26.1% elo% vs. v2, avg. reward: -9.710, 1.676 sec/game, 3.3 min. total, 437.0 MB
water_affection v4 134 games, 97450 moves, e=0.904, loss: 2.7, -, 25.2% elo% vs. v2, avg. reward: -9.704, 1.699 sec/game, 3.3 min. total, 436.9 MB
water_affection v4 135 games, 98339 moves, e=0.903, loss: 2.9, +, 27.9% elo% vs. v2, avg. reward: -9.694, 1.725 sec/game, 3.3 min. total, 437.2 MB
