banner_lazy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.3 MB
banner_lazy v5 110 games, 80642 moves, e=0.920, loss: 0.9, -, 32.0% elo% vs. simple_bot, avg. reward: 0.133, 1.808 sec/game, 2.9 min. total, 493.6 MB
banner_lazy v5 111 games, 81556 moves, e=0.919, loss: 0.8, -, 30.7% elo% vs. simple_bot, avg. reward: 0.135, 1.838 sec/game, 3.0 min. total, 493.9 MB
banner_lazy v5 112 games, 82365 moves, e=0.918, loss: 0.9, -, 29.5% elo% vs. simple_bot, avg. reward: 0.135, 1.824 sec/game, 3.0 min. total, 493.8 MB
banner_lazy v5 113 games, 83272 moves, e=0.918, loss: 0.9, -, 28.4% elo% vs. simple_bot, avg. reward: 0.133, 1.838 sec/game, 3.0 min. total, 493.9 MB
banner_lazy v5 114 games, 83996 moves, e=0.917, loss: 0.9, -, 27.3% elo% vs. simple_bot, avg. reward: 0.135, 1.835 sec/game, 3.1 min. total, 493.7 MB
banner_lazy v5 115 games, 84801 moves, e=0.916, loss: 0.9, -, 26.4% elo% vs. simple_bot, avg. reward: 0.136, 1.853 sec/game, 3.1 min. total, 493.9 MB
banner_lazy v5 116 games, 85523 moves, e=0.915, loss: 0.9, -, 25.4% elo% vs. simple_bot, avg. reward: 0.137, 1.841 sec/game, 3.1 min. total, 495.6 MB
banner_lazy v5 117 games, 86291 moves, e=0.915, loss: 0.9, -, 24.5% elo% vs. simple_bot, avg. reward: 0.137, 1.843 sec/game, 3.2 min. total, 496.1 MB
banner_lazy v5 118 games, 87025 moves, e=0.914, loss: 0.9, -, 23.7% elo% vs. simple_bot, avg. reward: 0.138, 1.842 sec/game, 3.2 min. total, 496.4 MB
banner_lazy v5 119 games, 87756 moves, e=0.913, loss: 0.8, -, 22.9% elo% vs. simple_bot, avg. reward: 0.138, 1.847 sec/game, 3.2 min. total, 496.2 MB
banner_lazy v5 120 games, 88528 moves, e=0.912, loss: 0.8, -, 22.2% elo% vs. simple_bot, avg. reward: 0.137, 1.862 sec/game, 3.3 min. total, 496.1 MB
banner_lazy v5 121 games, 89265 moves, e=0.912, loss: 0.9, -, 21.5% elo% vs. simple_bot, avg. reward: 0.137, 1.874 sec/game, 3.3 min. total, 496.6 MB
