twistable_tiptoeing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.8 MB
twistable_tiptoeing v6 443 games, 360981 moves, e=0.643, loss: 13.2, +, 61.2% elo% vs. v4, avg. reward: 0.698, 2.668 sec/game, 47.0 min. total, 535.0 MB
twistable_tiptoeing v6 444 games, 361875 moves, e=0.642, loss: 12.7, +, 62.9% elo% vs. v4, avg. reward: 0.696, 2.639 sec/game, 47.0 min. total, 535.0 MB
twistable_tiptoeing v6 445 games, 363051 moves, e=0.641, loss: 11.1, -, 60.2% elo% vs. v4, avg. reward: 0.701, 2.639 sec/game, 47.1 min. total, 535.2 MB
twistable_tiptoeing v6 446 games, 363966 moves, e=0.640, loss: 11.6, +, 61.9% elo% vs. v4, avg. reward: 0.701, 2.610 sec/game, 47.1 min. total, 535.4 MB
twistable_tiptoeing v6 447 games, 365006 moves, e=0.639, loss: 10.8, +, 63.5% elo% vs. v4, avg. reward: 0.705, 2.619 sec/game, 47.2 min. total, 535.4 MB
twistable_tiptoeing v6 448 games, 366073 moves, e=0.638, loss: 11.0, +, 65.1% elo% vs. v4, avg. reward: 0.711, 2.609 sec/game, 47.2 min. total, 535.4 MB
twistable_tiptoeing v6 449 games, 367093 moves, e=0.637, loss: 10.9, -, 62.3% elo% vs. v4, avg. reward: 0.708, 2.622 sec/game, 47.3 min. total, 535.5 MB
twistable_tiptoeing v6 450 games, 368170 moves, e=0.636, loss: 11.2, +, 63.9% elo% vs. v4, avg. reward: 0.711, 2.610 sec/game, 47.3 min. total, 537.4 MB
twistable_tiptoeing v6 451 games, 369021 moves, e=0.635, loss: 11.3, +, 65.4% elo% vs. v4, avg. reward: 0.715, 2.588 sec/game, 47.3 min. total, 539.0 MB
twistable_tiptoeing v6 452 games, 369953 moves, e=0.634, loss: 11.8, +, 66.9% elo% vs. v4, avg. reward: 0.715, 2.603 sec/game, 47.4 min. total, 539.2 MB
twistable_tiptoeing v6 453 games, 370920 moves, e=0.633, loss: 11.4, +, 68.2% elo% vs. v4, avg. reward: 0.715, 2.603 sec/game, 47.4 min. total, 539.1 MB
twistable_tiptoeing v6 454 games, 371869 moves, e=0.632, loss: 11.7, +, 69.5% elo% vs. v4, avg. reward: 0.722, 2.639 sec/game, 47.5 min. total, 539.2 MB
twistable_tiptoeing v6 455 games, 372616 moves, e=0.631, loss: 11.7, +, 70.6% elo% vs. v4, avg. reward: 0.720, 2.582 sec/game, 47.5 min. total, 539.3 MB
twistable_tiptoeing v7 456 games, 373682 moves, e=0.630, loss: 11.6, +, 54.5% elo% vs. v6, avg. reward: 0.720, 2.589 sec/game, 47.5 min. total, 586.1 MB
twistable_tiptoeing v7 457 games, 374685 moves, e=0.629, loss: 12.2, -, 52.0% elo% vs. v6, avg. reward: 0.717, 2.597 sec/game, 47.6 min. total, 587.8 MB
twistable_tiptoeing v7 458 games, 375773 moves, e=0.628, loss: 12.4, -, 49.6% elo% vs. v6, avg. reward: 0.721, 2.624 sec/game, 47.6 min. total, 591.1 MB
twistable_tiptoeing v7 459 games, 376842 moves, e=0.627, loss: 13.8, +, 51.9% elo% vs. v6, avg. reward: 0.721, 2.672 sec/game, 47.7 min. total, 586.6 MB
twistable_tiptoeing v7 460 games, 377846 moves, e=0.626, loss: 13.9, -, 49.5% elo% vs. v6, avg. reward: 0.721, 2.665 sec/game, 47.7 min. total, 586.5 MB
twistable_tiptoeing v7 461 games, 378947 moves, e=0.625, loss: 13.8, -, 47.2% elo% vs. v6, avg. reward: 0.728, 2.694 sec/game, 47.8 min. total, 588.6 MB
twistable_tiptoeing v7 462 games, 379911 moves, e=0.624, loss: 13.0, +, 49.7% elo% vs. v6, avg. reward: 0.733, 2.685 sec/game, 47.8 min. total, 586.8 MB
twistable_tiptoeing v7 463 games, 380906 moves, e=0.623, loss: 14.4, +, 52.0% elo% vs. v6, avg. reward: 0.737, 2.664 sec/game, 47.9 min. total, 587.1 MB
twistable_tiptoeing v7 464 games, 381737 moves, e=0.622, loss: 14.8, -, 49.6% elo% vs. v6, avg. reward: 0.743, 2.672 sec/game, 47.9 min. total, 587.2 MB
twistable_tiptoeing v7 465 games, 382805 moves, e=0.621, loss: 14.6, -, 47.3% elo% vs. v6, avg. reward: 0.746, 2.663 sec/game, 48.0 min. total, 587.1 MB
twistable_tiptoeing v7 466 games, 383748 moves, e=0.620, loss: 12.9, +, 49.7% elo% vs. v6, avg. reward: 0.746, 2.678 sec/game, 48.0 min. total, 587.8 MB
twistable_tiptoeing v7 467 games, 384835 moves, e=0.619, loss: 12.8, -, 47.5% elo% vs. v6, avg. reward: 0.746, 2.689 sec/game, 48.1 min. total, 587.5 MB
twistable_tiptoeing v7 468 games, 385657 moves, e=0.618, loss: 12.1, +, 49.9% elo% vs. v6, avg. reward: 0.751, 2.664 sec/game, 48.1 min. total, 587.6 MB
twistable_tiptoeing v7 469 games, 386609 moves, e=0.617, loss: 12.9, -, 47.6% elo% vs. v6, avg. reward: 0.755, 2.664 sec/game, 48.1 min. total, 587.7 MB
twistable_tiptoeing v7 470 games, 387601 moves, e=0.616, loss: 12.5, -, 45.4% elo% vs. v6, avg. reward: 0.758, 2.653 sec/game, 48.2 min. total, 588.0 MB
twistable_tiptoeing v7 471 games, 388553 moves, e=0.615, loss: 13.5, -, 43.3% elo% vs. v6, avg. reward: 0.749, 2.670 sec/game, 48.2 min. total, 587.6 MB
twistable_tiptoeing v7 472 games, 389657 moves, e=0.614, loss: 13.7, -, 41.4% elo% vs. v6, avg. reward: 0.747, 2.689 sec/game, 48.3 min. total, 587.5 MB
twistable_tiptoeing v7 473 games, 390673 moves, e=0.613, loss: 12.7, -, 39.5% elo% vs. v6, avg. reward: 0.745, 2.705 sec/game, 48.3 min. total, 588.6 MB
twistable_tiptoeing v7 474 games, 391761 moves, e=0.612, loss: 12.3, -, 37.8% elo% vs. v6, avg. reward: 0.746, 2.686 sec/game, 48.4 min. total, 590.0 MB
twistable_tiptoeing v7 475 games, 392882 moves, e=0.611, loss: 11.6, -, 36.2% elo% vs. v6, avg. reward: 0.745, 2.738 sec/game, 48.4 min. total, 589.9 MB
twistable_tiptoeing v7 476 games, 393892 moves, e=0.610, loss: 11.8, -, 34.7% elo% vs. v6, avg. reward: 0.747, 2.747 sec/game, 48.5 min. total, 590.1 MB
twistable_tiptoeing v7 477 games, 394957 moves, e=0.609, loss: 12.0, -, 33.2% elo% vs. v6, avg. reward: 0.744, 2.746 sec/game, 48.5 min. total, 591.8 MB
twistable_tiptoeing v7 478 games, 395908 moves, e=0.608, loss: 12.8, -, 31.9% elo% vs. v6, avg. reward: 0.740, 2.737 sec/game, 48.6 min. total, 590.1 MB
twistable_tiptoeing v7 479 games, 396961 moves, e=0.607, loss: 12.0, -, 30.6% elo% vs. v6, avg. reward: 0.734, 2.710 sec/game, 48.6 min. total, 590.2 MB
twistable_tiptoeing v7 480 games, 398023 moves, e=0.606, loss: 11.3, -, 29.4% elo% vs. v6, avg. reward: 0.736, 2.724 sec/game, 48.6 min. total, 591.3 MB
twistable_tiptoeing v7 481 games, 399112 moves, e=0.605, loss: 11.0, +, 32.2% elo% vs. v6, avg. reward: 0.734, 2.721 sec/game, 48.7 min. total, 593.4 MB
twistable_tiptoeing v7 482 games, 400399 moves, e=0.604, loss: 11.6, -, 30.9% elo% vs. v6, avg. reward: 0.737, 2.753 sec/game, 48.8 min. total, 594.7 MB
twistable_tiptoeing v7 483 games, 401622 moves, e=0.602, loss: 11.2, -, 29.7% elo% vs. v6, avg. reward: 0.737, 2.777 sec/game, 48.8 min. total, 594.9 MB
twistable_tiptoeing v7 484 games, 402692 moves, e=0.601, loss: 12.4, -, 28.6% elo% vs. v6, avg. reward: 0.731, 2.802 sec/game, 48.9 min. total, 594.9 MB
twistable_tiptoeing v7 485 games, 403664 moves, e=0.600, loss: 12.3, -, 27.5% elo% vs. v6, avg. reward: 0.730, 2.787 sec/game, 48.9 min. total, 595.2 MB
twistable_tiptoeing v7 486 games, 404625 moves, e=0.599, loss: 11.5, -, 26.5% elo% vs. v6, avg. reward: 0.728, 2.790 sec/game, 48.9 min. total, 595.3 MB
twistable_tiptoeing v7 487 games, 405636 moves, e=0.598, loss: 13.3, -, 25.6% elo% vs. v6, avg. reward: 0.736, 2.784 sec/game, 49.0 min. total, 595.5 MB
twistable_tiptoeing v7 488 games, 406789 moves, e=0.597, loss: 12.2, -, 24.7% elo% vs. v6, avg. reward: 0.736, 2.828 sec/game, 49.0 min. total, 595.3 MB
twistable_tiptoeing v7 489 games, 407631 moves, e=0.596, loss: 13.1, -, 23.9% elo% vs. v6, avg. reward: 0.731, 2.806 sec/game, 49.1 min. total, 596.4 MB
twistable_tiptoeing v7 490 games, 408687 moves, e=0.595, loss: 12.2, -, 23.1% elo% vs. v6, avg. reward: 0.731, 2.821 sec/game, 49.1 min. total, 597.4 MB
twistable_tiptoeing v7 491 games, 410002 moves, e=0.594, loss: 14.0, +, 25.7% elo% vs. v6, avg. reward: 0.734, 2.885 sec/game, 49.2 min. total, 597.4 MB
twistable_tiptoeing v7 492 games, 411071 moves, e=0.593, loss: 14.2, +, 28.4% elo% vs. v6, avg. reward: 0.738, 2.871 sec/game, 49.2 min. total, 597.5 MB
twistable_tiptoeing v7 493 games, 412081 moves, e=0.592, loss: 14.3, -, 27.3% elo% vs. v6, avg. reward: 0.739, 2.874 sec/game, 49.3 min. total, 599.2 MB
twistable_tiptoeing v7 494 games, 413213 moves, e=0.591, loss: 13.2, +, 30.1% elo% vs. v6, avg. reward: 0.732, 2.888 sec/game, 49.3 min. total, 597.4 MB
twistable_tiptoeing v7 495 games, 414277 moves, e=0.590, loss: 13.4, +, 32.9% elo% vs. v6, avg. reward: 0.725, 2.874 sec/game, 49.4 min. total, 597.4 MB
twistable_tiptoeing v7 496 games, 415247 moves, e=0.589, loss: 13.1, +, 35.6% elo% vs. v6, avg. reward: 0.735, 2.873 sec/game, 49.4 min. total, 598.3 MB
twistable_tiptoeing v7 497 games, 416183 moves, e=0.588, loss: 13.6, +, 38.4% elo% vs. v6, avg. reward: 0.738, 2.859 sec/game, 49.5 min. total, 600.0 MB
twistable_tiptoeing v7 498 games, 417320 moves, e=0.587, loss: 13.3, -, 36.7% elo% vs. v6, avg. reward: 0.741, 2.891 sec/game, 49.5 min. total, 601.4 MB
twistable_tiptoeing v7 499 games, 418376 moves, e=0.586, loss: 14.2, -, 35.2% elo% vs. v6, avg. reward: 0.743, 2.892 sec/game, 49.6 min. total, 601.5 MB
twistable_tiptoeing v7 500 games, 419285 moves, e=0.585, loss: 14.4, -, 33.7% elo% vs. v6, avg. reward: 0.743, 2.887 sec/game, 49.6 min. total, 601.5 MB
twistable_tiptoeing v8 501 games, 420306 moves, e=0.584, loss: 13.8, -, 47.7% elo% vs. v6, avg. reward: 0.748, 2.880 sec/game, 49.7 min. total, 603.4 MB
twistable_tiptoeing v8 502 games, 421353 moves, e=0.583, loss: 14.1, ., 47.8% elo% vs. v6, avg. reward: 0.746, 2.849 sec/game, 49.7 min. total, 601.4 MB
twistable_tiptoeing v8 503 games, 422444 moves, e=0.582, loss: 14.5, -, 45.6% elo% vs. v6, avg. reward: 0.749, 2.847 sec/game, 49.8 min. total, 601.4 MB
twistable_tiptoeing v8 504 games, 423427 moves, e=0.581, loss: 15.5, -, 43.5% elo% vs. v6, avg. reward: 0.744, 2.830 sec/game, 49.8 min. total, 602.4 MB
twistable_tiptoeing v8 505 games, 424659 moves, e=0.580, loss: 14.1, +, 46.1% elo% vs. v6, avg. reward: 0.742, 2.862 sec/game, 49.8 min. total, 604.8 MB
twistable_tiptoeing v8 506 games, 425859 moves, e=0.578, loss: 14.6, -, 44.0% elo% vs. v6, avg. reward: 0.746, 2.896 sec/game, 49.9 min. total, 604.6 MB
twistable_tiptoeing v8 507 games, 427188 moves, e=0.577, loss: 16.4, -, 42.0% elo% vs. v6, avg. reward: 0.749, 2.926 sec/game, 50.0 min. total, 604.4 MB
twistable_tiptoeing v8 508 games, 428227 moves, e=0.576, loss: 15.0, -, 40.1% elo% vs. v6, avg. reward: 0.749, 2.968 sec/game, 50.0 min. total, 604.8 MB
twistable_tiptoeing v8 509 games, 429371 moves, e=0.575, loss: 15.9, -, 38.4% elo% vs. v6, avg. reward: 0.749, 3.012 sec/game, 50.1 min. total, 594.6 MB
twistable_tiptoeing v8 510 games, 430404 moves, e=0.574, loss: 16.6, -, 36.7% elo% vs. v6, avg. reward: 0.747, 3.016 sec/game, 50.1 min. total, 588.8 MB
twistable_tiptoeing v8 511 games, 431667 moves, e=0.573, loss: 16.1, -, 35.2% elo% vs. v6, avg. reward: 0.753, 3.025 sec/game, 50.2 min. total, 585.6 MB
twistable_tiptoeing v8 512 games, 432899 moves, e=0.571, loss: 14.8, +, 37.9% elo% vs. v6, avg. reward: 0.753, 3.053 sec/game, 50.3 min. total, 586.6 MB
twistable_tiptoeing v8 513 games, 434112 moves, e=0.570, loss: 13.5, -, 36.3% elo% vs. v6, avg. reward: 0.751, 3.065 sec/game, 50.3 min. total, 587.7 MB
twistable_tiptoeing v8 514 games, 435264 moves, e=0.569, loss: 15.1, -, 34.8% elo% vs. v6, avg. reward: 0.755, 3.063 sec/game, 50.4 min. total, 588.0 MB
twistable_tiptoeing v8 515 games, 436267 moves, e=0.568, loss: 14.3, -, 33.3% elo% vs. v6, avg. reward: 0.758, 3.071 sec/game, 50.4 min. total, 588.0 MB
twistable_tiptoeing v8 516 games, 437345 moves, e=0.567, loss: 15.4, +, 36.1% elo% vs. v6, avg. reward: 0.755, 3.089 sec/game, 50.5 min. total, 588.2 MB
twistable_tiptoeing v8 517 games, 438307 moves, e=0.566, loss: 16.9, -, 34.6% elo% vs. v6, avg. reward: 0.756, 12.762 sec/game, 53.7 min. total, 588.4 MB
twistable_tiptoeing v8 518 games, 439438 moves, e=0.565, loss: 17.2, +, 37.4% elo% vs. v6, avg. reward: 0.752, 12.864 sec/game, 53.8 min. total, 588.6 MB
twistable_tiptoeing v8 519 games, 440560 moves, e=0.564, loss: 14.7, -, 35.8% elo% vs. v6, avg. reward: 0.751, 12.928 sec/game, 53.9 min. total, 589.3 MB
twistable_tiptoeing v8 520 games, 441669 moves, e=0.563, loss: 14.5, +, 38.5% elo% vs. v6, avg. reward: 0.750, 12.953 sec/game, 53.9 min. total, 591.2 MB
twistable_tiptoeing v8 521 games, 442766 moves, e=0.562, loss: 13.9, +, 41.3% elo% vs. v6, avg. reward: 0.748, 18.770 sec/game, 55.9 min. total, 590.2 MB
twistable_tiptoeing v8 522 games, 443844 moves, e=0.561, loss: 14.2, -, 39.4% elo% vs. v6, avg. reward: 0.754, 18.777 sec/game, 56.0 min. total, 590.3 MB
twistable_tiptoeing v8 523 games, 444813 moves, e=0.560, loss: 14.6, -, 37.7% elo% vs. v6, avg. reward: 0.754, 18.763 sec/game, 56.0 min. total, 590.3 MB
twistable_tiptoeing v8 524 games, 445857 moves, e=0.559, loss: 15.3, -, 36.1% elo% vs. v6, avg. reward: 0.756, 18.767 sec/game, 56.1 min. total, 591.0 MB
twistable_tiptoeing v8 525 games, 446987 moves, e=0.557, loss: 16.0, -, 34.6% elo% vs. v6, avg. reward: 0.759, 18.761 sec/game, 56.1 min. total, 590.9 MB
twistable_tiptoeing v8 526 games, 448164 moves, e=0.556, loss: 14.7, +, 37.3% elo% vs. v6, avg. reward: 0.757, 18.740 sec/game, 56.2 min. total, 590.9 MB
twistable_tiptoeing v8 527 games, 449124 moves, e=0.555, loss: 14.6, +, 40.1% elo% vs. v6, avg. reward: 0.758, 18.692 sec/game, 56.2 min. total, 591.6 MB
twistable_tiptoeing v8 528 games, 450239 moves, e=0.554, loss: 14.2, -, 38.3% elo% vs. v6, avg. reward: 0.765, 18.648 sec/game, 56.2 min. total, 593.3 MB
twistable_tiptoeing v8 529 games, 451337 moves, e=0.553, loss: 14.9, +, 41.0% elo% vs. v6, avg. reward: 0.771, 18.643 sec/game, 56.3 min. total, 593.4 MB
twistable_tiptoeing v8 530 games, 452486 moves, e=0.552, loss: 15.0, +, 43.7% elo% vs. v6, avg. reward: 0.766, 18.639 sec/game, 56.3 min. total, 593.7 MB
twistable_tiptoeing v8 531 games, 453556 moves, e=0.551, loss: 15.3, +, 46.3% elo% vs. v6, avg. reward: 0.771, 18.592 sec/game, 56.4 min. total, 593.4 MB
twistable_tiptoeing v8 532 games, 454677 moves, e=0.550, loss: 15.4, +, 48.7% elo% vs. v6, avg. reward: 0.774, 18.577 sec/game, 56.4 min. total, 593.5 MB
twistable_tiptoeing v8 533 games, 455867 moves, e=0.549, loss: 15.4, +, 51.1% elo% vs. v6, avg. reward: 0.779, 18.582 sec/game, 56.5 min. total, 594.0 MB
twistable_tiptoeing v8 534 games, 456938 moves, e=0.548, loss: 15.4, -, 48.7% elo% vs. v6, avg. reward: 0.775, 18.573 sec/game, 56.5 min. total, 594.3 MB
twistable_tiptoeing v8 535 games, 458143 moves, e=0.546, loss: 14.2, -, 46.5% elo% vs. v6, avg. reward: 0.774, 18.599 sec/game, 56.6 min. total, 596.6 MB
twistable_tiptoeing v8 536 games, 459421 moves, e=0.545, loss: 14.2, +, 49.0% elo% vs. v6, avg. reward: 0.773, 18.622 sec/game, 56.7 min. total, 597.6 MB
twistable_tiptoeing v8 537 games, 460459 moves, e=0.544, loss: 14.4, +, 51.3% elo% vs. v6, avg. reward: 0.779, 8.974 sec/game, 56.7 min. total, 597.8 MB
twistable_tiptoeing v8 538 games, 461655 moves, e=0.543, loss: 14.8, -, 48.9% elo% vs. v6, avg. reward: 0.781, 8.855 sec/game, 56.8 min. total, 597.8 MB
twistable_tiptoeing v8 539 games, 462698 moves, e=0.542, loss: 15.2, -, 46.7% elo% vs. v6, avg. reward: 0.786, 8.795 sec/game, 56.8 min. total, 599.9 MB
twistable_tiptoeing v8 540 games, 463784 moves, e=0.541, loss: 14.4, -, 44.6% elo% vs. v6, avg. reward: 0.782, 8.793 sec/game, 56.9 min. total, 598.6 MB
twistable_tiptoeing v8 541 games, 464953 moves, e=0.540, loss: 14.0, +, 47.1% elo% vs. v6, avg. reward: 0.785, 3.000 sec/game, 56.9 min. total, 598.7 MB
twistable_tiptoeing v8 542 games, 466103 moves, e=0.539, loss: 13.2, +, 49.5% elo% vs. v6, avg. reward: 0.784, 3.019 sec/game, 57.0 min. total, 598.8 MB
twistable_tiptoeing v8 543 games, 467163 moves, e=0.538, loss: 13.3, ., 49.5% elo% vs. v6, avg. reward: 0.785, 3.029 sec/game, 57.0 min. total, 600.6 MB
twistable_tiptoeing v8 544 games, 468311 moves, e=0.536, loss: 12.4, -, 47.3% elo% vs. v6, avg. reward: 0.790, 3.048 sec/game, 57.1 min. total, 600.3 MB
twistable_tiptoeing v8 545 games, 469342 moves, e=0.535, loss: 13.1, -, 45.1% elo% vs. v6, avg. reward: 0.790, 3.032 sec/game, 57.1 min. total, 600.5 MB
twistable_tiptoeing v8 546 games, 470371 moves, e=0.534, loss: 13.8, +, 47.6% elo% vs. v6, avg. reward: 0.794, 3.016 sec/game, 57.2 min. total, 600.6 MB
twistable_tiptoeing v8 547 games, 471690 moves, e=0.533, loss: 13.6, -, 45.4% elo% vs. v6, avg. reward: 0.800, 3.077 sec/game, 57.2 min. total, 600.9 MB
twistable_tiptoeing v8 548 games, 472884 moves, e=0.532, loss: 14.2, -, 43.4% elo% vs. v6, avg. reward: 0.807, 3.078 sec/game, 57.3 min. total, 601.0 MB
twistable_tiptoeing v8 549 games, 474001 moves, e=0.531, loss: 15.5, -, 41.4% elo% vs. v6, avg. reward: 0.810, 3.079 sec/game, 57.3 min. total, 600.9 MB
twistable_tiptoeing v8 550 games, 475141 moves, e=0.530, loss: 15.9, ., 41.8% elo% vs. v6, avg. reward: 0.811, 3.079 sec/game, 57.4 min. total, 602.1 MB
twistable_tiptoeing v8 551 games, 476263 moves, e=0.528, loss: 16.4, -, 39.9% elo% vs. v6, avg. reward: 0.804, 3.080 sec/game, 57.4 min. total, 604.2 MB
twistable_tiptoeing v8 552 games, 477463 moves, e=0.527, loss: 14.8, -, 38.2% elo% vs. v6, avg. reward: 0.805, 3.141 sec/game, 57.5 min. total, 603.9 MB
twistable_tiptoeing v8 553 games, 478587 moves, e=0.526, loss: 14.3, -, 36.5% elo% vs. v6, avg. reward: 0.804, 3.142 sec/game, 57.5 min. total, 605.7 MB
twistable_tiptoeing v8 554 games, 479819 moves, e=0.525, loss: 14.9, -, 35.0% elo% vs. v6, avg. reward: 0.797, 3.188 sec/game, 57.6 min. total, 603.9 MB
twistable_tiptoeing v8 555 games, 481038 moves, e=0.524, loss: 15.6, +, 37.8% elo% vs. v6, avg. reward: 0.802, 3.192 sec/game, 57.7 min. total, 604.0 MB
twistable_tiptoeing v8 556 games, 482342 moves, e=0.522, loss: 15.2, -, 36.1% elo% vs. v6, avg. reward: 0.806, 3.193 sec/game, 57.7 min. total, 604.0 MB
twistable_tiptoeing v8 557 games, 483454 moves, e=0.521, loss: 15.4, -, 34.6% elo% vs. v6, avg. reward: 0.811, 3.194 sec/game, 57.8 min. total, 604.2 MB
twistable_tiptoeing v8 558 games, 484563 moves, e=0.520, loss: 14.7, -, 33.2% elo% vs. v6, avg. reward: 0.811, 3.215 sec/game, 57.8 min. total, 606.0 MB
twistable_tiptoeing v8 559 games, 485577 moves, e=0.519, loss: 15.0, -, 31.9% elo% vs. v6, avg. reward: 0.811, 3.234 sec/game, 57.9 min. total, 607.2 MB
twistable_tiptoeing v8 560 games, 486582 moves, e=0.518, loss: 14.3, -, 30.6% elo% vs. v6, avg. reward: 0.812, 3.217 sec/game, 57.9 min. total, 607.3 MB
twistable_tiptoeing v8 561 games, 487664 moves, e=0.517, loss: 14.4, +, 33.4% elo% vs. v6, avg. reward: 0.814, 3.188 sec/game, 58.0 min. total, 607.5 MB
twistable_tiptoeing v8 562 games, 488859 moves, e=0.516, loss: 15.0, -, 32.0% elo% vs. v6, avg. reward: 0.812, 3.197 sec/game, 58.0 min. total, 607.4 MB
twistable_tiptoeing v8 563 games, 489916 moves, e=0.515, loss: 15.0, +, 34.8% elo% vs. v6, avg. reward: 0.817, 3.193 sec/game, 58.1 min. total, 608.1 MB
twistable_tiptoeing v8 564 games, 491068 moves, e=0.514, loss: 15.3, -, 33.4% elo% vs. v6, avg. reward: 0.820, 3.186 sec/game, 58.1 min. total, 608.4 MB
twistable_tiptoeing v8 565 games, 492260 moves, e=0.513, loss: 16.4, +, 36.1% elo% vs. v6, avg. reward: 0.823, 3.208 sec/game, 58.2 min. total, 610.0 MB
twistable_tiptoeing v8 566 games, 493384 moves, e=0.512, loss: 15.7, +, 38.9% elo% vs. v6, avg. reward: 0.824, 3.228 sec/game, 58.2 min. total, 612.0 MB
twistable_tiptoeing v8 567 games, 494482 moves, e=0.510, loss: 14.7, -, 37.2% elo% vs. v6, avg. reward: 0.825, 3.198 sec/game, 58.3 min. total, 612.0 MB
twistable_tiptoeing v8 568 games, 495511 moves, e=0.509, loss: 14.9, +, 40.0% elo% vs. v6, avg. reward: 0.823, 3.185 sec/game, 58.3 min. total, 612.2 MB
twistable_tiptoeing v8 569 games, 496574 moves, e=0.508, loss: 15.1, +, 42.6% elo% vs. v6, avg. reward: 0.823, 3.172 sec/game, 58.4 min. total, 612.2 MB
twistable_tiptoeing v8 570 games, 497768 moves, e=0.507, loss: 14.2, -, 40.7% elo% vs. v6, avg. reward: 0.831, 3.172 sec/game, 58.4 min. total, 612.6 MB
twistable_tiptoeing v8 571 games, 499085 moves, e=0.506, loss: 16.5, -, 38.9% elo% vs. v6, avg. reward: 0.840, 3.202 sec/game, 58.5 min. total, 612.9 MB
twistable_tiptoeing v8 572 games, 500461 moves, e=0.505, loss: 15.7, +, 41.6% elo% vs. v6, avg. reward: 0.843, 3.160 sec/game, 58.5 min. total, 614.3 MB
twistable_tiptoeing v8 573 games, 501836 moves, e=0.503, loss: 14.3, +, 44.3% elo% vs. v6, avg. reward: 0.843, 3.190 sec/game, 58.6 min. total, 615.4 MB
twistable_tiptoeing v8 574 games, 502890 moves, e=0.502, loss: 13.3, -, 42.3% elo% vs. v6, avg. reward: 0.851, 3.138 sec/game, 58.7 min. total, 615.4 MB
twistable_tiptoeing v8 575 games, 504094 moves, e=0.501, loss: 13.9, -, 40.4% elo% vs. v6, avg. reward: 0.851, 3.127 sec/game, 58.7 min. total, 617.5 MB
twistable_tiptoeing v8 576 games, 505250 moves, e=0.500, loss: 15.8, -, 38.6% elo% vs. v6, avg. reward: 0.856, 3.100 sec/game, 58.8 min. total, 615.5 MB
twistable_tiptoeing v8 577 games, 506411 moves, e=0.499, loss: 15.8, -, 36.9% elo% vs. v6, avg. reward: 0.863, 3.102 sec/game, 58.8 min. total, 615.7 MB
twistable_tiptoeing v8 578 games, 507620 moves, e=0.497, loss: 15.8, -, 35.4% elo% vs. v6, avg. reward: 0.862, 3.082 sec/game, 58.9 min. total, 618.4 MB
twistable_tiptoeing v8 579 games, 508832 moves, e=0.496, loss: 14.9, -, 33.9% elo% vs. v6, avg. reward: 0.866, 3.092 sec/game, 58.9 min. total, 618.5 MB
twistable_tiptoeing v8 580 games, 510122 moves, e=0.495, loss: 13.9, -, 32.5% elo% vs. v6, avg. reward: 0.866, 3.121 sec/game, 59.0 min. total, 620.1 MB
twistable_tiptoeing v8 581 games, 511380 moves, e=0.494, loss: 13.4, -, 31.2% elo% vs. v6, avg. reward: 0.867, 3.148 sec/game, 59.0 min. total, 620.1 MB
twistable_tiptoeing v8 582 games, 512613 moves, e=0.493, loss: 12.6, -, 30.0% elo% vs. v6, avg. reward: 0.867, 3.131 sec/game, 59.1 min. total, 621.8 MB
twistable_tiptoeing v8 583 games, 513693 moves, e=0.491, loss: 12.7, -, 28.8% elo% vs. v6, avg. reward: 0.869, 3.143 sec/game, 59.1 min. total, 621.9 MB
twistable_tiptoeing v8 584 games, 514756 moves, e=0.490, loss: 12.8, -, 27.8% elo% vs. v6, avg. reward: 0.876, 3.185 sec/game, 59.2 min. total, 622.0 MB
twistable_tiptoeing v8 585 games, 515852 moves, e=0.489, loss: 13.6, -, 26.7% elo% vs. v6, avg. reward: 0.876, 3.217 sec/game, 59.3 min. total, 620.4 MB
twistable_tiptoeing v8 586 games, 517040 moves, e=0.488, loss: 13.6, -, 25.8% elo% vs. v6, avg. reward: 0.876, 3.237 sec/game, 59.3 min. total, 620.9 MB
twistable_tiptoeing v8 587 games, 518309 moves, e=0.487, loss: 12.2, -, 24.9% elo% vs. v6, avg. reward: 0.877, 3.296 sec/game, 59.4 min. total, 627.2 MB
twistable_tiptoeing v8 588 games, 519452 moves, e=0.486, loss: 13.6, +, 27.6% elo% vs. v6, avg. reward: 0.874, 3.340 sec/game, 59.4 min. total, 627.8 MB
twistable_tiptoeing v8 589 games, 520816 moves, e=0.484, loss: 13.2, -, 26.6% elo% vs. v6, avg. reward: 0.878, 3.441 sec/game, 59.5 min. total, 595.2 MB
twistable_tiptoeing v8 590 games, 521957 moves, e=0.483, loss: 13.5, -, 25.6% elo% vs. v6, avg. reward: 0.878, 3.459 sec/game, 59.6 min. total, 595.5 MB
twistable_tiptoeing v8 591 games, 523100 moves, e=0.482, loss: 13.3, -, 24.7% elo% vs. v6, avg. reward: 0.884, 3.434 sec/game, 59.6 min. total, 595.6 MB
twistable_tiptoeing v8 592 games, 524258 moves, e=0.481, loss: 14.0, -, 23.9% elo% vs. v6, avg. reward: 0.879, 3.421 sec/game, 59.7 min. total, 596.0 MB
twistable_tiptoeing v8 593 games, 525447 moves, e=0.480, loss: 13.0, -, 23.1% elo% vs. v6, avg. reward: 0.874, 3.442 sec/game, 59.8 min. total, 596.1 MB
