twistable_tiptoeing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.8 MB
twistable_tiptoeing v1 89 games, 63641 moves, e=0.937, loss: 5.0, -, 28.0% elo% vs. v0, avg. reward: 0.410, 1.872 sec/game, 5.6 min. total, 417.8 MB
twistable_tiptoeing v1 90 games, 64319 moves, e=0.936, loss: 4.3, -, 26.9% elo% vs. v0, avg. reward: 0.411, 1.854 sec/game, 5.6 min. total, 417.6 MB
twistable_tiptoeing v1 91 games, 65052 moves, e=0.936, loss: 4.9, -, 26.0% elo% vs. v0, avg. reward: 0.410, 1.843 sec/game, 5.6 min. total, 418.1 MB
twistable_tiptoeing v1 92 games, 65827 moves, e=0.935, loss: 4.6, +, 28.7% elo% vs. v0, avg. reward: 0.413, 1.870 sec/game, 5.7 min. total, 419.9 MB
twistable_tiptoeing v1 93 games, 66593 moves, e=0.934, loss: 4.7, +, 31.4% elo% vs. v0, avg. reward: 0.416, 1.892 sec/game, 5.7 min. total, 418.0 MB
twistable_tiptoeing v1 94 games, 67226 moves, e=0.933, loss: 5.2, -, 30.2% elo% vs. v0, avg. reward: 0.418, 1.884 sec/game, 5.7 min. total, 418.1 MB
twistable_tiptoeing v1 95 games, 68016 moves, e=0.933, loss: 4.9, -, 29.1% elo% vs. v0, avg. reward: 0.419, 1.900 sec/game, 5.7 min. total, 418.2 MB
twistable_tiptoeing v1 96 games, 68685 moves, e=0.932, loss: 5.5, -, 28.0% elo% vs. v0, avg. reward: 0.421, 1.903 sec/game, 5.8 min. total, 418.3 MB
twistable_tiptoeing v1 97 games, 69310 moves, e=0.931, loss: 5.8, -, 26.9% elo% vs. v0, avg. reward: 0.421, 1.898 sec/game, 5.8 min. total, 419.7 MB
twistable_tiptoeing v1 98 games, 70082 moves, e=0.931, loss: 5.9, -, 26.0% elo% vs. v0, avg. reward: 0.425, 1.900 sec/game, 5.8 min. total, 422.7 MB
twistable_tiptoeing v1 99 games, 70702 moves, e=0.930, loss: 6.4, -, 25.1% elo% vs. v0, avg. reward: 0.424, 1.907 sec/game, 5.9 min. total, 421.0 MB
twistable_tiptoeing v1 100 games, 71406 moves, e=0.929, loss: 6.6, +, 27.7% elo% vs. v0, avg. reward: 0.425, 1.900 sec/game, 5.9 min. total, 423.2 MB
twistable_tiptoeing v2 101 games, 72118 moves, e=0.929, loss: 6.1, -, 47.7% elo% vs. v0, avg. reward: 0.430, 1.853 sec/game, 5.9 min. total, 423.4 MB
twistable_tiptoeing v2 102 games, 72895 moves, e=0.928, loss: 5.4, +, 50.1% elo% vs. v0, avg. reward: 0.432, 1.827 sec/game, 5.9 min. total, 421.6 MB
twistable_tiptoeing v2 103 games, 73623 moves, e=0.927, loss: 6.2, +, 52.4% elo% vs. v0, avg. reward: 0.430, 1.830 sec/game, 6.0 min. total, 421.7 MB
twistable_tiptoeing v2 104 games, 74409 moves, e=0.926, loss: 6.0, -, 50.0% elo% vs. v0, avg. reward: 0.423, 1.841 sec/game, 6.0 min. total, 421.7 MB
twistable_tiptoeing v2 105 games, 75154 moves, e=0.926, loss: 5.5, -, 47.7% elo% vs. v0, avg. reward: 0.428, 1.842 sec/game, 6.0 min. total, 422.9 MB
twistable_tiptoeing v2 106 games, 75910 moves, e=0.925, loss: 5.1, +, 50.1% elo% vs. v0, avg. reward: 0.423, 1.857 sec/game, 6.1 min. total, 424.4 MB
twistable_tiptoeing v2 107 games, 76692 moves, e=0.924, loss: 5.1, -, 47.8% elo% vs. v0, avg. reward: 0.420, 1.863 sec/game, 6.1 min. total, 424.6 MB
twistable_tiptoeing v2 108 games, 77337 moves, e=0.923, loss: 4.7, -, 45.6% elo% vs. v0, avg. reward: 0.417, 1.829 sec/game, 6.1 min. total, 424.7 MB
twistable_tiptoeing v2 109 games, 78145 moves, e=0.923, loss: 5.1, -, 43.5% elo% vs. v0, avg. reward: 0.414, 1.822 sec/game, 6.2 min. total, 424.6 MB
twistable_tiptoeing v2 110 games, 78869 moves, e=0.922, loss: 5.8, -, 41.6% elo% vs. v0, avg. reward: 0.418, 1.832 sec/game, 6.2 min. total, 424.6 MB
twistable_tiptoeing v2 111 games, 79599 moves, e=0.921, loss: 5.3, ., 41.9% elo% vs. v0, avg. reward: 0.420, 1.815 sec/game, 6.2 min. total, 424.7 MB
twistable_tiptoeing v2 112 games, 80291 moves, e=0.921, loss: 5.0, -, 40.1% elo% vs. v0, avg. reward: 0.423, 1.799 sec/game, 6.3 min. total, 424.6 MB
twistable_tiptoeing v2 113 games, 81037 moves, e=0.920, loss: 4.7, -, 38.3% elo% vs. v0, avg. reward: 0.425, 1.791 sec/game, 6.3 min. total, 426.7 MB
twistable_tiptoeing v2 114 games, 81688 moves, e=0.919, loss: 4.3, -, 36.7% elo% vs. v0, avg. reward: 0.425, 1.789 sec/game, 6.3 min. total, 425.9 MB
twistable_tiptoeing v2 115 games, 82380 moves, e=0.918, loss: 4.3, +, 39.4% elo% vs. v0, avg. reward: 0.429, 1.764 sec/game, 6.3 min. total, 427.4 MB
twistable_tiptoeing v2 116 games, 83031 moves, e=0.918, loss: 4.6, -, 37.7% elo% vs. v0, avg. reward: 0.429, 1.760 sec/game, 6.4 min. total, 427.8 MB
twistable_tiptoeing v2 117 games, 83702 moves, e=0.917, loss: 5.0, -, 36.1% elo% vs. v0, avg. reward: 0.429, 1.775 sec/game, 6.4 min. total, 427.4 MB
twistable_tiptoeing v2 118 games, 84419 moves, e=0.916, loss: 5.3, ., 36.7% elo% vs. v0, avg. reward: 0.426, 1.772 sec/game, 6.4 min. total, 427.4 MB
twistable_tiptoeing v2 119 games, 85182 moves, e=0.916, loss: 5.7, -, 35.1% elo% vs. v0, avg. reward: 0.426, 1.784 sec/game, 6.5 min. total, 427.6 MB
twistable_tiptoeing v2 120 games, 85959 moves, e=0.915, loss: 5.5, +, 37.9% elo% vs. v0, avg. reward: 0.424, 1.795 sec/game, 6.5 min. total, 428.1 MB
twistable_tiptoeing v2 121 games, 86651 moves, e=0.914, loss: 5.3, +, 40.6% elo% vs. v0, avg. reward: 0.421, 1.781 sec/game, 6.5 min. total, 428.0 MB
twistable_tiptoeing v2 122 games, 87352 moves, e=0.914, loss: 5.6, +, 43.3% elo% vs. v0, avg. reward: 0.422, 1.812 sec/game, 6.5 min. total, 430.2 MB
twistable_tiptoeing v2 123 games, 88050 moves, e=0.913, loss: 5.3, -, 41.3% elo% vs. v0, avg. reward: 0.422, 1.795 sec/game, 6.6 min. total, 432.1 MB
twistable_tiptoeing v2 124 games, 88837 moves, e=0.912, loss: 5.6, -, 39.5% elo% vs. v0, avg. reward: 0.424, 1.807 sec/game, 6.6 min. total, 431.3 MB
twistable_tiptoeing v2 125 games, 89619 moves, e=0.911, loss: 6.1, +, 42.2% elo% vs. v0, avg. reward: 0.423, 1.809 sec/game, 6.6 min. total, 431.7 MB
twistable_tiptoeing v2 126 games, 90267 moves, e=0.911, loss: 5.9, +, 44.8% elo% vs. v0, avg. reward: 0.428, 1.794 sec/game, 6.7 min. total, 429.9 MB
twistable_tiptoeing v2 127 games, 91075 moves, e=0.910, loss: 5.8, +, 47.3% elo% vs. v0, avg. reward: 0.431, 1.789 sec/game, 6.7 min. total, 429.7 MB
twistable_tiptoeing v2 128 games, 91916 moves, e=0.909, loss: 6.0, +, 49.8% elo% vs. v0, avg. reward: 0.434, 1.820 sec/game, 6.7 min. total, 430.2 MB
