many_mutilated v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.2 MB
many_mutilated v3 91 games, 66424 moves, e=0.934, loss: 6.0, -, 10.6% elo% vs. random_no_suicide, avg. reward: -9.634, 1.469 sec/game, 1.8 min. total, 475.5 MB
many_mutilated v3 92 games, 67203 moves, e=0.933, loss: 5.9, -, 10.5% elo% vs. random_no_suicide, avg. reward: -9.625, 1.467 sec/game, 1.8 min. total, 475.7 MB
many_mutilated v3 93 games, 67882 moves, e=0.933, loss: 5.9, -, 10.3% elo% vs. random_no_suicide, avg. reward: -9.634, 1.474 sec/game, 1.9 min. total, 475.7 MB
many_mutilated v3 94 games, 68682 moves, e=0.932, loss: 5.7, -, 10.1% elo% vs. random_no_suicide, avg. reward: -9.621, 1.468 sec/game, 1.9 min. total, 476.1 MB
many_mutilated v3 95 games, 69429 moves, e=0.931, loss: 5.6, -, 9.9% elo% vs. random_no_suicide, avg. reward: -9.619, 1.478 sec/game, 1.9 min. total, 476.4 MB
many_mutilated v3 96 games, 70165 moves, e=0.931, loss: 5.6, -, 9.8% elo% vs. random_no_suicide, avg. reward: -9.620, 1.468 sec/game, 1.9 min. total, 476.0 MB
many_mutilated v3 97 games, 70982 moves, e=0.930, loss: 5.3, -, 9.6% elo% vs. random_no_suicide, avg. reward: -9.610, 1.469 sec/game, 2.0 min. total, 476.1 MB
many_mutilated v3 98 games, 71700 moves, e=0.929, loss: 5.3, -, 9.5% elo% vs. random_no_suicide, avg. reward: -9.607, 1.480 sec/game, 2.0 min. total, 476.3 MB
many_mutilated v3 99 games, 72380 moves, e=0.928, loss: 5.3, -, 9.3% elo% vs. random_no_suicide, avg. reward: -9.615, 1.467 sec/game, 2.0 min. total, 477.3 MB
many_mutilated v3 100 games, 73150 moves, e=0.928, loss: 5.6, -, 9.2% elo% vs. random_no_suicide, avg. reward: -9.611, 1.469 sec/game, 2.0 min. total, 479.1 MB
many_mutilated v4 101 games, 73914 moves, e=0.927, loss: 5.9, -, 47.7% elo% vs. random_no_suicide, avg. reward: -9.599, 1.476 sec/game, 2.0 min. total, 479.3 MB
many_mutilated v4 102 games, 74535 moves, e=0.926, loss: 5.9, -, 45.5% elo% vs. random_no_suicide, avg. reward: -9.620, 1.455 sec/game, 2.1 min. total, 478.9 MB
many_mutilated v4 103 games, 75226 moves, e=0.926, loss: 5.8, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.636, 1.432 sec/game, 2.1 min. total, 479.0 MB
many_mutilated v4 104 games, 75989 moves, e=0.925, loss: 5.8, -, 41.5% elo% vs. random_no_suicide, avg. reward: -9.634, 1.431 sec/game, 2.1 min. total, 479.1 MB
many_mutilated v4 105 games, 76739 moves, e=0.924, loss: 5.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.631, 1.432 sec/game, 2.1 min. total, 479.3 MB
many_mutilated v4 106 games, 77527 moves, e=0.923, loss: 5.6, -, 37.9% elo% vs. random_no_suicide, avg. reward: -9.615, 1.443 sec/game, 2.2 min. total, 479.5 MB
many_mutilated v4 107 games, 78361 moves, e=0.922, loss: 5.8, -, 36.3% elo% vs. random_no_suicide, avg. reward: -9.604, 1.455 sec/game, 2.2 min. total, 479.3 MB
many_mutilated v4 108 games, 79056 moves, e=0.922, loss: 5.6, -, 34.8% elo% vs. random_no_suicide, avg. reward: -9.601, 1.433 sec/game, 2.2 min. total, 479.6 MB
many_mutilated v4 109 games, 79896 moves, e=0.921, loss: 5.8, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.590, 1.458 sec/game, 2.2 min. total, 481.4 MB
many_mutilated v4 110 games, 80710 moves, e=0.920, loss: 5.7, -, 32.0% elo% vs. random_no_suicide, avg. reward: -9.575, 1.453 sec/game, 2.3 min. total, 481.2 MB
many_mutilated v4 111 games, 81410 moves, e=0.919, loss: 5.7, -, 30.7% elo% vs. random_no_suicide, avg. reward: -9.577, 1.440 sec/game, 2.3 min. total, 481.1 MB
many_mutilated v4 112 games, 82154 moves, e=0.919, loss: 5.5, -, 29.5% elo% vs. random_no_suicide, avg. reward: -9.572, 1.421 sec/game, 2.3 min. total, 481.1 MB
many_mutilated v4 113 games, 82893 moves, e=0.918, loss: 5.6, +, 32.3% elo% vs. random_no_suicide, avg. reward: -9.548, 1.425 sec/game, 2.3 min. total, 476.4 MB
many_mutilated v4 114 games, 83535 moves, e=0.917, loss: 5.8, -, 31.0% elo% vs. random_no_suicide, avg. reward: -9.549, 1.413 sec/game, 2.4 min. total, 481.2 MB
many_mutilated v4 115 games, 84387 moves, e=0.916, loss: 6.0, -, 29.8% elo% vs. random_no_suicide, avg. reward: -9.529, 1.427 sec/game, 2.4 min. total, 481.4 MB
many_mutilated v4 116 games, 85148 moves, e=0.916, loss: 6.2, -, 28.7% elo% vs. random_no_suicide, avg. reward: -9.526, 1.427 sec/game, 2.4 min. total, 481.3 MB
many_mutilated v4 117 games, 85892 moves, e=0.915, loss: 5.7, -, 27.6% elo% vs. random_no_suicide, avg. reward: -9.511, 1.427 sec/game, 2.4 min. total, 481.1 MB
many_mutilated v4 118 games, 86690 moves, e=0.914, loss: 5.7, -, 26.6% elo% vs. random_no_suicide, avg. reward: -9.492, 1.430 sec/game, 2.5 min. total, 482.3 MB
many_mutilated v4 119 games, 87506 moves, e=0.913, loss: 5.8, -, 25.6% elo% vs. random_no_suicide, avg. reward: -9.469, 1.450 sec/game, 2.5 min. total, 481.9 MB
many_mutilated v4 120 games, 88214 moves, e=0.913, loss: 6.0, -, 24.7% elo% vs. random_no_suicide, avg. reward: -9.483, 1.448 sec/game, 2.5 min. total, 481.9 MB
many_mutilated v4 121 games, 89137 moves, e=0.912, loss: 5.8, -, 23.9% elo% vs. random_no_suicide, avg. reward: -9.465, 1.454 sec/game, 2.5 min. total, 482.0 MB
many_mutilated v4 122 games, 89959 moves, e=0.911, loss: 5.9, -, 23.1% elo% vs. random_no_suicide, avg. reward: -9.445, 1.470 sec/game, 2.6 min. total, 482.7 MB
many_mutilated v4 123 games, 90725 moves, e=0.910, loss: 6.0, -, 22.4% elo% vs. random_no_suicide, avg. reward: -9.420, 1.482 sec/game, 2.6 min. total, 483.4 MB
many_mutilated v4 124 games, 91401 moves, e=0.910, loss: 6.0, -, 21.7% elo% vs. random_no_suicide, avg. reward: -9.420, 1.482 sec/game, 2.6 min. total, 479.2 MB
many_mutilated v4 125 games, 92232 moves, e=0.909, loss: 6.1, -, 21.0% elo% vs. random_no_suicide, avg. reward: -9.398, 1.484 sec/game, 2.6 min. total, 484.5 MB
many_mutilated v4 126 games, 93080 moves, e=0.908, loss: 5.9, -, 20.4% elo% vs. random_no_suicide, avg. reward: -9.389, 1.495 sec/game, 2.7 min. total, 486.1 MB
many_mutilated v4 127 games, 93799 moves, e=0.907, loss: 5.7, -, 19.8% elo% vs. random_no_suicide, avg. reward: -9.395, 1.476 sec/game, 2.7 min. total, 486.4 MB
many_mutilated v4 128 games, 94658 moves, e=0.906, loss: 5.7, -, 19.2% elo% vs. random_no_suicide, avg. reward: -9.393, 1.499 sec/game, 2.7 min. total, 486.9 MB
many_mutilated v4 129 games, 95340 moves, e=0.906, loss: 5.6, ., 20.1% elo% vs. random_no_suicide, avg. reward: -9.393, 1.480 sec/game, 2.7 min. total, 484.6 MB
many_mutilated v4 130 games, 96054 moves, e=0.905, loss: 5.5, -, 19.5% elo% vs. random_no_suicide, avg. reward: -9.391, 1.478 sec/game, 2.8 min. total, 489.1 MB
many_mutilated v4 131 games, 96860 moves, e=0.904, loss: 5.3, -, 18.9% elo% vs. random_no_suicide, avg. reward: -9.372, 1.481 sec/game, 2.8 min. total, 484.3 MB
many_mutilated v4 132 games, 97585 moves, e=0.903, loss: 5.5, -, 18.4% elo% vs. random_no_suicide, avg. reward: -9.389, 1.496 sec/game, 2.8 min. total, 489.2 MB
many_mutilated v4 133 games, 98314 moves, e=0.903, loss: 5.6, -, 17.9% elo% vs. random_no_suicide, avg. reward: -9.394, 1.500 sec/game, 2.8 min. total, 489.6 MB
many_mutilated v4 134 games, 99104 moves, e=0.902, loss: 5.4, -, 17.4% elo% vs. random_no_suicide, avg. reward: -9.385, 1.513 sec/game, 2.9 min. total, 490.3 MB
many_mutilated v4 135 games, 99886 moves, e=0.901, loss: 5.1, -, 17.0% elo% vs. random_no_suicide, avg. reward: -9.382, 1.501 sec/game, 2.9 min. total, 485.5 MB
many_mutilated v4 136 games, 100726 moves, e=0.900, loss: 5.4, -, 16.5% elo% vs. random_no_suicide, avg. reward: -9.374, 1.509 sec/game, 2.9 min. total, 491.3 MB
many_mutilated v4 137 games, 101454 moves, e=0.900, loss: 5.2, -, 16.1% elo% vs. random_no_suicide, avg. reward: -9.362, 1.509 sec/game, 2.9 min. total, 493.4 MB
many_mutilated v4 138 games, 102120 moves, e=0.899, loss: 5.1, -, 15.7% elo% vs. random_no_suicide, avg. reward: -9.363, 1.498 sec/game, 3.0 min. total, 493.9 MB
many_mutilated v4 139 games, 102881 moves, e=0.898, loss: 4.9, -, 15.3% elo% vs. random_no_suicide, avg. reward: -9.344, 1.492 sec/game, 3.0 min. total, 494.4 MB
many_mutilated v4 140 games, 103625 moves, e=0.897, loss: 5.0, -, 15.0% elo% vs. random_no_suicide, avg. reward: -9.326, 1.493 sec/game, 3.0 min. total, 490.0 MB
many_mutilated v4 141 games, 104491 moves, e=0.897, loss: 5.2, +, 17.1% elo% vs. random_no_suicide, avg. reward: -9.320, 1.494 sec/game, 3.0 min. total, 490.2 MB
many_mutilated v4 142 games, 105301 moves, e=0.896, loss: 5.1, -, 16.6% elo% vs. random_no_suicide, avg. reward: -9.316, 1.493 sec/game, 3.1 min. total, 490.0 MB
many_mutilated v4 143 games, 106103 moves, e=0.895, loss: 5.0, -, 16.2% elo% vs. random_no_suicide, avg. reward: -9.302, 1.495 sec/game, 3.1 min. total, 494.7 MB
many_mutilated v4 144 games, 106853 moves, e=0.894, loss: 5.1, -, 15.8% elo% vs. random_no_suicide, avg. reward: -9.297, 1.497 sec/game, 3.1 min. total, 495.0 MB
many_mutilated v4 145 games, 107758 moves, e=0.893, loss: 4.9, -, 15.4% elo% vs. random_no_suicide, avg. reward: -9.259, 1.509 sec/game, 3.1 min. total, 495.0 MB
many_mutilated v4 146 games, 108675 moves, e=0.892, loss: 4.9, -, 15.1% elo% vs. random_no_suicide, avg. reward: -9.244, 1.524 sec/game, 3.2 min. total, 495.8 MB
many_mutilated v4 147 games, 109387 moves, e=0.892, loss: 5.0, -, 14.7% elo% vs. random_no_suicide, avg. reward: -9.252, 1.530 sec/game, 3.2 min. total, 492.7 MB
many_mutilated v4 148 games, 110183 moves, e=0.891, loss: 5.2, -, 14.4% elo% vs. random_no_suicide, avg. reward: -9.246, 1.519 sec/game, 3.2 min. total, 496.8 MB
