grappling_amnesty v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.4 MB
grappling_amnesty v5 126 games, 91858 moves, e=0.909, loss: 2.7, -, 34.7% elo% vs. simple_bot, avg. reward: -6.347, 1.186 sec/game, 2.0 min. total, 451.8 MB
grappling_amnesty v5 127 games, 92645 moves, e=0.908, loss: 2.8, -, 33.3% elo% vs. simple_bot, avg. reward: -6.338, 1.180 sec/game, 2.0 min. total, 450.4 MB
grappling_amnesty v5 128 games, 93302 moves, e=0.908, loss: 2.6, -, 31.9% elo% vs. simple_bot, avg. reward: -6.357, 1.178 sec/game, 2.1 min. total, 452.3 MB
grappling_amnesty v5 129 games, 94231 moves, e=0.907, loss: 2.7, -, 30.6% elo% vs. simple_bot, avg. reward: -6.346, 1.215 sec/game, 2.1 min. total, 451.9 MB
grappling_amnesty v5 130 games, 94877 moves, e=0.906, loss: 2.8, -, 29.5% elo% vs. simple_bot, avg. reward: -6.357, 1.201 sec/game, 2.1 min. total, 451.9 MB
grappling_amnesty v5 131 games, 95642 moves, e=0.905, loss: 2.8, -, 28.3% elo% vs. simple_bot, avg. reward: -6.341, 1.212 sec/game, 2.1 min. total, 451.4 MB
grappling_amnesty v5 132 games, 96349 moves, e=0.905, loss: 2.6, -, 27.3% elo% vs. simple_bot, avg. reward: -6.338, 1.223 sec/game, 2.1 min. total, 451.2 MB
grappling_amnesty v5 133 games, 97080 moves, e=0.904, loss: 2.7, -, 26.3% elo% vs. simple_bot, avg. reward: -6.325, 1.226 sec/game, 2.2 min. total, 451.2 MB
grappling_amnesty v5 134 games, 97797 moves, e=0.903, loss: 2.8, -, 25.4% elo% vs. simple_bot, avg. reward: -6.328, 1.250 sec/game, 2.2 min. total, 453.3 MB
grappling_amnesty v5 135 games, 98430 moves, e=0.903, loss: 2.9, -, 24.5% elo% vs. simple_bot, avg. reward: -6.331, 1.243 sec/game, 2.2 min. total, 451.7 MB
grappling_amnesty v5 136 games, 99193 moves, e=0.902, loss: 2.9, -, 23.7% elo% vs. simple_bot, avg. reward: -6.334, 1.249 sec/game, 2.2 min. total, 453.4 MB
grappling_amnesty v5 137 games, 99911 moves, e=0.901, loss: 2.9, -, 22.9% elo% vs. simple_bot, avg. reward: -6.333, 1.261 sec/game, 2.3 min. total, 455.2 MB
grappling_amnesty v5 138 games, 100785 moves, e=0.900, loss: 2.9, -, 22.2% elo% vs. simple_bot, avg. reward: -6.331, 1.270 sec/game, 2.3 min. total, 455.7 MB
grappling_amnesty v5 139 games, 101547 moves, e=0.899, loss: 3.0, -, 21.5% elo% vs. simple_bot, avg. reward: -6.322, 1.289 sec/game, 2.3 min. total, 456.1 MB
grappling_amnesty v5 140 games, 102437 moves, e=0.899, loss: 3.0, -, 20.8% elo% vs. simple_bot, avg. reward: -6.307, 1.308 sec/game, 2.3 min. total, 455.1 MB
grappling_amnesty v5 141 games, 103250 moves, e=0.898, loss: 2.7, -, 20.2% elo% vs. simple_bot, avg. reward: -6.263, 1.309 sec/game, 2.4 min. total, 455.9 MB
grappling_amnesty v5 142 games, 104008 moves, e=0.897, loss: 2.9, -, 19.6% elo% vs. simple_bot, avg. reward: -6.268, 1.323 sec/game, 2.4 min. total, 456.4 MB
grappling_amnesty v5 143 games, 104774 moves, e=0.896, loss: 2.8, -, 19.0% elo% vs. simple_bot, avg. reward: -6.257, 1.328 sec/game, 2.4 min. total, 456.4 MB
grappling_amnesty v5 144 games, 105495 moves, e=0.896, loss: 2.8, -, 18.5% elo% vs. simple_bot, avg. reward: -6.256, 1.328 sec/game, 2.4 min. total, 456.0 MB
grappling_amnesty v5 145 games, 106225 moves, e=0.895, loss: 3.0, -, 18.0% elo% vs. simple_bot, avg. reward: -6.260, 1.316 sec/game, 2.4 min. total, 455.3 MB
