frenzy_eggnog v2 126 games, 54713 moves, e=0.946, loss: nan, -, 30.1% elo% vs. random_bot, avg. reward: -12.270, 0.251 sec/game, 0.5 min. total, 502.2 MB
frenzy_eggnog v2 128 games, 55439 moves, e=0.945, loss: nan, -, 28.9% elo% vs. random_bot, avg. reward: -12.308, 0.249 sec/game, 0.5 min. total, 504.0 MB
frenzy_eggnog v2 130 games, 56213 moves, e=0.944, loss: nan, -, 27.8% elo% vs. random_bot, avg. reward: -12.380, 0.248 sec/game, 0.5 min. total, 506.1 MB
frenzy_eggnog v2 132 games, 56944 moves, e=0.944, loss: nan, -, 26.8% elo% vs. random_bot, avg. reward: -12.424, 0.248 sec/game, 0.5 min. total, 508.6 MB
frenzy_eggnog v2 134 games, 57625 moves, e=0.943, loss: nan, -, 25.9% elo% vs. random_bot, avg. reward: -12.473, 0.247 sec/game, 0.5 min. total, 510.8 MB
frenzy_eggnog v2 136 games, 58444 moves, e=0.942, loss: nan, -, 25.0% elo% vs. random_bot, avg. reward: -12.479, 0.247 sec/game, 0.6 min. total, 514.6 MB
frenzy_eggnog v2 138 games, 59162 moves, e=0.941, loss: nan, -, 24.1% elo% vs. random_bot, avg. reward: -12.521, 0.247 sec/game, 0.6 min. total, 517.0 MB
frenzy_eggnog v2 140 games, 59881 moves, e=0.941, loss: nan, ., 25.0% elo% vs. random_bot, avg. reward: -12.560, 0.246 sec/game, 0.6 min. total, 520.3 MB
frenzy_eggnog v2 142 games, 60699 moves, e=0.940, loss: nan, -, 24.1% elo% vs. random_bot, avg. reward: -12.592, 0.247 sec/game, 0.6 min. total, 521.1 MB
frenzy_eggnog v2 144 games, 61374 moves, e=0.939, loss: nan, -, 23.3% elo% vs. random_bot, avg. reward: -12.714, 0.247 sec/game, 0.6 min. total, 522.8 MB
frenzy_eggnog v2 146 games, 62113 moves, e=0.939, loss: nan, -, 22.6% elo% vs. random_bot, avg. reward: -12.782, 0.248 sec/game, 0.6 min. total, 524.5 MB
frenzy_eggnog v2 148 games, 62778 moves, e=0.938, loss: nan, -, 21.9% elo% vs. random_bot, avg. reward: -12.873, 0.246 sec/game, 0.6 min. total, 526.3 MB
frenzy_eggnog v2 150 games, 63453 moves, e=0.937, loss: nan, -, 21.2% elo% vs. random_bot, avg. reward: -12.939, 0.247 sec/game, 0.6 min. total, 528.1 MB
frenzy_eggnog v2 152 games, 64122 moves, e=0.937, loss: nan, -, 20.5% elo% vs. random_bot, avg. reward: -13.018, 0.246 sec/game, 0.6 min. total, 530.7 MB
frenzy_eggnog v2 154 games, 64799 moves, e=0.936, loss: nan, -, 19.9% elo% vs. random_bot, avg. reward: -13.098, 0.246 sec/game, 0.6 min. total, 533.5 MB
frenzy_eggnog v2 156 games, 65505 moves, e=0.935, loss: nan, -, 19.3% elo% vs. random_bot, avg. reward: -13.157, 0.245 sec/game, 0.6 min. total, 536.7 MB
frenzy_eggnog v2 158 games, 66249 moves, e=0.934, loss: nan, -, 18.8% elo% vs. random_bot, avg. reward: -13.197, 0.246 sec/game, 0.6 min. total, 540.9 MB
