unlinked_crunching v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
unlinked_crunching v4 133 games, 98198 moves, e=0.903, loss: 869.0, -, 15.4% elo% vs. random_no_suicide, avg. reward: 11.583, 1.462 sec/game, 2.8 min. total, 456.6 MB
unlinked_crunching v4 134 games, 98972 moves, e=0.902, loss: 898.7, -, 15.1% elo% vs. random_no_suicide, avg. reward: 11.590, 1.469 sec/game, 2.9 min. total, 457.1 MB
unlinked_crunching v4 135 games, 99736 moves, e=0.901, loss: 938.0, -, 14.7% elo% vs. random_no_suicide, avg. reward: 11.589, 1.481 sec/game, 2.9 min. total, 457.1 MB
unlinked_crunching v4 136 games, 100579 moves, e=0.900, loss: 896.4, -, 14.4% elo% vs. random_no_suicide, avg. reward: 11.610, 1.485 sec/game, 2.9 min. total, 456.7 MB
unlinked_crunching v4 137 games, 101397 moves, e=0.900, loss: 888.5, -, 14.0% elo% vs. random_no_suicide, avg. reward: 11.607, 1.506 sec/game, 2.9 min. total, 457.2 MB
unlinked_crunching v4 138 games, 102077 moves, e=0.899, loss: 955.3, -, 13.7% elo% vs. random_no_suicide, avg. reward: 11.613, 1.505 sec/game, 3.0 min. total, 457.8 MB
unlinked_crunching v4 139 games, 102874 moves, e=0.898, loss: 946.9, -, 13.4% elo% vs. random_no_suicide, avg. reward: 11.602, 1.498 sec/game, 3.0 min. total, 458.1 MB
unlinked_crunching v4 140 games, 103696 moves, e=0.897, loss: 991.3, -, 13.1% elo% vs. random_no_suicide, avg. reward: 11.605, 1.508 sec/game, 3.0 min. total, 457.9 MB
unlinked_crunching v4 141 games, 104361 moves, e=0.897, loss: 931.2, -, 12.9% elo% vs. random_no_suicide, avg. reward: 11.610, 1.509 sec/game, 3.0 min. total, 457.5 MB
unlinked_crunching v4 142 games, 105116 moves, e=0.896, loss: 949.1, -, 12.6% elo% vs. random_no_suicide, avg. reward: 11.614, 1.502 sec/game, 3.1 min. total, 457.7 MB
unlinked_crunching v4 143 games, 105940 moves, e=0.895, loss: 974.7, -, 12.4% elo% vs. random_no_suicide, avg. reward: 11.656, 1.501 sec/game, 3.1 min. total, 458.2 MB
unlinked_crunching v4 144 games, 106684 moves, e=0.894, loss: 1041.4, -, 12.1% elo% vs. random_no_suicide, avg. reward: 11.691, 1.500 sec/game, 3.1 min. total, 458.4 MB
