kerosene_tinderbox v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.8 MB
kerosene_tinderbox v2 139 games, 99644 moves, e=0.901, loss: 1479.6, -, 43.1% elo% vs. v0, avg. reward: 8.419, 1.658 sec/game, 3.3 min. total, 440.5 MB
kerosene_tinderbox v2 140 games, 100363 moves, e=0.901, loss: 1481.1, -, 41.2% elo% vs. v0, avg. reward: 8.453, 1.671 sec/game, 3.4 min. total, 441.1 MB
kerosene_tinderbox v2 141 games, 101266 moves, e=0.900, loss: 1553.9, -, 39.4% elo% vs. v0, avg. reward: 8.515, 1.686 sec/game, 3.4 min. total, 441.6 MB
kerosene_tinderbox v2 142 games, 101990 moves, e=0.899, loss: 1503.3, +, 42.1% elo% vs. v0, avg. reward: 8.754, 1.688 sec/game, 3.4 min. total, 443.8 MB
kerosene_tinderbox v2 143 games, 102709 moves, e=0.898, loss: 1438.8, +, 44.7% elo% vs. v0, avg. reward: 8.930, 1.676 sec/game, 3.5 min. total, 446.6 MB
kerosene_tinderbox v2 144 games, 103432 moves, e=0.898, loss: 1482.1, -, 42.7% elo% vs. v0, avg. reward: 8.976, 1.688 sec/game, 3.5 min. total, 444.7 MB
kerosene_tinderbox v2 145 games, 104156 moves, e=0.897, loss: 1286.8, -, 40.8% elo% vs. v0, avg. reward: 8.944, 1.677 sec/game, 3.5 min. total, 444.7 MB
kerosene_tinderbox v2 146 games, 104931 moves, e=0.896, loss: 1273.9, +, 43.4% elo% vs. v0, avg. reward: 8.943, 1.681 sec/game, 3.5 min. total, 444.9 MB
kerosene_tinderbox v2 147 games, 105672 moves, e=0.895, loss: 1416.2, +, 46.0% elo% vs. v0, avg. reward: 8.917, 1.678 sec/game, 3.6 min. total, 446.9 MB
kerosene_tinderbox v2 148 games, 106473 moves, e=0.895, loss: 1552.2, +, 48.5% elo% vs. v0, avg. reward: 8.884, 1.684 sec/game, 3.6 min. total, 444.3 MB
