moocher_shakable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.0 MB
moocher_shakable v4 119 games, 87546 moves, e=0.913, loss: 5.5, -, 39.4% elo% vs. random_no_suicide, avg. reward: -9.537, 2.537 sec/game, 4.2 min. total, 413.2 MB
moocher_shakable v4 120 games, 88284 moves, e=0.913, loss: 5.1, -, 37.7% elo% vs. random_no_suicide, avg. reward: -9.536, 2.562 sec/game, 4.3 min. total, 414.2 MB
moocher_shakable v4 121 games, 89135 moves, e=0.912, loss: 4.9, -, 36.1% elo% vs. random_no_suicide, avg. reward: -9.519, 2.550 sec/game, 4.3 min. total, 415.6 MB
moocher_shakable v4 122 games, 89867 moves, e=0.911, loss: 5.1, -, 34.6% elo% vs. random_no_suicide, avg. reward: -9.526, 2.585 sec/game, 4.4 min. total, 417.7 MB
moocher_shakable v4 123 games, 90607 moves, e=0.910, loss: 5.2, +, 37.3% elo% vs. random_no_suicide, avg. reward: -9.524, 2.574 sec/game, 4.4 min. total, 417.7 MB
moocher_shakable v4 124 games, 91383 moves, e=0.910, loss: 5.1, -, 35.7% elo% vs. random_no_suicide, avg. reward: -9.521, 2.594 sec/game, 4.5 min. total, 417.6 MB
moocher_shakable v4 125 games, 92166 moves, e=0.909, loss: 4.8, -, 34.2% elo% vs. random_no_suicide, avg. reward: -9.518, 2.626 sec/game, 4.5 min. total, 417.8 MB
moocher_shakable v4 126 games, 92927 moves, e=0.908, loss: 4.7, -, 32.8% elo% vs. random_no_suicide, avg. reward: -9.525, 2.627 sec/game, 4.5 min. total, 417.8 MB
moocher_shakable v4 127 games, 93692 moves, e=0.907, loss: 4.7, -, 31.5% elo% vs. random_no_suicide, avg. reward: -9.542, 2.636 sec/game, 4.6 min. total, 418.1 MB
moocher_shakable v4 128 games, 94361 moves, e=0.907, loss: 4.8, -, 30.3% elo% vs. random_no_suicide, avg. reward: -9.548, 2.649 sec/game, 4.6 min. total, 418.3 MB
moocher_shakable v4 129 games, 95089 moves, e=0.906, loss: 4.9, -, 29.1% elo% vs. random_no_suicide, avg. reward: -9.550, 2.618 sec/game, 4.7 min. total, 418.3 MB
moocher_shakable v4 130 games, 95898 moves, e=0.905, loss: 5.0, -, 28.0% elo% vs. random_no_suicide, avg. reward: -9.538, 2.631 sec/game, 4.7 min. total, 418.5 MB
moocher_shakable v4 131 games, 96672 moves, e=0.904, loss: 5.3, -, 27.0% elo% vs. random_no_suicide, avg. reward: -9.534, 2.688 sec/game, 4.8 min. total, 419.0 MB
moocher_shakable v4 132 games, 97352 moves, e=0.904, loss: 5.0, +, 29.7% elo% vs. random_no_suicide, avg. reward: -9.531, 2.708 sec/game, 4.8 min. total, 418.8 MB
