marrow_each v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 319.3 MB
marrow_each v3 113 games, 83477 moves, e=0.917, loss: 5.2, +, 53.3% elo% vs. v1, avg. reward: -9.492, 2.459 sec/game, 3.9 min. total, 477.6 MB
marrow_each v3 114 games, 84281 moves, e=0.917, loss: 5.1, -, 50.8% elo% vs. v1, avg. reward: -9.475, 2.451 sec/game, 4.0 min. total, 477.7 MB
marrow_each v3 115 games, 85091 moves, e=0.916, loss: 5.0, -, 48.5% elo% vs. v1, avg. reward: -9.464, 2.449 sec/game, 4.0 min. total, 478.0 MB
marrow_each v3 116 games, 85826 moves, e=0.915, loss: 5.1, -, 46.3% elo% vs. v1, avg. reward: -9.461, 2.442 sec/game, 4.0 min. total, 478.1 MB
marrow_each v3 117 games, 86591 moves, e=0.914, loss: 5.1, -, 44.1% elo% vs. v1, avg. reward: -9.446, 2.472 sec/game, 4.1 min. total, 477.8 MB
marrow_each v3 118 games, 87375 moves, e=0.913, loss: 5.1, +, 46.7% elo% vs. v1, avg. reward: -9.440, 2.482 sec/game, 4.1 min. total, 479.0 MB
marrow_each v3 119 games, 88162 moves, e=0.913, loss: 5.1, +, 49.1% elo% vs. v1, avg. reward: -9.421, 2.507 sec/game, 4.2 min. total, 479.4 MB
marrow_each v3 120 games, 88936 moves, e=0.912, loss: 5.2, +, 51.5% elo% vs. v1, avg. reward: -9.398, 2.520 sec/game, 4.2 min. total, 479.1 MB
marrow_each v3 121 games, 89621 moves, e=0.911, loss: 5.1, +, 53.7% elo% vs. v1, avg. reward: -9.408, 2.517 sec/game, 4.3 min. total, 479.3 MB
marrow_each v3 122 games, 90451 moves, e=0.910, loss: 5.0, +, 55.8% elo% vs. v1, avg. reward: -9.386, 2.522 sec/game, 4.3 min. total, 479.2 MB
