fit_relearn v1 194 games, 78323 moves, e=0.922, loss: nan, -, 10.5% elo% vs. random_bot, avg. reward: -13.848, 0.306 sec/game, 0.9 min. total, 578.3 MB
fit_relearn v1 196 games, 79079 moves, e=0.922, loss: nan, -, 10.4% elo% vs. random_bot, avg. reward: -13.892, 0.308 sec/game, 0.9 min. total, 581.4 MB
fit_relearn v1 198 games, 79750 moves, e=0.921, loss: nan, -, 10.2% elo% vs. random_bot, avg. reward: -13.945, 0.313 sec/game, 0.9 min. total, 583.7 MB
fit_relearn v1 200 games, 80388 moves, e=0.920, loss: nan, -, 10.0% elo% vs. random_bot, avg. reward: -13.993, 0.312 sec/game, 0.9 min. total, 584.6 MB
fit_relearn v2 202 games, 81139 moves, e=0.920, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -13.999, 0.311 sec/game, 0.9 min. total, 586.9 MB
fit_relearn v2 204 games, 81822 moves, e=0.919, loss: nan, -, 45.5% elo% vs. random_bot, avg. reward: -14.050, 0.309 sec/game, 0.9 min. total, 588.0 MB
fit_relearn v2 206 games, 82485 moves, e=0.918, loss: nan, -, 43.4% elo% vs. random_bot, avg. reward: -14.106, 0.309 sec/game, 1.0 min. total, 589.7 MB
fit_relearn v2 208 games, 83213 moves, e=0.918, loss: nan, ., 43.7% elo% vs. random_bot, avg. reward: -14.117, 0.310 sec/game, 1.0 min. total, 591.5 MB
fit_relearn v2 210 games, 83923 moves, e=0.917, loss: nan, ., 44.0% elo% vs. random_bot, avg. reward: -14.169, 0.309 sec/game, 1.0 min. total, 593.5 MB
fit_relearn v2 213 games, 84800 moves, e=0.916, loss: nan, -, 42.0% elo% vs. random_bot, avg. reward: -14.251, 0.394 sec/game, 1.0 min. total, 597.2 MB
fit_relearn v2 215 games, 85541 moves, e=0.915, loss: nan, -, 40.2% elo% vs. random_bot, avg. reward: -14.285, 0.394 sec/game, 1.0 min. total, 601.2 MB
fit_relearn v2 217 games, 86184 moves, e=0.915, loss: nan, -, 38.4% elo% vs. random_bot, avg. reward: -14.290, 0.399 sec/game, 1.0 min. total, 604.4 MB
fit_relearn v2 219 games, 86921 moves, e=0.914, loss: nan, -, 36.7% elo% vs. random_bot, avg. reward: -14.314, 0.396 sec/game, 1.1 min. total, 605.3 MB
fit_relearn v2 221 games, 87566 moves, e=0.913, loss: nan, -, 35.2% elo% vs. random_bot, avg. reward: -14.332, 0.397 sec/game, 1.1 min. total, 606.6 MB
fit_relearn v2 223 games, 88241 moves, e=0.913, loss: nan, -, 33.7% elo% vs. random_bot, avg. reward: -14.360, 0.399 sec/game, 1.1 min. total, 608.4 MB
fit_relearn v2 225 games, 88923 moves, e=0.912, loss: nan, -, 32.3% elo% vs. random_bot, avg. reward: -14.391, 0.399 sec/game, 1.1 min. total, 610.0 MB
fit_relearn v2 227 games, 89580 moves, e=0.911, loss: nan, -, 31.1% elo% vs. random_bot, avg. reward: -14.440, 0.396 sec/game, 1.1 min. total, 612.3 MB
fit_relearn v2 229 games, 90248 moves, e=0.911, loss: nan, -, 29.8% elo% vs. random_bot, avg. reward: -14.530, 0.396 sec/game, 1.1 min. total, 615.1 MB
fit_relearn v2 232 games, 91201 moves, e=0.910, loss: nan, -, 28.7% elo% vs. random_bot, avg. reward: -14.614, 0.438 sec/game, 1.1 min. total, 619.0 MB
fit_relearn v2 234 games, 91841 moves, e=0.909, loss: nan, -, 27.6% elo% vs. random_bot, avg. reward: -14.620, 0.307 sec/game, 1.1 min. total, 622.5 MB
fit_relearn v2 236 games, 92578 moves, e=0.908, loss: nan, -, 26.6% elo% vs. random_bot, avg. reward: -14.661, 0.311 sec/game, 1.1 min. total, 627.1 MB
fit_relearn v2 238 games, 93213 moves, e=0.908, loss: nan, -, 25.7% elo% vs. random_bot, avg. reward: -14.706, 0.310 sec/game, 1.2 min. total, 629.0 MB
fit_relearn v2 240 games, 93945 moves, e=0.907, loss: nan, -, 24.8% elo% vs. random_bot, avg. reward: -14.746, 0.310 sec/game, 1.2 min. total, 629.3 MB
fit_relearn v2 242 games, 94570 moves, e=0.906, loss: nan, -, 23.9% elo% vs. random_bot, avg. reward: -14.818, 0.309 sec/game, 1.2 min. total, 630.4 MB
fit_relearn v2 244 games, 95336 moves, e=0.906, loss: nan, -, 23.2% elo% vs. random_bot, avg. reward: -14.788, 0.311 sec/game, 1.2 min. total, 632.1 MB
fit_relearn v2 246 games, 95970 moves, e=0.905, loss: nan, -, 22.4% elo% vs. random_bot, avg. reward: -14.828, 0.311 sec/game, 1.2 min. total, 633.5 MB
fit_relearn v2 248 games, 96677 moves, e=0.904, loss: nan, -, 21.7% elo% vs. random_bot, avg. reward: -14.851, 0.313 sec/game, 1.2 min. total, 635.4 MB
fit_relearn v2 251 games, 97503 moves, e=0.903, loss: nan, -, 21.0% elo% vs. random_bot, avg. reward: -14.953, 0.358 sec/game, 1.2 min. total, 638.4 MB
fit_relearn v2 253 games, 98214 moves, e=0.903, loss: nan, -, 20.4% elo% vs. random_bot, avg. reward: -15.007, 0.319 sec/game, 1.2 min. total, 641.8 MB
fit_relearn v2 255 games, 98941 moves, e=0.902, loss: nan, -, 19.8% elo% vs. random_bot, avg. reward: -15.053, 0.318 sec/game, 1.2 min. total, 644.4 MB
fit_relearn v2 257 games, 99653 moves, e=0.901, loss: nan, -, 19.2% elo% vs. random_bot, avg. reward: -15.056, 0.317 sec/game, 1.3 min. total, 648.6 MB
fit_relearn v2 259 games, 100386 moves, e=0.901, loss: 80.9, +, 21.6% elo% vs. random_bot, avg. reward: -15.052, 0.456 sec/game, 1.3 min. total, 692.8 MB
fit_relearn v2 261 games, 101484 moves, e=0.900, loss: 47.0, +, 24.2% elo% vs. random_bot, avg. reward: -14.960, 0.787 sec/game, 1.4 min. total, 694.2 MB
fit_relearn v2 263 games, 102637 moves, e=0.898, loss: 24.2, +, 26.8% elo% vs. random_bot, avg. reward: -14.873, 1.161 sec/game, 1.6 min. total, 695.1 MB
fit_relearn v2 265 games, 103665 moves, e=0.897, loss: 15.7, +, 29.6% elo% vs. random_bot, avg. reward: -14.823, 1.499 sec/game, 1.7 min. total, 694.9 MB
fit_relearn v2 267 games, 104773 moves, e=0.896, loss: 11.1, +, 32.3% elo% vs. random_bot, avg. reward: -14.700, 1.874 sec/game, 1.8 min. total, 695.5 MB
fit_relearn v2 269 games, 105780 moves, e=0.895, loss: 9.5, +, 35.1% elo% vs. random_bot, avg. reward: -14.602, 2.251 sec/game, 1.9 min. total, 696.2 MB
fit_relearn v2 271 games, 106875 moves, e=0.894, loss: 8.6, +, 37.9% elo% vs. random_bot, avg. reward: -14.479, 2.586 sec/game, 2.1 min. total, 696.9 MB
fit_relearn v2 273 games, 107927 moves, e=0.893, loss: 8.1, +, 40.6% elo% vs. random_bot, avg. reward: -14.368, 3.001 sec/game, 2.2 min. total, 697.4 MB
fit_relearn v2 277 games, 109639 moves, e=0.891, loss: 7.5, +, 43.3% elo% vs. random_bot, avg. reward: -14.141, 3.829 sec/game, 2.5 min. total, 698.7 MB
fit_relearn v2 280 games, 111201 moves, e=0.890, loss: 6.8, +, 45.9% elo% vs. random_bot, avg. reward: -14.016, 4.081 sec/game, 2.8 min. total, 700.3 MB
fit_relearn v2 282 games, 112314 moves, e=0.889, loss: 6.3, +, 48.3% elo% vs. random_bot, avg. reward: -13.904, 4.103 sec/game, 2.9 min. total, 700.4 MB
fit_relearn v2 284 games, 113326 moves, e=0.888, loss: 6.1, +, 50.7% elo% vs. random_bot, avg. reward: -13.788, 4.049 sec/game, 3.0 min. total, 701.5 MB
fit_relearn v2 286 games, 114520 moves, e=0.887, loss: 5.8, +, 53.0% elo% vs. random_bot, avg. reward: -13.671, 4.082 sec/game, 3.1 min. total, 702.3 MB
