pulsate_salute v1 72 games, 50654 moves, e=0.950, loss: nan, ., 52.9% elo% vs. v0, avg. reward: -10.246, 0.270 sec/game, 0.3 min. total, 503.9 MB
pulsate_salute v1 73 games, 51316 moves, e=0.949, loss: nan, +, 55.0% elo% vs. v0, avg. reward: -10.258, 0.270 sec/game, 0.3 min. total, 506.9 MB
pulsate_salute v1 74 games, 52034 moves, e=0.948, loss: nan, -, 52.5% elo% vs. v0, avg. reward: -10.257, 0.269 sec/game, 0.3 min. total, 511.7 MB
pulsate_salute v1 75 games, 52760 moves, e=0.948, loss: nan, -, 50.1% elo% vs. v0, avg. reward: -10.254, 0.271 sec/game, 0.3 min. total, 515.3 MB
pulsate_salute v1 76 games, 53530 moves, e=0.947, loss: nan, +, 52.4% elo% vs. v0, avg. reward: -10.246, 0.271 sec/game, 0.3 min. total, 515.9 MB
pulsate_salute v1 77 games, 54300 moves, e=0.946, loss: nan, +, 54.6% elo% vs. v0, avg. reward: -10.231, 0.274 sec/game, 0.3 min. total, 517.5 MB
pulsate_salute v1 78 games, 54961 moves, e=0.946, loss: nan, +, 56.6% elo% vs. v0, avg. reward: -10.239, 0.274 sec/game, 0.3 min. total, 518.9 MB
pulsate_salute v1 79 games, 55651 moves, e=0.945, loss: nan, -, 54.0% elo% vs. v0, avg. reward: -10.237, 0.277 sec/game, 0.3 min. total, 520.7 MB
pulsate_salute v1 80 games, 56341 moves, e=0.944, loss: nan, +, 56.1% elo% vs. v0, avg. reward: -10.238, 0.277 sec/game, 0.3 min. total, 522.2 MB
pulsate_salute v1 81 games, 57114 moves, e=0.943, loss: nan, -, 53.6% elo% vs. v0, avg. reward: -10.226, 0.280 sec/game, 0.3 min. total, 524.3 MB
pulsate_salute v1 82 games, 57842 moves, e=0.943, loss: nan, ., 53.4% elo% vs. v0, avg. reward: -10.220, 0.277 sec/game, 0.4 min. total, 526.2 MB
pulsate_salute v1 83 games, 58544 moves, e=0.942, loss: nan, +, 55.5% elo% vs. v0, avg. reward: -10.220, 0.275 sec/game, 0.4 min. total, 528.7 MB
pulsate_salute v1 84 games, 59312 moves, e=0.941, loss: nan, +, 57.6% elo% vs. v0, avg. reward: -10.210, 0.278 sec/game, 0.4 min. total, 532.2 MB
pulsate_salute v1 85 games, 60128 moves, e=0.940, loss: nan, -, 54.9% elo% vs. v0, avg. reward: -10.192, 0.282 sec/game, 0.4 min. total, 536.7 MB
pulsate_salute v1 86 games, 60791 moves, e=0.940, loss: nan, -, 52.4% elo% vs. v0, avg. reward: -10.199, 0.283 sec/game, 0.4 min. total, 540.4 MB
pulsate_salute v1 87 games, 61564 moves, e=0.939, loss: nan, +, 54.6% elo% vs. v0, avg. reward: -10.187, 0.285 sec/game, 0.4 min. total, 544.9 MB
pulsate_salute v1 88 games, 62258 moves, e=0.938, loss: nan, -, 52.1% elo% vs. v0, avg. reward: -10.190, 0.286 sec/game, 0.4 min. total, 547.0 MB
pulsate_salute v1 89 games, 62953 moves, e=0.938, loss: nan, ., 52.0% elo% vs. v0, avg. reward: -10.190, 0.287 sec/game, 0.4 min. total, 547.4 MB
pulsate_salute v1 90 games, 63627 moves, e=0.937, loss: nan, ., 51.9% elo% vs. v0, avg. reward: -10.197, 0.288 sec/game, 0.4 min. total, 548.6 MB
pulsate_salute v1 91 games, 64312 moves, e=0.936, loss: nan, -, 49.5% elo% vs. v0, avg. reward: -10.199, 0.291 sec/game, 0.4 min. total, 549.9 MB
pulsate_salute v1 92 games, 64985 moves, e=0.936, loss: nan, +, 51.9% elo% vs. v0, avg. reward: -10.208, 0.289 sec/game, 0.4 min. total, 551.9 MB
pulsate_salute v1 93 games, 65845 moves, e=0.935, loss: nan, -, 49.5% elo% vs. v0, avg. reward: -10.187, 0.294 sec/game, 0.4 min. total, 553.9 MB
pulsate_salute v1 94 games, 66623 moves, e=0.934, loss: nan, +, 51.8% elo% vs. v0, avg. reward: -10.175, 0.297 sec/game, 0.4 min. total, 556.1 MB
pulsate_salute v1 95 games, 67376 moves, e=0.933, loss: nan, -, 49.4% elo% vs. v0, avg. reward: -10.166, 0.299 sec/game, 0.4 min. total, 558.2 MB
pulsate_salute v1 96 games, 68173 moves, e=0.933, loss: nan, -, 47.1% elo% vs. v0, avg. reward: -10.154, 0.303 sec/game, 0.4 min. total, 560.6 MB
pulsate_salute v1 97 games, 68936 moves, e=0.932, loss: nan, +, 49.6% elo% vs. v0, avg. reward: -10.142, 0.303 sec/game, 0.4 min. total, 563.0 MB
pulsate_salute v1 98 games, 69581 moves, e=0.931, loss: nan, +, 51.9% elo% vs. v0, avg. reward: -10.152, 0.303 sec/game, 0.4 min. total, 567.1 MB
pulsate_salute v1 99 games, 70359 moves, e=0.930, loss: nan, -, 49.5% elo% vs. v0, avg. reward: -10.145, 0.308 sec/game, 0.4 min. total, 571.7 MB
pulsate_salute v1 100 games, 71141 moves, e=0.930, loss: nan, +, 51.8% elo% vs. v0, avg. reward: -10.133, 0.313 sec/game, 0.4 min. total, 575.5 MB
pulsate_salute v2 101 games, 71917 moves, e=0.929, loss: nan, +, 52.3% elo% vs. v0, avg. reward: -10.107, 0.313 sec/game, 0.5 min. total, 576.5 MB
pulsate_salute v2 102 games, 72633 moves, e=0.928, loss: nan, +, 54.5% elo% vs. v0, avg. reward: -10.087, 0.321 sec/game, 0.5 min. total, 577.8 MB
pulsate_salute v2 103 games, 73358 moves, e=0.927, loss: nan, -, 52.0% elo% vs. v0, avg. reward: -10.078, 0.324 sec/game, 0.5 min. total, 580.0 MB
pulsate_salute v2 104 games, 74146 moves, e=0.927, loss: nan, -, 49.6% elo% vs. v0, avg. reward: -10.079, 0.324 sec/game, 0.5 min. total, 581.8 MB
pulsate_salute v2 105 games, 74845 moves, e=0.926, loss: nan, -, 47.3% elo% vs. v0, avg. reward: -10.080, 0.322 sec/game, 0.5 min. total, 583.4 MB
pulsate_salute v2 106 games, 75559 moves, e=0.925, loss: nan, -, 45.1% elo% vs. v0, avg. reward: -10.076, 0.323 sec/game, 0.5 min. total, 585.2 MB
pulsate_salute v2 107 games, 76369 moves, e=0.924, loss: nan, -, 43.1% elo% vs. v0, avg. reward: -10.073, 0.323 sec/game, 0.5 min. total, 587.5 MB
pulsate_salute v2 108 games, 77158 moves, e=0.924, loss: nan, +, 45.7% elo% vs. v0, avg. reward: -10.052, 0.327 sec/game, 0.5 min. total, 589.9 MB
pulsate_salute v2 109 games, 77942 moves, e=0.923, loss: nan, +, 48.2% elo% vs. v0, avg. reward: -10.043, 0.331 sec/game, 0.5 min. total, 594.0 MB
pulsate_salute v2 110 games, 78654 moves, e=0.922, loss: nan, -, 46.0% elo% vs. v0, avg. reward: -10.060, 0.336 sec/game, 0.5 min. total, 598.3 MB
pulsate_salute v2 111 games, 79462 moves, e=0.921, loss: nan, -, 43.9% elo% vs. v0, avg. reward: -10.041, 0.338 sec/game, 0.5 min. total, 603.5 MB
pulsate_salute v2 112 games, 80261 moves, e=0.921, loss: nan, +, 46.4% elo% vs. v0, avg. reward: -10.038, 0.344 sec/game, 0.5 min. total, 606.1 MB
pulsate_salute v2 113 games, 81011 moves, e=0.920, loss: nan, -, 44.3% elo% vs. v0, avg. reward: -10.047, 0.344 sec/game, 0.5 min. total, 607.0 MB
