justness_pawing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.0 MB
justness_pawing v4 121 games, 89489 moves, e=0.911, loss: 61.4, -, 58.7% elo% vs. random_no_suicide, avg. reward: -5.135, 1.684 sec/game, 2.9 min. total, 485.1 MB
justness_pawing v4 122 games, 90345 moves, e=0.911, loss: 60.2, +, 60.5% elo% vs. random_no_suicide, avg. reward: -5.115, 1.679 sec/game, 3.0 min. total, 485.5 MB
justness_pawing v4 123 games, 91143 moves, e=0.910, loss: 60.3, +, 62.3% elo% vs. random_no_suicide, avg. reward: -5.100, 1.707 sec/game, 3.0 min. total, 486.8 MB
justness_pawing v4 124 games, 91854 moves, e=0.909, loss: 59.5, +, 63.9% elo% vs. random_no_suicide, avg. reward: -5.116, 1.703 sec/game, 3.0 min. total, 485.8 MB
justness_pawing v4 125 games, 92592 moves, e=0.908, loss: 59.8, -, 61.1% elo% vs. random_no_suicide, avg. reward: -5.115, 1.718 sec/game, 3.0 min. total, 490.6 MB
justness_pawing v4 126 games, 93341 moves, e=0.908, loss: 59.1, ., 60.6% elo% vs. random_no_suicide, avg. reward: -5.096, 1.705 sec/game, 3.1 min. total, 486.3 MB
justness_pawing v4 127 games, 94080 moves, e=0.907, loss: 62.8, ., 60.2% elo% vs. random_no_suicide, avg. reward: -5.081, 1.705 sec/game, 3.1 min. total, 486.6 MB
justness_pawing v4 128 games, 94804 moves, e=0.906, loss: 60.8, +, 61.9% elo% vs. random_no_suicide, avg. reward: -5.063, 1.707 sec/game, 3.1 min. total, 487.1 MB
justness_pawing v4 129 games, 95677 moves, e=0.905, loss: 62.9, -, 59.2% elo% vs. random_no_suicide, avg. reward: -5.036, 1.706 sec/game, 3.2 min. total, 487.2 MB
justness_pawing v4 130 games, 96579 moves, e=0.904, loss: 64.6, -, 56.5% elo% vs. random_no_suicide, avg. reward: -5.023, 1.734 sec/game, 3.2 min. total, 487.3 MB
justness_pawing v4 131 games, 97353 moves, e=0.904, loss: 67.1, +, 58.5% elo% vs. random_no_suicide, avg. reward: -5.006, 1.724 sec/game, 3.2 min. total, 487.4 MB
justness_pawing v4 132 games, 98194 moves, e=0.903, loss: 66.4, +, 60.3% elo% vs. random_no_suicide, avg. reward: -5.007, 1.726 sec/game, 3.3 min. total, 487.6 MB
justness_pawing v4 133 games, 98855 moves, e=0.902, loss: 69.9, -, 57.6% elo% vs. random_no_suicide, avg. reward: -5.013, 1.717 sec/game, 3.3 min. total, 492.1 MB
justness_pawing v4 134 games, 99657 moves, e=0.901, loss: 71.6, -, 55.0% elo% vs. random_no_suicide, avg. reward: -4.999, 1.729 sec/game, 3.3 min. total, 487.2 MB
justness_pawing v4 135 games, 100434 moves, e=0.901, loss: 69.7, -, 52.5% elo% vs. random_no_suicide, avg. reward: -5.005, 1.722 sec/game, 3.3 min. total, 487.4 MB
justness_pawing v4 136 games, 101166 moves, e=0.900, loss: 69.2, +, 54.7% elo% vs. random_no_suicide, avg. reward: -4.993, 1.737 sec/game, 3.4 min. total, 488.7 MB
justness_pawing v4 137 games, 101873 moves, e=0.899, loss: 69.8, +, 56.7% elo% vs. random_no_suicide, avg. reward: -4.975, 1.739 sec/game, 3.4 min. total, 488.7 MB
justness_pawing v4 138 games, 102586 moves, e=0.898, loss: 75.3, -, 54.2% elo% vs. random_no_suicide, avg. reward: -4.950, 1.738 sec/game, 3.4 min. total, 488.7 MB
justness_pawing v4 139 games, 103375 moves, e=0.898, loss: 79.7, ., 54.0% elo% vs. random_no_suicide, avg. reward: -4.942, 1.740 sec/game, 3.5 min. total, 488.5 MB
justness_pawing v4 140 games, 104187 moves, e=0.897, loss: 82.5, -, 51.5% elo% vs. random_no_suicide, avg. reward: -4.928, 1.739 sec/game, 3.5 min. total, 488.5 MB
justness_pawing v4 141 games, 105016 moves, e=0.896, loss: 81.5, -, 49.1% elo% vs. random_no_suicide, avg. reward: -4.914, 1.744 sec/game, 3.5 min. total, 493.4 MB
justness_pawing v4 142 games, 105824 moves, e=0.895, loss: 80.3, -, 46.9% elo% vs. random_no_suicide, avg. reward: -4.895, 1.744 sec/game, 3.5 min. total, 493.3 MB
justness_pawing v4 143 games, 106639 moves, e=0.894, loss: 81.6, -, 44.7% elo% vs. random_no_suicide, avg. reward: -4.885, 1.745 sec/game, 3.6 min. total, 493.3 MB
justness_pawing v4 144 games, 107412 moves, e=0.894, loss: 79.4, +, 47.3% elo% vs. random_no_suicide, avg. reward: -4.876, 1.755 sec/game, 3.6 min. total, 489.0 MB
justness_pawing v4 145 games, 108207 moves, e=0.893, loss: 80.3, -, 45.1% elo% vs. random_no_suicide, avg. reward: -4.880, 1.756 sec/game, 3.6 min. total, 493.9 MB
justness_pawing v4 146 games, 109005 moves, e=0.892, loss: 79.5, -, 43.0% elo% vs. random_no_suicide, avg. reward: -4.881, 1.763 sec/game, 3.7 min. total, 489.1 MB
justness_pawing v4 147 games, 109787 moves, e=0.891, loss: 77.5, -, 41.1% elo% vs. random_no_suicide, avg. reward: -4.879, 1.763 sec/game, 3.7 min. total, 489.2 MB
justness_pawing v4 148 games, 110571 moves, e=0.891, loss: 83.5, -, 39.3% elo% vs. random_no_suicide, avg. reward: -4.856, 1.772 sec/game, 3.7 min. total, 489.1 MB
