zoology_jogging v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
zoology_jogging v3 107 games, 77588 moves, e=0.923, loss: 14822969.2, -, 15.4% elo% vs. random_no_suicide, avg. reward: 1344.770, 1.512 sec/game, 2.4 min. total, 451.3 MB
zoology_jogging v3 108 games, 78306 moves, e=0.922, loss: 15284412.1, -, 15.0% elo% vs. random_no_suicide, avg. reward: 1333.050, 1.498 sec/game, 2.4 min. total, 451.6 MB
zoology_jogging v3 109 games, 79116 moves, e=0.922, loss: 15236007.6, -, 14.7% elo% vs. random_no_suicide, avg. reward: 1336.706, 1.497 sec/game, 2.4 min. total, 451.6 MB
zoology_jogging v3 110 games, 79887 moves, e=0.921, loss: 15530407.6, -, 14.3% elo% vs. random_no_suicide, avg. reward: 1351.569, 1.501 sec/game, 2.5 min. total, 451.4 MB
zoology_jogging v3 111 games, 80648 moves, e=0.920, loss: 16819166.4, -, 14.0% elo% vs. random_no_suicide, avg. reward: 1350.851, 1.503 sec/game, 2.5 min. total, 451.2 MB
zoology_jogging v3 112 games, 81462 moves, e=0.919, loss: 17232843.2, -, 13.7% elo% vs. random_no_suicide, avg. reward: 1346.346, 1.505 sec/game, 2.5 min. total, 451.2 MB
zoology_jogging v3 113 games, 82273 moves, e=0.919, loss: 16804264.6, -, 13.4% elo% vs. random_no_suicide, avg. reward: 1350.195, 1.509 sec/game, 2.6 min. total, 451.4 MB
zoology_jogging v3 114 games, 82926 moves, e=0.918, loss: 16867904.7, -, 13.1% elo% vs. random_no_suicide, avg. reward: 1353.754, 1.507 sec/game, 2.6 min. total, 451.0 MB
zoology_jogging v3 115 games, 83758 moves, e=0.917, loss: 16080468.9, -, 12.9% elo% vs. random_no_suicide, avg. reward: 1353.165, 1.524 sec/game, 2.6 min. total, 451.4 MB
zoology_jogging v3 116 games, 84592 moves, e=0.916, loss: 16202478.8, -, 12.6% elo% vs. random_no_suicide, avg. reward: 1347.178, 1.529 sec/game, 2.6 min. total, 451.5 MB
zoology_jogging v3 117 games, 85522 moves, e=0.915, loss: 15162047.1, -, 12.3% elo% vs. random_no_suicide, avg. reward: 1356.562, 1.576 sec/game, 2.7 min. total, 451.7 MB
zoology_jogging v3 118 games, 86425 moves, e=0.914, loss: 15401841.8, -, 12.1% elo% vs. random_no_suicide, avg. reward: 1362.437, 1.605 sec/game, 2.7 min. total, 453.3 MB
zoology_jogging v3 119 games, 87265 moves, e=0.914, loss: 15740565.7, -, 11.9% elo% vs. random_no_suicide, avg. reward: 1374.869, 1.606 sec/game, 2.7 min. total, 453.9 MB
zoology_jogging v3 120 games, 87942 moves, e=0.913, loss: 16349109.1, -, 11.6% elo% vs. random_no_suicide, avg. reward: 1373.678, 1.618 sec/game, 2.8 min. total, 454.6 MB
zoology_jogging v3 121 games, 88679 moves, e=0.912, loss: 16619059.2, -, 11.4% elo% vs. random_no_suicide, avg. reward: 1352.393, 1.594 sec/game, 2.8 min. total, 454.4 MB
zoology_jogging v3 122 games, 89309 moves, e=0.912, loss: 16727141.8, -, 11.2% elo% vs. random_no_suicide, avg. reward: 1341.308, 1.589 sec/game, 2.8 min. total, 454.5 MB
zoology_jogging v3 123 games, 90096 moves, e=0.911, loss: 16594368.1, -, 11.0% elo% vs. random_no_suicide, avg. reward: 1340.626, 1.593 sec/game, 2.8 min. total, 454.6 MB
zoology_jogging v3 124 games, 90841 moves, e=0.910, loss: 15792816.5, -, 10.8% elo% vs. random_no_suicide, avg. reward: 1344.059, 1.602 sec/game, 2.8 min. total, 454.4 MB
zoology_jogging v3 125 games, 91608 moves, e=0.909, loss: 15511983.1, -, 10.6% elo% vs. random_no_suicide, avg. reward: 1350.694, 1.602 sec/game, 2.9 min. total, 454.7 MB
zoology_jogging v3 126 games, 92326 moves, e=0.909, loss: 16067808.5, -, 10.4% elo% vs. random_no_suicide, avg. reward: 1349.593, 1.603 sec/game, 2.9 min. total, 454.8 MB
zoology_jogging v3 127 games, 93119 moves, e=0.908, loss: 15563894.9, -, 10.3% elo% vs. random_no_suicide, avg. reward: 1335.087, 1.604 sec/game, 2.9 min. total, 454.8 MB
zoology_jogging v3 128 games, 93892 moves, e=0.907, loss: 14941438.3, -, 10.1% elo% vs. random_no_suicide, avg. reward: 1328.454, 1.616 sec/game, 3.0 min. total, 455.0 MB
zoology_jogging v3 129 games, 94634 moves, e=0.906, loss: 15539728.0, -, 9.9% elo% vs. random_no_suicide, avg. reward: 1326.649, 1.608 sec/game, 3.0 min. total, 455.7 MB
zoology_jogging v3 130 games, 95463 moves, e=0.905, loss: 15383110.6, -, 9.8% elo% vs. random_no_suicide, avg. reward: 1326.231, 1.611 sec/game, 3.0 min. total, 456.2 MB
zoology_jogging v3 131 games, 96217 moves, e=0.905, loss: 15784864.1, -, 9.6% elo% vs. random_no_suicide, avg. reward: 1322.489, 1.614 sec/game, 3.0 min. total, 456.7 MB
zoology_jogging v3 132 games, 96927 moves, e=0.904, loss: 15516760.8, -, 9.4% elo% vs. random_no_suicide, avg. reward: 1307.557, 1.613 sec/game, 3.1 min. total, 456.8 MB
zoology_jogging v3 133 games, 97631 moves, e=0.903, loss: 15352940.3, -, 9.3% elo% vs. random_no_suicide, avg. reward: 1311.358, 1.601 sec/game, 3.1 min. total, 456.5 MB
zoology_jogging v3 134 games, 98440 moves, e=0.903, loss: 14742030.4, -, 9.2% elo% vs. random_no_suicide, avg. reward: 1314.217, 1.624 sec/game, 3.1 min. total, 456.9 MB
zoology_jogging v3 135 games, 99312 moves, e=0.902, loss: 15112537.7, -, 9.0% elo% vs. random_no_suicide, avg. reward: 1319.749, 1.615 sec/game, 3.1 min. total, 456.9 MB
zoology_jogging v3 136 games, 100078 moves, e=0.901, loss: 15642218.1, -, 8.9% elo% vs. random_no_suicide, avg. reward: 1315.604, 1.614 sec/game, 3.2 min. total, 456.9 MB
zoology_jogging v3 137 games, 100802 moves, e=0.900, loss: 15854436.8, -, 8.7% elo% vs. random_no_suicide, avg. reward: 1316.217, 1.580 sec/game, 3.2 min. total, 457.1 MB
zoology_jogging v3 138 games, 101541 moves, e=0.899, loss: 16031232.7, -, 8.6% elo% vs. random_no_suicide, avg. reward: 1322.996, 1.565 sec/game, 3.2 min. total, 457.3 MB
zoology_jogging v3 139 games, 102269 moves, e=0.899, loss: 15386580.8, -, 8.5% elo% vs. random_no_suicide, avg. reward: 1333.626, 1.556 sec/game, 3.2 min. total, 457.6 MB
zoology_jogging v3 140 games, 103015 moves, e=0.898, loss: 15550205.1, -, 8.4% elo% vs. random_no_suicide, avg. reward: 1338.897, 1.562 sec/game, 3.3 min. total, 459.1 MB
zoology_jogging v3 141 games, 103847 moves, e=0.897, loss: 16527448.4, -, 8.3% elo% vs. random_no_suicide, avg. reward: 1340.514, 1.584 sec/game, 3.3 min. total, 459.6 MB
zoology_jogging v3 142 games, 104590 moves, e=0.896, loss: 17212833.2, -, 8.1% elo% vs. random_no_suicide, avg. reward: 1331.482, 1.597 sec/game, 3.3 min. total, 459.8 MB
zoology_jogging v3 143 games, 105358 moves, e=0.896, loss: 17507829.1, -, 8.0% elo% vs. random_no_suicide, avg. reward: 1334.881, 1.603 sec/game, 3.4 min. total, 460.3 MB
