corny_hush v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.8 MB
corny_hush v3 87 games, 63069 moves, e=0.938, loss: 5.2, -, 12.6% elo% vs. random_no_suicide, avg. reward: -8.414, 1.463 sec/game, 1.8 min. total, 477.8 MB
corny_hush v3 88 games, 63649 moves, e=0.937, loss: 5.3, -, 12.3% elo% vs. random_no_suicide, avg. reward: -8.438, 1.464 sec/game, 1.8 min. total, 477.9 MB
corny_hush v3 89 games, 64455 moves, e=0.936, loss: 4.7, -, 12.1% elo% vs. random_no_suicide, avg. reward: -8.428, 1.479 sec/game, 1.9 min. total, 478.2 MB
corny_hush v3 90 games, 65261 moves, e=0.935, loss: 4.8, -, 11.9% elo% vs. random_no_suicide, avg. reward: -8.417, 1.470 sec/game, 1.9 min. total, 478.1 MB
corny_hush v3 91 games, 65980 moves, e=0.935, loss: 4.6, -, 11.6% elo% vs. random_no_suicide, avg. reward: -8.417, 1.482 sec/game, 1.9 min. total, 478.1 MB
corny_hush v3 92 games, 66706 moves, e=0.934, loss: 4.3, -, 11.4% elo% vs. random_no_suicide, avg. reward: -8.415, 1.482 sec/game, 1.9 min. total, 478.5 MB
corny_hush v3 93 games, 67396 moves, e=0.933, loss: 4.2, -, 11.2% elo% vs. random_no_suicide, avg. reward: -8.417, 1.492 sec/game, 2.0 min. total, 478.6 MB
corny_hush v3 94 games, 68100 moves, e=0.933, loss: 4.3, -, 11.0% elo% vs. random_no_suicide, avg. reward: -8.422, 1.484 sec/game, 2.0 min. total, 478.7 MB
corny_hush v3 95 games, 68853 moves, e=0.932, loss: 4.4, -, 10.8% elo% vs. random_no_suicide, avg. reward: -8.417, 1.476 sec/game, 2.0 min. total, 478.8 MB
corny_hush v3 96 games, 69598 moves, e=0.931, loss: 4.5, -, 10.6% elo% vs. random_no_suicide, avg. reward: -8.412, 1.480 sec/game, 2.0 min. total, 476.1 MB
corny_hush v3 97 games, 70296 moves, e=0.930, loss: 4.5, -, 10.4% elo% vs. random_no_suicide, avg. reward: -8.414, 1.482 sec/game, 2.1 min. total, 478.4 MB
corny_hush v3 98 games, 71047 moves, e=0.930, loss: 4.6, -, 10.2% elo% vs. random_no_suicide, avg. reward: -8.410, 1.497 sec/game, 2.1 min. total, 478.8 MB
corny_hush v3 99 games, 71759 moves, e=0.929, loss: 4.7, -, 10.1% elo% vs. random_no_suicide, avg. reward: -8.410, 1.496 sec/game, 2.1 min. total, 478.9 MB
