suffix_guts v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.7 MB
suffix_guts v3 96 games, 69815 moves, e=0.931, loss: 59808.1, -, 10.1% elo% vs. random_no_suicide, avg. reward: 25.969, 1.722 sec/game, 2.3 min. total, 510.2 MB
suffix_guts v3 97 games, 70565 moves, e=0.930, loss: 52397.9, -, 9.9% elo% vs. random_no_suicide, avg. reward: 25.877, 1.718 sec/game, 2.3 min. total, 510.0 MB
suffix_guts v3 98 games, 71352 moves, e=0.929, loss: 56894.6, -, 9.8% elo% vs. random_no_suicide, avg. reward: 25.522, 1.732 sec/game, 2.3 min. total, 512.2 MB
suffix_guts v3 99 games, 72063 moves, e=0.929, loss: 57232.2, -, 9.6% elo% vs. random_no_suicide, avg. reward: 25.447, 1.714 sec/game, 2.4 min. total, 513.9 MB
suffix_guts v3 100 games, 72758 moves, e=0.928, loss: 56767.4, -, 9.4% elo% vs. random_no_suicide, avg. reward: 25.089, 1.705 sec/game, 2.4 min. total, 513.2 MB
suffix_guts v4 101 games, 73466 moves, e=0.927, loss: 53073.4, -, 47.7% elo% vs. random_no_suicide, avg. reward: 25.172, 1.708 sec/game, 2.4 min. total, 514.6 MB
suffix_guts v4 102 games, 74276 moves, e=0.926, loss: 50288.6, -, 45.5% elo% vs. random_no_suicide, avg. reward: 24.787, 1.725 sec/game, 2.5 min. total, 513.7 MB
suffix_guts v4 103 games, 75040 moves, e=0.926, loss: 48669.7, -, 43.4% elo% vs. random_no_suicide, avg. reward: 24.790, 1.737 sec/game, 2.5 min. total, 513.8 MB
suffix_guts v4 104 games, 75804 moves, e=0.925, loss: 50080.2, -, 41.5% elo% vs. random_no_suicide, avg. reward: 24.763, 1.726 sec/game, 2.5 min. total, 513.9 MB
suffix_guts v4 105 games, 76587 moves, e=0.924, loss: 43772.4, -, 39.6% elo% vs. random_no_suicide, avg. reward: 25.042, 1.728 sec/game, 2.5 min. total, 514.9 MB
suffix_guts v4 106 games, 77369 moves, e=0.923, loss: 46643.3, -, 37.9% elo% vs. random_no_suicide, avg. reward: 24.741, 1.715 sec/game, 2.6 min. total, 513.9 MB
suffix_guts v4 107 games, 77990 moves, e=0.923, loss: 43821.3, -, 36.3% elo% vs. random_no_suicide, avg. reward: 24.622, 1.700 sec/game, 2.6 min. total, 514.4 MB
suffix_guts v4 108 games, 78728 moves, e=0.922, loss: 39902.3, -, 34.8% elo% vs. random_no_suicide, avg. reward: 24.753, 1.699 sec/game, 2.6 min. total, 515.7 MB
suffix_guts v4 109 games, 79487 moves, e=0.921, loss: 42215.8, -, 33.3% elo% vs. random_no_suicide, avg. reward: 24.758, 1.690 sec/game, 2.7 min. total, 514.9 MB
suffix_guts v4 110 games, 80362 moves, e=0.920, loss: 35056.7, -, 32.0% elo% vs. random_no_suicide, avg. reward: 24.665, 1.707 sec/game, 2.7 min. total, 515.9 MB
suffix_guts v4 111 games, 81058 moves, e=0.920, loss: 28702.2, -, 30.7% elo% vs. random_no_suicide, avg. reward: 24.938, 1.706 sec/game, 2.7 min. total, 517.5 MB
suffix_guts v4 112 games, 81735 moves, e=0.919, loss: 28421.5, -, 29.5% elo% vs. random_no_suicide, avg. reward: 24.906, 1.694 sec/game, 2.7 min. total, 517.2 MB
suffix_guts v4 113 games, 82578 moves, e=0.918, loss: 29881.0, -, 28.4% elo% vs. random_no_suicide, avg. reward: 24.778, 1.720 sec/game, 2.8 min. total, 516.1 MB
suffix_guts v4 114 games, 83376 moves, e=0.917, loss: 30454.5, -, 27.3% elo% vs. random_no_suicide, avg. reward: 24.228, 1.736 sec/game, 2.8 min. total, 517.3 MB
suffix_guts v4 115 games, 84140 moves, e=0.917, loss: 34770.2, -, 26.4% elo% vs. random_no_suicide, avg. reward: 24.753, 1.751 sec/game, 2.8 min. total, 515.9 MB
