subarctic_cranberry v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.5 MB
subarctic_cranberry v2 79 games, 56262 moves, e=0.944, loss: 6.7, +, 32.6% elo% vs. v1, avg. reward: -9.910, 1.516 sec/game, 1.7 min. total, 424.8 MB
subarctic_cranberry v2 80 games, 57119 moves, e=0.943, loss: 6.4, -, 31.3% elo% vs. v1, avg. reward: -9.886, 1.542 sec/game, 1.7 min. total, 424.7 MB
subarctic_cranberry v2 81 games, 57965 moves, e=0.943, loss: 6.5, -, 30.1% elo% vs. v1, avg. reward: -9.867, 1.547 sec/game, 1.7 min. total, 423.3 MB
subarctic_cranberry v2 82 games, 58784 moves, e=0.942, loss: 6.5, -, 28.9% elo% vs. v1, avg. reward: -9.850, 1.569 sec/game, 1.7 min. total, 424.2 MB
subarctic_cranberry v2 83 games, 59472 moves, e=0.941, loss: 6.6, -, 27.8% elo% vs. v1, avg. reward: -9.855, 1.559 sec/game, 1.8 min. total, 424.4 MB
subarctic_cranberry v2 84 games, 60252 moves, e=0.940, loss: 6.4, +, 30.6% elo% vs. v1, avg. reward: -9.843, 1.591 sec/game, 1.8 min. total, 425.7 MB
subarctic_cranberry v2 85 games, 61058 moves, e=0.940, loss: 6.2, +, 33.4% elo% vs. v1, avg. reward: -9.825, 1.604 sec/game, 1.8 min. total, 427.3 MB
subarctic_cranberry v2 86 games, 61795 moves, e=0.939, loss: 6.1, -, 32.0% elo% vs. v1, avg. reward: -9.821, 1.594 sec/game, 1.8 min. total, 429.7 MB
subarctic_cranberry v2 87 games, 62531 moves, e=0.938, loss: 6.0, -, 30.7% elo% vs. v1, avg. reward: -9.815, 1.593 sec/game, 1.9 min. total, 430.1 MB
subarctic_cranberry v2 88 games, 63256 moves, e=0.937, loss: 5.7, -, 29.6% elo% vs. v1, avg. reward: -9.810, 1.605 sec/game, 1.9 min. total, 430.5 MB
subarctic_cranberry v2 89 games, 64031 moves, e=0.937, loss: 5.6, ., 30.3% elo% vs. v1, avg. reward: -9.800, 1.612 sec/game, 1.9 min. total, 430.6 MB
subarctic_cranberry v2 90 games, 64654 moves, e=0.936, loss: 5.4, -, 29.2% elo% vs. v1, avg. reward: -9.814, 1.590 sec/game, 2.0 min. total, 430.8 MB
subarctic_cranberry v2 91 games, 65336 moves, e=0.935, loss: 5.5, -, 28.1% elo% vs. v1, avg. reward: -9.821, 1.592 sec/game, 2.0 min. total, 430.6 MB
subarctic_cranberry v2 92 games, 66194 moves, e=0.934, loss: 5.4, -, 27.0% elo% vs. v1, avg. reward: -9.802, 1.621 sec/game, 2.0 min. total, 432.0 MB
subarctic_cranberry v2 93 games, 66912 moves, e=0.934, loss: 5.4, +, 29.8% elo% vs. v1, avg. reward: -9.803, 1.618 sec/game, 2.0 min. total, 432.0 MB
subarctic_cranberry v2 94 games, 67644 moves, e=0.933, loss: 5.3, -, 28.6% elo% vs. v1, avg. reward: -9.799, 1.627 sec/game, 2.1 min. total, 432.8 MB
subarctic_cranberry v2 95 games, 68292 moves, e=0.932, loss: 5.2, -, 27.6% elo% vs. v1, avg. reward: -9.811, 1.603 sec/game, 2.1 min. total, 433.9 MB
subarctic_cranberry v2 96 games, 68975 moves, e=0.932, loss: 5.0, -, 26.6% elo% vs. v1, avg. reward: -9.818, 1.608 sec/game, 2.1 min. total, 433.4 MB
subarctic_cranberry v2 97 games, 69845 moves, e=0.931, loss: 4.8, -, 25.6% elo% vs. v1, avg. reward: -9.800, 1.616 sec/game, 2.1 min. total, 434.0 MB
subarctic_cranberry v2 98 games, 70547 moves, e=0.930, loss: 4.6, -, 24.7% elo% vs. v1, avg. reward: -9.799, 1.613 sec/game, 2.2 min. total, 437.2 MB
subarctic_cranberry v2 99 games, 71207 moves, e=0.930, loss: 4.4, -, 23.9% elo% vs. v1, avg. reward: -9.807, 1.591 sec/game, 2.2 min. total, 434.0 MB
subarctic_cranberry v2 100 games, 71873 moves, e=0.929, loss: 4.9, -, 23.1% elo% vs. v1, avg. reward: -9.813, 1.568 sec/game, 2.2 min. total, 433.6 MB
subarctic_cranberry v3 101 games, 72530 moves, e=0.928, loss: 4.9, -, 47.7% elo% vs. v1, avg. reward: -9.814, 1.559 sec/game, 2.2 min. total, 434.4 MB
subarctic_cranberry v3 102 games, 73251 moves, e=0.927, loss: 4.8, -, 45.5% elo% vs. v1, avg. reward: -9.794, 1.546 sec/game, 2.3 min. total, 433.8 MB
subarctic_cranberry v3 103 games, 74054 moves, e=0.927, loss: 4.6, -, 43.4% elo% vs. v1, avg. reward: -9.779, 1.560 sec/game, 2.3 min. total, 434.2 MB
subarctic_cranberry v3 104 games, 74877 moves, e=0.926, loss: 4.9, ., 43.7% elo% vs. v1, avg. reward: -9.777, 1.555 sec/game, 2.3 min. total, 434.5 MB
subarctic_cranberry v3 105 games, 75595 moves, e=0.925, loss: 5.0, -, 41.8% elo% vs. v1, avg. reward: -9.766, 1.546 sec/game, 2.3 min. total, 436.8 MB
subarctic_cranberry v3 106 games, 76291 moves, e=0.924, loss: 5.2, -, 39.9% elo% vs. v1, avg. reward: -9.775, 1.566 sec/game, 2.4 min. total, 436.7 MB
subarctic_cranberry v3 107 games, 77123 moves, e=0.924, loss: 5.1, +, 42.6% elo% vs. v1, avg. reward: -9.749, 1.569 sec/game, 2.4 min. total, 436.7 MB
subarctic_cranberry v3 108 games, 77935 moves, e=0.923, loss: 5.1, -, 40.7% elo% vs. v1, avg. reward: -9.739, 1.572 sec/game, 2.4 min. total, 436.4 MB
subarctic_cranberry v3 109 games, 78669 moves, e=0.922, loss: 5.0, -, 38.9% elo% vs. v1, avg. reward: -9.754, 1.565 sec/game, 2.5 min. total, 437.0 MB
subarctic_cranberry v3 110 games, 79342 moves, e=0.921, loss: 4.9, -, 37.2% elo% vs. v1, avg. reward: -9.770, 1.568 sec/game, 2.5 min. total, 437.0 MB
subarctic_cranberry v3 111 games, 80118 moves, e=0.921, loss: 4.9, -, 35.6% elo% vs. v1, avg. reward: -9.758, 1.581 sec/game, 2.5 min. total, 437.1 MB
subarctic_cranberry v3 112 games, 80954 moves, e=0.920, loss: 4.9, -, 34.1% elo% vs. v1, avg. reward: -9.754, 1.579 sec/game, 2.5 min. total, 437.1 MB
subarctic_cranberry v3 113 games, 81651 moves, e=0.919, loss: 5.1, -, 32.7% elo% vs. v1, avg. reward: -9.756, 1.573 sec/game, 2.6 min. total, 438.5 MB
