pushchair_marxism v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.4 MB
pushchair_marxism v3 115 games, 83092 moves, e=0.918, loss: 34182.5, -, 6.2% elo% vs. random_no_suicide, avg. reward: 17.881, 1.788 sec/game, 2.9 min. total, 490.6 MB
pushchair_marxism v3 116 games, 83853 moves, e=0.917, loss: 32917.0, -, 6.1% elo% vs. random_no_suicide, avg. reward: 18.295, 1.800 sec/game, 2.9 min. total, 490.6 MB
pushchair_marxism v3 117 games, 84578 moves, e=0.916, loss: 33856.1, -, 6.0% elo% vs. random_no_suicide, avg. reward: 18.165, 1.782 sec/game, 3.0 min. total, 491.3 MB
pushchair_marxism v3 118 games, 85394 moves, e=0.915, loss: 31931.2, -, 6.0% elo% vs. random_no_suicide, avg. reward: 17.709, 1.799 sec/game, 3.0 min. total, 491.5 MB
pushchair_marxism v3 119 games, 86155 moves, e=0.915, loss: 30734.5, -, 5.9% elo% vs. random_no_suicide, avg. reward: 17.545, 1.791 sec/game, 3.0 min. total, 491.6 MB
pushchair_marxism v3 120 games, 86878 moves, e=0.914, loss: 26336.5, -, 5.8% elo% vs. random_no_suicide, avg. reward: 17.954, 1.795 sec/game, 3.0 min. total, 491.6 MB
pushchair_marxism v3 121 games, 87660 moves, e=0.913, loss: 31308.9, -, 5.8% elo% vs. random_no_suicide, avg. reward: 18.470, 1.797 sec/game, 3.1 min. total, 492.6 MB
pushchair_marxism v3 122 games, 88303 moves, e=0.913, loss: 31577.7, -, 5.7% elo% vs. random_no_suicide, avg. reward: 18.729, 1.802 sec/game, 3.1 min. total, 492.3 MB
pushchair_marxism v3 123 games, 89078 moves, e=0.912, loss: 37869.7, -, 5.7% elo% vs. random_no_suicide, avg. reward: 19.266, 1.803 sec/game, 3.1 min. total, 492.4 MB
pushchair_marxism v3 124 games, 89971 moves, e=0.911, loss: 35533.8, -, 5.6% elo% vs. random_no_suicide, avg. reward: 19.480, 1.806 sec/game, 3.2 min. total, 492.8 MB
pushchair_marxism v3 125 games, 90799 moves, e=0.910, loss: 33504.3, -, 5.6% elo% vs. random_no_suicide, avg. reward: 19.986, 1.836 sec/game, 3.2 min. total, 492.5 MB
pushchair_marxism v3 126 games, 91493 moves, e=0.909, loss: 30140.4, -, 5.5% elo% vs. random_no_suicide, avg. reward: 20.183, 1.839 sec/game, 3.2 min. total, 492.8 MB
pushchair_marxism v3 127 games, 92255 moves, e=0.909, loss: 35471.1, -, 5.5% elo% vs. random_no_suicide, avg. reward: 20.466, 1.829 sec/game, 3.3 min. total, 492.6 MB
pushchair_marxism v3 128 games, 92925 moves, e=0.908, loss: 43303.1, -, 5.4% elo% vs. random_no_suicide, avg. reward: 20.280, 1.816 sec/game, 3.3 min. total, 492.7 MB
pushchair_marxism v3 129 games, 93698 moves, e=0.907, loss: 51754.2, -, 5.4% elo% vs. random_no_suicide, avg. reward: 20.025, 1.848 sec/game, 3.3 min. total, 492.7 MB
pushchair_marxism v3 130 games, 94378 moves, e=0.907, loss: 54189.6, -, 5.3% elo% vs. random_no_suicide, avg. reward: 19.565, 1.841 sec/game, 3.4 min. total, 493.6 MB
pushchair_marxism v3 131 games, 95015 moves, e=0.906, loss: 58677.7, -, 5.3% elo% vs. random_no_suicide, avg. reward: 19.763, 1.827 sec/game, 3.4 min. total, 494.2 MB
pushchair_marxism v3 132 games, 95756 moves, e=0.905, loss: 58130.7, -, 5.2% elo% vs. random_no_suicide, avg. reward: 19.380, 1.816 sec/game, 3.4 min. total, 495.5 MB
pushchair_marxism v3 133 games, 96460 moves, e=0.905, loss: 56770.4, -, 5.2% elo% vs. random_no_suicide, avg. reward: 18.550, 1.826 sec/game, 3.4 min. total, 495.4 MB
pushchair_marxism v3 134 games, 97248 moves, e=0.904, loss: 50462.0, -, 5.1% elo% vs. random_no_suicide, avg. reward: 18.563, 1.807 sec/game, 3.5 min. total, 495.5 MB
pushchair_marxism v3 135 games, 98033 moves, e=0.903, loss: 49792.0, -, 5.1% elo% vs. random_no_suicide, avg. reward: 19.202, 1.825 sec/game, 3.5 min. total, 495.2 MB
pushchair_marxism v3 136 games, 98876 moves, e=0.902, loss: 47220.3, -, 5.0% elo% vs. random_no_suicide, avg. reward: 19.426, 1.839 sec/game, 3.5 min. total, 495.8 MB
pushchair_marxism v3 137 games, 99692 moves, e=0.901, loss: 46596.9, -, 5.0% elo% vs. random_no_suicide, avg. reward: 19.026, 1.857 sec/game, 3.6 min. total, 495.5 MB
pushchair_marxism v3 138 games, 100538 moves, e=0.900, loss: 43018.4, -, 4.9% elo% vs. random_no_suicide, avg. reward: 18.769, 1.853 sec/game, 3.6 min. total, 495.8 MB
pushchair_marxism v3 139 games, 101278 moves, e=0.900, loss: 37403.0, -, 4.9% elo% vs. random_no_suicide, avg. reward: 18.835, 1.853 sec/game, 3.6 min. total, 495.4 MB
pushchair_marxism v3 140 games, 102028 moves, e=0.899, loss: 30962.1, -, 4.9% elo% vs. random_no_suicide, avg. reward: 18.965, 1.862 sec/game, 3.7 min. total, 495.8 MB
pushchair_marxism v3 141 games, 102854 moves, e=0.898, loss: 28446.5, -, 4.8% elo% vs. random_no_suicide, avg. reward: 19.459, 1.863 sec/game, 3.7 min. total, 495.9 MB
pushchair_marxism v3 142 games, 103545 moves, e=0.897, loss: 33147.5, -, 4.8% elo% vs. random_no_suicide, avg. reward: 19.022, 1.862 sec/game, 3.7 min. total, 497.5 MB
pushchair_marxism v3 143 games, 104224 moves, e=0.897, loss: 29572.4, -, 4.7% elo% vs. random_no_suicide, avg. reward: 18.593, 1.869 sec/game, 3.8 min. total, 497.2 MB
