cocoa_revisable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.2 MB
cocoa_revisable v2 130 games, 94401 moves, e=0.907, loss: 1093.4, -, 32.0% elo% vs. v1, avg. reward: 7.876, 1.828 sec/game, 3.2 min. total, 514.5 MB
cocoa_revisable v2 131 games, 95181 moves, e=0.906, loss: 1042.1, -, 30.7% elo% vs. v1, avg. reward: 7.885, 1.805 sec/game, 3.2 min. total, 514.7 MB
cocoa_revisable v2 132 games, 95921 moves, e=0.905, loss: 1062.2, -, 29.5% elo% vs. v1, avg. reward: 8.043, 1.799 sec/game, 3.2 min. total, 514.6 MB
cocoa_revisable v2 133 games, 96659 moves, e=0.904, loss: 984.9, -, 28.4% elo% vs. v1, avg. reward: 8.131, 1.817 sec/game, 3.3 min. total, 513.2 MB
cocoa_revisable v2 134 games, 97366 moves, e=0.904, loss: 998.0, -, 27.4% elo% vs. v1, avg. reward: 8.111, 1.827 sec/game, 3.3 min. total, 513.2 MB
cocoa_revisable v2 135 games, 98227 moves, e=0.903, loss: 1016.7, -, 26.4% elo% vs. v1, avg. reward: 8.235, 1.858 sec/game, 3.3 min. total, 513.3 MB
cocoa_revisable v2 136 games, 98984 moves, e=0.902, loss: 1027.0, -, 25.4% elo% vs. v1, avg. reward: 8.282, 1.860 sec/game, 3.4 min. total, 516.5 MB
cocoa_revisable v2 137 games, 99806 moves, e=0.901, loss: 1048.7, -, 24.6% elo% vs. v1, avg. reward: 8.387, 1.851 sec/game, 3.4 min. total, 516.7 MB
cocoa_revisable v2 138 games, 100598 moves, e=0.900, loss: 1143.1, -, 23.7% elo% vs. v1, avg. reward: 8.455, 1.880 sec/game, 3.4 min. total, 517.0 MB
cocoa_revisable v2 139 games, 101377 moves, e=0.900, loss: 1171.0, -, 22.9% elo% vs. v1, avg. reward: 8.553, 1.915 sec/game, 3.5 min. total, 517.0 MB
cocoa_revisable v2 140 games, 102187 moves, e=0.899, loss: 1116.3, +, 25.6% elo% vs. v1, avg. reward: 8.540, 1.925 sec/game, 3.5 min. total, 517.5 MB
cocoa_revisable v2 141 games, 103055 moves, e=0.898, loss: 1038.8, -, 24.7% elo% vs. v1, avg. reward: 8.479, 1.929 sec/game, 3.6 min. total, 517.3 MB
cocoa_revisable v2 142 games, 103735 moves, e=0.897, loss: 1063.7, -, 23.8% elo% vs. v1, avg. reward: 8.455, 1.934 sec/game, 3.6 min. total, 517.7 MB
cocoa_revisable v2 143 games, 104627 moves, e=0.896, loss: 1045.2, -, 23.0% elo% vs. v1, avg. reward: 8.510, 1.941 sec/game, 3.6 min. total, 517.5 MB
cocoa_revisable v2 144 games, 105391 moves, e=0.896, loss: 1116.0, -, 22.3% elo% vs. v1, avg. reward: 8.562, 1.955 sec/game, 3.6 min. total, 517.7 MB
cocoa_revisable v2 145 games, 106121 moves, e=0.895, loss: 1203.9, -, 21.6% elo% vs. v1, avg. reward: 8.583, 1.940 sec/game, 3.7 min. total, 518.8 MB
cocoa_revisable v2 146 games, 106891 moves, e=0.894, loss: 1280.3, +, 24.1% elo% vs. v1, avg. reward: 8.636, 1.941 sec/game, 3.7 min. total, 518.3 MB
cocoa_revisable v2 147 games, 107692 moves, e=0.893, loss: 1270.1, -, 23.3% elo% vs. v1, avg. reward: 8.610, 1.887 sec/game, 3.7 min. total, 518.3 MB
cocoa_revisable v2 148 games, 108469 moves, e=0.893, loss: 1229.0, -, 22.6% elo% vs. v1, avg. reward: 8.582, 1.929 sec/game, 3.8 min. total, 520.4 MB
cocoa_revisable v2 149 games, 109333 moves, e=0.892, loss: 1155.7, -, 21.9% elo% vs. v1, avg. reward: 8.633, 1.936 sec/game, 3.8 min. total, 518.4 MB
cocoa_revisable v2 150 games, 109985 moves, e=0.891, loss: 1116.0, -, 21.2% elo% vs. v1, avg. reward: 8.699, 1.928 sec/game, 3.8 min. total, 518.4 MB
cocoa_revisable v2 151 games, 110902 moves, e=0.890, loss: 1095.6, -, 20.5% elo% vs. v1, avg. reward: 8.783, 1.958 sec/game, 3.9 min. total, 520.4 MB
cocoa_revisable v2 152 games, 111500 moves, e=0.890, loss: 1115.5, -, 19.9% elo% vs. v1, avg. reward: 8.811, 1.960 sec/game, 3.9 min. total, 522.4 MB
