magnetize_flanked v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.4 MB
magnetize_flanked v4 122 games, 89323 moves, e=0.912, loss: 4.6, -, 22.2% elo% vs. random_no_suicide, avg. reward: -8.243, 1.526 sec/game, 2.5 min. total, 488.6 MB
magnetize_flanked v4 123 games, 90108 moves, e=0.911, loss: 4.5, -, 21.5% elo% vs. random_no_suicide, avg. reward: -8.240, 1.519 sec/game, 2.6 min. total, 488.6 MB
magnetize_flanked v4 124 games, 90742 moves, e=0.910, loss: 4.6, -, 20.8% elo% vs. random_no_suicide, avg. reward: -8.245, 1.524 sec/game, 2.6 min. total, 489.4 MB
magnetize_flanked v4 125 games, 91467 moves, e=0.909, loss: 4.6, -, 20.2% elo% vs. random_no_suicide, avg. reward: -8.254, 1.522 sec/game, 2.6 min. total, 489.7 MB
magnetize_flanked v4 126 games, 92351 moves, e=0.909, loss: 4.8, -, 19.6% elo% vs. random_no_suicide, avg. reward: -8.222, 1.541 sec/game, 2.6 min. total, 489.7 MB
magnetize_flanked v4 127 games, 93045 moves, e=0.908, loss: 4.9, -, 19.0% elo% vs. random_no_suicide, avg. reward: -8.219, 1.543 sec/game, 2.6 min. total, 489.4 MB
magnetize_flanked v4 128 games, 93704 moves, e=0.907, loss: 5.0, -, 18.5% elo% vs. random_no_suicide, avg. reward: -8.244, 1.542 sec/game, 2.7 min. total, 489.9 MB
magnetize_flanked v4 129 games, 94407 moves, e=0.907, loss: 4.9, -, 18.0% elo% vs. random_no_suicide, avg. reward: -8.235, 1.540 sec/game, 2.7 min. total, 490.0 MB
magnetize_flanked v4 130 games, 95184 moves, e=0.906, loss: 4.6, -, 17.5% elo% vs. random_no_suicide, avg. reward: -8.228, 1.510 sec/game, 2.7 min. total, 492.0 MB
magnetize_flanked v4 131 games, 95973 moves, e=0.905, loss: 4.3, -, 17.0% elo% vs. random_no_suicide, avg. reward: -8.226, 1.516 sec/game, 2.7 min. total, 489.9 MB
magnetize_flanked v4 132 games, 96688 moves, e=0.904, loss: 4.4, -, 16.6% elo% vs. random_no_suicide, avg. reward: -8.235, 1.510 sec/game, 2.8 min. total, 490.5 MB
magnetize_flanked v4 133 games, 97489 moves, e=0.903, loss: 4.2, +, 18.8% elo% vs. random_no_suicide, avg. reward: -8.235, 1.526 sec/game, 2.8 min. total, 490.4 MB
magnetize_flanked v4 134 games, 98240 moves, e=0.903, loss: 4.2, -, 18.3% elo% vs. random_no_suicide, avg. reward: -8.207, 1.522 sec/game, 2.8 min. total, 491.0 MB
magnetize_flanked v4 135 games, 99017 moves, e=0.902, loss: 4.2, -, 17.8% elo% vs. random_no_suicide, avg. reward: -8.200, 1.510 sec/game, 2.8 min. total, 491.9 MB
