magnetize_flanked v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.4 MB
magnetize_flanked v17 1207 games, 2042712 moves, e=0.010, loss: 1.7, -, 43.8% elo% vs. terrible_bot, avg. reward: -0.426, 7.276 sec/game, 73.3 min. total, 962.9 MB
magnetize_flanked v17 1208 games, 2046302 moves, e=0.010, loss: 2.1, +, 46.4% elo% vs. terrible_bot, avg. reward: -0.430, 7.306 sec/game, 73.4 min. total, 966.7 MB
magnetize_flanked v17 1209 games, 2050294 moves, e=0.010, loss: 2.1, +, 48.9% elo% vs. terrible_bot, avg. reward: -0.428, 7.353 sec/game, 73.5 min. total, 967.2 MB
magnetize_flanked v17 1210 games, 2054272 moves, e=0.010, loss: 2.3, -, 46.6% elo% vs. terrible_bot, avg. reward: -0.429, 7.406 sec/game, 73.6 min. total, 968.4 MB
magnetize_flanked v17 1211 games, 2058260 moves, e=0.010, loss: 1.7, ., 46.8% elo% vs. terrible_bot, avg. reward: -0.429, 7.438 sec/game, 73.8 min. total, 964.9 MB
magnetize_flanked v17 1212 games, 2061638 moves, e=0.010, loss: 2.3, +, 49.2% elo% vs. terrible_bot, avg. reward: -0.433, 7.427 sec/game, 73.9 min. total, 966.1 MB
magnetize_flanked v17 1213 games, 2065601 moves, e=0.010, loss: 2.2, ., 49.3% elo% vs. terrible_bot, avg. reward: -0.432, 7.416 sec/game, 74.0 min. total, 966.2 MB
magnetize_flanked v17 1214 games, 2069067 moves, e=0.010, loss: 2.4, +, 51.6% elo% vs. terrible_bot, avg. reward: -0.433, 7.360 sec/game, 74.1 min. total, 969.9 MB
magnetize_flanked v17 1215 games, 2072535 moves, e=0.010, loss: 2.2, -, 49.2% elo% vs. terrible_bot, avg. reward: -0.430, 7.286 sec/game, 74.2 min. total, 969.2 MB
magnetize_flanked v17 1216 games, 2076394 moves, e=0.010, loss: 2.1, -, 47.0% elo% vs. terrible_bot, avg. reward: -0.428, 7.270 sec/game, 74.3 min. total, 970.3 MB
magnetize_flanked v17 1217 games, 2080201 moves, e=0.010, loss: 2.2, -, 44.8% elo% vs. terrible_bot, avg. reward: -0.428, 7.248 sec/game, 74.4 min. total, 968.4 MB
magnetize_flanked v17 1218 games, 2082954 moves, e=0.010, loss: 2.2, +, 47.3% elo% vs. terrible_bot, avg. reward: -0.431, 7.166 sec/game, 74.5 min. total, 971.0 MB
magnetize_flanked v17 1219 games, 2087004 moves, e=0.010, loss: 2.0, +, 49.8% elo% vs. terrible_bot, avg. reward: -0.429, 7.146 sec/game, 74.7 min. total, 970.1 MB
magnetize_flanked v17 1220 games, 2090382 moves, e=0.010, loss: 1.9, +, 52.1% elo% vs. terrible_bot, avg. reward: -0.431, 7.114 sec/game, 74.8 min. total, 969.8 MB
magnetize_flanked v17 1221 games, 2094178 moves, e=0.010, loss: 1.8, -, 49.7% elo% vs. terrible_bot, avg. reward: -0.427, 7.092 sec/game, 74.9 min. total, 971.6 MB
magnetize_flanked v17 1222 games, 2096208 moves, e=0.010, loss: 2.4, -, 47.4% elo% vs. terrible_bot, avg. reward: -0.436, 6.915 sec/game, 75.0 min. total, 967.2 MB
magnetize_flanked v17 1223 games, 2099380 moves, e=0.010, loss: 2.8, -, 45.2% elo% vs. terrible_bot, avg. reward: -0.433, 6.865 sec/game, 75.1 min. total, 966.1 MB
magnetize_flanked v17 1224 games, 2102689 moves, e=0.010, loss: 2.9, +, 47.7% elo% vs. terrible_bot, avg. reward: -0.435, 6.796 sec/game, 75.2 min. total, 967.5 MB
magnetize_flanked v17 1225 games, 2106439 moves, e=0.010, loss: 2.1, -, 45.5% elo% vs. terrible_bot, avg. reward: -0.433, 6.769 sec/game, 75.3 min. total, 973.1 MB
magnetize_flanked v17 1226 games, 2109604 moves, e=0.010, loss: 2.1, +, 48.0% elo% vs. terrible_bot, avg. reward: -0.434, 6.742 sec/game, 75.4 min. total, 973.5 MB
magnetize_flanked v17 1227 games, 2113296 moves, e=0.010, loss: 1.5, ., 48.1% elo% vs. terrible_bot, avg. reward: -0.433, 6.722 sec/game, 75.5 min. total, 974.9 MB
magnetize_flanked v17 1228 games, 2117568 moves, e=0.010, loss: 1.6, -, 45.9% elo% vs. terrible_bot, avg. reward: -0.430, 6.778 sec/game, 75.6 min. total, 978.1 MB
magnetize_flanked v17 1229 games, 2120700 moves, e=0.010, loss: 1.8, -, 43.8% elo% vs. terrible_bot, avg. reward: -0.431, 6.701 sec/game, 75.7 min. total, 976.8 MB
magnetize_flanked v17 1230 games, 2124394 moves, e=0.010, loss: 2.0, -, 41.8% elo% vs. terrible_bot, avg. reward: -0.430, 6.667 sec/game, 75.9 min. total, 976.4 MB
magnetize_flanked v17 1231 games, 2127602 moves, e=0.010, loss: 1.5, -, 40.0% elo% vs. terrible_bot, avg. reward: -0.430, 6.603 sec/game, 76.0 min. total, 976.8 MB
magnetize_flanked v17 1232 games, 2131703 moves, e=0.010, loss: 1.3, +, 42.7% elo% vs. terrible_bot, avg. reward: -0.427, 6.668 sec/game, 76.1 min. total, 980.6 MB
magnetize_flanked v17 1233 games, 2135313 moves, e=0.010, loss: 1.7, +, 45.3% elo% vs. terrible_bot, avg. reward: -0.425, 6.646 sec/game, 76.2 min. total, 981.2 MB
magnetize_flanked v17 1234 games, 2139207 moves, e=0.010, loss: 1.7, +, 47.8% elo% vs. terrible_bot, avg. reward: -0.419, 6.688 sec/game, 76.3 min. total, 980.5 MB
magnetize_flanked v17 1235 games, 2142827 moves, e=0.010, loss: 1.2, -, 45.6% elo% vs. terrible_bot, avg. reward: -0.416, 6.693 sec/game, 76.4 min. total, 981.2 MB
magnetize_flanked v17 1236 games, 2147074 moves, e=0.010, loss: 1.1, +, 48.1% elo% vs. terrible_bot, avg. reward: -0.415, 6.733 sec/game, 76.6 min. total, 981.5 MB
magnetize_flanked v17 1237 games, 2150343 moves, e=0.010, loss: 1.5, ., 48.2% elo% vs. terrible_bot, avg. reward: -0.417, 6.685 sec/game, 76.7 min. total, 981.9 MB
magnetize_flanked v17 1238 games, 2154052 moves, e=0.010, loss: 1.8, +, 50.6% elo% vs. terrible_bot, avg. reward: -0.417, 6.761 sec/game, 76.8 min. total, 982.2 MB
magnetize_flanked v17 1239 games, 2158530 moves, e=0.010, loss: 1.5, -, 48.2% elo% vs. terrible_bot, avg. reward: -0.417, 6.808 sec/game, 76.9 min. total, 983.1 MB
magnetize_flanked v17 1240 games, 2162767 moves, e=0.010, loss: 1.4, -, 46.0% elo% vs. terrible_bot, avg. reward: -0.413, 6.876 sec/game, 77.1 min. total, 983.0 MB
magnetize_flanked v17 1241 games, 2166806 moves, e=0.010, loss: 1.4, +, 48.5% elo% vs. terrible_bot, avg. reward: -0.413, 6.925 sec/game, 77.2 min. total, 984.9 MB
magnetize_flanked v17 1242 games, 2169970 moves, e=0.010, loss: 1.7, -, 46.3% elo% vs. terrible_bot, avg. reward: -0.416, 7.069 sec/game, 77.3 min. total, 983.6 MB
magnetize_flanked v17 1243 games, 2174403 moves, e=0.010, loss: 1.8, +, 48.7% elo% vs. terrible_bot, avg. reward: -0.413, 7.255 sec/game, 77.5 min. total, 984.9 MB
magnetize_flanked v17 1244 games, 2177997 moves, e=0.010, loss: 1.6, +, 51.1% elo% vs. terrible_bot, avg. reward: -0.412, 7.320 sec/game, 77.6 min. total, 987.2 MB
magnetize_flanked v17 1245 games, 2181388 moves, e=0.010, loss: 1.8, -, 48.7% elo% vs. terrible_bot, avg. reward: -0.413, 7.348 sec/game, 77.7 min. total, 986.1 MB
magnetize_flanked v17 1246 games, 2184578 moves, e=0.010, loss: 2.2, ., 48.8% elo% vs. terrible_bot, avg. reward: -0.415, 7.374 sec/game, 77.8 min. total, 986.7 MB
magnetize_flanked v17 1247 games, 2187943 moves, e=0.010, loss: 2.4, -, 46.6% elo% vs. terrible_bot, avg. reward: -0.417, 7.375 sec/game, 78.0 min. total, 986.3 MB
magnetize_flanked v17 1248 games, 2191320 moves, e=0.010, loss: 2.3, -, 44.4% elo% vs. terrible_bot, avg. reward: -0.418, 7.339 sec/game, 78.1 min. total, 986.1 MB
magnetize_flanked v17 1249 games, 2194260 moves, e=0.010, loss: 2.2, -, 42.4% elo% vs. terrible_bot, avg. reward: -0.416, 7.391 sec/game, 78.2 min. total, 985.5 MB
magnetize_flanked v17 1250 games, 2196880 moves, e=0.010, loss: 2.4, -, 40.5% elo% vs. terrible_bot, avg. reward: -0.416, 7.666 sec/game, 78.4 min. total, 986.1 MB
magnetize_flanked v17 1251 games, 2200252 moves, e=0.010, loss: 2.3, -, 38.7% elo% vs. terrible_bot, avg. reward: -0.414, 7.738 sec/game, 78.5 min. total, 986.3 MB
magnetize_flanked v17 1252 games, 2203940 moves, e=0.010, loss: 2.3, -, 37.1% elo% vs. terrible_bot, avg. reward: -0.414, 7.729 sec/game, 78.7 min. total, 988.3 MB
magnetize_flanked v17 1253 games, 2207509 moves, e=0.010, loss: 1.9, -, 35.5% elo% vs. terrible_bot, avg. reward: -0.411, 7.738 sec/game, 78.8 min. total, 990.0 MB
magnetize_flanked v17 1254 games, 2211124 moves, e=0.010, loss: 1.6, +, 38.2% elo% vs. terrible_bot, avg. reward: -0.408, 7.745 sec/game, 78.9 min. total, 990.7 MB
magnetize_flanked v17 1255 games, 2214672 moves, e=0.010, loss: 1.9, +, 41.0% elo% vs. terrible_bot, avg. reward: -0.407, 7.778 sec/game, 79.0 min. total, 991.5 MB
magnetize_flanked v17 1256 games, 2218311 moves, e=0.010, loss: 2.0, +, 43.6% elo% vs. terrible_bot, avg. reward: -0.404, 7.730 sec/game, 79.1 min. total, 991.4 MB
magnetize_flanked v17 1257 games, 2222133 moves, e=0.010, loss: 2.2, -, 41.7% elo% vs. terrible_bot, avg. reward: -0.405, 7.785 sec/game, 79.3 min. total, 990.2 MB
magnetize_flanked v17 1258 games, 2224842 moves, e=0.010, loss: 2.5, +, 44.3% elo% vs. terrible_bot, avg. reward: -0.409, 7.699 sec/game, 79.4 min. total, 991.0 MB
magnetize_flanked v17 1259 games, 2228295 moves, e=0.010, loss: 2.5, -, 42.3% elo% vs. terrible_bot, avg. reward: -0.409, 7.603 sec/game, 79.5 min. total, 991.6 MB
magnetize_flanked v17 1260 games, 2231352 moves, e=0.010, loss: 2.6, +, 44.9% elo% vs. terrible_bot, avg. reward: -0.410, 7.501 sec/game, 79.6 min. total, 989.9 MB
magnetize_flanked v17 1261 games, 2235034 moves, e=0.010, loss: 2.1, +, 47.4% elo% vs. terrible_bot, avg. reward: -0.411, 7.447 sec/game, 79.7 min. total, 992.0 MB
magnetize_flanked v17 1262 games, 2238260 moves, e=0.010, loss: 2.2, +, 49.8% elo% vs. terrible_bot, avg. reward: -0.413, 7.397 sec/game, 79.8 min. total, 992.6 MB
magnetize_flanked v17 1263 games, 2241857 moves, e=0.010, loss: 1.9, -, 47.5% elo% vs. terrible_bot, avg. reward: -0.411, 7.258 sec/game, 79.9 min. total, 995.2 MB
magnetize_flanked v17 1264 games, 2245589 moves, e=0.010, loss: 1.9, -, 45.4% elo% vs. terrible_bot, avg. reward: -0.406, 7.233 sec/game, 80.0 min. total, 995.2 MB
magnetize_flanked v17 1265 games, 2249173 moves, e=0.010, loss: 1.9, -, 43.3% elo% vs. terrible_bot, avg. reward: -0.403, 7.190 sec/game, 80.1 min. total, 996.0 MB
magnetize_flanked v17 1266 games, 2252971 moves, e=0.010, loss: 1.8, +, 45.9% elo% vs. terrible_bot, avg. reward: -0.403, 7.215 sec/game, 80.3 min. total, 998.3 MB
magnetize_flanked v17 1267 games, 2257046 moves, e=0.010, loss: 2.0, +, 48.4% elo% vs. terrible_bot, avg. reward: -0.402, 7.247 sec/game, 80.4 min. total, 998.6 MB
magnetize_flanked v17 1268 games, 2260361 moves, e=0.010, loss: 1.9, +, 50.7% elo% vs. terrible_bot, avg. reward: -0.404, 7.286 sec/game, 80.5 min. total, 998.8 MB
magnetize_flanked v17 1269 games, 2263961 moves, e=0.010, loss: 2.0, +, 53.0% elo% vs. terrible_bot, avg. reward: -0.399, 7.329 sec/game, 80.6 min. total, 999.7 MB
magnetize_flanked v17 1270 games, 2267959 moves, e=0.010, loss: 1.8, +, 55.2% elo% vs. terrible_bot, avg. reward: -0.400, 7.180 sec/game, 80.8 min. total, 1000.3 MB
magnetize_flanked v17 1271 games, 2271897 moves, e=0.010, loss: 1.5, +, 57.2% elo% vs. terrible_bot, avg. reward: -0.398, 7.289 sec/game, 81.0 min. total, 1001.5 MB
magnetize_flanked v17 1272 games, 2275261 moves, e=0.010, loss: 1.5, +, 59.1% elo% vs. terrible_bot, avg. reward: -0.402, 7.254 sec/game, 81.1 min. total, 1002.0 MB
magnetize_flanked v17 1273 games, 2279106 moves, e=0.010, loss: 1.9, +, 60.9% elo% vs. terrible_bot, avg. reward: -0.400, 7.405 sec/game, 81.2 min. total, 1003.4 MB
magnetize_flanked v17 1274 games, 2282371 moves, e=0.010, loss: 2.7, +, 62.6% elo% vs. terrible_bot, avg. reward: -0.402, 7.425 sec/game, 81.4 min. total, 1003.5 MB
magnetize_flanked v17 1275 games, 2285986 moves, e=0.010, loss: 2.7, ., 62.1% elo% vs. terrible_bot, avg. reward: -0.404, 7.432 sec/game, 81.5 min. total, 1003.8 MB
magnetize_flanked v17 1276 games, 2289831 moves, e=0.010, loss: 2.6, +, 63.7% elo% vs. terrible_bot, avg. reward: -0.403, 7.484 sec/game, 81.6 min. total, 1006.7 MB
magnetize_flanked v17 1277 games, 2293011 moves, e=0.010, loss: 2.3, +, 65.2% elo% vs. terrible_bot, avg. reward: -0.406, 7.463 sec/game, 81.8 min. total, 1005.8 MB
magnetize_flanked v17 1278 games, 2296127 moves, e=0.010, loss: 2.0, +, 66.7% elo% vs. terrible_bot, avg. reward: -0.409, 7.536 sec/game, 81.9 min. total, 1004.6 MB
magnetize_flanked v17 1279 games, 2299812 moves, e=0.010, loss: 2.6, ., 66.0% elo% vs. terrible_bot, avg. reward: -0.412, 7.579 sec/game, 82.0 min. total, 1005.6 MB
magnetize_flanked v17 1280 games, 2302978 moves, e=0.010, loss: 1.9, -, 63.2% elo% vs. terrible_bot, avg. reward: -0.413, 7.622 sec/game, 82.1 min. total, 1005.7 MB
magnetize_flanked v17 1281 games, 2306306 moves, e=0.010, loss: 1.9, -, 60.5% elo% vs. terrible_bot, avg. reward: -0.414, 7.596 sec/game, 82.2 min. total, 1005.9 MB
magnetize_flanked v17 1282 games, 2309916 moves, e=0.010, loss: 2.1, ., 60.0% elo% vs. terrible_bot, avg. reward: -0.415, 7.639 sec/game, 82.3 min. total, 1006.5 MB
magnetize_flanked v17 1283 games, 2314154 moves, e=0.010, loss: 1.6, +, 61.8% elo% vs. terrible_bot, avg. reward: -0.414, 7.679 sec/game, 82.5 min. total, 1010.7 MB
magnetize_flanked v17 1284 games, 2318508 moves, e=0.010, loss: 1.4, +, 63.4% elo% vs. terrible_bot, avg. reward: -0.414, 7.752 sec/game, 82.6 min. total, 1010.9 MB
magnetize_flanked v17 1285 games, 2322368 moves, e=0.010, loss: 1.5, -, 60.7% elo% vs. terrible_bot, avg. reward: -0.412, 7.802 sec/game, 82.7 min. total, 1008.8 MB
magnetize_flanked v17 1286 games, 2326258 moves, e=0.010, loss: 1.7, +, 62.4% elo% vs. terrible_bot, avg. reward: -0.409, 7.850 sec/game, 82.9 min. total, 1011.8 MB
magnetize_flanked v17 1287 games, 2330220 moves, e=0.010, loss: 1.9, -, 59.6% elo% vs. terrible_bot, avg. reward: -0.408, 7.866 sec/game, 83.0 min. total, 1010.3 MB
magnetize_flanked v17 1288 games, 2333705 moves, e=0.010, loss: 2.0, -, 57.0% elo% vs. terrible_bot, avg. reward: -0.407, 7.816 sec/game, 83.1 min. total, 1010.1 MB
magnetize_flanked v17 1289 games, 2337502 moves, e=0.010, loss: 1.5, +, 58.9% elo% vs. terrible_bot, avg. reward: -0.405, 7.777 sec/game, 83.2 min. total, 1009.8 MB
magnetize_flanked v17 1290 games, 2341113 moves, e=0.010, loss: 1.6, +, 60.7% elo% vs. terrible_bot, avg. reward: -0.404, 7.646 sec/game, 83.4 min. total, 1012.8 MB
magnetize_flanked v17 1291 games, 2344411 moves, e=0.010, loss: 1.6, -, 58.0% elo% vs. terrible_bot, avg. reward: -0.406, 7.486 sec/game, 83.5 min. total, 1013.3 MB
magnetize_flanked v17 1292 games, 2348062 moves, e=0.010, loss: 1.7, +, 59.9% elo% vs. terrible_bot, avg. reward: -0.405, 7.502 sec/game, 83.6 min. total, 1013.9 MB
magnetize_flanked v17 1293 games, 2351594 moves, e=0.010, loss: 2.2, -, 57.2% elo% vs. terrible_bot, avg. reward: -0.405, 7.326 sec/game, 83.7 min. total, 1014.4 MB
magnetize_flanked v17 1294 games, 2354821 moves, e=0.010, loss: 1.8, -, 54.6% elo% vs. terrible_bot, avg. reward: -0.405, 7.258 sec/game, 83.8 min. total, 1015.3 MB
magnetize_flanked v17 1295 games, 2358473 moves, e=0.010, loss: 2.4, -, 52.1% elo% vs. terrible_bot, avg. reward: -0.406, 7.230 sec/game, 83.9 min. total, 1015.2 MB
magnetize_flanked v17 1296 games, 2362233 moves, e=0.010, loss: 2.0, ., 52.0% elo% vs. terrible_bot, avg. reward: -0.406, 7.173 sec/game, 84.0 min. total, 1014.6 MB
magnetize_flanked v17 1297 games, 2365587 moves, e=0.010, loss: 2.1, +, 54.2% elo% vs. terrible_bot, avg. reward: -0.409, 7.159 sec/game, 84.1 min. total, 1016.0 MB
magnetize_flanked v17 1298 games, 2368799 moves, e=0.010, loss: 2.5, -, 51.7% elo% vs. terrible_bot, avg. reward: -0.409, 7.135 sec/game, 84.3 min. total, 1017.6 MB
magnetize_flanked v17 1299 games, 2371964 moves, e=0.010, loss: 3.3, -, 49.3% elo% vs. terrible_bot, avg. reward: -0.413, 7.067 sec/game, 84.4 min. total, 1017.5 MB
magnetize_flanked v17 1300 games, 2375661 moves, e=0.010, loss: 2.7, -, 47.1% elo% vs. terrible_bot, avg. reward: -0.412, 7.083 sec/game, 84.5 min. total, 1017.4 MB
magnetize_flanked v18 1301 games, 2379180 moves, e=0.010, loss: 2.4, ., 50.0% elo% vs. terrible_bot, avg. reward: -0.411, 7.107 sec/game, 84.6 min. total, 1018.5 MB
magnetize_flanked v18 1302 games, 2383243 moves, e=0.010, loss: 1.9, ., 50.0% elo% vs. terrible_bot, avg. reward: -0.410, 7.149 sec/game, 84.7 min. total, 1018.9 MB
magnetize_flanked v18 1303 games, 2387084 moves, e=0.010, loss: 1.3, -, 47.7% elo% vs. terrible_bot, avg. reward: -0.408, 7.118 sec/game, 84.8 min. total, 1017.6 MB
magnetize_flanked v18 1304 games, 2390512 moves, e=0.010, loss: 1.2, -, 45.5% elo% vs. terrible_bot, avg. reward: -0.410, 7.014 sec/game, 84.9 min. total, 1021.8 MB
magnetize_flanked v18 1305 games, 2394270 moves, e=0.010, loss: 2.1, ., 45.7% elo% vs. terrible_bot, avg. reward: -0.412, 6.993 sec/game, 85.1 min. total, 1022.3 MB
magnetize_flanked v18 1306 games, 2397995 moves, e=0.010, loss: 1.7, -, 43.6% elo% vs. terrible_bot, avg. reward: -0.410, 6.942 sec/game, 85.2 min. total, 1022.7 MB
magnetize_flanked v18 1307 games, 2401482 moves, e=0.010, loss: 1.7, -, 41.7% elo% vs. terrible_bot, avg. reward: -0.410, 6.882 sec/game, 85.3 min. total, 1020.7 MB
magnetize_flanked v18 1308 games, 2403893 moves, e=0.010, loss: 2.3, +, 44.3% elo% vs. terrible_bot, avg. reward: -0.415, 6.780 sec/game, 85.4 min. total, 1019.2 MB
magnetize_flanked v18 1309 games, 2407135 moves, e=0.010, loss: 2.9, +, 46.8% elo% vs. terrible_bot, avg. reward: -0.417, 6.736 sec/game, 85.5 min. total, 1018.3 MB
magnetize_flanked v18 1310 games, 2410968 moves, e=0.010, loss: 3.2, +, 49.3% elo% vs. terrible_bot, avg. reward: -0.416, 6.759 sec/game, 85.6 min. total, 1020.4 MB
magnetize_flanked v18 1311 games, 2414624 moves, e=0.010, loss: 2.2, -, 47.0% elo% vs. terrible_bot, avg. reward: -0.417, 6.797 sec/game, 85.7 min. total, 1024.0 MB
magnetize_flanked v18 1312 games, 2418101 moves, e=0.010, loss: 1.8, ., 47.2% elo% vs. terrible_bot, avg. reward: -0.414, 6.776 sec/game, 85.8 min. total, 1024.1 MB
magnetize_flanked v18 1313 games, 2421626 moves, e=0.010, loss: 2.1, -, 45.0% elo% vs. terrible_bot, avg. reward: -0.415, 6.787 sec/game, 86.0 min. total, 1022.2 MB
magnetize_flanked v18 1314 games, 2424874 moves, e=0.010, loss: 2.4, +, 47.5% elo% vs. terrible_bot, avg. reward: -0.415, 6.829 sec/game, 86.1 min. total, 1023.2 MB
magnetize_flanked v18 1315 games, 2428396 moves, e=0.010, loss: 2.6, +, 49.9% elo% vs. terrible_bot, avg. reward: -0.415, 6.839 sec/game, 86.2 min. total, 1023.5 MB
magnetize_flanked v18 1316 games, 2432198 moves, e=0.010, loss: 2.7, +, 52.2% elo% vs. terrible_bot, avg. reward: -0.416, 6.876 sec/game, 86.3 min. total, 1024.9 MB
magnetize_flanked v18 1317 games, 2435877 moves, e=0.010, loss: 2.7, +, 54.4% elo% vs. terrible_bot, avg. reward: -0.417, 6.921 sec/game, 86.5 min. total, 1025.6 MB
magnetize_flanked v18 1318 games, 2439856 moves, e=0.010, loss: 2.4, +, 56.5% elo% vs. terrible_bot, avg. reward: -0.411, 6.989 sec/game, 86.6 min. total, 1025.3 MB
magnetize_flanked v18 1319 games, 2443685 moves, e=0.010, loss: 2.0, -, 53.9% elo% vs. terrible_bot, avg. reward: -0.413, 7.054 sec/game, 86.7 min. total, 1024.3 MB
magnetize_flanked v18 1320 games, 2448347 moves, e=0.010, loss: 1.0, +, 56.0% elo% vs. terrible_bot, avg. reward: -0.410, 7.139 sec/game, 86.8 min. total, 1025.1 MB
magnetize_flanked v18 1321 games, 2451972 moves, e=0.010, loss: 1.9, -, 53.5% elo% vs. terrible_bot, avg. reward: -0.412, 7.158 sec/game, 87.0 min. total, 1024.5 MB
magnetize_flanked v18 1322 games, 2455960 moves, e=0.010, loss: 2.0, ., 53.3% elo% vs. terrible_bot, avg. reward: -0.401, 7.150 sec/game, 87.1 min. total, 1024.6 MB
magnetize_flanked v18 1323 games, 2459800 moves, e=0.010, loss: 1.8, +, 55.4% elo% vs. terrible_bot, avg. reward: -0.400, 7.155 sec/game, 87.2 min. total, 1024.2 MB
magnetize_flanked v18 1324 games, 2463173 moves, e=0.010, loss: 1.8, +, 57.5% elo% vs. terrible_bot, avg. reward: -0.400, 7.155 sec/game, 87.3 min. total, 1024.9 MB
magnetize_flanked v18 1325 games, 2466602 moves, e=0.010, loss: 2.3, -, 54.9% elo% vs. terrible_bot, avg. reward: -0.403, 7.124 sec/game, 87.4 min. total, 1025.5 MB
magnetize_flanked v18 1326 games, 2470490 moves, e=0.010, loss: 2.3, +, 56.9% elo% vs. terrible_bot, avg. reward: -0.401, 7.137 sec/game, 87.6 min. total, 1026.5 MB
magnetize_flanked v18 1327 games, 2474839 moves, e=0.010, loss: 2.6, -, 54.3% elo% vs. terrible_bot, avg. reward: -0.401, 7.215 sec/game, 87.7 min. total, 1026.5 MB
magnetize_flanked v18 1328 games, 2478278 moves, e=0.010, loss: 1.9, ., 54.1% elo% vs. terrible_bot, avg. reward: -0.404, 7.309 sec/game, 87.8 min. total, 1026.2 MB
magnetize_flanked v18 1329 games, 2481482 moves, e=0.010, loss: 2.1, +, 56.2% elo% vs. terrible_bot, avg. reward: -0.403, 7.312 sec/game, 87.9 min. total, 1027.7 MB
magnetize_flanked v18 1330 games, 2484858 moves, e=0.010, loss: 2.6, +, 58.2% elo% vs. terrible_bot, avg. reward: -0.406, 7.273 sec/game, 88.0 min. total, 1026.3 MB
magnetize_flanked v18 1331 games, 2487827 moves, e=0.010, loss: 2.7, +, 60.0% elo% vs. terrible_bot, avg. reward: -0.406, 7.210 sec/game, 88.1 min. total, 1026.5 MB
magnetize_flanked v18 1332 games, 2491920 moves, e=0.010, loss: 2.1, -, 57.4% elo% vs. terrible_bot, avg. reward: -0.407, 7.266 sec/game, 88.3 min. total, 1027.0 MB
magnetize_flanked v18 1333 games, 2494010 moves, e=0.010, loss: 2.4, -, 54.8% elo% vs. terrible_bot, avg. reward: -0.415, 7.142 sec/game, 88.3 min. total, 1024.4 MB
magnetize_flanked v18 1334 games, 2496786 moves, e=0.010, loss: 2.3, -, 52.3% elo% vs. terrible_bot, avg. reward: -0.419, 7.051 sec/game, 88.4 min. total, 1024.4 MB
magnetize_flanked v18 1335 games, 2500809 moves, e=0.010, loss: 2.2, -, 49.9% elo% vs. terrible_bot, avg. reward: -0.418, 7.072 sec/game, 88.6 min. total, 1024.8 MB
magnetize_flanked v18 1336 games, 2504106 moves, e=0.010, loss: 2.0, +, 52.2% elo% vs. terrible_bot, avg. reward: -0.419, 7.005 sec/game, 88.7 min. total, 1028.1 MB
magnetize_flanked v18 1337 games, 2507378 moves, e=0.010, loss: 1.9, +, 54.4% elo% vs. terrible_bot, avg. reward: -0.419, 6.947 sec/game, 88.8 min. total, 1030.6 MB
magnetize_flanked v18 1338 games, 2511022 moves, e=0.010, loss: 1.7, +, 56.4% elo% vs. terrible_bot, avg. reward: -0.418, 6.921 sec/game, 88.9 min. total, 1031.5 MB
magnetize_flanked v18 1339 games, 2513626 moves, e=0.010, loss: 2.6, -, 53.9% elo% vs. terrible_bot, avg. reward: -0.426, 6.809 sec/game, 89.0 min. total, 1027.8 MB
magnetize_flanked v18 1340 games, 2517399 moves, e=0.010, loss: 2.8, ., 53.7% elo% vs. terrible_bot, avg. reward: -0.426, 6.743 sec/game, 89.1 min. total, 1028.4 MB
magnetize_flanked v18 1341 games, 2521053 moves, e=0.010, loss: 2.0, -, 51.2% elo% vs. terrible_bot, avg. reward: -0.426, 6.734 sec/game, 89.2 min. total, 1030.3 MB
magnetize_flanked v18 1342 games, 2524697 moves, e=0.010, loss: 1.8, +, 53.5% elo% vs. terrible_bot, avg. reward: -0.425, 6.713 sec/game, 89.3 min. total, 1032.4 MB
magnetize_flanked v18 1343 games, 2528466 moves, e=0.010, loss: 1.9, -, 51.0% elo% vs. terrible_bot, avg. reward: -0.425, 6.702 sec/game, 89.5 min. total, 1033.2 MB
magnetize_flanked v18 1344 games, 2532177 moves, e=0.010, loss: 2.1, -, 48.7% elo% vs. terrible_bot, avg. reward: -0.427, 6.741 sec/game, 89.6 min. total, 1033.8 MB
magnetize_flanked v18 1345 games, 2535900 moves, e=0.010, loss: 2.4, +, 51.0% elo% vs. terrible_bot, avg. reward: -0.427, 6.761 sec/game, 89.7 min. total, 1034.6 MB
magnetize_flanked v18 1346 games, 2539675 moves, e=0.010, loss: 2.0, -, 48.7% elo% vs. terrible_bot, avg. reward: -0.425, 6.756 sec/game, 89.8 min. total, 1035.6 MB
magnetize_flanked v18 1347 games, 2543921 moves, e=0.010, loss: 1.8, +, 51.0% elo% vs. terrible_bot, avg. reward: -0.423, 6.747 sec/game, 90.0 min. total, 1035.3 MB
magnetize_flanked v18 1348 games, 2547989 moves, e=0.010, loss: 1.8, +, 53.3% elo% vs. terrible_bot, avg. reward: -0.423, 6.800 sec/game, 90.1 min. total, 1036.2 MB
magnetize_flanked v18 1349 games, 2552178 moves, e=0.010, loss: 1.7, -, 50.8% elo% vs. terrible_bot, avg. reward: -0.422, 6.877 sec/game, 90.2 min. total, 1038.2 MB
magnetize_flanked v18 1350 games, 2555376 moves, e=0.010, loss: 2.3, -, 48.5% elo% vs. terrible_bot, avg. reward: -0.422, 6.861 sec/game, 90.3 min. total, 1037.5 MB
