skedaddle_puma v2 117 games, 64922 moves, e=0.936, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.753, 0.354 sec/game, 0.8 min. total, 645.2 MB
skedaddle_puma v2 118 games, 65469 moves, e=0.935, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.776, 0.360 sec/game, 0.8 min. total, 645.9 MB
skedaddle_puma v2 119 games, 66062 moves, e=0.935, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.795, 0.359 sec/game, 0.8 min. total, 646.9 MB
skedaddle_puma v2 120 games, 66574 moves, e=0.934, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.824, 0.314 sec/game, 0.8 min. total, 648.3 MB
skedaddle_puma v2 121 games, 67215 moves, e=0.933, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.820, 0.315 sec/game, 0.8 min. total, 650.7 MB
skedaddle_puma v2 122 games, 67803 moves, e=0.933, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.830, 0.314 sec/game, 0.8 min. total, 653.0 MB
skedaddle_puma v2 123 games, 68444 moves, e=0.932, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.826, 0.317 sec/game, 0.8 min. total, 655.2 MB
skedaddle_puma v2 124 games, 69090 moves, e=0.932, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.837, 0.279 sec/game, 0.8 min. total, 657.5 MB
skedaddle_puma v2 125 games, 69668 moves, e=0.931, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -11.858, 0.279 sec/game, 0.8 min. total, 659.7 MB
skedaddle_puma v2 126 games, 70236 moves, e=0.930, loss: nan, -, 47.7% elo% vs. v0, avg. reward: -11.870, 0.277 sec/game, 0.8 min. total, 662.0 MB
skedaddle_puma v2 127 games, 70801 moves, e=0.930, loss: nan, ., 47.8% elo% vs. v0, avg. reward: -11.886, 0.277 sec/game, 0.9 min. total, 664.4 MB
skedaddle_puma v2 129 games, 71687 moves, e=0.929, loss: nan, -, 45.6% elo% vs. v0, avg. reward: -11.910, 0.396 sec/game, 0.9 min. total, 667.8 MB
skedaddle_puma v2 130 games, 72286 moves, e=0.928, loss: nan, ., 45.8% elo% vs. v0, avg. reward: -11.912, 0.396 sec/game, 0.9 min. total, 670.3 MB
skedaddle_puma v2 131 games, 72875 moves, e=0.928, loss: nan, ., 46.0% elo% vs. v0, avg. reward: -11.928, 0.397 sec/game, 0.9 min. total, 672.7 MB
skedaddle_puma v2 133 games, 73625 moves, e=0.927, loss: nan, ., 46.2% elo% vs. v0, avg. reward: -11.985, 0.438 sec/game, 0.9 min. total, 675.6 MB
skedaddle_puma v2 134 games, 74214 moves, e=0.927, loss: nan, ., 46.4% elo% vs. v0, avg. reward: -11.994, 0.440 sec/game, 0.9 min. total, 677.9 MB
skedaddle_puma v2 135 games, 74696 moves, e=0.926, loss: nan, ., 46.5% elo% vs. v0, avg. reward: -12.027, 0.438 sec/game, 0.9 min. total, 680.0 MB
skedaddle_puma v2 136 games, 75287 moves, e=0.925, loss: nan, ., 46.7% elo% vs. v0, avg. reward: -12.049, 0.439 sec/game, 0.9 min. total, 682.4 MB
skedaddle_puma v2 137 games, 75817 moves, e=0.925, loss: nan, ., 46.8% elo% vs. v0, avg. reward: -12.067, 0.441 sec/game, 0.9 min. total, 685.4 MB
skedaddle_puma v2 138 games, 76328 moves, e=0.924, loss: nan, ., 47.0% elo% vs. v0, avg. reward: -12.101, 0.434 sec/game, 1.0 min. total, 687.6 MB
skedaddle_puma v2 139 games, 76800 moves, e=0.924, loss: nan, ., 47.1% elo% vs. v0, avg. reward: -12.134, 0.431 sec/game, 1.0 min. total, 690.0 MB
skedaddle_puma v2 140 games, 77308 moves, e=0.923, loss: nan, ., 47.3% elo% vs. v0, avg. reward: -12.163, 0.432 sec/game, 1.0 min. total, 692.7 MB
skedaddle_puma v2 141 games, 77899 moves, e=0.923, loss: nan, ., 47.4% elo% vs. v0, avg. reward: -12.172, 0.432 sec/game, 1.0 min. total, 695.5 MB
skedaddle_puma v2 142 games, 78475 moves, e=0.922, loss: nan, ., 47.5% elo% vs. v0, avg. reward: -12.190, 0.433 sec/game, 1.0 min. total, 698.2 MB
skedaddle_puma v2 143 games, 78999 moves, e=0.922, loss: nan, ., 47.6% elo% vs. v0, avg. reward: -12.207, 0.430 sec/game, 1.0 min. total, 701.0 MB
skedaddle_puma v2 144 games, 79480 moves, e=0.921, loss: nan, ., 47.7% elo% vs. v0, avg. reward: -12.240, 0.425 sec/game, 1.0 min. total, 703.4 MB
skedaddle_puma v2 146 games, 80327 moves, e=0.920, loss: nan, ., 47.8% elo% vs. v0, avg. reward: -12.266, 0.465 sec/game, 1.0 min. total, 709.6 MB
skedaddle_puma v2 147 games, 80922 moves, e=0.920, loss: nan, ., 47.9% elo% vs. v0, avg. reward: -12.286, 0.467 sec/game, 1.0 min. total, 712.8 MB
skedaddle_puma v2 148 games, 81419 moves, e=0.919, loss: nan, ., 48.0% elo% vs. v0, avg. reward: -12.331, 0.466 sec/game, 1.0 min. total, 715.6 MB
skedaddle_puma v2 150 games, 82193 moves, e=0.919, loss: nan, +, 50.4% elo% vs. v0, avg. reward: -12.394, 0.390 sec/game, 1.0 min. total, 722.4 MB
skedaddle_puma v2 151 games, 82735 moves, e=0.918, loss: nan, ., 50.4% elo% vs. v0, avg. reward: -12.411, 0.390 sec/game, 1.0 min. total, 725.4 MB
skedaddle_puma v2 152 games, 83291 moves, e=0.918, loss: nan, ., 50.4% elo% vs. v0, avg. reward: -12.424, 0.392 sec/game, 1.0 min. total, 727.8 MB
skedaddle_puma v2 153 games, 83801 moves, e=0.917, loss: nan, ., 50.4% elo% vs. v0, avg. reward: -12.457, 0.349 sec/game, 1.0 min. total, 730.7 MB
skedaddle_puma v2 154 games, 84413 moves, e=0.916, loss: nan, ., 50.3% elo% vs. v0, avg. reward: -12.465, 0.349 sec/game, 1.1 min. total, 734.0 MB
skedaddle_puma v2 156 games, 85191 moves, e=0.916, loss: nan, ., 50.3% elo% vs. v0, avg. reward: -12.518, 0.397 sec/game, 1.1 min. total, 738.0 MB
skedaddle_puma v2 157 games, 85762 moves, e=0.915, loss: nan, ., 50.3% elo% vs. v0, avg. reward: -12.541, 0.398 sec/game, 1.1 min. total, 738.7 MB
skedaddle_puma v2 159 games, 86524 moves, e=0.914, loss: nan, ., 50.3% elo% vs. v0, avg. reward: -12.579, 0.400 sec/game, 1.1 min. total, 740.7 MB
skedaddle_puma v2 160 games, 87099 moves, e=0.914, loss: nan, ., 50.3% elo% vs. v0, avg. reward: -12.591, 0.401 sec/game, 1.1 min. total, 742.7 MB
skedaddle_puma v2 161 games, 87701 moves, e=0.913, loss: nan, ., 50.3% elo% vs. v0, avg. reward: -12.598, 0.403 sec/game, 1.1 min. total, 744.9 MB
skedaddle_puma v2 162 games, 88256 moves, e=0.913, loss: nan, ., 50.3% elo% vs. v0, avg. reward: -12.621, 0.403 sec/game, 1.1 min. total, 746.8 MB
skedaddle_puma v2 164 games, 89000 moves, e=0.912, loss: nan, ., 50.2% elo% vs. v0, avg. reward: -12.672, 0.525 sec/game, 1.2 min. total, 749.7 MB
skedaddle_puma v2 166 games, 89700 moves, e=0.911, loss: nan, ., 50.2% elo% vs. v0, avg. reward: -12.722, 0.486 sec/game, 1.2 min. total, 752.3 MB
skedaddle_puma v2 168 games, 90489 moves, e=0.910, loss: nan, ., 50.2% elo% vs. v0, avg. reward: -12.729, 0.486 sec/game, 1.2 min. total, 755.5 MB
skedaddle_puma v2 169 games, 91075 moves, e=0.910, loss: nan, ., 50.2% elo% vs. v0, avg. reward: -12.705, 0.487 sec/game, 1.2 min. total, 757.8 MB
skedaddle_puma v2 170 games, 91602 moves, e=0.909, loss: nan, ., 50.2% elo% vs. v0, avg. reward: -12.724, 0.450 sec/game, 1.2 min. total, 759.9 MB
skedaddle_puma v2 171 games, 92133 moves, e=0.909, loss: nan, ., 50.2% elo% vs. v0, avg. reward: -12.751, 0.449 sec/game, 1.2 min. total, 761.9 MB
skedaddle_puma v2 172 games, 92676 moves, e=0.908, loss: nan, ., 50.2% elo% vs. v0, avg. reward: -12.758, 0.449 sec/game, 1.2 min. total, 764.0 MB
skedaddle_puma v2 173 games, 93181 moves, e=0.908, loss: nan, ., 50.2% elo% vs. v0, avg. reward: -12.790, 0.448 sec/game, 1.2 min. total, 766.2 MB
skedaddle_puma v2 174 games, 93806 moves, e=0.907, loss: nan, ., 50.2% elo% vs. v0, avg. reward: -12.784, 0.448 sec/game, 1.2 min. total, 768.8 MB
skedaddle_puma v2 175 games, 94328 moves, e=0.907, loss: nan, ., 50.2% elo% vs. v0, avg. reward: -12.803, 0.447 sec/game, 1.2 min. total, 771.1 MB
skedaddle_puma v2 177 games, 95031 moves, e=0.906, loss: nan, ., 50.2% elo% vs. v0, avg. reward: -12.869, 0.401 sec/game, 1.2 min. total, 775.5 MB
skedaddle_puma v2 179 games, 95823 moves, e=0.905, loss: nan, ., 50.1% elo% vs. v0, avg. reward: -12.915, 0.444 sec/game, 1.2 min. total, 781.7 MB
skedaddle_puma v2 180 games, 96370 moves, e=0.905, loss: nan, ., 50.1% elo% vs. v0, avg. reward: -12.930, 0.449 sec/game, 1.2 min. total, 784.6 MB
skedaddle_puma v2 181 games, 96892 moves, e=0.904, loss: nan, ., 50.1% elo% vs. v0, avg. reward: -12.956, 0.446 sec/game, 1.3 min. total, 787.6 MB
skedaddle_puma v2 182 games, 97438 moves, e=0.904, loss: nan, ., 50.1% elo% vs. v0, avg. reward: -12.967, 0.445 sec/game, 1.3 min. total, 791.2 MB
skedaddle_puma v2 183 games, 97909 moves, e=0.903, loss: nan, ., 50.1% elo% vs. v0, avg. reward: -13.010, 0.446 sec/game, 1.3 min. total, 794.6 MB
skedaddle_puma v2 184 games, 98403 moves, e=0.903, loss: nan, ., 50.1% elo% vs. v0, avg. reward: -13.018, 0.326 sec/game, 1.3 min. total, 797.7 MB
skedaddle_puma v2 185 games, 99037 moves, e=0.902, loss: nan, ., 50.1% elo% vs. v0, avg. reward: -13.019, 0.328 sec/game, 1.3 min. total, 801.6 MB
skedaddle_puma v2 186 games, 99550 moves, e=0.901, loss: nan, ., 50.1% elo% vs. v0, avg. reward: -13.048, 0.327 sec/game, 1.3 min. total, 804.8 MB
skedaddle_puma v2 187 games, 99990 moves, e=0.901, loss: nan, ., 50.1% elo% vs. v0, avg. reward: -13.085, 0.325 sec/game, 1.3 min. total, 807.3 MB
skedaddle_puma v2 188 games, 100810 moves, e=0.900, loss: 64.7, +, 52.4% elo% vs. v0, avg. reward: -13.038, 0.589 sec/game, 1.4 min. total, 865.2 MB
skedaddle_puma v2 190 games, 101779 moves, e=0.899, loss: 34.3, +, 54.6% elo% vs. v0, avg. reward: -12.996, 0.910 sec/game, 1.5 min. total, 866.2 MB
skedaddle_puma v2 192 games, 102796 moves, e=0.898, loss: 19.2, +, 56.6% elo% vs. v0, avg. reward: -12.978, 1.276 sec/game, 1.6 min. total, 868.9 MB
skedaddle_puma v2 193 games, 103394 moves, e=0.898, loss: 15.3, +, 58.6% elo% vs. v0, avg. reward: -12.965, 1.439 sec/game, 1.7 min. total, 869.0 MB
skedaddle_puma v2 195 games, 104426 moves, e=0.897, loss: 10.4, +, 60.4% elo% vs. v0, avg. reward: -12.939, 1.767 sec/game, 1.8 min. total, 868.7 MB
skedaddle_puma v2 196 games, 105146 moves, e=0.896, loss: 8.6, +, 62.2% elo% vs. v0, avg. reward: -12.915, 2.013 sec/game, 1.9 min. total, 869.0 MB
