sanding_take v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
sanding_take v2 89 games, 64830 moves, e=0.936, loss: 1761.6, +, 67.4% elo% vs. guard_bot, avg. reward: 26.278, 1.476 sec/game, 2.0 min. total, 444.3 MB
sanding_take v2 90 games, 65495 moves, e=0.935, loss: 1656.2, +, 68.7% elo% vs. guard_bot, avg. reward: 26.277, 1.468 sec/game, 2.0 min. total, 444.7 MB
sanding_take v2 91 games, 66268 moves, e=0.934, loss: 1635.8, ., 67.9% elo% vs. guard_bot, avg. reward: 26.271, 1.448 sec/game, 2.0 min. total, 444.2 MB
sanding_take v2 92 games, 67021 moves, e=0.934, loss: 1623.0, +, 69.2% elo% vs. guard_bot, avg. reward: 26.283, 1.443 sec/game, 2.0 min. total, 444.7 MB
sanding_take v2 93 games, 67808 moves, e=0.933, loss: 1654.8, +, 70.4% elo% vs. guard_bot, avg. reward: 26.279, 1.450 sec/game, 2.0 min. total, 444.3 MB
sanding_take v3 94 games, 68580 moves, e=0.932, loss: 1738.8, -, 49.9% elo% vs. random_no_suicide, avg. reward: 26.252, 1.458 sec/game, 2.1 min. total, 447.6 MB
sanding_take v3 95 games, 69237 moves, e=0.931, loss: 1809.9, -, 47.6% elo% vs. random_no_suicide, avg. reward: 26.248, 1.448 sec/game, 2.1 min. total, 448.0 MB
sanding_take v3 96 games, 69993 moves, e=0.931, loss: 1750.0, -, 45.4% elo% vs. random_no_suicide, avg. reward: 26.268, 1.457 sec/game, 2.1 min. total, 448.3 MB
sanding_take v3 97 games, 70742 moves, e=0.930, loss: 1836.0, -, 43.4% elo% vs. random_no_suicide, avg. reward: 26.279, 1.459 sec/game, 2.1 min. total, 448.2 MB
sanding_take v3 98 games, 71463 moves, e=0.929, loss: 1973.6, -, 41.4% elo% vs. random_no_suicide, avg. reward: 26.284, 1.449 sec/game, 2.2 min. total, 448.3 MB
sanding_take v3 99 games, 72228 moves, e=0.928, loss: 2184.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: 26.287, 1.448 sec/game, 2.2 min. total, 448.5 MB
sanding_take v3 100 games, 72970 moves, e=0.928, loss: 2194.7, -, 37.8% elo% vs. random_no_suicide, avg. reward: 26.281, 1.445 sec/game, 2.2 min. total, 448.3 MB
sanding_take v4 101 games, 73779 moves, e=0.927, loss: 2105.0, -, 47.7% elo% vs. random_no_suicide, avg. reward: 26.282, 1.486 sec/game, 2.3 min. total, 448.6 MB
