subfloor_cuddly v2 196 games, 100037 moves, e=0.901, loss: nan, ., 50.0% elo% vs. guard_bot, avg. reward: -9.975, 0.342 sec/game, 0.9 min. total, 715.7 MB
subfloor_cuddly v2 198 games, 101211 moves, e=0.900, loss: 46.0, +, 52.3% elo% vs. guard_bot, avg. reward: -9.961, 0.647 sec/game, 1.1 min. total, 756.9 MB
subfloor_cuddly v2 200 games, 102247 moves, e=0.899, loss: 27.6, +, 54.5% elo% vs. guard_bot, avg. reward: -9.912, 0.887 sec/game, 1.2 min. total, 758.0 MB
subfloor_cuddly v3 202 games, 103325 moves, e=0.898, loss: 17.8, +, 52.3% elo% vs. guard_bot, avg. reward: -9.924, 1.153 sec/game, 1.3 min. total, 759.6 MB
subfloor_cuddly v3 204 games, 104456 moves, e=0.897, loss: 13.3, +, 54.5% elo% vs. guard_bot, avg. reward: -9.907, 1.434 sec/game, 1.4 min. total, 759.6 MB
subfloor_cuddly v3 206 games, 105442 moves, e=0.896, loss: 12.0, +, 56.6% elo% vs. guard_bot, avg. reward: -9.924, 1.647 sec/game, 1.4 min. total, 758.8 MB
subfloor_cuddly v3 208 games, 106532 moves, e=0.895, loss: 10.6, +, 58.5% elo% vs. guard_bot, avg. reward: -9.936, 1.925 sec/game, 1.5 min. total, 759.7 MB
subfloor_cuddly v3 210 games, 107640 moves, e=0.893, loss: 9.8, +, 60.4% elo% vs. guard_bot, avg. reward: -9.946, 2.178 sec/game, 1.6 min. total, 759.6 MB
subfloor_cuddly v3 212 games, 108723 moves, e=0.892, loss: 9.7, +, 62.1% elo% vs. guard_bot, avg. reward: -9.901, 2.443 sec/game, 1.7 min. total, 760.0 MB
subfloor_cuddly v3 214 games, 109800 moves, e=0.891, loss: 9.0, +, 63.7% elo% vs. guard_bot, avg. reward: -9.914, 2.686 sec/game, 1.8 min. total, 760.7 MB
