remix_overdress v1 89 games, 62726 moves, e=0.938, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.256, 0.309 sec/game, 0.4 min. total, 545.0 MB
remix_overdress v1 90 games, 63547 moves, e=0.937, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.241, 0.307 sec/game, 0.4 min. total, 546.9 MB
remix_overdress v1 91 games, 64409 moves, e=0.936, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.216, 0.312 sec/game, 0.4 min. total, 549.2 MB
remix_overdress v1 92 games, 65215 moves, e=0.935, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.198, 0.318 sec/game, 0.4 min. total, 551.2 MB
remix_overdress v1 93 games, 65857 moves, e=0.935, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.207, 0.318 sec/game, 0.4 min. total, 552.7 MB
remix_overdress v1 94 games, 66763 moves, e=0.934, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.177, 0.321 sec/game, 0.4 min. total, 555.4 MB
remix_overdress v1 95 games, 67492 moves, e=0.933, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.169, 0.324 sec/game, 0.4 min. total, 557.4 MB
remix_overdress v1 96 games, 68297 moves, e=0.932, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.152, 0.325 sec/game, 0.4 min. total, 559.8 MB
remix_overdress v1 97 games, 69123 moves, e=0.932, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.136, 0.329 sec/game, 0.4 min. total, 562.3 MB
remix_overdress v1 98 games, 69755 moves, e=0.931, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.152, 0.327 sec/game, 0.4 min. total, 564.8 MB
remix_overdress v1 99 games, 70525 moves, e=0.930, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.144, 0.328 sec/game, 0.5 min. total, 568.3 MB
remix_overdress v1 100 games, 71233 moves, e=0.929, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.146, 0.325 sec/game, 0.5 min. total, 571.0 MB
remix_overdress v2 101 games, 72074 moves, e=0.929, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.113, 0.329 sec/game, 0.5 min. total, 575.2 MB
remix_overdress v2 102 games, 72895 moves, e=0.928, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.103, 0.330 sec/game, 0.5 min. total, 578.7 MB
remix_overdress v2 103 games, 73632 moves, e=0.927, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.100, 0.330 sec/game, 0.5 min. total, 582.9 MB
remix_overdress v2 104 games, 74493 moves, e=0.926, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.062, 0.331 sec/game, 0.5 min. total, 586.5 MB
remix_overdress v2 105 games, 75260 moves, e=0.925, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.037, 0.335 sec/game, 0.5 min. total, 591.1 MB
remix_overdress v2 106 games, 76075 moves, e=0.925, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.019, 0.334 sec/game, 0.5 min. total, 595.1 MB
remix_overdress v2 107 games, 76863 moves, e=0.924, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.998, 0.339 sec/game, 0.5 min. total, 595.9 MB
remix_overdress v2 108 games, 77569 moves, e=0.923, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.983, 0.343 sec/game, 0.5 min. total, 596.6 MB
remix_overdress v2 109 games, 78266 moves, e=0.923, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.989, 0.343 sec/game, 0.5 min. total, 597.7 MB
remix_overdress v2 110 games, 78918 moves, e=0.922, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.009, 0.341 sec/game, 0.5 min. total, 599.1 MB
remix_overdress v2 111 games, 79664 moves, e=0.921, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.997, 0.338 sec/game, 0.5 min. total, 600.9 MB
remix_overdress v2 112 games, 80417 moves, e=0.920, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.002, 0.339 sec/game, 0.5 min. total, 602.7 MB
