enrich_mushiness v1 92 games, 57271 moves, e=0.943, loss: nan, -, 51.4% elo% vs. v0, avg. reward: -10.500, 0.492 sec/game, 0.7 min. total, 609.5 MB
enrich_mushiness v1 93 games, 58020 moves, e=0.943, loss: nan, +, 53.6% elo% vs. v0, avg. reward: -10.490, 0.494 sec/game, 0.7 min. total, 612.6 MB
enrich_mushiness v1 95 games, 58971 moves, e=0.942, loss: nan, -, 51.1% elo% vs. v0, avg. reward: -10.496, 0.521 sec/game, 0.7 min. total, 616.6 MB
enrich_mushiness v1 96 games, 59629 moves, e=0.941, loss: nan, +, 53.4% elo% vs. v0, avg. reward: -10.499, 0.521 sec/game, 0.7 min. total, 620.0 MB
enrich_mushiness v1 97 games, 60305 moves, e=0.940, loss: nan, -, 50.9% elo% vs. v0, avg. reward: -10.498, 0.492 sec/game, 0.7 min. total, 624.2 MB
enrich_mushiness v1 98 games, 61090 moves, e=0.940, loss: nan, +, 53.2% elo% vs. v0, avg. reward: -10.486, 0.494 sec/game, 0.7 min. total, 629.0 MB
enrich_mushiness v1 99 games, 61833 moves, e=0.939, loss: nan, ., 53.0% elo% vs. v0, avg. reward: -10.479, 0.491 sec/game, 0.7 min. total, 633.3 MB
enrich_mushiness v1 100 games, 62484 moves, e=0.938, loss: nan, +, 55.2% elo% vs. v0, avg. reward: -10.486, 0.461 sec/game, 0.7 min. total, 636.8 MB
enrich_mushiness v2 101 games, 63233 moves, e=0.937, loss: nan, -, 47.7% elo% vs. v0, avg. reward: -10.478, 0.460 sec/game, 0.7 min. total, 642.1 MB
enrich_mushiness v2 102 games, 63980 moves, e=0.937, loss: nan, ., 47.8% elo% vs. v0, avg. reward: -10.472, 0.434 sec/game, 0.7 min. total, 647.1 MB
enrich_mushiness v2 104 games, 64868 moves, e=0.936, loss: nan, ., 47.9% elo% vs. v0, avg. reward: -10.524, 0.438 sec/game, 0.8 min. total, 651.2 MB
enrich_mushiness v2 106 games, 65815 moves, e=0.935, loss: nan, ., 48.0% elo% vs. v0, avg. reward: -10.556, 0.441 sec/game, 0.8 min. total, 653.4 MB
enrich_mushiness v2 107 games, 66679 moves, e=0.934, loss: nan, +, 50.4% elo% vs. v0, avg. reward: -10.531, 0.445 sec/game, 0.8 min. total, 657.0 MB
enrich_mushiness v2 109 games, 67673 moves, e=0.933, loss: nan, -, 48.1% elo% vs. v0, avg. reward: -10.520, 0.527 sec/game, 0.8 min. total, 660.8 MB
enrich_mushiness v2 110 games, 68423 moves, e=0.932, loss: nan, +, 50.5% elo% vs. v0, avg. reward: -10.511, 0.531 sec/game, 0.8 min. total, 663.8 MB
enrich_mushiness v2 111 games, 69045 moves, e=0.932, loss: nan, -, 48.1% elo% vs. v0, avg. reward: -10.529, 0.532 sec/game, 0.8 min. total, 666.4 MB
enrich_mushiness v2 112 games, 69855 moves, e=0.931, loss: nan, ., 48.2% elo% vs. v0, avg. reward: -10.519, 0.539 sec/game, 0.8 min. total, 669.7 MB
enrich_mushiness v2 114 games, 70890 moves, e=0.930, loss: nan, -, 46.0% elo% vs. v0, avg. reward: -10.485, 0.538 sec/game, 0.9 min. total, 673.8 MB
enrich_mushiness v2 116 games, 71886 moves, e=0.929, loss: nan, ., 46.2% elo% vs. v0, avg. reward: -10.506, 0.589 sec/game, 0.9 min. total, 678.2 MB
enrich_mushiness v2 117 games, 72618 moves, e=0.928, loss: nan, ., 46.4% elo% vs. v0, avg. reward: -10.495, 0.591 sec/game, 0.9 min. total, 682.1 MB
