facial_putdown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
facial_putdown v1 92 games, 66394 moves, e=0.934, loss: 174.6, -, 34.0% elo% vs. v0, avg. reward: 0.182, 1.685 sec/game, 2.2 min. total, 421.9 MB
facial_putdown v1 93 games, 67137 moves, e=0.934, loss: 175.5, +, 36.8% elo% vs. v0, avg. reward: 0.187, 1.693 sec/game, 2.2 min. total, 421.3 MB
facial_putdown v1 94 games, 67930 moves, e=0.933, loss: 184.4, -, 35.2% elo% vs. v0, avg. reward: 0.174, 1.727 sec/game, 2.3 min. total, 421.8 MB
facial_putdown v1 95 games, 68703 moves, e=0.932, loss: 186.9, +, 38.0% elo% vs. v0, avg. reward: 0.168, 1.739 sec/game, 2.3 min. total, 422.1 MB
facial_putdown v1 96 games, 69445 moves, e=0.931, loss: 203.3, +, 40.7% elo% vs. v0, avg. reward: 0.171, 1.744 sec/game, 2.3 min. total, 422.5 MB
facial_putdown v1 97 games, 70271 moves, e=0.930, loss: 194.8, -, 38.9% elo% vs. v0, avg. reward: 0.196, 1.749 sec/game, 2.4 min. total, 423.5 MB
facial_putdown v1 98 games, 71046 moves, e=0.930, loss: 190.8, -, 37.2% elo% vs. v0, avg. reward: 0.202, 1.784 sec/game, 2.4 min. total, 424.1 MB
facial_putdown v1 99 games, 71838 moves, e=0.929, loss: 178.5, -, 35.6% elo% vs. v0, avg. reward: 0.226, 1.809 sec/game, 2.4 min. total, 424.1 MB
facial_putdown v1 100 games, 72555 moves, e=0.928, loss: 191.2, +, 38.4% elo% vs. v0, avg. reward: 0.200, 1.801 sec/game, 2.5 min. total, 424.2 MB
facial_putdown v2 101 games, 73362 moves, e=0.927, loss: 204.3, -, 47.7% elo% vs. v0, avg. reward: 0.300, 1.831 sec/game, 2.5 min. total, 424.3 MB
facial_putdown v2 102 games, 74112 moves, e=0.927, loss: 224.8, -, 45.5% elo% vs. v0, avg. reward: 0.318, 1.835 sec/game, 2.5 min. total, 424.8 MB
