limpness_gamma v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.5 MB
limpness_gamma v3 71 games, 51268 moves, e=0.949, loss: 0.2, -, 13.1% elo% vs. random_no_suicide, avg. reward: -0.049, 1.308 sec/game, 1.3 min. total, 441.9 MB
limpness_gamma v3 72 games, 51998 moves, e=0.949, loss: 0.2, -, 12.9% elo% vs. random_no_suicide, avg. reward: -0.049, 1.317 sec/game, 1.4 min. total, 441.8 MB
limpness_gamma v3 73 games, 52694 moves, e=0.948, loss: 0.2, -, 12.6% elo% vs. random_no_suicide, avg. reward: -0.048, 1.309 sec/game, 1.4 min. total, 441.8 MB
limpness_gamma v3 74 games, 53475 moves, e=0.947, loss: 0.2, -, 12.3% elo% vs. random_no_suicide, avg. reward: -0.048, 1.301 sec/game, 1.4 min. total, 441.9 MB
limpness_gamma v3 75 games, 54140 moves, e=0.946, loss: 0.2, -, 12.1% elo% vs. random_no_suicide, avg. reward: -0.049, 1.301 sec/game, 1.4 min. total, 442.0 MB
limpness_gamma v3 76 games, 54860 moves, e=0.946, loss: 0.2, -, 11.9% elo% vs. random_no_suicide, avg. reward: -0.049, 1.301 sec/game, 1.5 min. total, 442.1 MB
limpness_gamma v3 77 games, 55565 moves, e=0.945, loss: 0.2, -, 11.6% elo% vs. random_no_suicide, avg. reward: -0.048, 1.308 sec/game, 1.5 min. total, 442.1 MB
limpness_gamma v3 78 games, 56351 moves, e=0.944, loss: 0.2, -, 11.4% elo% vs. random_no_suicide, avg. reward: -0.048, 1.316 sec/game, 1.5 min. total, 442.1 MB
limpness_gamma v3 79 games, 57033 moves, e=0.944, loss: 0.2, -, 11.2% elo% vs. random_no_suicide, avg. reward: -0.049, 1.308 sec/game, 1.5 min. total, 443.1 MB
limpness_gamma v3 80 games, 57791 moves, e=0.943, loss: 0.2, -, 11.0% elo% vs. random_no_suicide, avg. reward: -0.050, 1.320 sec/game, 1.5 min. total, 443.1 MB
limpness_gamma v3 81 games, 58595 moves, e=0.942, loss: 0.2, -, 10.8% elo% vs. random_no_suicide, avg. reward: -0.051, 1.321 sec/game, 1.6 min. total, 443.7 MB
limpness_gamma v3 82 games, 59256 moves, e=0.941, loss: 0.2, -, 10.6% elo% vs. random_no_suicide, avg. reward: -0.050, 1.315 sec/game, 1.6 min. total, 443.6 MB
limpness_gamma v3 83 games, 59925 moves, e=0.941, loss: 0.2, -, 10.4% elo% vs. random_no_suicide, avg. reward: -0.050, 1.316 sec/game, 1.6 min. total, 444.2 MB
