reflux_snowflake v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.2 MB
reflux_snowflake v3 71 games, 51052 moves, e=0.949, loss: 81.1, -, 27.9% elo% vs. random_no_suicide, avg. reward: 3.580, 1.416 sec/game, 1.4 min. total, 448.7 MB
reflux_snowflake v3 72 games, 51777 moves, e=0.949, loss: 74.9, -, 26.9% elo% vs. random_no_suicide, avg. reward: 3.597, 1.441 sec/game, 1.4 min. total, 448.9 MB
reflux_snowflake v3 73 games, 52572 moves, e=0.948, loss: 76.3, -, 25.9% elo% vs. random_no_suicide, avg. reward: 3.598, 1.450 sec/game, 1.5 min. total, 448.8 MB
reflux_snowflake v3 74 games, 53271 moves, e=0.947, loss: 76.2, -, 25.0% elo% vs. random_no_suicide, avg. reward: 3.591, 1.461 sec/game, 1.5 min. total, 448.5 MB
reflux_snowflake v3 75 games, 54082 moves, e=0.946, loss: 80.2, -, 24.2% elo% vs. random_no_suicide, avg. reward: 3.590, 1.457 sec/game, 1.5 min. total, 449.0 MB
reflux_snowflake v3 76 games, 54813 moves, e=0.946, loss: 82.4, -, 23.4% elo% vs. random_no_suicide, avg. reward: 3.594, 1.455 sec/game, 1.5 min. total, 448.7 MB
reflux_snowflake v3 77 games, 55584 moves, e=0.945, loss: 81.3, -, 22.6% elo% vs. random_no_suicide, avg. reward: 3.583, 1.468 sec/game, 1.6 min. total, 449.0 MB
reflux_snowflake v3 78 games, 56383 moves, e=0.944, loss: 81.0, -, 21.9% elo% vs. random_no_suicide, avg. reward: 3.587, 1.462 sec/game, 1.6 min. total, 449.1 MB
reflux_snowflake v3 79 games, 57066 moves, e=0.944, loss: 84.5, -, 21.2% elo% vs. random_no_suicide, avg. reward: 3.594, 1.457 sec/game, 1.6 min. total, 449.2 MB
reflux_snowflake v3 80 games, 57844 moves, e=0.943, loss: 84.2, -, 20.6% elo% vs. random_no_suicide, avg. reward: 3.596, 1.472 sec/game, 1.6 min. total, 448.9 MB
reflux_snowflake v3 81 games, 58616 moves, e=0.942, loss: 89.0, -, 20.0% elo% vs. random_no_suicide, avg. reward: 3.602, 1.491 sec/game, 1.7 min. total, 449.3 MB
reflux_snowflake v3 82 games, 59375 moves, e=0.941, loss: 90.7, -, 19.4% elo% vs. random_no_suicide, avg. reward: 3.600, 1.522 sec/game, 1.7 min. total, 449.1 MB
reflux_snowflake v3 83 games, 60103 moves, e=0.940, loss: 86.5, -, 18.8% elo% vs. random_no_suicide, avg. reward: 3.599, 1.528 sec/game, 1.7 min. total, 449.6 MB
reflux_snowflake v3 84 games, 60873 moves, e=0.940, loss: 93.2, -, 18.3% elo% vs. random_no_suicide, avg. reward: 3.599, 1.539 sec/game, 1.7 min. total, 449.3 MB
reflux_snowflake v3 85 games, 61549 moves, e=0.939, loss: 95.3, -, 17.8% elo% vs. random_no_suicide, avg. reward: 3.599, 1.542 sec/game, 1.8 min. total, 448.9 MB
reflux_snowflake v3 86 games, 62205 moves, e=0.938, loss: 94.1, -, 17.3% elo% vs. random_no_suicide, avg. reward: 3.587, 1.538 sec/game, 1.8 min. total, 449.6 MB
reflux_snowflake v3 87 games, 62942 moves, e=0.938, loss: 92.1, -, 16.9% elo% vs. random_no_suicide, avg. reward: 3.572, 1.544 sec/game, 1.8 min. total, 449.6 MB
reflux_snowflake v3 88 games, 63634 moves, e=0.937, loss: 90.8, -, 16.4% elo% vs. random_no_suicide, avg. reward: 3.565, 1.552 sec/game, 1.9 min. total, 448.9 MB
reflux_snowflake v3 89 games, 64383 moves, e=0.936, loss: 97.4, -, 16.0% elo% vs. random_no_suicide, avg. reward: 3.570, 1.548 sec/game, 1.9 min. total, 449.0 MB
reflux_snowflake v3 90 games, 65067 moves, e=0.936, loss: 99.0, -, 15.6% elo% vs. random_no_suicide, avg. reward: 3.557, 1.549 sec/game, 1.9 min. total, 450.0 MB
reflux_snowflake v3 91 games, 65846 moves, e=0.935, loss: 103.0, -, 15.3% elo% vs. random_no_suicide, avg. reward: 3.553, 1.549 sec/game, 1.9 min. total, 451.0 MB
reflux_snowflake v3 92 games, 66531 moves, e=0.934, loss: 98.3, -, 14.9% elo% vs. random_no_suicide, avg. reward: 3.546, 1.532 sec/game, 2.0 min. total, 451.6 MB
reflux_snowflake v3 93 games, 67313 moves, e=0.933, loss: 105.6, -, 14.6% elo% vs. random_no_suicide, avg. reward: 3.537, 1.534 sec/game, 2.0 min. total, 451.9 MB
reflux_snowflake v3 94 games, 67973 moves, e=0.933, loss: 106.2, -, 14.2% elo% vs. random_no_suicide, avg. reward: 3.540, 1.530 sec/game, 2.0 min. total, 451.9 MB
reflux_snowflake v3 95 games, 68722 moves, e=0.932, loss: 106.2, -, 13.9% elo% vs. random_no_suicide, avg. reward: 3.542, 1.524 sec/game, 2.0 min. total, 452.0 MB
reflux_snowflake v3 96 games, 69484 moves, e=0.931, loss: 107.7, -, 13.6% elo% vs. random_no_suicide, avg. reward: 3.552, 1.533 sec/game, 2.1 min. total, 451.9 MB
reflux_snowflake v3 97 games, 70177 moves, e=0.931, loss: 103.7, -, 13.3% elo% vs. random_no_suicide, avg. reward: 3.554, 1.540 sec/game, 2.1 min. total, 451.7 MB
reflux_snowflake v3 98 games, 70966 moves, e=0.930, loss: 108.2, -, 13.0% elo% vs. random_no_suicide, avg. reward: 3.553, 1.550 sec/game, 2.1 min. total, 452.8 MB
reflux_snowflake v3 99 games, 71567 moves, e=0.929, loss: 109.0, -, 12.8% elo% vs. random_no_suicide, avg. reward: 3.544, 1.549 sec/game, 2.1 min. total, 452.2 MB
reflux_snowflake v3 100 games, 72331 moves, e=0.928, loss: 107.0, -, 12.5% elo% vs. random_no_suicide, avg. reward: 3.548, 1.554 sec/game, 2.2 min. total, 452.9 MB
reflux_snowflake v3 101 games, 73051 moves, e=0.928, loss: 106.3, -, 12.3% elo% vs. random_no_suicide, avg. reward: 3.554, 1.540 sec/game, 2.2 min. total, 454.1 MB
reflux_snowflake v3 102 games, 73766 moves, e=0.927, loss: 105.6, -, 12.0% elo% vs. random_no_suicide, avg. reward: 3.556, 1.527 sec/game, 2.2 min. total, 454.8 MB
reflux_snowflake v3 103 games, 74525 moves, e=0.926, loss: 107.3, -, 11.8% elo% vs. random_no_suicide, avg. reward: 3.556, 1.515 sec/game, 2.2 min. total, 454.7 MB
reflux_snowflake v3 104 games, 75276 moves, e=0.925, loss: 111.5, -, 11.6% elo% vs. random_no_suicide, avg. reward: 3.560, 1.503 sec/game, 2.2 min. total, 454.8 MB
reflux_snowflake v3 105 games, 76018 moves, e=0.925, loss: 110.8, -, 11.3% elo% vs. random_no_suicide, avg. reward: 3.555, 1.492 sec/game, 2.3 min. total, 455.1 MB
