majestic_scorch v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 306.4 MB
majestic_scorch v4 136 games, 97287 moves, e=0.904, loss: 0.2, +, 65.5% elo% vs. random_no_suicide, avg. reward: 0.057, 1.750 sec/game, 3.2 min. total, 486.0 MB
majestic_scorch v4 137 games, 98004 moves, e=0.903, loss: 0.2, +, 66.9% elo% vs. random_no_suicide, avg. reward: 0.058, 1.742 sec/game, 3.2 min. total, 484.4 MB
majestic_scorch v4 138 games, 98728 moves, e=0.902, loss: 0.2, +, 68.3% elo% vs. random_no_suicide, avg. reward: 0.058, 1.758 sec/game, 3.2 min. total, 490.0 MB
majestic_scorch v4 139 games, 99557 moves, e=0.901, loss: 0.2, -, 65.5% elo% vs. random_no_suicide, avg. reward: 0.058, 1.759 sec/game, 3.3 min. total, 486.2 MB
majestic_scorch v4 140 games, 100280 moves, e=0.901, loss: 0.2, +, 66.9% elo% vs. random_no_suicide, avg. reward: 0.058, 1.761 sec/game, 3.3 min. total, 486.2 MB
majestic_scorch v4 141 games, 100946 moves, e=0.900, loss: 0.2, +, 68.2% elo% vs. random_no_suicide, avg. reward: 0.057, 1.745 sec/game, 3.3 min. total, 488.2 MB
majestic_scorch v4 142 games, 101525 moves, e=0.899, loss: 0.2, -, 65.5% elo% vs. random_no_suicide, avg. reward: 0.057, 1.743 sec/game, 3.3 min. total, 485.8 MB
majestic_scorch v4 143 games, 102311 moves, e=0.899, loss: 0.2, +, 66.9% elo% vs. random_no_suicide, avg. reward: 0.058, 1.735 sec/game, 3.4 min. total, 488.3 MB
majestic_scorch v4 144 games, 103035 moves, e=0.898, loss: 0.2, -, 64.1% elo% vs. random_no_suicide, avg. reward: 0.058, 1.722 sec/game, 3.4 min. total, 486.3 MB
majestic_scorch v4 145 games, 103784 moves, e=0.897, loss: 0.2, +, 65.6% elo% vs. random_no_suicide, avg. reward: 0.058, 1.749 sec/game, 3.4 min. total, 488.7 MB
majestic_scorch v4 146 games, 104589 moves, e=0.896, loss: 0.2, -, 62.8% elo% vs. random_no_suicide, avg. reward: 0.058, 1.747 sec/game, 3.5 min. total, 487.6 MB
