cherub_squatting v2 196 games, 84652 moves, e=0.916, loss: nan, ., 14.5% elo% vs. random_bot, avg. reward: -13.891, 0.214 sec/game, 0.6 min. total, 593.7 MB
cherub_squatting v2 198 games, 85408 moves, e=0.915, loss: nan, -, 14.2% elo% vs. random_bot, avg. reward: -13.900, 0.218 sec/game, 0.6 min. total, 596.3 MB
cherub_squatting v2 200 games, 86126 moves, e=0.915, loss: nan, -, 13.9% elo% vs. random_bot, avg. reward: -13.929, 0.220 sec/game, 0.7 min. total, 599.1 MB
cherub_squatting v3 202 games, 86917 moves, e=0.914, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -13.921, 0.222 sec/game, 0.7 min. total, 602.5 MB
cherub_squatting v3 204 games, 87603 moves, e=0.913, loss: nan, -, 45.5% elo% vs. random_bot, avg. reward: -13.975, 0.222 sec/game, 0.7 min. total, 605.5 MB
cherub_squatting v3 206 games, 88216 moves, e=0.913, loss: nan, -, 43.4% elo% vs. random_bot, avg. reward: -14.048, 0.221 sec/game, 0.7 min. total, 608.5 MB
cherub_squatting v3 208 games, 88944 moves, e=0.912, loss: nan, -, 41.5% elo% vs. random_bot, avg. reward: -14.073, 0.223 sec/game, 0.7 min. total, 611.9 MB
cherub_squatting v3 210 games, 89685 moves, e=0.911, loss: nan, -, 39.6% elo% vs. random_bot, avg. reward: -14.085, 0.221 sec/game, 0.7 min. total, 615.4 MB
cherub_squatting v3 212 games, 90358 moves, e=0.911, loss: nan, -, 37.9% elo% vs. random_bot, avg. reward: -14.109, 0.222 sec/game, 0.7 min. total, 618.8 MB
cherub_squatting v3 214 games, 91135 moves, e=0.910, loss: nan, -, 36.3% elo% vs. random_bot, avg. reward: -14.100, 0.218 sec/game, 0.7 min. total, 622.0 MB
cherub_squatting v3 216 games, 91913 moves, e=0.909, loss: nan, ., 36.9% elo% vs. random_bot, avg. reward: -14.115, 0.213 sec/game, 0.7 min. total, 626.0 MB
cherub_squatting v3 218 games, 92541 moves, e=0.908, loss: nan, -, 35.3% elo% vs. random_bot, avg. reward: -14.168, 0.207 sec/game, 0.7 min. total, 629.6 MB
cherub_squatting v3 220 games, 93348 moves, e=0.908, loss: nan, ., 35.9% elo% vs. random_bot, avg. reward: -14.161, 0.206 sec/game, 0.7 min. total, 632.9 MB
cherub_squatting v3 222 games, 94072 moves, e=0.907, loss: nan, ., 36.5% elo% vs. random_bot, avg. reward: -14.181, 0.205 sec/game, 0.7 min. total, 636.2 MB
cherub_squatting v3 224 games, 94730 moves, e=0.906, loss: nan, -, 35.0% elo% vs. random_bot, avg. reward: -14.273, 0.211 sec/game, 0.7 min. total, 638.1 MB
cherub_squatting v3 226 games, 95391 moves, e=0.906, loss: nan, -, 33.5% elo% vs. random_bot, avg. reward: -14.344, 0.211 sec/game, 0.7 min. total, 638.3 MB
cherub_squatting v3 228 games, 96080 moves, e=0.905, loss: nan, -, 32.2% elo% vs. random_bot, avg. reward: -14.402, 0.209 sec/game, 0.7 min. total, 638.4 MB
cherub_squatting v3 230 games, 96748 moves, e=0.904, loss: nan, ., 32.9% elo% vs. random_bot, avg. reward: -14.487, 0.210 sec/game, 0.8 min. total, 638.8 MB
cherub_squatting v3 232 games, 97456 moves, e=0.904, loss: nan, ., 33.6% elo% vs. random_bot, avg. reward: -14.526, 0.211 sec/game, 0.8 min. total, 640.0 MB
cherub_squatting v3 234 games, 98142 moves, e=0.903, loss: nan, -, 32.2% elo% vs. random_bot, avg. reward: -14.578, 0.211 sec/game, 0.8 min. total, 641.5 MB
cherub_squatting v3 236 games, 98829 moves, e=0.902, loss: nan, -, 30.9% elo% vs. random_bot, avg. reward: -14.636, 0.212 sec/game, 0.8 min. total, 643.0 MB
cherub_squatting v3 238 games, 99477 moves, e=0.902, loss: nan, -, 29.7% elo% vs. random_bot, avg. reward: -14.712, 0.214 sec/game, 0.8 min. total, 644.6 MB
cherub_squatting v3 240 games, 100121 moves, e=0.901, loss: 90.3, +, 32.5% elo% vs. random_bot, avg. reward: -14.806, 0.275 sec/game, 0.8 min. total, 699.1 MB
cherub_squatting v3 242 games, 101140 moves, e=0.900, loss: 57.0, +, 35.3% elo% vs. random_bot, avg. reward: -14.692, 0.642 sec/game, 0.9 min. total, 699.8 MB
cherub_squatting v3 244 games, 102179 moves, e=0.899, loss: 29.1, +, 38.1% elo% vs. random_bot, avg. reward: -14.578, 1.003 sec/game, 1.1 min. total, 700.8 MB
cherub_squatting v3 246 games, 103324 moves, e=0.898, loss: 15.3, +, 40.8% elo% vs. random_bot, avg. reward: -14.465, 1.446 sec/game, 1.2 min. total, 702.2 MB
cherub_squatting v3 248 games, 104400 moves, e=0.897, loss: 10.1, +, 43.4% elo% vs. random_bot, avg. reward: -14.423, 1.821 sec/game, 1.4 min. total, 702.7 MB
cherub_squatting v3 250 games, 105659 moves, e=0.895, loss: 7.9, +, 46.0% elo% vs. random_bot, avg. reward: -14.324, 2.296 sec/game, 1.5 min. total, 702.5 MB
cherub_squatting v3 252 games, 106647 moves, e=0.894, loss: 7.1, +, 48.5% elo% vs. random_bot, avg. reward: -14.240, 2.880 sec/game, 1.7 min. total, 704.1 MB
cherub_squatting v3 254 games, 107743 moves, e=0.893, loss: 6.7, +, 50.9% elo% vs. random_bot, avg. reward: -14.156, 3.271 sec/game, 1.9 min. total, 703.5 MB
cherub_squatting v3 256 games, 108723 moves, e=0.892, loss: 6.6, +, 53.1% elo% vs. random_bot, avg. reward: -14.082, 3.716 sec/game, 2.0 min. total, 703.5 MB
cherub_squatting v3 258 games, 109909 moves, e=0.891, loss: 6.3, +, 55.3% elo% vs. random_bot, avg. reward: -13.963, 4.390 sec/game, 2.2 min. total, 705.9 MB
cherub_squatting v3 260 games, 110983 moves, e=0.890, loss: 6.3, +, 57.3% elo% vs. random_bot, avg. reward: -13.900, 4.711 sec/game, 2.4 min. total, 705.9 MB
cherub_squatting v3 262 games, 112181 moves, e=0.889, loss: 6.2, +, 59.2% elo% vs. random_bot, avg. reward: -13.797, 4.743 sec/game, 2.5 min. total, 705.5 MB
cherub_squatting v3 264 games, 113417 moves, e=0.888, loss: 6.3, +, 61.0% elo% vs. random_bot, avg. reward: -13.689, 4.893 sec/game, 2.7 min. total, 706.2 MB
cherub_squatting v3 266 games, 114671 moves, e=0.886, loss: 6.3, +, 62.7% elo% vs. random_bot, avg. reward: -13.571, 4.942 sec/game, 2.9 min. total, 706.0 MB
cherub_squatting v3 268 games, 115820 moves, e=0.885, loss: 6.1, +, 64.3% elo% vs. random_bot, avg. reward: -13.455, 4.953 sec/game, 3.0 min. total, 706.6 MB
cherub_squatting v3 270 games, 116969 moves, e=0.884, loss: 6.0, +, 65.8% elo% vs. random_bot, avg. reward: -13.371, 4.891 sec/game, 3.2 min. total, 708.8 MB
