unlaced_neglector v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
unlaced_neglector v2 71 games, 51438 moves, e=0.949, loss: 168.4, +, 65.2% elo% vs. v1, avg. reward: 0.589, 1.683 sec/game, 1.6 min. total, 484.3 MB
unlaced_neglector v2 72 games, 52176 moves, e=0.948, loss: 174.1, +, 66.7% elo% vs. v1, avg. reward: 0.585, 1.718 sec/game, 1.6 min. total, 485.2 MB
unlaced_neglector v2 73 games, 52986 moves, e=0.948, loss: 186.3, +, 68.0% elo% vs. v1, avg. reward: 0.576, 1.712 sec/game, 1.7 min. total, 485.2 MB
unlaced_neglector v2 74 games, 53728 moves, e=0.947, loss: 193.0, +, 69.3% elo% vs. v1, avg. reward: 0.543, 1.733 sec/game, 1.7 min. total, 485.2 MB
unlaced_neglector v2 75 games, 54485 moves, e=0.946, loss: 189.0, -, 66.5% elo% vs. v1, avg. reward: 0.554, 1.746 sec/game, 1.7 min. total, 484.9 MB
unlaced_neglector v2 76 games, 55094 moves, e=0.945, loss: 189.1, ., 65.8% elo% vs. v1, avg. reward: 0.495, 1.746 sec/game, 1.7 min. total, 485.4 MB
unlaced_neglector v2 77 games, 55919 moves, e=0.945, loss: 183.2, +, 67.2% elo% vs. v1, avg. reward: 0.504, 1.769 sec/game, 1.8 min. total, 485.0 MB
unlaced_neglector v2 78 games, 56806 moves, e=0.944, loss: 199.8, +, 68.5% elo% vs. v1, avg. reward: 0.543, 1.795 sec/game, 1.8 min. total, 485.4 MB
unlaced_neglector v2 79 games, 57613 moves, e=0.943, loss: 205.0, +, 69.8% elo% vs. v1, avg. reward: 0.533, 1.826 sec/game, 1.8 min. total, 485.0 MB
unlaced_neglector v2 80 games, 58236 moves, e=0.942, loss: 201.7, ., 69.0% elo% vs. v1, avg. reward: 0.476, 1.776 sec/game, 1.9 min. total, 486.1 MB
unlaced_neglector v2 81 games, 58980 moves, e=0.942, loss: 197.0, +, 70.2% elo% vs. v1, avg. reward: 0.456, 1.762 sec/game, 1.9 min. total, 485.8 MB
unlaced_neglector v3 82 games, 59591 moves, e=0.941, loss: 211.6, +, 54.5% elo% vs. v2, avg. reward: 0.415, 1.763 sec/game, 1.9 min. total, 497.1 MB
unlaced_neglector v3 83 games, 60191 moves, e=0.940, loss: 210.5, +, 56.6% elo% vs. v2, avg. reward: 0.353, 1.729 sec/game, 1.9 min. total, 494.8 MB
unlaced_neglector v3 84 games, 60872 moves, e=0.940, loss: 218.0, -, 54.0% elo% vs. v2, avg. reward: 0.347, 1.711 sec/game, 2.0 min. total, 495.4 MB
