irritably_crown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 281.5 MB
irritably_crown v4 135 games, 98181 moves, e=0.903, loss: 22.8, -, 14.7% elo% vs. random_no_suicide, avg. reward: -5.842, 1.849 sec/game, 3.8 min. total, 348.5 MB
irritably_crown v4 136 games, 98897 moves, e=0.902, loss: 25.0, -, 14.4% elo% vs. random_no_suicide, avg. reward: -5.841, 1.837 sec/game, 3.8 min. total, 348.7 MB
irritably_crown v4 137 games, 99714 moves, e=0.901, loss: 24.6, -, 14.0% elo% vs. random_no_suicide, avg. reward: -5.826, 1.847 sec/game, 3.8 min. total, 349.0 MB
irritably_crown v4 138 games, 100497 moves, e=0.901, loss: 23.8, -, 13.7% elo% vs. random_no_suicide, avg. reward: -5.840, 1.870 sec/game, 3.9 min. total, 348.9 MB
irritably_crown v4 139 games, 101221 moves, e=0.900, loss: 24.7, -, 13.4% elo% vs. random_no_suicide, avg. reward: -5.839, 1.863 sec/game, 3.9 min. total, 348.8 MB
irritably_crown v4 140 games, 102029 moves, e=0.899, loss: 25.6, -, 13.1% elo% vs. random_no_suicide, avg. reward: -5.833, 1.885 sec/game, 3.9 min. total, 349.1 MB
irritably_crown v4 141 games, 102926 moves, e=0.898, loss: 22.7, -, 12.9% elo% vs. random_no_suicide, avg. reward: -5.810, 1.829 sec/game, 4.0 min. total, 349.3 MB
irritably_crown v4 142 games, 103597 moves, e=0.897, loss: 24.8, -, 12.6% elo% vs. random_no_suicide, avg. reward: -5.805, 1.822 sec/game, 4.0 min. total, 349.2 MB
irritably_crown v4 143 games, 104320 moves, e=0.897, loss: 23.0, -, 12.4% elo% vs. random_no_suicide, avg. reward: -5.808, 1.793 sec/game, 4.0 min. total, 349.6 MB
irritably_crown v4 144 games, 105219 moves, e=0.896, loss: 22.1, -, 12.1% elo% vs. random_no_suicide, avg. reward: -5.769, 1.798 sec/game, 4.0 min. total, 349.9 MB
