wiring_happiest v4 104 games, 75447 moves, e=0.925, loss: 4.7, -, 41.5% elo% vs. random_no_suicide, avg. reward: -8.393, 1.468 sec/game, 2.1 min. total, 481.3 MB
wiring_happiest v4 105 games, 76176 moves, e=0.925, loss: 4.5, -, 39.6% elo% vs. random_no_suicide, avg. reward: -8.397, 1.468 sec/game, 2.1 min. total, 481.3 MB
wiring_happiest v4 106 games, 76896 moves, e=0.924, loss: 4.4, -, 37.9% elo% vs. random_no_suicide, avg. reward: -8.388, 1.460 sec/game, 2.1 min. total, 481.3 MB
wiring_happiest v4 107 games, 77631 moves, e=0.923, loss: 4.4, -, 36.3% elo% vs. random_no_suicide, avg. reward: -8.363, 1.464 sec/game, 2.2 min. total, 481.4 MB
wiring_happiest v4 108 games, 78373 moves, e=0.922, loss: 4.4, -, 34.8% elo% vs. random_no_suicide, avg. reward: -8.373, 1.469 sec/game, 2.2 min. total, 486.0 MB
wiring_happiest v4 109 games, 79061 moves, e=0.922, loss: 4.5, -, 33.3% elo% vs. random_no_suicide, avg. reward: -8.384, 1.453 sec/game, 2.2 min. total, 481.5 MB
wiring_happiest v4 110 games, 79879 moves, e=0.921, loss: 4.4, -, 32.0% elo% vs. random_no_suicide, avg. reward: -8.391, 1.469 sec/game, 2.2 min. total, 481.7 MB
wiring_happiest v4 111 games, 80647 moves, e=0.920, loss: 4.8, -, 30.7% elo% vs. random_no_suicide, avg. reward: -8.372, 1.470 sec/game, 2.3 min. total, 482.1 MB
wiring_happiest v4 112 games, 81325 moves, e=0.919, loss: 4.6, -, 29.5% elo% vs. random_no_suicide, avg. reward: -8.373, 1.464 sec/game, 2.3 min. total, 487.1 MB
wiring_happiest v4 113 games, 82027 moves, e=0.919, loss: 4.8, -, 28.4% elo% vs. random_no_suicide, avg. reward: -8.382, 1.457 sec/game, 2.3 min. total, 488.2 MB
wiring_happiest v4 114 games, 82796 moves, e=0.918, loss: 4.8, -, 27.3% elo% vs. random_no_suicide, avg. reward: -8.359, 1.467 sec/game, 2.3 min. total, 483.7 MB
wiring_happiest v4 115 games, 83536 moves, e=0.917, loss: 4.9, -, 26.4% elo% vs. random_no_suicide, avg. reward: -8.355, 1.462 sec/game, 2.4 min. total, 483.7 MB
wiring_happiest v4 116 games, 84257 moves, e=0.917, loss: 5.0, -, 25.4% elo% vs. random_no_suicide, avg. reward: -8.359, 1.480 sec/game, 2.4 min. total, 485.8 MB
wiring_happiest v4 117 games, 84979 moves, e=0.916, loss: 4.6, -, 24.5% elo% vs. random_no_suicide, avg. reward: -8.369, 1.479 sec/game, 2.4 min. total, 483.8 MB
wiring_happiest v4 118 games, 85725 moves, e=0.915, loss: 4.8, -, 23.7% elo% vs. random_no_suicide, avg. reward: -8.372, 1.518 sec/game, 2.5 min. total, 483.9 MB
wiring_happiest v4 119 games, 86534 moves, e=0.914, loss: 4.6, -, 22.9% elo% vs. random_no_suicide, avg. reward: -8.348, 1.555 sec/game, 2.5 min. total, 483.7 MB
wiring_happiest v4 120 games, 87275 moves, e=0.914, loss: 4.4, -, 22.2% elo% vs. random_no_suicide, avg. reward: -8.351, 1.563 sec/game, 2.5 min. total, 483.8 MB
wiring_happiest v4 121 games, 88103 moves, e=0.913, loss: 4.7, -, 21.5% elo% vs. random_no_suicide, avg. reward: -8.343, 1.573 sec/game, 2.6 min. total, 483.8 MB
wiring_happiest v4 122 games, 88950 moves, e=0.912, loss: 5.0, -, 20.8% elo% vs. random_no_suicide, avg. reward: -8.327, 1.575 sec/game, 2.6 min. total, 483.6 MB
wiring_happiest v4 123 games, 89622 moves, e=0.911, loss: 4.8, -, 20.2% elo% vs. random_no_suicide, avg. reward: -8.339, 1.587 sec/game, 2.6 min. total, 485.0 MB
wiring_happiest v4 124 games, 90375 moves, e=0.911, loss: 4.6, -, 19.6% elo% vs. random_no_suicide, avg. reward: -8.329, 1.590 sec/game, 2.6 min. total, 486.0 MB
wiring_happiest v4 125 games, 91207 moves, e=0.910, loss: 4.3, -, 19.1% elo% vs. random_no_suicide, avg. reward: -8.328, 1.594 sec/game, 2.7 min. total, 485.8 MB
wiring_happiest v4 126 games, 92038 moves, e=0.909, loss: 4.0, -, 18.5% elo% vs. random_no_suicide, avg. reward: -8.290, 1.614 sec/game, 2.7 min. total, 485.7 MB
