borough_erupt v1 98 games, 71471 moves, e=0.929, loss: nan, +, 63.5% elo% vs. v0, avg. reward: -9.661, 0.361 sec/game, 0.5 min. total, 572.1 MB
borough_erupt v1 99 games, 72252 moves, e=0.928, loss: nan, +, 65.1% elo% vs. v0, avg. reward: -9.653, 0.361 sec/game, 0.5 min. total, 574.3 MB
borough_erupt v1 100 games, 72931 moves, e=0.928, loss: nan, -, 62.3% elo% vs. v0, avg. reward: -9.660, 0.361 sec/game, 0.5 min. total, 577.1 MB
borough_erupt v2 101 games, 73687 moves, e=0.927, loss: nan, +, 52.3% elo% vs. v0, avg. reward: -9.641, 0.354 sec/game, 0.5 min. total, 581.8 MB
borough_erupt v2 102 games, 74397 moves, e=0.926, loss: nan, +, 54.5% elo% vs. v0, avg. reward: -9.623, 0.356 sec/game, 0.5 min. total, 586.3 MB
borough_erupt v2 103 games, 75104 moves, e=0.926, loss: nan, +, 56.6% elo% vs. v0, avg. reward: -9.622, 0.353 sec/game, 0.5 min. total, 591.3 MB
borough_erupt v2 104 games, 75858 moves, e=0.925, loss: nan, +, 58.5% elo% vs. v0, avg. reward: -9.607, 0.356 sec/game, 0.5 min. total, 593.8 MB
borough_erupt v2 105 games, 76558 moves, e=0.924, loss: nan, +, 60.4% elo% vs. v0, avg. reward: -9.611, 0.357 sec/game, 0.5 min. total, 594.2 MB
borough_erupt v2 106 games, 77378 moves, e=0.923, loss: nan, -, 57.7% elo% vs. v0, avg. reward: -9.601, 0.360 sec/game, 0.5 min. total, 595.8 MB
borough_erupt v2 107 games, 78122 moves, e=0.923, loss: nan, -, 55.1% elo% vs. v0, avg. reward: -9.595, 0.359 sec/game, 0.6 min. total, 597.4 MB
borough_erupt v2 108 games, 78821 moves, e=0.922, loss: nan, +, 57.1% elo% vs. v0, avg. reward: -9.587, 0.359 sec/game, 0.6 min. total, 598.9 MB
borough_erupt v2 109 games, 79527 moves, e=0.921, loss: nan, -, 54.5% elo% vs. v0, avg. reward: -9.599, 0.361 sec/game, 0.6 min. total, 600.6 MB
borough_erupt v2 110 games, 80299 moves, e=0.921, loss: nan, -, 52.0% elo% vs. v0, avg. reward: -9.599, 0.365 sec/game, 0.6 min. total, 602.7 MB
borough_erupt v2 111 games, 81115 moves, e=0.920, loss: nan, +, 54.2% elo% vs. v0, avg. reward: -9.576, 0.368 sec/game, 0.6 min. total, 604.8 MB
borough_erupt v2 112 games, 81790 moves, e=0.919, loss: nan, +, 56.3% elo% vs. v0, avg. reward: -9.573, 0.370 sec/game, 0.6 min. total, 606.4 MB
borough_erupt v2 113 games, 82525 moves, e=0.918, loss: nan, -, 53.7% elo% vs. v0, avg. reward: -9.564, 0.370 sec/game, 0.6 min. total, 608.6 MB
borough_erupt v2 114 games, 83342 moves, e=0.917, loss: nan, ., 53.6% elo% vs. v0, avg. reward: -9.540, 0.375 sec/game, 0.6 min. total, 610.8 MB
borough_erupt v2 115 games, 84060 moves, e=0.917, loss: nan, ., 53.4% elo% vs. v0, avg. reward: -9.550, 0.373 sec/game, 0.6 min. total, 613.1 MB
borough_erupt v2 116 games, 84720 moves, e=0.916, loss: nan, -, 50.9% elo% vs. v0, avg. reward: -9.575, 0.374 sec/game, 0.6 min. total, 616.2 MB
borough_erupt v2 117 games, 85477 moves, e=0.915, loss: nan, ., 50.9% elo% vs. v0, avg. reward: -9.554, 0.375 sec/game, 0.6 min. total, 620.7 MB
borough_erupt v2 118 games, 86184 moves, e=0.915, loss: nan, +, 53.1% elo% vs. v0, avg. reward: -9.554, 0.374 sec/game, 0.6 min. total, 623.9 MB
borough_erupt v2 119 games, 87030 moves, e=0.914, loss: nan, +, 55.3% elo% vs. v0, avg. reward: -9.540, 0.379 sec/game, 0.6 min. total, 628.4 MB
borough_erupt v2 120 games, 87798 moves, e=0.913, loss: nan, +, 57.3% elo% vs. v0, avg. reward: -9.534, 0.383 sec/game, 0.6 min. total, 632.6 MB
borough_erupt v2 121 games, 88661 moves, e=0.912, loss: nan, -, 54.7% elo% vs. v0, avg. reward: -9.519, 0.392 sec/game, 0.6 min. total, 634.4 MB
borough_erupt v2 122 games, 89493 moves, e=0.911, loss: nan, -, 52.2% elo% vs. v0, avg. reward: -9.512, 0.396 sec/game, 0.7 min. total, 635.9 MB
borough_erupt v2 123 games, 90195 moves, e=0.911, loss: nan, +, 54.4% elo% vs. v0, avg. reward: -9.514, 0.399 sec/game, 0.7 min. total, 637.5 MB
