italicize_pushiness v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.3 MB
italicize_pushiness v2 94 games, 68027 moves, e=0.933, loss: 142.4, -, 54.2% elo% vs. v1, avg. reward: -2.838, 1.603 sec/game, 2.1 min. total, 492.3 MB
italicize_pushiness v2 95 games, 68739 moves, e=0.932, loss: 140.8, -, 51.7% elo% vs. v1, avg. reward: -2.870, 1.604 sec/game, 2.1 min. total, 492.5 MB
italicize_pushiness v2 96 games, 69418 moves, e=0.931, loss: 142.8, -, 49.3% elo% vs. v1, avg. reward: -2.894, 1.591 sec/game, 2.1 min. total, 492.4 MB
italicize_pushiness v2 97 games, 70151 moves, e=0.931, loss: 146.1, -, 47.1% elo% vs. v1, avg. reward: -2.901, 1.606 sec/game, 2.2 min. total, 492.5 MB
italicize_pushiness v2 98 games, 70914 moves, e=0.930, loss: 132.8, +, 49.5% elo% vs. v1, avg. reward: -2.919, 1.623 sec/game, 2.2 min. total, 493.4 MB
italicize_pushiness v2 99 games, 71530 moves, e=0.929, loss: 136.2, +, 51.8% elo% vs. v1, avg. reward: -2.950, 1.598 sec/game, 2.2 min. total, 493.0 MB
italicize_pushiness v2 100 games, 72291 moves, e=0.928, loss: 147.1, -, 49.4% elo% vs. v1, avg. reward: -2.960, 1.601 sec/game, 2.2 min. total, 494.0 MB
italicize_pushiness v2 101 games, 73054 moves, e=0.928, loss: 137.9, -, 47.2% elo% vs. v1, avg. reward: -2.972, 1.603 sec/game, 2.3 min. total, 495.5 MB
italicize_pushiness v2 102 games, 73740 moves, e=0.927, loss: 140.4, ., 47.3% elo% vs. v1, avg. reward: -2.969, 1.621 sec/game, 2.3 min. total, 494.9 MB
italicize_pushiness v2 103 games, 74474 moves, e=0.926, loss: 136.3, +, 49.7% elo% vs. v1, avg. reward: -3.015, 1.613 sec/game, 2.3 min. total, 495.8 MB
italicize_pushiness v2 104 games, 75071 moves, e=0.926, loss: 141.9, +, 52.0% elo% vs. v1, avg. reward: -3.048, 1.613 sec/game, 2.4 min. total, 495.2 MB
italicize_pushiness v2 105 games, 75805 moves, e=0.925, loss: 152.0, +, 54.2% elo% vs. v1, avg. reward: -3.011, 1.617 sec/game, 2.4 min. total, 495.5 MB
italicize_pushiness v2 106 games, 76533 moves, e=0.924, loss: 154.3, +, 56.3% elo% vs. v1, avg. reward: -2.971, 1.607 sec/game, 2.4 min. total, 495.8 MB
italicize_pushiness v2 107 games, 77262 moves, e=0.924, loss: 155.2, -, 53.8% elo% vs. v1, avg. reward: -2.964, 1.618 sec/game, 2.4 min. total, 495.3 MB
italicize_pushiness v2 108 games, 77967 moves, e=0.923, loss: 157.8, -, 51.3% elo% vs. v1, avg. reward: -3.021, 1.618 sec/game, 2.5 min. total, 495.4 MB
italicize_pushiness v2 109 games, 78750 moves, e=0.922, loss: 152.5, +, 53.5% elo% vs. v1, avg. reward: -3.067, 1.608 sec/game, 2.5 min. total, 496.7 MB
italicize_pushiness v2 110 games, 79531 moves, e=0.921, loss: 160.6, -, 51.1% elo% vs. v1, avg. reward: -3.040, 1.601 sec/game, 2.5 min. total, 496.6 MB
italicize_pushiness v2 111 games, 80215 moves, e=0.921, loss: 158.7, -, 48.7% elo% vs. v1, avg. reward: -3.051, 1.591 sec/game, 2.5 min. total, 498.1 MB
italicize_pushiness v2 112 games, 80935 moves, e=0.920, loss: 182.4, -, 46.5% elo% vs. v1, avg. reward: -3.016, 1.590 sec/game, 2.6 min. total, 498.0 MB
italicize_pushiness v2 113 games, 81472 moves, e=0.919, loss: 171.3, -, 44.4% elo% vs. v1, avg. reward: -3.020, 1.553 sec/game, 2.6 min. total, 498.3 MB
italicize_pushiness v2 114 games, 82132 moves, e=0.919, loss: 172.0, -, 42.3% elo% vs. v1, avg. reward: -3.005, 1.541 sec/game, 2.6 min. total, 498.2 MB
italicize_pushiness v2 115 games, 82768 moves, e=0.918, loss: 170.6, +, 45.0% elo% vs. v1, avg. reward: -3.032, 1.528 sec/game, 2.6 min. total, 501.2 MB
italicize_pushiness v2 116 games, 83530 moves, e=0.917, loss: 164.8, +, 47.5% elo% vs. v1, avg. reward: -3.031, 1.539 sec/game, 2.7 min. total, 499.5 MB
italicize_pushiness v2 117 games, 84284 moves, e=0.917, loss: 175.7, +, 49.9% elo% vs. v1, avg. reward: -3.015, 1.538 sec/game, 2.7 min. total, 499.3 MB
italicize_pushiness v2 118 games, 84946 moves, e=0.916, loss: 189.9, +, 52.2% elo% vs. v1, avg. reward: -3.039, 1.523 sec/game, 2.7 min. total, 500.3 MB
italicize_pushiness v2 119 games, 85681 moves, e=0.915, loss: 189.1, +, 54.4% elo% vs. v1, avg. reward: -3.039, 1.548 sec/game, 2.7 min. total, 501.2 MB
italicize_pushiness v2 120 games, 86402 moves, e=0.914, loss: 174.7, -, 51.9% elo% vs. v1, avg. reward: -2.991, 1.547 sec/game, 2.8 min. total, 502.3 MB
italicize_pushiness v2 121 games, 87163 moves, e=0.914, loss: 179.5, +, 54.1% elo% vs. v1, avg. reward: -2.967, 1.536 sec/game, 2.8 min. total, 503.9 MB
italicize_pushiness v2 122 games, 87781 moves, e=0.913, loss: 188.2, +, 56.2% elo% vs. v1, avg. reward: -2.998, 1.520 sec/game, 2.8 min. total, 505.8 MB
italicize_pushiness v2 123 games, 88448 moves, e=0.912, loss: 197.3, -, 53.6% elo% vs. v1, avg. reward: -3.022, 1.537 sec/game, 2.8 min. total, 505.8 MB
italicize_pushiness v2 124 games, 89125 moves, e=0.912, loss: 205.6, -, 51.2% elo% vs. v1, avg. reward: -3.020, 1.538 sec/game, 2.9 min. total, 505.8 MB
italicize_pushiness v2 125 games, 89853 moves, e=0.911, loss: 187.1, -, 48.8% elo% vs. v1, avg. reward: -3.082, 1.526 sec/game, 2.9 min. total, 509.6 MB
italicize_pushiness v2 126 games, 90623 moves, e=0.910, loss: 173.4, -, 46.6% elo% vs. v1, avg. reward: -3.022, 1.540 sec/game, 2.9 min. total, 506.4 MB
italicize_pushiness v2 127 games, 91322 moves, e=0.910, loss: 182.7, -, 44.4% elo% vs. v1, avg. reward: -3.026, 1.541 sec/game, 2.9 min. total, 506.8 MB
italicize_pushiness v2 128 games, 92102 moves, e=0.909, loss: 188.1, -, 42.4% elo% vs. v1, avg. reward: -3.029, 1.543 sec/game, 3.0 min. total, 507.3 MB
italicize_pushiness v2 129 games, 92852 moves, e=0.908, loss: 194.8, -, 40.5% elo% vs. v1, avg. reward: -3.046, 1.542 sec/game, 3.0 min. total, 507.8 MB
italicize_pushiness v2 130 games, 93654 moves, e=0.907, loss: 183.1, -, 38.7% elo% vs. v1, avg. reward: -3.116, 1.546 sec/game, 3.0 min. total, 508.5 MB
italicize_pushiness v2 131 games, 94457 moves, e=0.906, loss: 187.4, -, 37.1% elo% vs. v1, avg. reward: -3.115, 1.558 sec/game, 3.1 min. total, 509.4 MB
italicize_pushiness v2 132 games, 95132 moves, e=0.906, loss: 193.0, -, 35.5% elo% vs. v1, avg. reward: -3.133, 1.560 sec/game, 3.1 min. total, 509.3 MB
italicize_pushiness v2 133 games, 95877 moves, e=0.905, loss: 185.8, +, 38.3% elo% vs. v1, avg. reward: -3.173, 1.587 sec/game, 3.1 min. total, 509.9 MB
italicize_pushiness v2 134 games, 96592 moves, e=0.904, loss: 185.1, +, 41.0% elo% vs. v1, avg. reward: -3.198, 1.589 sec/game, 3.1 min. total, 511.1 MB
italicize_pushiness v2 135 games, 97413 moves, e=0.904, loss: 177.8, +, 43.6% elo% vs. v1, avg. reward: -3.158, 1.621 sec/game, 3.2 min. total, 513.4 MB
italicize_pushiness v2 136 games, 98189 moves, e=0.903, loss: 189.1, +, 46.2% elo% vs. v1, avg. reward: -3.105, 1.624 sec/game, 3.2 min. total, 513.4 MB
italicize_pushiness v2 137 games, 98996 moves, e=0.902, loss: 196.6, +, 48.7% elo% vs. v1, avg. reward: -3.108, 1.628 sec/game, 3.2 min. total, 511.5 MB
italicize_pushiness v2 138 games, 99721 moves, e=0.901, loss: 196.7, +, 51.0% elo% vs. v1, avg. reward: -3.184, 1.642 sec/game, 3.3 min. total, 511.6 MB
italicize_pushiness v2 139 games, 100527 moves, e=0.900, loss: 214.3, +, 53.3% elo% vs. v1, avg. reward: -3.194, 1.647 sec/game, 3.3 min. total, 513.7 MB
italicize_pushiness v2 140 games, 101327 moves, e=0.900, loss: 202.3, +, 55.4% elo% vs. v1, avg. reward: -3.173, 1.647 sec/game, 3.3 min. total, 511.6 MB
italicize_pushiness v2 141 games, 102096 moves, e=0.899, loss: 189.9, -, 52.9% elo% vs. v1, avg. reward: -3.178, 1.660 sec/game, 3.3 min. total, 511.0 MB
italicize_pushiness v2 142 games, 102792 moves, e=0.898, loss: 197.0, +, 55.0% elo% vs. v1, avg. reward: -3.146, 1.675 sec/game, 3.4 min. total, 513.6 MB
italicize_pushiness v2 143 games, 103595 moves, e=0.897, loss: 189.2, +, 57.1% elo% vs. v1, avg. reward: -3.178, 1.673 sec/game, 3.4 min. total, 515.3 MB
italicize_pushiness v2 144 games, 104427 moves, e=0.897, loss: 205.8, +, 59.0% elo% vs. v1, avg. reward: -3.121, 1.690 sec/game, 3.4 min. total, 516.5 MB
italicize_pushiness v2 145 games, 105179 moves, e=0.896, loss: 213.7, +, 60.8% elo% vs. v1, avg. reward: -3.149, 1.706 sec/game, 3.5 min. total, 516.6 MB
italicize_pushiness v2 146 games, 105928 moves, e=0.895, loss: 193.2, +, 62.5% elo% vs. v1, avg. reward: -3.180, 1.705 sec/game, 3.5 min. total, 516.5 MB
italicize_pushiness v2 147 games, 106794 moves, e=0.894, loss: 204.2, +, 64.1% elo% vs. v1, avg. reward: -3.209, 1.720 sec/game, 3.5 min. total, 516.0 MB
italicize_pushiness v2 148 games, 107608 moves, e=0.893, loss: 191.6, +, 65.6% elo% vs. v1, avg. reward: -3.138, 1.722 sec/game, 3.5 min. total, 516.7 MB
italicize_pushiness v2 149 games, 108420 moves, e=0.893, loss: 206.9, +, 67.0% elo% vs. v1, avg. reward: -3.155, 1.734 sec/game, 3.6 min. total, 516.2 MB
italicize_pushiness v2 150 games, 109160 moves, e=0.892, loss: 211.3, +, 68.4% elo% vs. v1, avg. reward: -3.160, 1.721 sec/game, 3.6 min. total, 516.6 MB
italicize_pushiness v2 151 games, 110023 moves, e=0.891, loss: 207.5, -, 65.6% elo% vs. v1, avg. reward: -3.136, 1.732 sec/game, 3.6 min. total, 516.4 MB
italicize_pushiness v2 152 games, 110655 moves, e=0.890, loss: 199.5, +, 67.0% elo% vs. v1, avg. reward: -3.153, 1.722 sec/game, 3.7 min. total, 517.8 MB
