subwoofer_thriving v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.7 MB
subwoofer_thriving v4 106 games, 76100 moves, e=0.925, loss: 3.0, +, 62.1% elo% vs. random_no_suicide, avg. reward: -6.423, 1.175 sec/game, 1.8 min. total, 443.3 MB
subwoofer_thriving v4 107 games, 76775 moves, e=0.924, loss: 3.0, +, 63.7% elo% vs. random_no_suicide, avg. reward: -6.422, 1.169 sec/game, 1.8 min. total, 444.2 MB
subwoofer_thriving v4 108 games, 77504 moves, e=0.923, loss: 3.0, +, 65.2% elo% vs. random_no_suicide, avg. reward: -6.420, 1.160 sec/game, 1.8 min. total, 445.7 MB
subwoofer_thriving v4 109 games, 78254 moves, e=0.923, loss: 3.0, +, 66.7% elo% vs. random_no_suicide, avg. reward: -6.419, 1.160 sec/game, 1.8 min. total, 445.7 MB
subwoofer_thriving v4 110 games, 79101 moves, e=0.922, loss: 3.1, +, 68.0% elo% vs. random_no_suicide, avg. reward: -6.406, 1.160 sec/game, 1.9 min. total, 444.1 MB
subwoofer_thriving v4 111 games, 79754 moves, e=0.921, loss: 3.1, +, 69.3% elo% vs. random_no_suicide, avg. reward: -6.413, 1.156 sec/game, 1.9 min. total, 444.5 MB
subwoofer_thriving v4 112 games, 80414 moves, e=0.920, loss: 3.0, +, 70.5% elo% vs. random_no_suicide, avg. reward: -6.408, 1.143 sec/game, 1.9 min. total, 446.7 MB
subwoofer_thriving v5 113 games, 81112 moves, e=0.920, loss: 3.1, -, 49.9% elo% vs. simple_bot, avg. reward: -6.405, 1.144 sec/game, 1.9 min. total, 446.6 MB
subwoofer_thriving v5 114 games, 82000 moves, e=0.919, loss: 3.1, -, 47.6% elo% vs. simple_bot, avg. reward: -6.381, 1.165 sec/game, 1.9 min. total, 445.3 MB
subwoofer_thriving v5 115 games, 82713 moves, e=0.918, loss: 3.0, -, 45.4% elo% vs. simple_bot, avg. reward: -6.376, 1.155 sec/game, 1.9 min. total, 445.3 MB
subwoofer_thriving v5 116 games, 83509 moves, e=0.917, loss: 2.9, -, 43.4% elo% vs. simple_bot, avg. reward: -6.369, 1.163 sec/game, 2.0 min. total, 445.7 MB
subwoofer_thriving v5 117 games, 84231 moves, e=0.917, loss: 2.8, -, 41.4% elo% vs. simple_bot, avg. reward: -6.368, 1.162 sec/game, 2.0 min. total, 447.1 MB
subwoofer_thriving v5 118 games, 84949 moves, e=0.916, loss: 2.9, -, 39.6% elo% vs. simple_bot, avg. reward: -6.357, 1.154 sec/game, 2.0 min. total, 445.8 MB
subwoofer_thriving v5 119 games, 85675 moves, e=0.915, loss: 3.0, -, 37.8% elo% vs. simple_bot, avg. reward: -6.353, 1.154 sec/game, 2.0 min. total, 449.4 MB
subwoofer_thriving v5 120 games, 86380 moves, e=0.914, loss: 2.8, -, 36.2% elo% vs. simple_bot, avg. reward: -6.354, 1.139 sec/game, 2.0 min. total, 447.1 MB
subwoofer_thriving v5 121 games, 87061 moves, e=0.914, loss: 2.7, -, 34.7% elo% vs. simple_bot, avg. reward: -6.351, 1.138 sec/game, 2.1 min. total, 448.8 MB
subwoofer_thriving v5 122 games, 87800 moves, e=0.913, loss: 2.8, -, 33.3% elo% vs. simple_bot, avg. reward: -6.351, 1.136 sec/game, 2.1 min. total, 447.9 MB
subwoofer_thriving v5 123 games, 88520 moves, e=0.912, loss: 2.9, -, 31.9% elo% vs. simple_bot, avg. reward: -6.350, 1.143 sec/game, 2.1 min. total, 449.1 MB
subwoofer_thriving v5 124 games, 89222 moves, e=0.912, loss: 2.8, -, 30.6% elo% vs. simple_bot, avg. reward: -6.342, 1.131 sec/game, 2.1 min. total, 448.0 MB
subwoofer_thriving v5 125 games, 89906 moves, e=0.911, loss: 2.8, -, 29.5% elo% vs. simple_bot, avg. reward: -6.351, 1.125 sec/game, 2.1 min. total, 447.6 MB
subwoofer_thriving v5 126 games, 90668 moves, e=0.910, loss: 2.7, -, 28.3% elo% vs. simple_bot, avg. reward: -6.350, 1.132 sec/game, 2.2 min. total, 449.9 MB
subwoofer_thriving v5 127 games, 91446 moves, e=0.909, loss: 2.6, -, 27.3% elo% vs. simple_bot, avg. reward: -6.348, 1.145 sec/game, 2.2 min. total, 449.9 MB
subwoofer_thriving v5 128 games, 92234 moves, e=0.909, loss: 2.8, -, 26.3% elo% vs. simple_bot, avg. reward: -6.331, 1.145 sec/game, 2.2 min. total, 448.9 MB
subwoofer_thriving v5 129 games, 92860 moves, e=0.908, loss: 2.8, -, 25.4% elo% vs. simple_bot, avg. reward: -6.336, 1.130 sec/game, 2.2 min. total, 449.0 MB
subwoofer_thriving v5 130 games, 93572 moves, e=0.907, loss: 2.8, -, 24.5% elo% vs. simple_bot, avg. reward: -6.327, 1.125 sec/game, 2.2 min. total, 450.7 MB
subwoofer_thriving v5 131 games, 94447 moves, e=0.906, loss: 2.8, -, 23.7% elo% vs. simple_bot, avg. reward: -6.312, 1.129 sec/game, 2.2 min. total, 450.7 MB
subwoofer_thriving v5 132 games, 95199 moves, e=0.906, loss: 2.5, -, 22.9% elo% vs. simple_bot, avg. reward: -6.309, 1.138 sec/game, 2.3 min. total, 451.3 MB
subwoofer_thriving v5 133 games, 95952 moves, e=0.905, loss: 2.8, -, 22.2% elo% vs. simple_bot, avg. reward: -6.301, 1.147 sec/game, 2.3 min. total, 450.9 MB
subwoofer_thriving v5 134 games, 96652 moves, e=0.904, loss: 2.8, -, 21.5% elo% vs. simple_bot, avg. reward: -6.300, 1.138 sec/game, 2.3 min. total, 450.3 MB
subwoofer_thriving v5 135 games, 97472 moves, e=0.904, loss: 2.9, -, 20.8% elo% vs. simple_bot, avg. reward: -6.290, 1.138 sec/game, 2.3 min. total, 451.4 MB
subwoofer_thriving v5 136 games, 98120 moves, e=0.903, loss: 3.0, -, 20.2% elo% vs. simple_bot, avg. reward: -6.297, 1.129 sec/game, 2.3 min. total, 453.2 MB
subwoofer_thriving v5 137 games, 98858 moves, e=0.902, loss: 3.0, -, 19.6% elo% vs. simple_bot, avg. reward: -6.292, 1.128 sec/game, 2.4 min. total, 452.1 MB
subwoofer_thriving v5 138 games, 99669 moves, e=0.901, loss: 3.0, -, 19.0% elo% vs. simple_bot, avg. reward: -6.279, 1.137 sec/game, 2.4 min. total, 452.6 MB
subwoofer_thriving v5 139 games, 100478 moves, e=0.901, loss: 2.8, -, 18.5% elo% vs. simple_bot, avg. reward: -6.276, 1.136 sec/game, 2.4 min. total, 452.6 MB
subwoofer_thriving v5 140 games, 101234 moves, e=0.900, loss: 3.0, -, 18.0% elo% vs. simple_bot, avg. reward: -6.261, 1.145 sec/game, 2.4 min. total, 454.0 MB
subwoofer_thriving v5 141 games, 102093 moves, e=0.899, loss: 3.0, -, 17.5% elo% vs. simple_bot, avg. reward: -6.254, 1.154 sec/game, 2.4 min. total, 452.6 MB
subwoofer_thriving v5 142 games, 102814 moves, e=0.898, loss: 3.2, -, 17.0% elo% vs. simple_bot, avg. reward: -6.253, 1.161 sec/game, 2.5 min. total, 452.9 MB
subwoofer_thriving v5 143 games, 103574 moves, e=0.897, loss: 3.2, -, 16.6% elo% vs. simple_bot, avg. reward: -6.242, 1.162 sec/game, 2.5 min. total, 454.8 MB
subwoofer_thriving v5 144 games, 104287 moves, e=0.897, loss: 3.3, -, 16.2% elo% vs. simple_bot, avg. reward: -6.230, 1.151 sec/game, 2.5 min. total, 455.8 MB
