utmost_conform v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.8 MB
utmost_conform v22 2378 games, 5949625 moves, e=0.010, loss: 134523.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.743, 6.291 sec/game, 158.4 min. total, 1183.2 MB
utmost_conform v22 2379 games, 5952232 moves, e=0.010, loss: 135940.2, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.742, 6.296 sec/game, 158.5 min. total, 1184.7 MB
utmost_conform v22 2380 games, 5954849 moves, e=0.010, loss: 152706.3, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.740, 6.312 sec/game, 158.6 min. total, 1187.2 MB
utmost_conform v22 2381 games, 5957362 moves, e=0.010, loss: 137210.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.741, 6.294 sec/game, 158.7 min. total, 1186.2 MB
utmost_conform v22 2382 games, 5959831 moves, e=0.010, loss: 140302.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.741, 6.306 sec/game, 158.8 min. total, 1185.7 MB
utmost_conform v22 2383 games, 5962403 moves, e=0.010, loss: 147922.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.739, 6.264 sec/game, 158.9 min. total, 1186.1 MB
utmost_conform v22 2384 games, 5964874 moves, e=0.010, loss: 144810.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.737, 6.207 sec/game, 159.0 min. total, 1184.2 MB
utmost_conform v22 2385 games, 5967480 moves, e=0.010, loss: 151201.2, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.737, 6.179 sec/game, 159.1 min. total, 1184.6 MB
utmost_conform v22 2386 games, 5970220 moves, e=0.010, loss: 138941.3, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.734, 6.163 sec/game, 159.2 min. total, 1188.1 MB
utmost_conform v22 2387 games, 5973049 moves, e=0.010, loss: 136674.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.730, 6.176 sec/game, 159.3 min. total, 1192.2 MB
utmost_conform v22 2388 games, 5975735 moves, e=0.010, loss: 148694.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.729, 6.178 sec/game, 159.4 min. total, 1196.7 MB
utmost_conform v22 2389 games, 5978361 moves, e=0.010, loss: 134588.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.726, 6.175 sec/game, 159.5 min. total, 1197.6 MB
utmost_conform v22 2390 games, 5981009 moves, e=0.010, loss: 121626.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.727, 6.167 sec/game, 159.6 min. total, 1195.3 MB
utmost_conform v22 2391 games, 5983589 moves, e=0.010, loss: 142478.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.727, 6.157 sec/game, 159.7 min. total, 1193.3 MB
utmost_conform v22 2392 games, 5986296 moves, e=0.010, loss: 153931.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.723, 6.166 sec/game, 159.8 min. total, 1196.6 MB
utmost_conform v22 2393 games, 5988925 moves, e=0.010, loss: 141078.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.724, 6.151 sec/game, 159.9 min. total, 1196.9 MB
utmost_conform v22 2394 games, 5991586 moves, e=0.010, loss: 146025.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.721, 6.150 sec/game, 160.0 min. total, 1197.7 MB
utmost_conform v22 2395 games, 5994200 moves, e=0.010, loss: 146196.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.721, 6.165 sec/game, 160.1 min. total, 1198.2 MB
utmost_conform v22 2396 games, 5996637 moves, e=0.010, loss: 151474.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.720, 6.154 sec/game, 160.2 min. total, 1195.7 MB
utmost_conform v22 2397 games, 5999271 moves, e=0.010, loss: 151702.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.717, 6.178 sec/game, 160.3 min. total, 1194.5 MB
utmost_conform v22 2398 games, 6002001 moves, e=0.010, loss: 161398.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.714, 6.191 sec/game, 160.4 min. total, 1194.8 MB
utmost_conform v22 2399 games, 6004481 moves, e=0.010, loss: 158662.9, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.714, 6.181 sec/game, 160.5 min. total, 1195.2 MB
utmost_conform v22 2400 games, 6007153 moves, e=0.010, loss: 152957.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.712, 6.163 sec/game, 160.6 min. total, 1198.6 MB
utmost_conform v22 2401 games, 6009603 moves, e=0.010, loss: 145398.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.714, 6.167 sec/game, 160.7 min. total, 1196.8 MB
utmost_conform v22 2402 games, 6012151 moves, e=0.010, loss: 149947.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.713, 6.156 sec/game, 160.8 min. total, 1195.8 MB
utmost_conform v22 2403 games, 6014778 moves, e=0.010, loss: 145234.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.714, 6.172 sec/game, 160.9 min. total, 1198.0 MB
utmost_conform v22 2404 games, 6017388 moves, e=0.010, loss: 150274.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.711, 6.186 sec/game, 161.0 min. total, 1198.7 MB
utmost_conform v22 2405 games, 6020278 moves, e=0.010, loss: 142675.2, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.708, 6.225 sec/game, 161.1 min. total, 1204.2 MB
utmost_conform v22 2406 games, 6022834 moves, e=0.010, loss: 145158.3, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.704, 6.209 sec/game, 161.2 min. total, 1204.3 MB
utmost_conform v22 2407 games, 6025453 moves, e=0.010, loss: 143051.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.704, 6.190 sec/game, 161.3 min. total, 1203.4 MB
utmost_conform v22 2408 games, 6027960 moves, e=0.010, loss: 148212.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.705, 6.176 sec/game, 161.5 min. total, 1205.2 MB
utmost_conform v22 2409 games, 6030546 moves, e=0.010, loss: 165138.9, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.704, 6.173 sec/game, 161.6 min. total, 1201.0 MB
utmost_conform v22 2410 games, 6033107 moves, e=0.010, loss: 142429.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.704, 6.153 sec/game, 161.7 min. total, 1201.1 MB
utmost_conform v22 2411 games, 6035673 moves, e=0.010, loss: 143596.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.705, 6.148 sec/game, 161.8 min. total, 1201.4 MB
utmost_conform v22 2412 games, 6038146 moves, e=0.010, loss: 157632.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.706, 6.129 sec/game, 161.9 min. total, 1201.0 MB
utmost_conform v22 2413 games, 6040589 moves, e=0.010, loss: 169490.3, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.710, 6.107 sec/game, 161.9 min. total, 1198.7 MB
utmost_conform v22 2414 games, 6042958 moves, e=0.010, loss: 154799.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.710, 6.064 sec/game, 162.0 min. total, 1197.7 MB
utmost_conform v22 2415 games, 6045581 moves, e=0.010, loss: 165877.4, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.710, 6.082 sec/game, 162.1 min. total, 1198.1 MB
utmost_conform v22 2416 games, 6048150 moves, e=0.010, loss: 163052.9, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.709, 6.093 sec/game, 162.2 min. total, 1199.8 MB
utmost_conform v22 2417 games, 6050747 moves, e=0.010, loss: 160244.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.707, 6.068 sec/game, 162.4 min. total, 1202.7 MB
utmost_conform v22 2418 games, 6053488 moves, e=0.010, loss: 171648.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.707, 6.063 sec/game, 162.5 min. total, 1205.4 MB
utmost_conform v22 2419 games, 6056202 moves, e=0.010, loss: 167608.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.706, 6.091 sec/game, 162.6 min. total, 1207.1 MB
utmost_conform v22 2420 games, 6059063 moves, e=0.010, loss: 158917.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.702, 6.120 sec/game, 162.7 min. total, 1210.7 MB
utmost_conform v22 2421 games, 6061531 moves, e=0.010, loss: 160763.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.702, 6.119 sec/game, 162.8 min. total, 1210.1 MB
utmost_conform v22 2422 games, 6064344 moves, e=0.010, loss: 155731.2, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.698, 6.158 sec/game, 162.9 min. total, 1210.7 MB
utmost_conform v22 2423 games, 6066906 moves, e=0.010, loss: 146965.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.702, 6.145 sec/game, 163.0 min. total, 1209.3 MB
utmost_conform v22 2424 games, 6069556 moves, e=0.010, loss: 147140.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.702, 6.168 sec/game, 163.1 min. total, 1209.0 MB
utmost_conform v22 2425 games, 6072104 moves, e=0.010, loss: 144428.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.703, 6.142 sec/game, 163.2 min. total, 1210.9 MB
utmost_conform v22 2426 games, 6074594 moves, e=0.010, loss: 149536.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.706, 6.123 sec/game, 163.3 min. total, 1207.1 MB
utmost_conform v22 2427 games, 6077250 moves, e=0.010, loss: 145499.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.706, 6.133 sec/game, 163.4 min. total, 1209.2 MB
utmost_conform v22 2428 games, 6079808 moves, e=0.010, loss: 157446.2, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.706, 6.133 sec/game, 163.5 min. total, 1208.2 MB
utmost_conform v22 2429 games, 6082582 moves, e=0.010, loss: 149234.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.705, 6.164 sec/game, 163.6 min. total, 1212.1 MB
utmost_conform v22 2430 games, 6085557 moves, e=0.010, loss: 158859.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.706, 6.209 sec/game, 163.7 min. total, 1216.1 MB
utmost_conform v22 2431 games, 6088390 moves, e=0.010, loss: 142891.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.703, 6.246 sec/game, 163.8 min. total, 1218.9 MB
utmost_conform v22 2432 games, 6091185 moves, e=0.010, loss: 145885.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.704, 6.281 sec/game, 163.9 min. total, 1221.7 MB
utmost_conform v22 2433 games, 6093702 moves, e=0.010, loss: 157856.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.709, 6.295 sec/game, 164.0 min. total, 1219.7 MB
utmost_conform v22 2434 games, 6096248 moves, e=0.010, loss: 167563.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.710, 6.311 sec/game, 164.1 min. total, 1217.5 MB
utmost_conform v22 2435 games, 6098754 moves, e=0.010, loss: 183111.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.713, 6.285 sec/game, 164.2 min. total, 1212.9 MB
utmost_conform v22 2436 games, 6101304 moves, e=0.010, loss: 184279.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.714, 6.284 sec/game, 164.3 min. total, 1210.3 MB
utmost_conform v22 2437 games, 6103818 moves, e=0.010, loss: 182568.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.715, 6.281 sec/game, 164.4 min. total, 1210.8 MB
utmost_conform v22 2438 games, 6106349 moves, e=0.010, loss: 182948.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.716, 6.255 sec/game, 164.5 min. total, 1211.1 MB
utmost_conform v22 2439 games, 6108862 moves, e=0.010, loss: 207283.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.716, 6.233 sec/game, 164.6 min. total, 1211.5 MB
utmost_conform v22 2440 games, 6111379 moves, e=0.010, loss: 215503.9, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.716, 6.207 sec/game, 164.7 min. total, 1212.5 MB
utmost_conform v22 2441 games, 6114052 moves, e=0.010, loss: 206139.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.714, 6.240 sec/game, 164.9 min. total, 1214.6 MB
utmost_conform v22 2442 games, 6116746 moves, e=0.010, loss: 203110.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.711, 6.228 sec/game, 165.0 min. total, 1216.4 MB
utmost_conform v22 2443 games, 6119569 moves, e=0.010, loss: 201082.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.711, 6.257 sec/game, 165.1 min. total, 1219.4 MB
utmost_conform v22 2444 games, 6122305 moves, e=0.010, loss: 197083.4, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.709, 6.251 sec/game, 165.2 min. total, 1223.4 MB
utmost_conform v22 2445 games, 6124979 moves, e=0.010, loss: 200441.2, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.709, 6.257 sec/game, 165.3 min. total, 1223.2 MB
utmost_conform v22 2446 games, 6127706 moves, e=0.010, loss: 192661.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.707, 6.285 sec/game, 165.4 min. total, 1223.5 MB
utmost_conform v22 2447 games, 6130305 moves, e=0.010, loss: 199347.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.708, 6.282 sec/game, 165.5 min. total, 1224.5 MB
utmost_conform v22 2448 games, 6132793 moves, e=0.010, loss: 215256.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.709, 6.264 sec/game, 165.6 min. total, 1222.2 MB
utmost_conform v22 2449 games, 6135288 moves, e=0.010, loss: 213311.4, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.710, 6.227 sec/game, 165.7 min. total, 1220.3 MB
utmost_conform v22 2450 games, 6137908 moves, e=0.010, loss: 231524.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.710, 6.200 sec/game, 165.8 min. total, 1219.4 MB
utmost_conform v22 2451 games, 6140473 moves, e=0.010, loss: 243795.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.710, 6.163 sec/game, 165.9 min. total, 1218.4 MB
utmost_conform v22 2452 games, 6143033 moves, e=0.010, loss: 238729.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.709, 6.128 sec/game, 166.0 min. total, 1221.4 MB
utmost_conform v22 2453 games, 6145732 moves, e=0.010, loss: 242585.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.708, 6.143 sec/game, 166.1 min. total, 1223.9 MB
utmost_conform v22 2454 games, 6148576 moves, e=0.010, loss: 250482.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.704, 6.184 sec/game, 166.2 min. total, 1226.1 MB
utmost_conform v22 2455 games, 6151474 moves, e=0.010, loss: 235142.9, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.700, 6.226 sec/game, 166.3 min. total, 1229.4 MB
utmost_conform v22 2456 games, 6154651 moves, e=0.010, loss: 234232.2, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.694, 6.297 sec/game, 166.4 min. total, 1235.8 MB
utmost_conform v22 2457 games, 6157730 moves, e=0.010, loss: 231879.4, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.691, 6.358 sec/game, 166.6 min. total, 1237.9 MB
utmost_conform v22 2458 games, 6160655 moves, e=0.010, loss: 194024.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.688, 6.421 sec/game, 166.7 min. total, 1239.1 MB
utmost_conform v22 2459 games, 6163525 moves, e=0.010, loss: 178389.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.686, 6.449 sec/game, 166.8 min. total, 1237.9 MB
utmost_conform v22 2460 games, 6166348 moves, e=0.010, loss: 152282.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.685, 6.478 sec/game, 166.9 min. total, 1238.0 MB
utmost_conform v22 2461 games, 6169081 moves, e=0.010, loss: 135686.9, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.684, 6.471 sec/game, 167.0 min. total, 1236.2 MB
utmost_conform v22 2462 games, 6171871 moves, e=0.010, loss: 153826.9, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.683, 6.495 sec/game, 167.1 min. total, 1235.6 MB
utmost_conform v22 2463 games, 6174520 moves, e=0.010, loss: 161760.4, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.685, 6.481 sec/game, 167.2 min. total, 1233.7 MB
utmost_conform v22 2464 games, 6176980 moves, e=0.010, loss: 179330.4, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.689, 6.455 sec/game, 167.3 min. total, 1229.9 MB
utmost_conform v22 2465 games, 6179510 moves, e=0.010, loss: 198343.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.690, 6.453 sec/game, 167.4 min. total, 1228.1 MB
utmost_conform v22 2466 games, 6182024 moves, e=0.010, loss: 238592.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.693, 6.440 sec/game, 167.5 min. total, 1225.4 MB
utmost_conform v22 2467 games, 6184481 moves, e=0.010, loss: 231692.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.695, 6.410 sec/game, 167.6 min. total, 1223.7 MB
utmost_conform v22 2468 games, 6186839 moves, e=0.010, loss: 214128.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.699, 6.396 sec/game, 167.7 min. total, 1223.5 MB
utmost_conform v22 2469 games, 6189409 moves, e=0.010, loss: 215938.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.701, 6.395 sec/game, 167.8 min. total, 1224.5 MB
utmost_conform v22 2470 games, 6192034 moves, e=0.010, loss: 208663.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.702, 6.394 sec/game, 167.9 min. total, 1226.3 MB
utmost_conform v22 2471 games, 6194425 moves, e=0.010, loss: 225773.3, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.706, 6.368 sec/game, 168.0 min. total, 1225.9 MB
utmost_conform v22 2472 games, 6196867 moves, e=0.010, loss: 228268.3, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.709, 6.368 sec/game, 168.1 min. total, 1228.8 MB
utmost_conform v22 2473 games, 6199308 moves, e=0.010, loss: 257082.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.709, 6.336 sec/game, 168.2 min. total, 1227.4 MB
utmost_conform v22 2474 games, 6201905 moves, e=0.010, loss: 276250.9, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.709, 6.311 sec/game, 168.3 min. total, 1227.9 MB
utmost_conform v22 2475 games, 6204395 moves, e=0.010, loss: 278770.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.711, 6.259 sec/game, 168.4 min. total, 1230.0 MB
utmost_conform v22 2476 games, 6207054 moves, e=0.010, loss: 267041.4, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.710, 6.202 sec/game, 168.5 min. total, 1235.9 MB
utmost_conform v22 2477 games, 6209904 moves, e=0.010, loss: 255312.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.709, 6.174 sec/game, 168.6 min. total, 1239.6 MB
utmost_conform v22 2478 games, 6212739 moves, e=0.010, loss: 217197.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.708, 6.170 sec/game, 168.7 min. total, 1243.0 MB
utmost_conform v22 2479 games, 6215873 moves, e=0.010, loss: 209337.4, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.705, 6.199 sec/game, 168.9 min. total, 1247.8 MB
utmost_conform v22 2480 games, 6218678 moves, e=0.010, loss: 180695.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.704, 6.196 sec/game, 169.0 min. total, 1247.9 MB
utmost_conform v22 2481 games, 6221816 moves, e=0.010, loss: 197477.4, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.701, 6.245 sec/game, 169.1 min. total, 1249.8 MB
utmost_conform v22 2482 games, 6224354 moves, e=0.010, loss: 194615.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.703, 6.215 sec/game, 169.2 min. total, 1245.2 MB
utmost_conform v22 2483 games, 6227169 moves, e=0.010, loss: 188165.2, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.701, 6.232 sec/game, 169.3 min. total, 1244.8 MB
utmost_conform v22 2484 games, 6229913 moves, e=0.010, loss: 204317.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.700, 6.269 sec/game, 169.4 min. total, 1245.4 MB
utmost_conform v22 2485 games, 6232580 moves, e=0.010, loss: 188237.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.702, 6.266 sec/game, 169.5 min. total, 1243.7 MB
utmost_conform v22 2486 games, 6235091 moves, e=0.010, loss: 194857.4, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.708, 6.257 sec/game, 169.6 min. total, 1244.5 MB
utmost_conform v22 2487 games, 6237638 moves, e=0.010, loss: 204757.9, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.715, 6.273 sec/game, 169.7 min. total, 1243.1 MB
utmost_conform v22 2488 games, 6240168 moves, e=0.010, loss: 199954.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.720, 6.313 sec/game, 169.8 min. total, 1240.4 MB
utmost_conform v22 2489 games, 6242578 moves, e=0.010, loss: 227345.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.725, 6.297 sec/game, 169.9 min. total, 1238.2 MB
utmost_conform v22 2490 games, 6244924 moves, e=0.010, loss: 257230.9, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.728, 6.255 sec/game, 170.0 min. total, 1236.6 MB
utmost_conform v22 2491 games, 6247362 moves, e=0.010, loss: 264448.4, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.731, 6.270 sec/game, 170.1 min. total, 1238.7 MB
utmost_conform v22 2492 games, 6249802 moves, e=0.010, loss: 276484.3, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.736, 6.259 sec/game, 170.2 min. total, 1238.2 MB
utmost_conform v22 2493 games, 6252209 moves, e=0.010, loss: 289434.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.739, 6.259 sec/game, 170.3 min. total, 1237.6 MB
utmost_conform v22 2494 games, 6254860 moves, e=0.010, loss: 301333.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.738, 6.277 sec/game, 170.4 min. total, 1241.2 MB
utmost_conform v22 2495 games, 6257622 moves, e=0.010, loss: 273796.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.738, 6.306 sec/game, 170.5 min. total, 1244.6 MB
utmost_conform v22 2496 games, 6260214 moves, e=0.010, loss: 268142.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.738, 6.291 sec/game, 170.6 min. total, 1245.4 MB
utmost_conform v22 2497 games, 6262898 moves, e=0.010, loss: 244132.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.738, 6.271 sec/game, 170.7 min. total, 1248.6 MB
utmost_conform v22 2498 games, 6265603 moves, e=0.010, loss: 241358.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.736, 6.251 sec/game, 170.8 min. total, 1248.3 MB
utmost_conform v22 2499 games, 6268079 moves, e=0.010, loss: 211930.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.736, 6.189 sec/game, 170.9 min. total, 1246.0 MB
utmost_conform v22 2500 games, 6270784 moves, e=0.010, loss: 211750.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.736, 6.177 sec/game, 171.0 min. total, 1250.7 MB
utmost_conform v22 2501 games, 6273450 moves, e=0.010, loss: 201659.3, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.734, 6.127 sec/game, 171.1 min. total, 1250.9 MB
utmost_conform v22 2502 games, 6276000 moves, e=0.010, loss: 202862.9, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.733, 6.116 sec/game, 171.2 min. total, 1250.2 MB
utmost_conform v22 2503 games, 6278559 moves, e=0.010, loss: 220128.3, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.733, 6.091 sec/game, 171.3 min. total, 1250.8 MB
utmost_conform v22 2504 games, 6281037 moves, e=0.010, loss: 224060.3, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.734, 6.055 sec/game, 171.4 min. total, 1249.7 MB
utmost_conform v22 2505 games, 6283586 moves, e=0.010, loss: 242943.0, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.739, 6.045 sec/game, 171.5 min. total, 1248.5 MB
utmost_conform v22 2506 games, 6285992 moves, e=0.010, loss: 252332.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.741, 6.035 sec/game, 171.6 min. total, 1246.3 MB
utmost_conform v22 2507 games, 6288492 moves, e=0.010, loss: 280915.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.742, 6.022 sec/game, 171.7 min. total, 1246.0 MB
utmost_conform v22 2508 games, 6291107 moves, e=0.010, loss: 283066.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.738, 6.034 sec/game, 171.8 min. total, 1247.7 MB
utmost_conform v22 2509 games, 6293605 moves, e=0.010, loss: 311105.8, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.737, 6.050 sec/game, 171.9 min. total, 1245.7 MB
utmost_conform v22 2510 games, 6296252 moves, e=0.010, loss: 306794.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.734, 6.089 sec/game, 172.0 min. total, 1248.0 MB
utmost_conform v22 2511 games, 6298818 moves, e=0.010, loss: 315079.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.735, 6.099 sec/game, 172.1 min. total, 1248.9 MB
utmost_conform v22 2512 games, 6301401 moves, e=0.010, loss: 291278.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.732, 6.114 sec/game, 172.2 min. total, 1250.7 MB
utmost_conform v22 2513 games, 6303987 moves, e=0.010, loss: 277218.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.732, 6.136 sec/game, 172.3 min. total, 1253.7 MB
utmost_conform v22 2514 games, 6306429 moves, e=0.010, loss: 266821.7, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.731, 6.098 sec/game, 172.4 min. total, 1251.1 MB
utmost_conform v22 2515 games, 6308996 moves, e=0.010, loss: 285515.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.731, 6.091 sec/game, 172.5 min. total, 1250.8 MB
utmost_conform v22 2516 games, 6311500 moves, e=0.010, loss: 285659.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.731, 6.081 sec/game, 172.6 min. total, 1250.9 MB
utmost_conform v22 2517 games, 6314247 moves, e=0.010, loss: 296640.9, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.728, 6.096 sec/game, 172.7 min. total, 1255.2 MB
utmost_conform v22 2518 games, 6316823 moves, e=0.010, loss: 298839.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.730, 6.067 sec/game, 172.8 min. total, 1258.3 MB
utmost_conform v22 2519 games, 6319341 moves, e=0.010, loss: 268528.1, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.731, 6.054 sec/game, 172.9 min. total, 1257.3 MB
utmost_conform v22 2520 games, 6322185 moves, e=0.010, loss: 269522.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.732, 6.074 sec/game, 173.0 min. total, 1260.4 MB
utmost_conform v22 2521 games, 6324982 moves, e=0.010, loss: 259969.5, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.726, 6.069 sec/game, 173.2 min. total, 1262.6 MB
utmost_conform v22 2522 games, 6327498 moves, e=0.010, loss: 259906.6, -, 0.5% elo% vs. terrible_bot, avg. reward: -1.728, 6.079 sec/game, 173.3 min. total, 1261.8 MB
