utmost_conform v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.8 MB
utmost_conform v3 65 games, 47020 moves, e=0.953, loss: 7.1, -, 40.9% elo% vs. random_no_suicide, avg. reward: -9.776, 1.580 sec/game, 1.4 min. total, 473.7 MB
utmost_conform v3 66 games, 47776 moves, e=0.953, loss: 6.5, ., 41.3% elo% vs. random_no_suicide, avg. reward: -9.771, 1.599 sec/game, 1.4 min. total, 473.5 MB
utmost_conform v3 67 games, 48478 moves, e=0.952, loss: 6.2, +, 43.9% elo% vs. random_no_suicide, avg. reward: -9.775, 1.585 sec/game, 1.5 min. total, 473.5 MB
utmost_conform v3 68 games, 49156 moves, e=0.951, loss: 6.1, -, 41.9% elo% vs. random_no_suicide, avg. reward: -9.788, 1.599 sec/game, 1.5 min. total, 473.7 MB
utmost_conform v3 69 games, 49965 moves, e=0.951, loss: 6.4, -, 40.1% elo% vs. random_no_suicide, avg. reward: -9.772, 1.610 sec/game, 1.5 min. total, 477.7 MB
utmost_conform v3 70 games, 50782 moves, e=0.950, loss: 6.5, +, 42.7% elo% vs. random_no_suicide, avg. reward: -9.752, 1.624 sec/game, 1.5 min. total, 474.3 MB
utmost_conform v3 71 games, 51553 moves, e=0.949, loss: 6.0, -, 40.8% elo% vs. random_no_suicide, avg. reward: -9.741, 1.636 sec/game, 1.6 min. total, 474.4 MB
utmost_conform v3 72 games, 52251 moves, e=0.948, loss: 6.0, -, 39.0% elo% vs. random_no_suicide, avg. reward: -9.746, 1.640 sec/game, 1.6 min. total, 474.4 MB
utmost_conform v3 73 games, 52960 moves, e=0.948, loss: 6.2, -, 37.3% elo% vs. random_no_suicide, avg. reward: -9.751, 1.639 sec/game, 1.6 min. total, 474.2 MB
utmost_conform v3 74 games, 53734 moves, e=0.947, loss: 5.9, +, 40.1% elo% vs. random_no_suicide, avg. reward: -9.742, 1.653 sec/game, 1.7 min. total, 474.3 MB
utmost_conform v3 75 games, 54499 moves, e=0.946, loss: 6.5, +, 42.7% elo% vs. random_no_suicide, avg. reward: -9.732, 1.660 sec/game, 1.7 min. total, 474.2 MB
utmost_conform v3 76 games, 55234 moves, e=0.945, loss: 6.0, -, 40.8% elo% vs. random_no_suicide, avg. reward: -9.735, 1.662 sec/game, 1.7 min. total, 474.3 MB
utmost_conform v3 77 games, 55960 moves, e=0.945, loss: 5.9, -, 39.0% elo% vs. random_no_suicide, avg. reward: -9.733, 1.685 sec/game, 1.7 min. total, 477.9 MB
utmost_conform v3 78 games, 56830 moves, e=0.944, loss: 6.4, -, 37.3% elo% vs. random_no_suicide, avg. reward: -9.715, 1.692 sec/game, 1.8 min. total, 477.8 MB
utmost_conform v3 79 games, 57551 moves, e=0.943, loss: 6.0, -, 35.7% elo% vs. random_no_suicide, avg. reward: -9.710, 1.693 sec/game, 1.8 min. total, 475.3 MB
utmost_conform v3 80 games, 58297 moves, e=0.942, loss: 5.9, -, 34.2% elo% vs. random_no_suicide, avg. reward: -9.706, 1.707 sec/game, 1.8 min. total, 478.9 MB
utmost_conform v3 81 games, 58989 moves, e=0.942, loss: 6.2, -, 32.8% elo% vs. random_no_suicide, avg. reward: -9.705, 1.692 sec/game, 1.9 min. total, 477.0 MB
utmost_conform v3 82 games, 59730 moves, e=0.941, loss: 5.9, -, 31.5% elo% vs. random_no_suicide, avg. reward: -9.702, 1.702 sec/game, 1.9 min. total, 480.3 MB
utmost_conform v3 83 games, 60581 moves, e=0.940, loss: 6.1, -, 30.3% elo% vs. random_no_suicide, avg. reward: -9.678, 1.708 sec/game, 1.9 min. total, 480.2 MB
utmost_conform v3 84 games, 61299 moves, e=0.939, loss: 6.1, ., 31.0% elo% vs. random_no_suicide, avg. reward: -9.678, 1.682 sec/game, 1.9 min. total, 477.3 MB
utmost_conform v3 85 games, 62052 moves, e=0.939, loss: 5.8, -, 29.8% elo% vs. random_no_suicide, avg. reward: -9.671, 1.678 sec/game, 2.0 min. total, 477.2 MB
utmost_conform v3 86 games, 62737 moves, e=0.938, loss: 5.9, +, 32.6% elo% vs. random_no_suicide, avg. reward: -9.675, 1.672 sec/game, 2.0 min. total, 477.2 MB
utmost_conform v3 87 games, 63508 moves, e=0.937, loss: 5.7, -, 31.3% elo% vs. random_no_suicide, avg. reward: -9.666, 1.694 sec/game, 2.0 min. total, 477.4 MB
utmost_conform v3 88 games, 64174 moves, e=0.936, loss: 5.7, -, 30.1% elo% vs. random_no_suicide, avg. reward: -9.677, 1.684 sec/game, 2.0 min. total, 480.8 MB
utmost_conform v3 89 games, 64845 moves, e=0.936, loss: 5.6, -, 28.9% elo% vs. random_no_suicide, avg. reward: -9.687, 1.663 sec/game, 2.1 min. total, 480.9 MB
utmost_conform v3 90 games, 65576 moves, e=0.935, loss: 5.8, -, 27.8% elo% vs. random_no_suicide, avg. reward: -9.687, 1.662 sec/game, 2.1 min. total, 478.4 MB
utmost_conform v3 91 games, 66310 moves, e=0.934, loss: 5.9, -, 26.8% elo% vs. random_no_suicide, avg. reward: -9.687, 1.663 sec/game, 2.1 min. total, 478.3 MB
utmost_conform v3 92 games, 67183 moves, e=0.933, loss: 6.3, -, 25.9% elo% vs. random_no_suicide, avg. reward: -9.667, 1.663 sec/game, 2.2 min. total, 478.6 MB
utmost_conform v3 93 games, 67860 moves, e=0.933, loss: 6.6, ., 26.7% elo% vs. random_no_suicide, avg. reward: -9.677, 1.674 sec/game, 2.2 min. total, 478.6 MB
utmost_conform v3 94 games, 68639 moves, e=0.932, loss: 6.5, -, 25.8% elo% vs. random_no_suicide, avg. reward: -9.669, 1.674 sec/game, 2.2 min. total, 480.6 MB
utmost_conform v3 95 games, 69530 moves, e=0.931, loss: 6.8, +, 28.5% elo% vs. random_no_suicide, avg. reward: -9.646, 1.684 sec/game, 2.2 min. total, 478.3 MB
utmost_conform v3 96 games, 70301 moves, e=0.930, loss: 7.1, -, 27.4% elo% vs. random_no_suicide, avg. reward: -9.640, 1.684 sec/game, 2.3 min. total, 480.6 MB
utmost_conform v3 97 games, 71102 moves, e=0.930, loss: 7.1, -, 26.4% elo% vs. random_no_suicide, avg. reward: -9.629, 1.688 sec/game, 2.3 min. total, 481.8 MB
utmost_conform v3 98 games, 71852 moves, e=0.929, loss: 7.0, +, 29.1% elo% vs. random_no_suicide, avg. reward: -9.624, 1.687 sec/game, 2.3 min. total, 480.6 MB
utmost_conform v3 99 games, 72564 moves, e=0.928, loss: 7.0, -, 28.0% elo% vs. random_no_suicide, avg. reward: -9.625, 1.681 sec/game, 2.4 min. total, 480.8 MB
utmost_conform v3 100 games, 73212 moves, e=0.928, loss: 7.1, -, 27.0% elo% vs. random_no_suicide, avg. reward: -9.639, 1.673 sec/game, 2.4 min. total, 481.7 MB
utmost_conform v4 101 games, 74058 moves, e=0.927, loss: 7.1, -, 47.7% elo% vs. random_no_suicide, avg. reward: -9.622, 1.696 sec/game, 2.4 min. total, 482.5 MB
utmost_conform v4 102 games, 74773 moves, e=0.926, loss: 7.4, +, 50.1% elo% vs. random_no_suicide, avg. reward: -9.603, 1.699 sec/game, 2.4 min. total, 483.2 MB
utmost_conform v4 103 games, 75603 moves, e=0.925, loss: 7.3, -, 47.8% elo% vs. random_no_suicide, avg. reward: -9.585, 1.689 sec/game, 2.5 min. total, 483.3 MB
utmost_conform v4 104 games, 76224 moves, e=0.925, loss: 7.1, -, 45.6% elo% vs. random_no_suicide, avg. reward: -9.576, 1.688 sec/game, 2.5 min. total, 483.8 MB
utmost_conform v4 105 games, 76829 moves, e=0.924, loss: 7.0, -, 43.5% elo% vs. random_no_suicide, avg. reward: -9.605, 1.675 sec/game, 2.5 min. total, 484.4 MB
utmost_conform v4 106 games, 77548 moves, e=0.923, loss: 6.7, -, 41.6% elo% vs. random_no_suicide, avg. reward: -9.609, 1.665 sec/game, 2.5 min. total, 485.8 MB
utmost_conform v4 107 games, 78282 moves, e=0.923, loss: 6.2, -, 39.7% elo% vs. random_no_suicide, avg. reward: -9.618, 1.655 sec/game, 2.6 min. total, 486.3 MB
utmost_conform v4 108 games, 78998 moves, e=0.922, loss: 6.0, ., 40.2% elo% vs. random_no_suicide, avg. reward: -9.605, 1.667 sec/game, 2.6 min. total, 486.3 MB
utmost_conform v4 109 games, 79700 moves, e=0.921, loss: 6.0, +, 42.9% elo% vs. random_no_suicide, avg. reward: -9.608, 1.666 sec/game, 2.6 min. total, 486.6 MB
utmost_conform v4 110 games, 80491 moves, e=0.920, loss: 5.8, -, 40.9% elo% vs. random_no_suicide, avg. reward: -9.594, 1.670 sec/game, 2.7 min. total, 488.8 MB
utmost_conform v4 111 games, 81233 moves, e=0.920, loss: 6.0, -, 39.1% elo% vs. random_no_suicide, avg. reward: -9.599, 1.671 sec/game, 2.7 min. total, 490.5 MB
utmost_conform v4 112 games, 82012 moves, e=0.919, loss: 6.2, -, 37.4% elo% vs. random_no_suicide, avg. reward: -9.607, 1.672 sec/game, 2.7 min. total, 489.7 MB
