untrimmed_irate v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 308.9 MB
untrimmed_irate v4 127 games, 91000 moves, e=0.910, loss: 34090.4, -, 20.3% elo% vs. random_no_suicide, avg. reward: 31.615, 1.604 sec/game, 3.1 min. total, 460.6 MB
untrimmed_irate v4 128 games, 91836 moves, e=0.909, loss: 33625.0, -, 19.7% elo% vs. random_no_suicide, avg. reward: 32.103, 1.660 sec/game, 3.1 min. total, 461.1 MB
untrimmed_irate v4 129 games, 92536 moves, e=0.908, loss: 39081.4, +, 22.1% elo% vs. random_no_suicide, avg. reward: 32.534, 1.661 sec/game, 3.2 min. total, 461.3 MB
untrimmed_irate v4 130 games, 93311 moves, e=0.908, loss: 41304.5, -, 21.4% elo% vs. random_no_suicide, avg. reward: 32.394, 1.680 sec/game, 3.2 min. total, 461.3 MB
untrimmed_irate v4 131 games, 94054 moves, e=0.907, loss: 38567.9, -, 20.8% elo% vs. random_no_suicide, avg. reward: 31.781, 1.685 sec/game, 3.2 min. total, 461.3 MB
untrimmed_irate v4 132 games, 94852 moves, e=0.906, loss: 38095.0, -, 20.2% elo% vs. random_no_suicide, avg. reward: 31.686, 1.755 sec/game, 3.3 min. total, 461.7 MB
untrimmed_irate v4 133 games, 95739 moves, e=0.905, loss: 42276.2, -, 19.6% elo% vs. random_no_suicide, avg. reward: 31.271, 1.790 sec/game, 3.3 min. total, 452.3 MB
untrimmed_irate v4 134 games, 96565 moves, e=0.904, loss: 42302.9, -, 19.0% elo% vs. random_no_suicide, avg. reward: 31.491, 1.850 sec/game, 3.4 min. total, 452.1 MB
untrimmed_irate v4 135 games, 97369 moves, e=0.904, loss: 41592.6, -, 18.5% elo% vs. random_no_suicide, avg. reward: 31.174, 1.918 sec/game, 3.4 min. total, 372.8 MB
untrimmed_irate v4 136 games, 98032 moves, e=0.903, loss: 42288.7, -, 18.0% elo% vs. random_no_suicide, avg. reward: 31.055, 1.911 sec/game, 3.4 min. total, 373.0 MB
untrimmed_irate v4 137 games, 98794 moves, e=0.902, loss: 40419.5, -, 17.5% elo% vs. random_no_suicide, avg. reward: 30.614, 1.921 sec/game, 3.5 min. total, 373.2 MB
untrimmed_irate v4 138 games, 99613 moves, e=0.901, loss: 37695.3, -, 17.0% elo% vs. random_no_suicide, avg. reward: 30.665, 1.957 sec/game, 3.5 min. total, 373.6 MB
untrimmed_irate v4 139 games, 100422 moves, e=0.901, loss: 37227.0, -, 16.6% elo% vs. random_no_suicide, avg. reward: 30.389, 1.984 sec/game, 3.5 min. total, 374.3 MB
untrimmed_irate v4 140 games, 101193 moves, e=0.900, loss: 37660.2, -, 16.2% elo% vs. random_no_suicide, avg. reward: 30.254, 2.027 sec/game, 3.6 min. total, 374.3 MB
untrimmed_irate v4 141 games, 101799 moves, e=0.899, loss: 38337.3, -, 15.8% elo% vs. random_no_suicide, avg. reward: 29.712, 2.041 sec/game, 3.6 min. total, 374.4 MB
untrimmed_irate v4 142 games, 102522 moves, e=0.899, loss: 35636.1, -, 15.4% elo% vs. random_no_suicide, avg. reward: 29.871, 2.048 sec/game, 3.6 min. total, 375.0 MB
untrimmed_irate v4 143 games, 103329 moves, e=0.898, loss: 34728.6, +, 17.5% elo% vs. random_no_suicide, avg. reward: 29.872, 2.095 sec/game, 3.7 min. total, 376.1 MB
untrimmed_irate v4 144 games, 104250 moves, e=0.897, loss: 34771.0, -, 17.1% elo% vs. random_no_suicide, avg. reward: 29.812, 2.109 sec/game, 3.7 min. total, 375.9 MB
