untrimmed_irate v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 308.9 MB
untrimmed_irate v7 435 games, 350946 moves, e=0.653, loss: 28342.8, -, 21.5% elo% vs. random_no_suicide, avg. reward: 33.373, 2.457 sec/game, 14.9 min. total, 449.4 MB
untrimmed_irate v7 436 games, 351836 moves, e=0.652, loss: 28923.0, ., 22.4% elo% vs. random_no_suicide, avg. reward: 33.251, 2.448 sec/game, 15.0 min. total, 449.6 MB
untrimmed_irate v7 437 games, 352718 moves, e=0.651, loss: 30719.8, -, 21.7% elo% vs. random_no_suicide, avg. reward: 32.869, 2.448 sec/game, 15.0 min. total, 449.5 MB
untrimmed_irate v7 438 games, 353707 moves, e=0.650, loss: 29897.5, -, 21.0% elo% vs. random_no_suicide, avg. reward: 33.035, 2.462 sec/game, 15.1 min. total, 449.7 MB
untrimmed_irate v7 439 games, 354621 moves, e=0.649, loss: 26955.0, +, 23.6% elo% vs. random_no_suicide, avg. reward: 32.617, 2.481 sec/game, 15.1 min. total, 449.9 MB
untrimmed_irate v7 440 games, 355442 moves, e=0.648, loss: 28348.4, -, 22.8% elo% vs. random_no_suicide, avg. reward: 32.291, 2.476 sec/game, 15.1 min. total, 449.7 MB
untrimmed_irate v7 441 games, 356393 moves, e=0.647, loss: 32863.6, -, 22.1% elo% vs. random_no_suicide, avg. reward: 32.279, 2.526 sec/game, 15.2 min. total, 450.9 MB
untrimmed_irate v7 442 games, 357341 moves, e=0.646, loss: 33464.7, -, 21.4% elo% vs. random_no_suicide, avg. reward: 32.530, 2.531 sec/game, 15.2 min. total, 452.5 MB
untrimmed_irate v7 443 games, 358334 moves, e=0.645, loss: 38129.7, -, 20.7% elo% vs. random_no_suicide, avg. reward: 32.455, 2.544 sec/game, 15.3 min. total, 453.0 MB
untrimmed_irate v7 444 games, 359231 moves, e=0.644, loss: 31681.4, -, 20.1% elo% vs. random_no_suicide, avg. reward: 32.208, 2.552 sec/game, 15.3 min. total, 452.8 MB
untrimmed_irate v7 445 games, 360200 moves, e=0.643, loss: 29522.2, -, 19.5% elo% vs. random_no_suicide, avg. reward: 32.209, 2.561 sec/game, 15.4 min. total, 452.8 MB
untrimmed_irate v7 446 games, 361219 moves, e=0.642, loss: 26227.0, -, 19.0% elo% vs. random_no_suicide, avg. reward: 31.953, 2.572 sec/game, 15.4 min. total, 452.9 MB
untrimmed_irate v7 447 games, 362292 moves, e=0.641, loss: 26374.8, -, 18.4% elo% vs. random_no_suicide, avg. reward: 32.124, 2.600 sec/game, 15.5 min. total, 452.9 MB
untrimmed_irate v7 448 games, 363264 moves, e=0.640, loss: 33181.3, -, 17.9% elo% vs. random_no_suicide, avg. reward: 32.429, 2.606 sec/game, 15.5 min. total, 453.3 MB
untrimmed_irate v7 449 games, 364193 moves, e=0.639, loss: 27722.3, -, 17.4% elo% vs. random_no_suicide, avg. reward: 31.887, 2.632 sec/game, 15.5 min. total, 454.0 MB
untrimmed_irate v7 450 games, 365122 moves, e=0.639, loss: 30548.3, -, 17.0% elo% vs. random_no_suicide, avg. reward: 31.755, 2.641 sec/game, 15.6 min. total, 454.5 MB
untrimmed_irate v7 451 games, 366136 moves, e=0.638, loss: 40533.1, +, 19.2% elo% vs. random_no_suicide, avg. reward: 31.959, 2.646 sec/game, 15.6 min. total, 456.7 MB
untrimmed_irate v7 452 games, 367093 moves, e=0.637, loss: 38482.9, -, 18.7% elo% vs. random_no_suicide, avg. reward: 32.485, 2.632 sec/game, 15.7 min. total, 456.4 MB
untrimmed_irate v7 453 games, 368166 moves, e=0.636, loss: 42832.9, +, 21.1% elo% vs. random_no_suicide, avg. reward: 33.237, 2.671 sec/game, 15.7 min. total, 456.4 MB
untrimmed_irate v7 454 games, 369166 moves, e=0.635, loss: 42985.2, -, 20.4% elo% vs. random_no_suicide, avg. reward: 33.396, 2.665 sec/game, 15.8 min. total, 456.4 MB
untrimmed_irate v7 455 games, 370207 moves, e=0.633, loss: 50187.3, -, 19.8% elo% vs. random_no_suicide, avg. reward: 33.539, 2.683 sec/game, 15.8 min. total, 456.5 MB
untrimmed_irate v7 456 games, 371247 moves, e=0.632, loss: 50679.4, -, 19.3% elo% vs. random_no_suicide, avg. reward: 33.455, 2.737 sec/game, 15.9 min. total, 456.6 MB
untrimmed_irate v7 457 games, 372229 moves, e=0.631, loss: 51852.4, -, 18.7% elo% vs. random_no_suicide, avg. reward: 33.972, 2.757 sec/game, 15.9 min. total, 456.6 MB
untrimmed_irate v7 458 games, 373296 moves, e=0.630, loss: 53248.9, -, 18.2% elo% vs. random_no_suicide, avg. reward: 34.187, 2.772 sec/game, 16.0 min. total, 456.9 MB
untrimmed_irate v7 459 games, 374150 moves, e=0.630, loss: 54057.3, -, 17.7% elo% vs. random_no_suicide, avg. reward: 34.384, 2.776 sec/game, 16.0 min. total, 458.5 MB
untrimmed_irate v7 460 games, 375046 moves, e=0.629, loss: 53330.7, -, 17.2% elo% vs. random_no_suicide, avg. reward: 33.978, 2.792 sec/game, 16.1 min. total, 459.1 MB
untrimmed_irate v7 461 games, 375909 moves, e=0.628, loss: 56372.8, -, 16.8% elo% vs. random_no_suicide, avg. reward: 34.216, 2.751 sec/game, 16.1 min. total, 459.0 MB
untrimmed_irate v7 462 games, 376925 moves, e=0.627, loss: 56192.6, -, 16.4% elo% vs. random_no_suicide, avg. reward: 34.359, 2.772 sec/game, 16.1 min. total, 459.0 MB
untrimmed_irate v7 463 games, 377825 moves, e=0.626, loss: 57472.4, -, 16.0% elo% vs. random_no_suicide, avg. reward: 33.985, 2.745 sec/game, 16.2 min. total, 459.1 MB
untrimmed_irate v7 464 games, 378851 moves, e=0.625, loss: 56646.0, -, 15.6% elo% vs. random_no_suicide, avg. reward: 34.434, 2.750 sec/game, 16.2 min. total, 459.3 MB
untrimmed_irate v7 465 games, 379703 moves, e=0.624, loss: 56976.2, +, 17.7% elo% vs. random_no_suicide, avg. reward: 34.447, 2.742 sec/game, 16.3 min. total, 459.3 MB
untrimmed_irate v7 466 games, 380611 moves, e=0.623, loss: 62743.1, -, 17.2% elo% vs. random_no_suicide, avg. reward: 34.446, 2.713 sec/game, 16.3 min. total, 460.1 MB
untrimmed_irate v7 467 games, 381534 moves, e=0.622, loss: 62222.4, -, 16.8% elo% vs. random_no_suicide, avg. reward: 34.507, 2.681 sec/game, 16.4 min. total, 460.0 MB
untrimmed_irate v7 468 games, 382760 moves, e=0.621, loss: 59242.8, +, 19.0% elo% vs. random_no_suicide, avg. reward: 34.519, 2.720 sec/game, 16.4 min. total, 460.6 MB
untrimmed_irate v7 469 games, 383663 moves, e=0.620, loss: 51645.0, -, 18.5% elo% vs. random_no_suicide, avg. reward: 34.457, 2.731 sec/game, 16.5 min. total, 461.4 MB
untrimmed_irate v7 470 games, 384703 moves, e=0.619, loss: 52136.0, -, 18.0% elo% vs. random_no_suicide, avg. reward: 35.137, 2.739 sec/game, 16.5 min. total, 461.5 MB
untrimmed_irate v7 471 games, 385659 moves, e=0.618, loss: 56358.2, -, 17.5% elo% vs. random_no_suicide, avg. reward: 34.829, 2.730 sec/game, 16.5 min. total, 461.4 MB
untrimmed_irate v7 472 games, 386729 moves, e=0.617, loss: 55888.5, -, 17.1% elo% vs. random_no_suicide, avg. reward: 34.877, 2.748 sec/game, 16.6 min. total, 461.8 MB
untrimmed_irate v7 473 games, 387797 moves, e=0.616, loss: 49830.4, -, 16.6% elo% vs. random_no_suicide, avg. reward: 35.348, 2.725 sec/game, 16.6 min. total, 461.8 MB
untrimmed_irate v7 474 games, 388678 moves, e=0.615, loss: 48746.4, -, 16.2% elo% vs. random_no_suicide, avg. reward: 35.331, 2.711 sec/game, 16.7 min. total, 462.1 MB
untrimmed_irate v7 475 games, 389660 moves, e=0.614, loss: 49648.0, -, 15.8% elo% vs. random_no_suicide, avg. reward: 34.583, 2.692 sec/game, 16.7 min. total, 462.4 MB
untrimmed_irate v7 476 games, 390521 moves, e=0.613, loss: 46526.8, -, 15.4% elo% vs. random_no_suicide, avg. reward: 34.832, 2.625 sec/game, 16.8 min. total, 462.4 MB
untrimmed_irate v7 477 games, 391486 moves, e=0.612, loss: 45550.4, -, 15.0% elo% vs. random_no_suicide, avg. reward: 34.829, 2.632 sec/game, 16.8 min. total, 464.3 MB
untrimmed_irate v7 478 games, 392421 moves, e=0.612, loss: 45167.9, -, 14.7% elo% vs. random_no_suicide, avg. reward: 35.265, 2.619 sec/game, 16.8 min. total, 464.4 MB
untrimmed_irate v7 479 games, 393458 moves, e=0.610, loss: 41755.6, -, 14.4% elo% vs. random_no_suicide, avg. reward: 35.521, 2.632 sec/game, 16.9 min. total, 464.6 MB
untrimmed_irate v7 480 games, 394491 moves, e=0.609, loss: 50748.2, -, 14.0% elo% vs. random_no_suicide, avg. reward: 35.454, 2.647 sec/game, 16.9 min. total, 464.2 MB
untrimmed_irate v7 481 games, 395521 moves, e=0.608, loss: 48294.6, -, 13.7% elo% vs. random_no_suicide, avg. reward: 35.710, 2.682 sec/game, 17.0 min. total, 464.3 MB
untrimmed_irate v7 482 games, 396486 moves, e=0.607, loss: 52387.6, -, 13.4% elo% vs. random_no_suicide, avg. reward: 35.616, 2.659 sec/game, 17.0 min. total, 464.7 MB
untrimmed_irate v7 483 games, 397518 moves, e=0.606, loss: 49981.2, -, 13.1% elo% vs. random_no_suicide, avg. reward: 35.677, 2.709 sec/game, 17.1 min. total, 464.8 MB
untrimmed_irate v7 484 games, 398385 moves, e=0.606, loss: 50579.6, -, 12.9% elo% vs. random_no_suicide, avg. reward: 36.078, 2.697 sec/game, 17.1 min. total, 465.5 MB
untrimmed_irate v7 485 games, 399371 moves, e=0.605, loss: 51704.7, -, 12.6% elo% vs. random_no_suicide, avg. reward: 36.451, 2.730 sec/game, 17.2 min. total, 466.2 MB
untrimmed_irate v7 486 games, 400265 moves, e=0.604, loss: 53828.0, +, 14.5% elo% vs. random_no_suicide, avg. reward: 36.721, 2.729 sec/game, 17.2 min. total, 467.6 MB
untrimmed_irate v7 487 games, 401163 moves, e=0.603, loss: 56493.6, -, 14.2% elo% vs. random_no_suicide, avg. reward: 36.817, 2.732 sec/game, 17.3 min. total, 467.8 MB
untrimmed_irate v7 488 games, 402020 moves, e=0.602, loss: 59620.8, -, 13.9% elo% vs. random_no_suicide, avg. reward: 36.782, 2.675 sec/game, 17.3 min. total, 467.7 MB
untrimmed_irate v7 489 games, 403093 moves, e=0.601, loss: 63881.6, -, 13.5% elo% vs. random_no_suicide, avg. reward: 37.034, 2.736 sec/game, 17.4 min. total, 466.0 MB
untrimmed_irate v7 490 games, 404161 moves, e=0.600, loss: 66474.4, -, 13.3% elo% vs. random_no_suicide, avg. reward: 36.818, 2.752 sec/game, 17.4 min. total, 466.0 MB
untrimmed_irate v7 491 games, 405124 moves, e=0.599, loss: 66328.3, -, 13.0% elo% vs. random_no_suicide, avg. reward: 36.838, 2.769 sec/game, 17.5 min. total, 466.2 MB
untrimmed_irate v7 492 games, 406113 moves, e=0.598, loss: 52483.4, -, 12.7% elo% vs. random_no_suicide, avg. reward: 36.538, 2.759 sec/game, 17.5 min. total, 466.2 MB
untrimmed_irate v7 493 games, 407051 moves, e=0.597, loss: 46669.9, +, 14.6% elo% vs. random_no_suicide, avg. reward: 36.657, 2.789 sec/game, 17.6 min. total, 466.2 MB
untrimmed_irate v7 494 games, 407929 moves, e=0.596, loss: 48304.8, -, 14.3% elo% vs. random_no_suicide, avg. reward: 36.703, 2.773 sec/game, 17.6 min. total, 467.6 MB
untrimmed_irate v7 495 games, 408948 moves, e=0.595, loss: 63211.9, -, 14.0% elo% vs. random_no_suicide, avg. reward: 37.199, 2.771 sec/game, 17.6 min. total, 469.6 MB
untrimmed_irate v7 496 games, 409911 moves, e=0.594, loss: 62794.1, -, 13.7% elo% vs. random_no_suicide, avg. reward: 36.661, 2.816 sec/game, 17.7 min. total, 469.5 MB
untrimmed_irate v7 497 games, 410942 moves, e=0.593, loss: 60161.8, -, 13.4% elo% vs. random_no_suicide, avg. reward: 36.687, 2.823 sec/game, 17.7 min. total, 469.5 MB
untrimmed_irate v7 498 games, 412028 moves, e=0.592, loss: 53668.5, -, 13.1% elo% vs. random_no_suicide, avg. reward: 36.745, 2.837 sec/game, 17.8 min. total, 469.7 MB
untrimmed_irate v7 499 games, 412976 moves, e=0.591, loss: 58665.7, -, 12.8% elo% vs. random_no_suicide, avg. reward: 36.689, 2.836 sec/game, 17.8 min. total, 470.1 MB
untrimmed_irate v7 500 games, 413937 moves, e=0.590, loss: 58812.7, -, 12.5% elo% vs. random_no_suicide, avg. reward: 36.710, 2.833 sec/game, 17.9 min. total, 470.2 MB
untrimmed_irate v8 501 games, 415046 moves, e=0.589, loss: 56818.9, -, 47.7% elo% vs. random_no_suicide, avg. reward: 36.346, 2.832 sec/game, 17.9 min. total, 470.0 MB
untrimmed_irate v8 502 games, 416020 moves, e=0.588, loss: 51810.5, -, 45.5% elo% vs. random_no_suicide, avg. reward: 35.828, 2.832 sec/game, 18.0 min. total, 470.2 MB
untrimmed_irate v8 503 games, 416917 moves, e=0.587, loss: 51600.6, -, 43.4% elo% vs. random_no_suicide, avg. reward: 35.822, 2.783 sec/game, 18.0 min. total, 471.5 MB
untrimmed_irate v8 504 games, 418059 moves, e=0.586, loss: 45219.7, -, 41.5% elo% vs. random_no_suicide, avg. reward: 36.060, 2.813 sec/game, 18.1 min. total, 471.7 MB
untrimmed_irate v8 505 games, 418901 moves, e=0.585, loss: 45958.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: 36.028, 2.761 sec/game, 18.1 min. total, 471.9 MB
untrimmed_irate v8 506 games, 419926 moves, e=0.584, loss: 46299.6, -, 37.9% elo% vs. random_no_suicide, avg. reward: 35.926, 2.792 sec/game, 18.2 min. total, 471.8 MB
untrimmed_irate v8 507 games, 420997 moves, e=0.583, loss: 39497.7, -, 36.3% elo% vs. random_no_suicide, avg. reward: 36.495, 2.838 sec/game, 18.2 min. total, 472.3 MB
untrimmed_irate v8 508 games, 421976 moves, e=0.582, loss: 47725.8, -, 34.8% elo% vs. random_no_suicide, avg. reward: 36.580, 2.860 sec/game, 18.3 min. total, 472.3 MB
untrimmed_irate v8 509 games, 422960 moves, e=0.581, loss: 50399.5, -, 33.3% elo% vs. random_no_suicide, avg. reward: 36.575, 2.794 sec/game, 18.3 min. total, 472.4 MB
untrimmed_irate v8 510 games, 423985 moves, e=0.580, loss: 52011.5, -, 32.0% elo% vs. random_no_suicide, avg. reward: 35.880, 2.773 sec/game, 18.3 min. total, 472.7 MB
untrimmed_irate v8 511 games, 425166 moves, e=0.579, loss: 51277.2, +, 34.8% elo% vs. random_no_suicide, avg. reward: 35.887, 2.773 sec/game, 18.4 min. total, 474.4 MB
untrimmed_irate v8 512 games, 426105 moves, e=0.578, loss: 48132.6, -, 33.3% elo% vs. random_no_suicide, avg. reward: 35.176, 2.746 sec/game, 18.4 min. total, 474.5 MB
untrimmed_irate v8 513 games, 427172 moves, e=0.577, loss: 47900.2, -, 32.0% elo% vs. random_no_suicide, avg. reward: 35.153, 2.714 sec/game, 18.5 min. total, 474.9 MB
untrimmed_irate v8 514 games, 428056 moves, e=0.576, loss: 47349.0, -, 30.7% elo% vs. random_no_suicide, avg. reward: 35.601, 2.722 sec/game, 18.5 min. total, 475.0 MB
untrimmed_irate v8 515 games, 429153 moves, e=0.575, loss: 39688.2, -, 29.5% elo% vs. random_no_suicide, avg. reward: 35.345, 2.726 sec/game, 18.6 min. total, 474.8 MB
untrimmed_irate v8 516 games, 430352 moves, e=0.574, loss: 40910.9, -, 28.4% elo% vs. random_no_suicide, avg. reward: 35.351, 2.753 sec/game, 18.6 min. total, 475.1 MB
