demanding_wow v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.9 MB
demanding_wow v1 88 games, 62142 moves, e=0.938, loss: 5.9, +, 55.9% elo% vs. v0, avg. reward: -3.014, 2.024 sec/game, 2.5 min. total, 418.2 MB
demanding_wow v1 89 games, 62942 moves, e=0.938, loss: 5.1, +, 57.9% elo% vs. v0, avg. reward: -3.008, 2.018 sec/game, 2.5 min. total, 416.6 MB
demanding_wow v1 90 games, 63776 moves, e=0.937, loss: 4.7, +, 59.7% elo% vs. v0, avg. reward: -2.997, 2.032 sec/game, 2.6 min. total, 416.6 MB
demanding_wow v1 91 games, 64579 moves, e=0.936, loss: 5.3, +, 61.5% elo% vs. v0, avg. reward: -2.991, 2.068 sec/game, 2.6 min. total, 416.8 MB
demanding_wow v1 92 games, 65297 moves, e=0.935, loss: 5.8, ., 61.0% elo% vs. v0, avg. reward: -2.989, 2.065 sec/game, 2.7 min. total, 416.6 MB
demanding_wow v1 93 games, 65907 moves, e=0.935, loss: 5.5, -, 58.3% elo% vs. v0, avg. reward: -2.996, 2.046 sec/game, 2.7 min. total, 417.3 MB
demanding_wow v1 94 games, 66567 moves, e=0.934, loss: 5.6, +, 60.2% elo% vs. v0, avg. reward: -2.997, 2.057 sec/game, 2.7 min. total, 417.2 MB
demanding_wow v1 95 games, 67332 moves, e=0.933, loss: 5.3, +, 61.9% elo% vs. v0, avg. reward: -2.992, 2.061 sec/game, 2.7 min. total, 418.0 MB
demanding_wow v1 96 games, 67963 moves, e=0.933, loss: 5.8, +, 63.5% elo% vs. v0, avg. reward: -3.000, 2.033 sec/game, 2.8 min. total, 420.3 MB
demanding_wow v1 97 games, 68593 moves, e=0.932, loss: 5.6, +, 65.1% elo% vs. v0, avg. reward: -3.008, 2.065 sec/game, 2.8 min. total, 392.8 MB
demanding_wow v1 98 games, 69394 moves, e=0.931, loss: 5.5, +, 66.5% elo% vs. v0, avg. reward: -3.001, 2.181 sec/game, 2.9 min. total, 378.6 MB
demanding_wow v1 99 games, 70074 moves, e=0.931, loss: 5.6, +, 67.9% elo% vs. v0, avg. reward: -3.003, 2.170 sec/game, 2.9 min. total, 378.8 MB
demanding_wow v1 100 games, 70900 moves, e=0.930, loss: 5.6, +, 69.2% elo% vs. v0, avg. reward: -2.994, 2.232 sec/game, 3.0 min. total, 379.0 MB
demanding_wow v2 101 games, 71572 moves, e=0.929, loss: 5.7, +, 52.3% elo% vs. v0, avg. reward: -2.994, 2.260 sec/game, 3.0 min. total, 379.5 MB
demanding_wow v2 102 games, 72248 moves, e=0.928, loss: 5.5, +, 54.5% elo% vs. v0, avg. reward: -2.998, 2.276 sec/game, 3.1 min. total, 380.1 MB
demanding_wow v2 103 games, 72937 moves, e=0.928, loss: 5.2, +, 56.6% elo% vs. v0, avg. reward: -2.991, 2.283 sec/game, 3.1 min. total, 380.4 MB
demanding_wow v2 104 games, 73675 moves, e=0.927, loss: 5.1, +, 58.5% elo% vs. v0, avg. reward: -2.991, 2.300 sec/game, 3.1 min. total, 381.5 MB
demanding_wow v2 105 games, 74368 moves, e=0.926, loss: 5.5, +, 60.4% elo% vs. v0, avg. reward: -2.995, 2.313 sec/game, 3.2 min. total, 381.1 MB
demanding_wow v2 106 games, 75094 moves, e=0.926, loss: 5.4, +, 62.1% elo% vs. v0, avg. reward: -2.987, 2.272 sec/game, 3.2 min. total, 381.4 MB
demanding_wow v2 107 games, 75834 moves, e=0.925, loss: 5.6, +, 63.7% elo% vs. v0, avg. reward: -2.992, 2.291 sec/game, 3.2 min. total, 381.5 MB
demanding_wow v2 108 games, 76481 moves, e=0.924, loss: 5.7, +, 65.2% elo% vs. v0, avg. reward: -2.993, 2.273 sec/game, 3.3 min. total, 381.3 MB
demanding_wow v2 109 games, 77234 moves, e=0.924, loss: 5.5, +, 66.7% elo% vs. v0, avg. reward: -2.978, 2.275 sec/game, 3.3 min. total, 381.2 MB
demanding_wow v2 110 games, 77987 moves, e=0.923, loss: 5.8, +, 68.0% elo% vs. v0, avg. reward: -2.978, 2.283 sec/game, 3.3 min. total, 382.1 MB
demanding_wow v2 111 games, 78621 moves, e=0.922, loss: 5.9, +, 69.3% elo% vs. v0, avg. reward: -2.984, 2.246 sec/game, 3.4 min. total, 384.0 MB
demanding_wow v2 112 games, 79264 moves, e=0.922, loss: 6.2, +, 70.5% elo% vs. v0, avg. reward: -2.994, 2.247 sec/game, 3.4 min. total, 384.1 MB
demanding_wow v3 113 games, 80146 moves, e=0.921, loss: 5.9, +, 54.5% elo% vs. v2, avg. reward: -2.981, 2.284 sec/game, 3.4 min. total, 454.5 MB
demanding_wow v3 114 games, 80883 moves, e=0.920, loss: 6.5, -, 52.0% elo% vs. v2, avg. reward: -2.978, 2.251 sec/game, 3.5 min. total, 454.7 MB
demanding_wow v3 115 games, 81658 moves, e=0.919, loss: 6.1, +, 54.2% elo% vs. v2, avg. reward: -2.974, 2.237 sec/game, 3.5 min. total, 454.8 MB
