demanding_wow v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.9 MB
demanding_wow v20 1592 games, 3860943 moves, e=0.010, loss: 26.4, +, 37.0% elo% vs. v13, avg. reward: 1.345, 8.826 sec/game, 103.2 min. total, 888.4 MB
demanding_wow v20 1593 games, 3864622 moves, e=0.010, loss: 27.0, +, 39.7% elo% vs. v13, avg. reward: 1.337, 8.768 sec/game, 103.4 min. total, 888.5 MB
demanding_wow v20 1594 games, 3868151 moves, e=0.010, loss: 23.8, -, 38.0% elo% vs. v13, avg. reward: 1.339, 8.678 sec/game, 103.5 min. total, 889.6 MB
demanding_wow v20 1595 games, 3872115 moves, e=0.010, loss: 20.1, -, 36.4% elo% vs. v13, avg. reward: 1.340, 8.674 sec/game, 103.6 min. total, 891.1 MB
demanding_wow v20 1596 games, 3876211 moves, e=0.010, loss: 19.7, -, 34.8% elo% vs. v13, avg. reward: 1.349, 8.696 sec/game, 103.8 min. total, 892.2 MB
demanding_wow v19 1500 games, 3516200 moves, e=0.010, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 321.3 MB
demanding_wow v20 1501 games, 3519800 moves, e=0.010, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 1.425, 1.410 sec/game, 0.0 min. total, 337.6 MB
demanding_wow v20 1502 games, 3523310 moves, e=0.010, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 1.029, 1.345 sec/game, 0.0 min. total, 348.7 MB
demanding_wow v20 1503 games, 3526690 moves, e=0.010, loss: 20.2, +, 56.6% elo% vs. random_bot, avg. reward: 1.209, 1.804 sec/game, 0.1 min. total, 375.0 MB
demanding_wow v20 1504 games, 3530513 moves, e=0.010, loss: 19.3, +, 58.5% elo% vs. random_bot, avg. reward: 1.193, 3.558 sec/game, 0.2 min. total, 385.9 MB
demanding_wow v20 1505 games, 3534536 moves, e=0.010, loss: 19.2, +, 60.4% elo% vs. random_bot, avg. reward: 1.305, 4.683 sec/game, 0.4 min. total, 387.5 MB
demanding_wow v20 1506 games, 3538013 moves, e=0.010, loss: 23.8, +, 62.1% elo% vs. random_bot, avg. reward: 1.333, 5.243 sec/game, 0.5 min. total, 388.2 MB
demanding_wow v20 1507 games, 3541965 moves, e=0.010, loss: 23.7, +, 63.7% elo% vs. random_bot, avg. reward: 1.330, 5.807 sec/game, 0.7 min. total, 388.4 MB
demanding_wow v20 1508 games, 3545608 moves, e=0.010, loss: 23.9, +, 65.2% elo% vs. random_bot, avg. reward: 1.494, 6.167 sec/game, 0.8 min. total, 388.7 MB
demanding_wow v20 1509 games, 3549005 moves, e=0.010, loss: 30.5, +, 66.7% elo% vs. random_bot, avg. reward: 1.460, 6.346 sec/game, 1.0 min. total, 388.1 MB
demanding_wow v20 1510 games, 3552724 moves, e=0.010, loss: 30.7, +, 68.0% elo% vs. random_bot, avg. reward: 1.444, 6.598 sec/game, 1.1 min. total, 389.2 MB
demanding_wow v20 1511 games, 3556499 moves, e=0.010, loss: 27.3, +, 69.3% elo% vs. random_bot, avg. reward: 1.419, 6.806 sec/game, 1.2 min. total, 391.9 MB
demanding_wow v20 1512 games, 3560143 moves, e=0.010, loss: 24.8, +, 70.5% elo% vs. random_bot, avg. reward: 1.339, 6.939 sec/game, 1.4 min. total, 394.0 MB
demanding_wow v21 1513 games, 3563863 moves, e=0.010, loss: 19.9, +, 54.5% elo% vs. guard_bot, avg. reward: 1.336, 7.063 sec/game, 1.5 min. total, 450.3 MB
demanding_wow v21 1514 games, 3567575 moves, e=0.010, loss: 16.8, +, 56.6% elo% vs. guard_bot, avg. reward: 1.344, 7.169 sec/game, 1.7 min. total, 456.7 MB
demanding_wow v21 1515 games, 3571287 moves, e=0.010, loss: 19.2, +, 58.5% elo% vs. guard_bot, avg. reward: 1.337, 7.259 sec/game, 1.8 min. total, 458.0 MB
demanding_wow v21 1516 games, 3575251 moves, e=0.010, loss: 23.2, +, 60.4% elo% vs. guard_bot, avg. reward: 1.342, 7.367 sec/game, 2.0 min. total, 460.7 MB
demanding_wow v21 1517 games, 3579002 moves, e=0.010, loss: 21.5, +, 62.1% elo% vs. guard_bot, avg. reward: 1.337, 7.442 sec/game, 2.1 min. total, 462.7 MB
demanding_wow v21 1518 games, 3582907 moves, e=0.010, loss: 22.8, +, 63.7% elo% vs. guard_bot, avg. reward: 1.336, 7.530 sec/game, 2.3 min. total, 467.7 MB
demanding_wow v21 1519 games, 3586934 moves, e=0.010, loss: 20.4, +, 65.2% elo% vs. guard_bot, avg. reward: 1.327, 7.615 sec/game, 2.4 min. total, 468.6 MB
demanding_wow v21 1520 games, 3590997 moves, e=0.010, loss: 22.4, +, 66.7% elo% vs. guard_bot, avg. reward: 1.314, 7.702 sec/game, 2.6 min. total, 468.9 MB
demanding_wow v21 1521 games, 3594927 moves, e=0.010, loss: 22.6, +, 68.0% elo% vs. guard_bot, avg. reward: 1.307, 8.084 sec/game, 2.7 min. total, 468.8 MB
demanding_wow v21 1522 games, 3598698 moves, e=0.010, loss: 21.0, +, 69.3% elo% vs. guard_bot, avg. reward: 1.299, 8.455 sec/game, 2.9 min. total, 469.8 MB
demanding_wow v21 1523 games, 3602936 moves, e=0.010, loss: 18.6, +, 70.5% elo% vs. guard_bot, avg. reward: 1.301, 8.797 sec/game, 3.0 min. total, 470.4 MB
demanding_wow v22 1524 games, 3606987 moves, e=0.010, loss: 20.3, +, 54.5% elo% vs. random_no_suicide, avg. reward: 1.299, 8.852 sec/game, 3.2 min. total, 472.2 MB
demanding_wow v22 1525 games, 3610729 moves, e=0.010, loss: 19.2, +, 56.6% elo% vs. random_no_suicide, avg. reward: 1.300, 8.855 sec/game, 3.3 min. total, 474.8 MB
demanding_wow v22 1526 games, 3614391 moves, e=0.010, loss: 18.4, +, 58.5% elo% vs. random_no_suicide, avg. reward: 1.303, 8.910 sec/game, 3.5 min. total, 474.6 MB
demanding_wow v22 1527 games, 3618263 moves, e=0.010, loss: 16.8, +, 60.4% elo% vs. random_no_suicide, avg. reward: 1.308, 8.891 sec/game, 3.6 min. total, 474.1 MB
demanding_wow v22 1528 games, 3622161 moves, e=0.010, loss: 18.9, +, 62.1% elo% vs. random_no_suicide, avg. reward: 1.278, 8.909 sec/game, 3.8 min. total, 475.1 MB
demanding_wow v22 1529 games, 3625928 moves, e=0.010, loss: 17.5, +, 63.7% elo% vs. random_no_suicide, avg. reward: 1.288, 8.949 sec/game, 3.9 min. total, 476.6 MB
demanding_wow v22 1530 games, 3629585 moves, e=0.010, loss: 15.6, +, 65.2% elo% vs. random_no_suicide, avg. reward: 1.265, 8.924 sec/game, 4.1 min. total, 475.7 MB
demanding_wow v22 1531 games, 3633649 moves, e=0.010, loss: 12.0, +, 66.7% elo% vs. random_no_suicide, avg. reward: 1.265, 8.929 sec/game, 4.2 min. total, 476.3 MB
demanding_wow v22 1532 games, 3637593 moves, e=0.010, loss: 13.3, +, 68.0% elo% vs. random_no_suicide, avg. reward: 1.265, 8.963 sec/game, 4.4 min. total, 478.6 MB
demanding_wow v22 1533 games, 3641271 moves, e=0.010, loss: 15.3, +, 69.3% elo% vs. random_no_suicide, avg. reward: 1.274, 8.956 sec/game, 4.5 min. total, 477.3 MB
demanding_wow v22 1534 games, 3645380 moves, e=0.010, loss: 16.6, +, 70.5% elo% vs. random_no_suicide, avg. reward: 1.276, 9.003 sec/game, 4.7 min. total, 476.6 MB
demanding_wow v23 1535 games, 3649333 moves, e=0.010, loss: 18.9, +, 54.5% elo% vs. simple_bot, avg. reward: 1.252, 9.051 sec/game, 4.8 min. total, 479.1 MB
demanding_wow v23 1536 games, 3653211 moves, e=0.010, loss: 14.7, +, 56.6% elo% vs. simple_bot, avg. reward: 1.253, 9.041 sec/game, 5.0 min. total, 480.8 MB
demanding_wow v23 1537 games, 3657153 moves, e=0.010, loss: 14.0, +, 58.5% elo% vs. simple_bot, avg. reward: 1.253, 9.075 sec/game, 5.1 min. total, 480.8 MB
demanding_wow v23 1538 games, 3660896 moves, e=0.010, loss: 16.3, +, 60.4% elo% vs. simple_bot, avg. reward: 1.259, 9.058 sec/game, 5.3 min. total, 480.2 MB
demanding_wow v23 1539 games, 3664614 moves, e=0.010, loss: 19.1, +, 62.1% elo% vs. simple_bot, avg. reward: 1.260, 9.036 sec/game, 5.4 min. total, 480.2 MB
demanding_wow v23 1540 games, 3668543 moves, e=0.010, loss: 18.0, +, 63.7% elo% vs. simple_bot, avg. reward: 1.255, 9.025 sec/game, 5.6 min. total, 480.5 MB
demanding_wow v23 1541 games, 3673141 moves, e=0.010, loss: 15.7, +, 65.2% elo% vs. simple_bot, avg. reward: 1.254, 9.112 sec/game, 5.8 min. total, 484.7 MB
demanding_wow v23 1542 games, 3676791 moves, e=0.010, loss: 17.5, +, 66.7% elo% vs. simple_bot, avg. reward: 1.236, 9.098 sec/game, 5.9 min. total, 483.4 MB
demanding_wow v23 1543 games, 3680585 moves, e=0.010, loss: 13.2, +, 68.0% elo% vs. simple_bot, avg. reward: 1.242, 9.076 sec/game, 6.0 min. total, 482.1 MB
demanding_wow v23 1544 games, 3684404 moves, e=0.010, loss: 14.9, +, 69.3% elo% vs. simple_bot, avg. reward: 1.245, 9.031 sec/game, 6.2 min. total, 482.0 MB
demanding_wow v23 1545 games, 3688111 moves, e=0.010, loss: 18.5, +, 70.5% elo% vs. simple_bot, avg. reward: 1.248, 9.010 sec/game, 6.3 min. total, 483.5 MB
demanding_wow v24 1546 games, 3691748 moves, e=0.010, loss: 20.2, +, 54.5% elo% vs. terrible_bot, avg. reward: 1.253, 8.963 sec/game, 6.5 min. total, 484.4 MB
demanding_wow v24 1547 games, 3695451 moves, e=0.010, loss: 20.5, +, 56.6% elo% vs. terrible_bot, avg. reward: 1.259, 8.956 sec/game, 6.6 min. total, 486.0 MB
demanding_wow v24 1548 games, 3699014 moves, e=0.010, loss: 22.7, +, 58.5% elo% vs. terrible_bot, avg. reward: 1.265, 8.927 sec/game, 6.8 min. total, 486.7 MB
demanding_wow v24 1549 games, 3702454 moves, e=0.010, loss: 24.3, +, 60.4% elo% vs. terrible_bot, avg. reward: 1.276, 8.902 sec/game, 6.9 min. total, 486.8 MB
demanding_wow v24 1550 games, 3705874 moves, e=0.010, loss: 28.5, +, 62.1% elo% vs. terrible_bot, avg. reward: 1.276, 8.893 sec/game, 7.0 min. total, 486.5 MB
demanding_wow v24 1551 games, 3709284 moves, e=0.010, loss: 28.4, +, 63.7% elo% vs. terrible_bot, avg. reward: 1.281, 8.845 sec/game, 7.2 min. total, 485.4 MB
demanding_wow v24 1552 games, 3713146 moves, e=0.010, loss: 28.4, +, 65.2% elo% vs. terrible_bot, avg. reward: 1.280, 8.848 sec/game, 7.3 min. total, 488.4 MB
demanding_wow v24 1553 games, 3716938 moves, e=0.010, loss: 26.1, +, 66.7% elo% vs. terrible_bot, avg. reward: 1.281, 8.889 sec/game, 7.5 min. total, 489.4 MB
demanding_wow v24 1554 games, 3720955 moves, e=0.010, loss: 21.5, +, 68.0% elo% vs. terrible_bot, avg. reward: 1.280, 8.878 sec/game, 7.6 min. total, 493.0 MB
demanding_wow v24 1555 games, 3724964 moves, e=0.010, loss: 19.7, +, 69.3% elo% vs. terrible_bot, avg. reward: 1.283, 8.892 sec/game, 7.8 min. total, 498.3 MB
demanding_wow v24 1556 games, 3728794 moves, e=0.010, loss: 20.6, +, 70.5% elo% vs. terrible_bot, avg. reward: 1.290, 8.913 sec/game, 7.9 min. total, 497.1 MB
demanding_wow v25 1557 games, 3732271 moves, e=0.010, loss: 22.8, +, 54.5% elo% vs. supershibe, avg. reward: 1.276, 8.842 sec/game, 8.1 min. total, 494.8 MB
demanding_wow v25 1558 games, 3736044 moves, e=0.010, loss: 20.9, +, 56.6% elo% vs. supershibe, avg. reward: 1.276, 8.836 sec/game, 8.2 min. total, 494.0 MB
demanding_wow v25 1559 games, 3740020 moves, e=0.010, loss: 17.5, +, 58.5% elo% vs. supershibe, avg. reward: 1.278, 8.867 sec/game, 8.4 min. total, 495.8 MB
demanding_wow v25 1560 games, 3743548 moves, e=0.010, loss: 19.6, +, 60.4% elo% vs. supershibe, avg. reward: 1.281, 8.840 sec/game, 8.5 min. total, 497.8 MB
demanding_wow v25 1561 games, 3747469 moves, e=0.010, loss: 21.0, +, 62.1% elo% vs. supershibe, avg. reward: 1.279, 8.780 sec/game, 8.7 min. total, 497.9 MB
demanding_wow v25 1562 games, 3751530 moves, e=0.010, loss: 22.2, +, 63.7% elo% vs. supershibe, avg. reward: 1.278, 8.840 sec/game, 8.8 min. total, 497.9 MB
demanding_wow v25 1563 games, 3755534 moves, e=0.010, loss: 23.1, +, 65.2% elo% vs. supershibe, avg. reward: 1.279, 8.857 sec/game, 9.0 min. total, 499.8 MB
demanding_wow v25 1564 games, 3759713 moves, e=0.010, loss: 23.7, +, 66.7% elo% vs. supershibe, avg. reward: 1.277, 8.881 sec/game, 9.2 min. total, 500.3 MB
demanding_wow v25 1565 games, 3763603 moves, e=0.010, loss: 23.2, +, 68.0% elo% vs. supershibe, avg. reward: 1.277, 8.899 sec/game, 9.3 min. total, 501.1 MB
demanding_wow v25 1566 games, 3767573 moves, e=0.010, loss: 23.0, +, 69.3% elo% vs. supershibe, avg. reward: 1.278, 8.958 sec/game, 9.5 min. total, 500.8 MB
demanding_wow v25 1567 games, 3771211 moves, e=0.010, loss: 28.4, +, 70.5% elo% vs. supershibe, avg. reward: 1.275, 8.946 sec/game, 9.6 min. total, 499.3 MB
demanding_wow v26 1568 games, 3775143 moves, e=0.010, loss: 30.0, ., 52.2% elo% vs. gir, avg. reward: 1.274, 8.972 sec/game, 9.8 min. total, 502.7 MB
demanding_wow v26 1569 games, 3779150 moves, e=0.010, loss: 23.5, ., 52.1% elo% vs. gir, avg. reward: 1.274, 9.030 sec/game, 9.9 min. total, 503.3 MB
demanding_wow v26 1570 games, 3783065 moves, e=0.010, loss: 22.1, +, 54.3% elo% vs. gir, avg. reward: 1.279, 9.068 sec/game, 10.1 min. total, 504.5 MB
demanding_wow v26 1571 games, 3787350 moves, e=0.010, loss: 23.2, +, 56.4% elo% vs. gir, avg. reward: 1.278, 9.162 sec/game, 10.2 min. total, 506.2 MB
demanding_wow v26 1572 games, 3791695 moves, e=0.010, loss: 22.8, +, 58.3% elo% vs. gir, avg. reward: 1.277, 9.244 sec/game, 10.4 min. total, 496.6 MB
demanding_wow v26 1573 games, 3795621 moves, e=0.010, loss: 25.5, +, 60.2% elo% vs. gir, avg. reward: 1.276, 9.267 sec/game, 10.6 min. total, 497.0 MB
demanding_wow v26 1574 games, 3799545 moves, e=0.010, loss: 23.2, +, 61.9% elo% vs. gir, avg. reward: 1.275, 11.275 sec/game, 11.4 min. total, 496.5 MB
demanding_wow v26 1575 games, 3803478 moves, e=0.010, loss: 21.8, +, 63.6% elo% vs. gir, avg. reward: 1.275, 13.136 sec/game, 12.2 min. total, 498.6 MB
demanding_wow v26 1576 games, 3807272 moves, e=0.010, loss: 22.1, +, 65.1% elo% vs. gir, avg. reward: 1.277, 39.987 sec/game, 21.3 min. total, 497.4 MB
demanding_wow v26 1577 games, 3811311 moves, e=0.010, loss: 23.0, +, 66.6% elo% vs. gir, avg. reward: 1.279, 47.897 sec/game, 24.0 min. total, 498.9 MB
demanding_wow v26 1578 games, 3815220 moves, e=0.010, loss: 27.0, +, 67.9% elo% vs. gir, avg. reward: 1.283, 50.728 sec/game, 25.1 min. total, 498.5 MB
demanding_wow v26 1579 games, 3818884 moves, e=0.010, loss: 29.2, +, 69.2% elo% vs. gir, avg. reward: 1.281, 55.389 sec/game, 26.8 min. total, 497.0 MB
demanding_wow v26 1580 games, 3822679 moves, e=0.010, loss: 28.4, +, 70.4% elo% vs. gir, avg. reward: 1.283, 76.817 sec/game, 34.1 min. total, 498.2 MB
demanding_wow v27 1581 games, 3826640 moves, e=0.010, loss: 29.4, +, 54.5% elo% vs. snoflake, avg. reward: 1.283, 78.678 sec/game, 34.9 min. total, 515.1 MB
demanding_wow v27 1582 games, 3830895 moves, e=0.010, loss: 26.4, +, 56.6% elo% vs. snoflake, avg. reward: 1.280, 80.266 sec/game, 35.6 min. total, 515.8 MB
demanding_wow v27 1583 games, 3835075 moves, e=0.010, loss: 25.5, +, 58.5% elo% vs. snoflake, avg. reward: 1.281, 82.874 sec/game, 36.6 min. total, 516.3 MB
demanding_wow v27 1584 games, 3838877 moves, e=0.010, loss: 23.3, +, 60.4% elo% vs. snoflake, avg. reward: 1.279, 88.690 sec/game, 38.7 min. total, 505.8 MB
demanding_wow v27 1585 games, 3843103 moves, e=0.010, loss: 21.6, +, 62.1% elo% vs. snoflake, avg. reward: 1.277, 88.753 sec/game, 38.9 min. total, 506.3 MB
demanding_wow v27 1586 games, 3846737 moves, e=0.010, loss: 22.3, +, 63.7% elo% vs. snoflake, avg. reward: 1.275, 88.706 sec/game, 39.0 min. total, 506.1 MB
demanding_wow v27 1587 games, 3850831 moves, e=0.010, loss: 22.0, +, 65.2% elo% vs. snoflake, avg. reward: 1.275, 88.767 sec/game, 39.2 min. total, 507.0 MB
demanding_wow v27 1588 games, 3854994 moves, e=0.010, loss: 21.3, +, 66.7% elo% vs. snoflake, avg. reward: 1.276, 88.808 sec/game, 39.4 min. total, 508.0 MB
demanding_wow v27 1589 games, 3858659 moves, e=0.010, loss: 24.1, +, 68.0% elo% vs. snoflake, avg. reward: 1.267, 88.776 sec/game, 39.5 min. total, 506.3 MB
demanding_wow v27 1590 games, 3862545 moves, e=0.010, loss: 20.4, +, 69.3% elo% vs. snoflake, avg. reward: 1.271, 88.788 sec/game, 39.7 min. total, 507.5 MB
demanding_wow v27 1591 games, 3866230 moves, e=0.010, loss: 19.4, +, 70.5% elo% vs. snoflake, avg. reward: 1.272, 88.724 sec/game, 39.8 min. total, 506.4 MB
demanding_wow v28 1592 games, 3870347 moves, e=0.010, loss: 22.1, +, 54.5% elo% vs. sunguard, avg. reward: 1.270, 88.660 sec/game, 40.0 min. total, 517.3 MB
demanding_wow v28 1593 games, 3874293 moves, e=0.010, loss: 24.8, +, 56.6% elo% vs. sunguard, avg. reward: 1.271, 88.647 sec/game, 40.1 min. total, 519.4 MB
demanding_wow v28 1594 games, 3878235 moves, e=0.010, loss: 21.8, +, 58.5% elo% vs. sunguard, avg. reward: 1.271, 86.655 sec/game, 40.3 min. total, 525.1 MB
demanding_wow v28 1595 games, 3882065 moves, e=0.010, loss: 18.1, +, 60.4% elo% vs. sunguard, avg. reward: 1.272, 84.780 sec/game, 40.4 min. total, 524.4 MB
demanding_wow v28 1596 games, 3886125 moves, e=0.010, loss: 17.6, +, 62.1% elo% vs. sunguard, avg. reward: 1.279, 57.961 sec/game, 40.6 min. total, 525.9 MB
demanding_wow v28 1597 games, 3889871 moves, e=0.010, loss: 19.3, +, 63.7% elo% vs. sunguard, avg. reward: 1.279, 50.110 sec/game, 40.7 min. total, 525.2 MB
demanding_wow v28 1598 games, 3893719 moves, e=0.010, loss: 20.9, +, 65.2% elo% vs. sunguard, avg. reward: 1.279, 47.327 sec/game, 40.9 min. total, 523.9 MB
demanding_wow v28 1599 games, 3897567 moves, e=0.010, loss: 19.6, +, 66.7% elo% vs. sunguard, avg. reward: 1.278, 42.670 sec/game, 41.1 min. total, 523.9 MB
demanding_wow v28 1600 games, 3901598 moves, e=0.010, loss: 21.6, +, 68.0% elo% vs. sunguard, avg. reward: 1.279, 21.348 sec/game, 41.2 min. total, 525.2 MB
demanding_wow v29 1601 games, 3905399 moves, e=0.010, loss: 21.6, +, 52.3% elo% vs. sunguard, avg. reward: 1.276, 19.460 sec/game, 41.4 min. total, 526.6 MB
demanding_wow v29 1602 games, 3909350 moves, e=0.010, loss: 20.0, +, 54.5% elo% vs. sunguard, avg. reward: 1.280, 17.881 sec/game, 41.6 min. total, 526.8 MB
demanding_wow v29 1603 games, 3912774 moves, e=0.010, loss: 18.0, +, 56.6% elo% vs. sunguard, avg. reward: 1.285, 15.221 sec/game, 41.7 min. total, 523.3 MB
demanding_wow v29 1604 games, 3916277 moves, e=0.010, loss: 20.3, +, 58.5% elo% vs. sunguard, avg. reward: 1.286, 9.361 sec/game, 41.8 min. total, 523.1 MB
demanding_wow v29 1605 games, 3920260 moves, e=0.010, loss: 20.0, +, 60.4% elo% vs. sunguard, avg. reward: 1.284, 9.333 sec/game, 42.0 min. total, 522.7 MB
demanding_wow v29 1606 games, 3924035 moves, e=0.010, loss: 22.5, +, 62.1% elo% vs. sunguard, avg. reward: 1.281, 9.366 sec/game, 42.2 min. total, 525.2 MB
demanding_wow v29 1607 games, 3927995 moves, e=0.010, loss: 19.9, +, 63.7% elo% vs. sunguard, avg. reward: 1.280, 9.374 sec/game, 42.3 min. total, 527.7 MB
demanding_wow v29 1608 games, 3931693 moves, e=0.010, loss: 20.1, +, 65.2% elo% vs. sunguard, avg. reward: 1.266, 9.339 sec/game, 42.5 min. total, 527.3 MB
demanding_wow v29 1609 games, 3935416 moves, e=0.010, loss: 18.3, +, 66.7% elo% vs. sunguard, avg. reward: 1.265, 9.369 sec/game, 42.6 min. total, 528.2 MB
demanding_wow v29 1610 games, 3939019 moves, e=0.010, loss: 17.7, +, 68.0% elo% vs. sunguard, avg. reward: 1.264, 9.355 sec/game, 42.8 min. total, 527.3 MB
demanding_wow v29 1611 games, 3942809 moves, e=0.010, loss: 17.0, +, 69.3% elo% vs. sunguard, avg. reward: 1.264, 9.396 sec/game, 42.9 min. total, 529.2 MB
demanding_wow v29 1612 games, 3946866 moves, e=0.010, loss: 17.4, +, 70.5% elo% vs. sunguard, avg. reward: 1.270, 9.420 sec/game, 43.1 min. total, 531.6 MB
demanding_wow v30 1613 games, 3950793 moves, e=0.010, loss: 18.5, +, 54.5% elo% vs. rowlake, avg. reward: 1.279, 9.408 sec/game, 43.3 min. total, 532.6 MB
demanding_wow v30 1614 games, 3955022 moves, e=0.010, loss: 23.6, +, 56.6% elo% vs. rowlake, avg. reward: 1.276, 9.422 sec/game, 43.4 min. total, 532.5 MB
demanding_wow v30 1615 games, 3958854 moves, e=0.010, loss: 26.5, +, 58.5% elo% vs. rowlake, avg. reward: 1.279, 9.417 sec/game, 43.6 min. total, 533.5 MB
demanding_wow v30 1616 games, 3962736 moves, e=0.010, loss: 24.0, +, 60.4% elo% vs. rowlake, avg. reward: 1.280, 9.407 sec/game, 43.7 min. total, 535.5 MB
demanding_wow v30 1617 games, 3966583 moves, e=0.010, loss: 25.4, +, 62.1% elo% vs. rowlake, avg. reward: 1.280, 9.411 sec/game, 43.9 min. total, 534.0 MB
demanding_wow v30 1618 games, 3970654 moves, e=0.010, loss: 23.5, +, 63.7% elo% vs. rowlake, avg. reward: 1.279, 9.422 sec/game, 44.0 min. total, 535.8 MB
demanding_wow v30 1619 games, 3974840 moves, e=0.010, loss: 22.4, +, 65.2% elo% vs. rowlake, avg. reward: 1.279, 9.436 sec/game, 44.2 min. total, 537.2 MB
demanding_wow v30 1620 games, 3978521 moves, e=0.010, loss: 21.0, +, 66.7% elo% vs. rowlake, avg. reward: 1.273, 9.330 sec/game, 44.4 min. total, 537.1 MB
demanding_wow v30 1621 games, 3982658 moves, e=0.010, loss: 17.0, +, 68.0% elo% vs. rowlake, avg. reward: 1.282, 9.351 sec/game, 44.5 min. total, 535.5 MB
demanding_wow v30 1622 games, 3986624 moves, e=0.010, loss: 20.4, +, 69.3% elo% vs. rowlake, avg. reward: 1.283, 9.320 sec/game, 44.7 min. total, 536.5 MB
demanding_wow v30 1623 games, 3990927 moves, e=0.010, loss: 24.8, +, 70.5% elo% vs. rowlake, avg. reward: 1.286, 9.431 sec/game, 44.8 min. total, 539.6 MB
demanding_wow v31 1624 games, 3994775 moves, e=0.010, loss: 26.3, +, 54.5% elo% vs. kamikaze, avg. reward: 1.286, 9.442 sec/game, 45.0 min. total, 539.0 MB
demanding_wow v31 1625 games, 3998814 moves, e=0.010, loss: 24.2, +, 56.6% elo% vs. kamikaze, avg. reward: 1.285, 9.401 sec/game, 45.1 min. total, 539.4 MB
demanding_wow v31 1626 games, 4002697 moves, e=0.010, loss: 23.9, +, 58.5% elo% vs. kamikaze, avg. reward: 1.292, 9.404 sec/game, 45.3 min. total, 542.1 MB
demanding_wow v31 1627 games, 4006347 moves, e=0.010, loss: 24.1, +, 60.4% elo% vs. kamikaze, avg. reward: 1.292, 9.340 sec/game, 45.4 min. total, 542.1 MB
demanding_wow v31 1628 games, 4010370 moves, e=0.010, loss: 30.7, +, 62.1% elo% vs. kamikaze, avg. reward: 1.302, 9.378 sec/game, 45.6 min. total, 539.9 MB
demanding_wow v31 1629 games, 4014404 moves, e=0.010, loss: 28.0, +, 63.7% elo% vs. kamikaze, avg. reward: 1.297, 9.383 sec/game, 45.8 min. total, 543.7 MB
demanding_wow v31 1630 games, 4018322 moves, e=0.010, loss: 30.4, +, 65.2% elo% vs. kamikaze, avg. reward: 1.304, 9.400 sec/game, 45.9 min. total, 544.9 MB
demanding_wow v31 1631 games, 4022210 moves, e=0.010, loss: 29.3, +, 66.7% elo% vs. kamikaze, avg. reward: 1.303, 9.373 sec/game, 46.1 min. total, 544.9 MB
demanding_wow v31 1632 games, 4026168 moves, e=0.010, loss: 25.2, +, 68.0% elo% vs. kamikaze, avg. reward: 1.303, 9.346 sec/game, 46.2 min. total, 544.6 MB
demanding_wow v31 1633 games, 4030195 moves, e=0.010, loss: 25.3, +, 69.3% elo% vs. kamikaze, avg. reward: 1.301, 9.383 sec/game, 46.4 min. total, 545.0 MB
demanding_wow v31 1634 games, 4034093 moves, e=0.010, loss: 24.4, +, 70.5% elo% vs. kamikaze, avg. reward: 1.300, 9.356 sec/game, 46.5 min. total, 547.1 MB
demanding_wow v32 1635 games, 4038141 moves, e=0.010, loss: 26.8, +, 54.5% elo% vs. goulinator, avg. reward: 1.315, 9.405 sec/game, 46.7 min. total, 527.8 MB
demanding_wow v32 1636 games, 4042140 moves, e=0.010, loss: 27.8, +, 56.6% elo% vs. goulinator, avg. reward: 1.314, 9.456 sec/game, 46.9 min. total, 529.8 MB
demanding_wow v32 1637 games, 4046005 moves, e=0.010, loss: 29.8, +, 58.5% elo% vs. goulinator, avg. reward: 1.313, 9.456 sec/game, 47.0 min. total, 529.6 MB
demanding_wow v32 1638 games, 4049969 moves, e=0.010, loss: 25.8, +, 60.4% elo% vs. goulinator, avg. reward: 1.310, 9.438 sec/game, 47.2 min. total, 531.3 MB
demanding_wow v32 1639 games, 4054179 moves, e=0.010, loss: 21.1, +, 62.1% elo% vs. goulinator, avg. reward: 1.309, 9.454 sec/game, 47.4 min. total, 531.4 MB
demanding_wow v32 1640 games, 4058324 moves, e=0.010, loss: 22.9, +, 63.7% elo% vs. goulinator, avg. reward: 1.312, 9.506 sec/game, 47.5 min. total, 531.4 MB
demanding_wow v32 1641 games, 4062499 moves, e=0.010, loss: 22.9, +, 65.2% elo% vs. goulinator, avg. reward: 1.313, 9.530 sec/game, 47.7 min. total, 531.7 MB
demanding_wow v32 1642 games, 4066526 moves, e=0.010, loss: 24.5, +, 66.7% elo% vs. goulinator, avg. reward: 1.321, 9.537 sec/game, 47.8 min. total, 533.5 MB
demanding_wow v32 1643 games, 4070975 moves, e=0.010, loss: 25.0, +, 68.0% elo% vs. goulinator, avg. reward: 1.311, 9.530 sec/game, 48.0 min. total, 535.1 MB
demanding_wow v32 1644 games, 4075089 moves, e=0.010, loss: 18.0, +, 69.3% elo% vs. goulinator, avg. reward: 1.311, 9.573 sec/game, 48.2 min. total, 534.8 MB
