agreeable_scroll v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
agreeable_scroll v3 88 games, 63971 moves, e=0.937, loss: 9.2, -, 14.8% elo% vs. random_no_suicide, avg. reward: -13.013, 1.148 sec/game, 1.4 min. total, 447.2 MB
agreeable_scroll v3 89 games, 64645 moves, e=0.936, loss: 8.7, -, 14.5% elo% vs. random_no_suicide, avg. reward: -13.023, 1.158 sec/game, 1.5 min. total, 446.1 MB
agreeable_scroll v3 90 games, 65369 moves, e=0.935, loss: 9.0, -, 14.1% elo% vs. random_no_suicide, avg. reward: -13.023, 1.154 sec/game, 1.5 min. total, 447.4 MB
agreeable_scroll v3 91 games, 66013 moves, e=0.935, loss: 9.3, -, 13.8% elo% vs. random_no_suicide, avg. reward: -13.042, 1.137 sec/game, 1.5 min. total, 447.1 MB
agreeable_scroll v3 92 games, 66785 moves, e=0.934, loss: 9.4, -, 13.5% elo% vs. random_no_suicide, avg. reward: -13.029, 1.131 sec/game, 1.5 min. total, 446.2 MB
agreeable_scroll v3 93 games, 67497 moves, e=0.933, loss: 9.8, -, 13.2% elo% vs. random_no_suicide, avg. reward: -13.031, 1.132 sec/game, 1.5 min. total, 447.6 MB
agreeable_scroll v3 94 games, 68315 moves, e=0.932, loss: 10.2, -, 13.0% elo% vs. random_no_suicide, avg. reward: -13.013, 1.141 sec/game, 1.5 min. total, 447.5 MB
agreeable_scroll v3 95 games, 69048 moves, e=0.932, loss: 9.8, -, 12.7% elo% vs. random_no_suicide, avg. reward: -13.006, 1.145 sec/game, 1.6 min. total, 447.3 MB
agreeable_scroll v3 96 games, 69871 moves, e=0.931, loss: 9.5, -, 12.4% elo% vs. random_no_suicide, avg. reward: -12.989, 1.157 sec/game, 1.6 min. total, 446.9 MB
agreeable_scroll v3 97 games, 70479 moves, e=0.930, loss: 9.9, -, 12.2% elo% vs. random_no_suicide, avg. reward: -13.016, 1.157 sec/game, 1.6 min. total, 448.8 MB
agreeable_scroll v3 98 games, 71284 moves, e=0.929, loss: 9.8, -, 12.0% elo% vs. random_no_suicide, avg. reward: -12.997, 1.172 sec/game, 1.6 min. total, 447.6 MB
agreeable_scroll v3 99 games, 72000 moves, e=0.929, loss: 9.3, -, 11.7% elo% vs. random_no_suicide, avg. reward: -13.001, 1.181 sec/game, 1.6 min. total, 447.6 MB
agreeable_scroll v3 100 games, 72844 moves, e=0.928, loss: 9.8, +, 13.5% elo% vs. random_no_suicide, avg. reward: -12.973, 1.193 sec/game, 1.7 min. total, 448.5 MB
agreeable_scroll v4 101 games, 73556 moves, e=0.927, loss: 10.1, +, 52.3% elo% vs. random_no_suicide, avg. reward: -12.966, 1.187 sec/game, 1.7 min. total, 448.2 MB
agreeable_scroll v4 102 games, 74278 moves, e=0.926, loss: 9.8, +, 54.5% elo% vs. random_no_suicide, avg. reward: -12.962, 1.210 sec/game, 1.7 min. total, 449.5 MB
agreeable_scroll v4 103 games, 75040 moves, e=0.926, loss: 10.0, -, 52.0% elo% vs. random_no_suicide, avg. reward: -12.953, 1.202 sec/game, 1.7 min. total, 449.2 MB
agreeable_scroll v4 104 games, 75832 moves, e=0.925, loss: 10.2, -, 49.6% elo% vs. random_no_suicide, avg. reward: -12.917, 1.201 sec/game, 1.8 min. total, 450.3 MB
agreeable_scroll v4 105 games, 76636 moves, e=0.924, loss: 9.9, -, 47.3% elo% vs. random_no_suicide, avg. reward: -12.909, 1.195 sec/game, 1.8 min. total, 449.0 MB
