anyplace_passage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
anyplace_passage v8 442 games, 367686 moves, e=0.636, loss: 69.4, -, 25.4% elo% vs. simple_bot, avg. reward: -2.185, 2.619 sec/game, 12.7 min. total, 583.7 MB
anyplace_passage v8 443 games, 368787 moves, e=0.635, loss: 65.1, -, 24.5% elo% vs. simple_bot, avg. reward: -2.178, 2.629 sec/game, 12.8 min. total, 583.8 MB
anyplace_passage v8 444 games, 370129 moves, e=0.634, loss: 65.5, -, 23.7% elo% vs. simple_bot, avg. reward: -2.162, 2.655 sec/game, 12.8 min. total, 584.0 MB
anyplace_passage v8 445 games, 371260 moves, e=0.632, loss: 69.1, -, 22.9% elo% vs. simple_bot, avg. reward: -2.140, 2.657 sec/game, 12.8 min. total, 584.0 MB
anyplace_passage v8 446 games, 372477 moves, e=0.631, loss: 68.1, -, 22.2% elo% vs. simple_bot, avg. reward: -2.113, 2.653 sec/game, 12.9 min. total, 584.1 MB
anyplace_passage v8 447 games, 373389 moves, e=0.630, loss: 68.8, -, 21.5% elo% vs. simple_bot, avg. reward: -2.118, 2.620 sec/game, 12.9 min. total, 585.0 MB
anyplace_passage v8 448 games, 374500 moves, e=0.629, loss: 66.3, -, 20.8% elo% vs. simple_bot, avg. reward: -2.107, 2.590 sec/game, 13.0 min. total, 585.1 MB
anyplace_passage v8 449 games, 375523 moves, e=0.628, loss: 65.5, -, 20.2% elo% vs. simple_bot, avg. reward: -2.092, 2.585 sec/game, 13.0 min. total, 585.3 MB
anyplace_passage v8 450 games, 376495 moves, e=0.627, loss: 67.0, -, 19.6% elo% vs. simple_bot, avg. reward: -2.085, 2.582 sec/game, 13.0 min. total, 590.1 MB
anyplace_passage v8 451 games, 377527 moves, e=0.626, loss: 69.3, -, 19.0% elo% vs. simple_bot, avg. reward: -2.079, 2.595 sec/game, 13.1 min. total, 585.1 MB
anyplace_passage v8 452 games, 378743 moves, e=0.625, loss: 67.8, -, 18.5% elo% vs. simple_bot, avg. reward: -2.061, 2.604 sec/game, 13.1 min. total, 586.1 MB
anyplace_passage v8 453 games, 379926 moves, e=0.624, loss: 68.5, -, 18.0% elo% vs. simple_bot, avg. reward: -2.051, 2.622 sec/game, 13.2 min. total, 589.2 MB
anyplace_passage v8 454 games, 381113 moves, e=0.623, loss: 70.3, -, 17.5% elo% vs. simple_bot, avg. reward: -2.031, 2.648 sec/game, 13.2 min. total, 593.5 MB
anyplace_passage v8 455 games, 382175 moves, e=0.622, loss: 70.0, -, 17.0% elo% vs. simple_bot, avg. reward: -2.018, 2.668 sec/game, 13.3 min. total, 593.5 MB
anyplace_passage v8 456 games, 383149 moves, e=0.621, loss: 72.5, -, 16.6% elo% vs. simple_bot, avg. reward: -2.016, 2.635 sec/game, 13.3 min. total, 589.0 MB
anyplace_passage v8 457 games, 384219 moves, e=0.620, loss: 76.0, -, 16.2% elo% vs. simple_bot, avg. reward: -2.014, 2.615 sec/game, 13.4 min. total, 594.1 MB
anyplace_passage v8 458 games, 385085 moves, e=0.619, loss: 75.5, -, 15.8% elo% vs. simple_bot, avg. reward: -2.015, 2.585 sec/game, 13.4 min. total, 594.0 MB
anyplace_passage v8 459 games, 386075 moves, e=0.618, loss: 79.2, -, 15.4% elo% vs. simple_bot, avg. reward: -2.014, 2.545 sec/game, 13.4 min. total, 589.6 MB
anyplace_passage v8 460 games, 387008 moves, e=0.617, loss: 81.2, -, 15.0% elo% vs. simple_bot, avg. reward: -2.015, 2.518 sec/game, 13.5 min. total, 590.7 MB
anyplace_passage v8 461 games, 388138 moves, e=0.616, loss: 84.3, -, 14.7% elo% vs. simple_bot, avg. reward: -2.010, 2.514 sec/game, 13.5 min. total, 594.8 MB
anyplace_passage v8 462 games, 389125 moves, e=0.615, loss: 87.0, -, 14.3% elo% vs. simple_bot, avg. reward: -2.015, 2.514 sec/game, 13.5 min. total, 594.8 MB
anyplace_passage v8 463 games, 390268 moves, e=0.614, loss: 86.6, -, 14.0% elo% vs. simple_bot, avg. reward: -2.002, 2.504 sec/game, 13.6 min. total, 590.2 MB
anyplace_passage v8 464 games, 391278 moves, e=0.613, loss: 84.3, -, 13.7% elo% vs. simple_bot, avg. reward: -1.994, 2.465 sec/game, 13.6 min. total, 590.3 MB
anyplace_passage v8 465 games, 392454 moves, e=0.611, loss: 89.3, -, 13.4% elo% vs. simple_bot, avg. reward: -1.983, 2.472 sec/game, 13.7 min. total, 595.0 MB
anyplace_passage v8 466 games, 393490 moves, e=0.610, loss: 90.8, -, 13.1% elo% vs. simple_bot, avg. reward: -1.969, 2.456 sec/game, 13.7 min. total, 591.5 MB
anyplace_passage v8 467 games, 394556 moves, e=0.609, loss: 94.4, -, 12.9% elo% vs. simple_bot, avg. reward: -1.973, 2.458 sec/game, 13.7 min. total, 591.9 MB
anyplace_passage v8 468 games, 395628 moves, e=0.608, loss: 90.3, -, 12.6% elo% vs. simple_bot, avg. reward: -1.967, 2.453 sec/game, 13.8 min. total, 593.4 MB
anyplace_passage v8 469 games, 396727 moves, e=0.607, loss: 86.0, -, 12.3% elo% vs. simple_bot, avg. reward: -1.959, 2.451 sec/game, 13.8 min. total, 593.2 MB
anyplace_passage v8 470 games, 397883 moves, e=0.606, loss: 77.5, -, 12.1% elo% vs. simple_bot, avg. reward: -1.950, 2.450 sec/game, 13.9 min. total, 593.9 MB
anyplace_passage v8 471 games, 399205 moves, e=0.605, loss: 71.9, -, 11.9% elo% vs. simple_bot, avg. reward: -1.906, 2.459 sec/game, 13.9 min. total, 592.8 MB
anyplace_passage v8 472 games, 400549 moves, e=0.603, loss: 72.7, -, 11.6% elo% vs. simple_bot, avg. reward: -1.879, 2.455 sec/game, 14.0 min. total, 595.7 MB
anyplace_passage v8 473 games, 401781 moves, e=0.602, loss: 73.7, -, 11.4% elo% vs. simple_bot, avg. reward: -1.852, 2.421 sec/game, 14.0 min. total, 595.9 MB
anyplace_passage v8 474 games, 403037 moves, e=0.601, loss: 62.5, -, 11.2% elo% vs. simple_bot, avg. reward: -1.833, 2.402 sec/game, 14.0 min. total, 594.3 MB
anyplace_passage v8 475 games, 404347 moves, e=0.600, loss: 57.6, -, 11.0% elo% vs. simple_bot, avg. reward: -1.808, 2.428 sec/game, 14.1 min. total, 595.7 MB
anyplace_passage v8 476 games, 405663 moves, e=0.598, loss: 56.3, -, 10.8% elo% vs. simple_bot, avg. reward: -1.787, 2.475 sec/game, 14.2 min. total, 596.0 MB
anyplace_passage v8 477 games, 406828 moves, e=0.597, loss: 60.2, -, 10.6% elo% vs. simple_bot, avg. reward: -1.776, 2.491 sec/game, 14.2 min. total, 598.8 MB
anyplace_passage v8 478 games, 407892 moves, e=0.596, loss: 57.6, -, 10.4% elo% vs. simple_bot, avg. reward: -1.761, 2.505 sec/game, 14.2 min. total, 599.0 MB
anyplace_passage v8 479 games, 408955 moves, e=0.595, loss: 60.6, -, 10.3% elo% vs. simple_bot, avg. reward: -1.755, 2.509 sec/game, 14.3 min. total, 599.2 MB
anyplace_passage v8 480 games, 410215 moves, e=0.594, loss: 56.7, -, 10.1% elo% vs. simple_bot, avg. reward: -1.733, 2.542 sec/game, 14.3 min. total, 597.7 MB
anyplace_passage v8 481 games, 411343 moves, e=0.593, loss: 56.7, -, 9.9% elo% vs. simple_bot, avg. reward: -1.710, 2.555 sec/game, 14.4 min. total, 598.0 MB
anyplace_passage v8 482 games, 412550 moves, e=0.592, loss: 61.9, -, 9.8% elo% vs. simple_bot, avg. reward: -1.693, 2.584 sec/game, 14.4 min. total, 598.1 MB
anyplace_passage v8 483 games, 413857 moves, e=0.590, loss: 57.7, -, 9.6% elo% vs. simple_bot, avg. reward: -1.671, 2.608 sec/game, 14.5 min. total, 599.6 MB
anyplace_passage v8 484 games, 415183 moves, e=0.589, loss: 64.9, -, 9.4% elo% vs. simple_bot, avg. reward: -1.647, 2.637 sec/game, 14.5 min. total, 599.6 MB
anyplace_passage v8 485 games, 416373 moves, e=0.588, loss: 73.9, -, 9.3% elo% vs. simple_bot, avg. reward: -1.636, 2.630 sec/game, 14.5 min. total, 598.1 MB
anyplace_passage v8 486 games, 417410 moves, e=0.587, loss: 76.6, -, 9.2% elo% vs. simple_bot, avg. reward: -1.640, 2.641 sec/game, 14.6 min. total, 598.1 MB
anyplace_passage v8 487 games, 418439 moves, e=0.586, loss: 77.9, -, 9.0% elo% vs. simple_bot, avg. reward: -1.643, 2.641 sec/game, 14.6 min. total, 600.1 MB
anyplace_passage v8 488 games, 419887 moves, e=0.584, loss: 84.2, -, 8.9% elo% vs. simple_bot, avg. reward: -1.617, 2.685 sec/game, 14.7 min. total, 601.6 MB
anyplace_passage v8 489 games, 420918 moves, e=0.583, loss: 89.0, -, 8.7% elo% vs. simple_bot, avg. reward: -1.616, 2.676 sec/game, 14.7 min. total, 605.7 MB
anyplace_passage v8 490 games, 421925 moves, e=0.582, loss: 90.8, -, 8.6% elo% vs. simple_bot, avg. reward: -1.604, 2.668 sec/game, 14.8 min. total, 601.4 MB
anyplace_passage v8 491 games, 423290 moves, e=0.581, loss: 92.5, -, 8.5% elo% vs. simple_bot, avg. reward: -1.592, 2.670 sec/game, 14.8 min. total, 605.9 MB
anyplace_passage v8 492 games, 424394 moves, e=0.580, loss: 102.8, -, 8.4% elo% vs. simple_bot, avg. reward: -1.573, 2.653 sec/game, 14.8 min. total, 601.6 MB
anyplace_passage v8 493 games, 425564 moves, e=0.579, loss: 114.5, -, 8.3% elo% vs. simple_bot, avg. reward: -1.567, 2.653 sec/game, 14.9 min. total, 606.2 MB
anyplace_passage v8 494 games, 426622 moves, e=0.578, loss: 119.2, -, 8.1% elo% vs. simple_bot, avg. reward: -1.546, 2.631 sec/game, 14.9 min. total, 607.4 MB
anyplace_passage v8 495 games, 427855 moves, e=0.576, loss: 128.1, -, 8.0% elo% vs. simple_bot, avg. reward: -1.507, 2.608 sec/game, 15.0 min. total, 602.9 MB
anyplace_passage v8 496 games, 428821 moves, e=0.575, loss: 121.5, -, 7.9% elo% vs. simple_bot, avg. reward: -1.492, 2.564 sec/game, 15.0 min. total, 607.6 MB
anyplace_passage v8 497 games, 430010 moves, e=0.574, loss: 133.1, -, 7.8% elo% vs. simple_bot, avg. reward: -1.479, 2.561 sec/game, 15.0 min. total, 602.9 MB
anyplace_passage v8 498 games, 431009 moves, e=0.573, loss: 127.5, -, 7.7% elo% vs. simple_bot, avg. reward: -1.482, 2.564 sec/game, 15.1 min. total, 604.4 MB
anyplace_passage v8 499 games, 432402 moves, e=0.572, loss: 120.4, -, 7.6% elo% vs. simple_bot, avg. reward: -1.455, 2.599 sec/game, 15.1 min. total, 603.3 MB
anyplace_passage v8 500 games, 433566 moves, e=0.571, loss: 111.5, -, 7.5% elo% vs. simple_bot, avg. reward: -1.433, 2.590 sec/game, 15.2 min. total, 604.3 MB
anyplace_passage v9 501 games, 434897 moves, e=0.569, loss: 112.7, -, 47.7% elo% vs. simple_bot, avg. reward: -1.419, 2.592 sec/game, 15.2 min. total, 610.9 MB
anyplace_passage v9 502 games, 436045 moves, e=0.568, loss: 106.2, -, 45.5% elo% vs. simple_bot, avg. reward: -1.413, 2.584 sec/game, 15.3 min. total, 606.2 MB
anyplace_passage v9 503 games, 437245 moves, e=0.567, loss: 97.5, -, 43.4% elo% vs. simple_bot, avg. reward: -1.392, 2.575 sec/game, 15.3 min. total, 606.4 MB
anyplace_passage v9 504 games, 438548 moves, e=0.566, loss: 82.3, -, 41.5% elo% vs. simple_bot, avg. reward: -1.376, 2.583 sec/game, 15.4 min. total, 606.3 MB
anyplace_passage v9 505 games, 439988 moves, e=0.564, loss: 78.0, -, 39.6% elo% vs. simple_bot, avg. reward: -1.348, 2.605 sec/game, 15.4 min. total, 608.2 MB
anyplace_passage v9 506 games, 441250 moves, e=0.563, loss: 83.2, -, 37.9% elo% vs. simple_bot, avg. reward: -1.332, 2.621 sec/game, 15.5 min. total, 607.0 MB
anyplace_passage v9 507 games, 442603 moves, e=0.562, loss: 83.8, -, 36.3% elo% vs. simple_bot, avg. reward: -1.308, 2.647 sec/game, 15.5 min. total, 608.0 MB
anyplace_passage v9 508 games, 444089 moves, e=0.560, loss: 77.9, -, 34.8% elo% vs. simple_bot, avg. reward: -1.291, 2.656 sec/game, 15.6 min. total, 608.1 MB
anyplace_passage v9 509 games, 445287 moves, e=0.559, loss: 82.7, -, 33.3% elo% vs. simple_bot, avg. reward: -1.274, 2.674 sec/game, 15.6 min. total, 608.0 MB
anyplace_passage v9 510 games, 446760 moves, e=0.558, loss: 80.0, -, 32.0% elo% vs. simple_bot, avg. reward: -1.244, 2.719 sec/game, 15.7 min. total, 606.8 MB
anyplace_passage v9 511 games, 448003 moves, e=0.556, loss: 76.7, -, 30.7% elo% vs. simple_bot, avg. reward: -1.218, 2.717 sec/game, 15.7 min. total, 607.9 MB
anyplace_passage v9 512 games, 449252 moves, e=0.555, loss: 75.0, -, 29.5% elo% vs. simple_bot, avg. reward: -1.191, 2.716 sec/game, 15.7 min. total, 608.7 MB
anyplace_passage v9 513 games, 450634 moves, e=0.554, loss: 69.2, -, 28.4% elo% vs. simple_bot, avg. reward: -1.161, 2.739 sec/game, 15.8 min. total, 609.0 MB
anyplace_passage v9 514 games, 451984 moves, e=0.553, loss: 69.9, -, 27.3% elo% vs. simple_bot, avg. reward: -1.137, 2.771 sec/game, 15.8 min. total, 609.3 MB
anyplace_passage v9 515 games, 453109 moves, e=0.551, loss: 73.8, -, 26.4% elo% vs. simple_bot, avg. reward: -1.143, 2.750 sec/game, 15.9 min. total, 609.6 MB
anyplace_passage v9 516 games, 454264 moves, e=0.550, loss: 84.7, -, 25.4% elo% vs. simple_bot, avg. reward: -1.138, 2.762 sec/game, 15.9 min. total, 610.3 MB
anyplace_passage v9 517 games, 455474 moves, e=0.549, loss: 75.9, -, 24.5% elo% vs. simple_bot, avg. reward: -1.140, 2.774 sec/game, 16.0 min. total, 613.1 MB
anyplace_passage v9 518 games, 456725 moves, e=0.548, loss: 72.6, -, 23.7% elo% vs. simple_bot, avg. reward: -1.133, 2.804 sec/game, 16.0 min. total, 611.6 MB
anyplace_passage v9 519 games, 457886 moves, e=0.547, loss: 75.4, -, 22.9% elo% vs. simple_bot, avg. reward: -1.129, 2.782 sec/game, 16.1 min. total, 613.1 MB
anyplace_passage v9 520 games, 459082 moves, e=0.546, loss: 80.3, -, 22.2% elo% vs. simple_bot, avg. reward: -1.112, 2.781 sec/game, 16.1 min. total, 611.9 MB
anyplace_passage v9 521 games, 460211 moves, e=0.544, loss: 86.7, -, 21.5% elo% vs. simple_bot, avg. reward: -1.109, 2.764 sec/game, 16.1 min. total, 613.3 MB
anyplace_passage v9 522 games, 461558 moves, e=0.543, loss: 83.1, -, 20.8% elo% vs. simple_bot, avg. reward: -1.089, 2.771 sec/game, 16.2 min. total, 612.7 MB
anyplace_passage v9 523 games, 462787 moves, e=0.542, loss: 87.6, -, 20.2% elo% vs. simple_bot, avg. reward: -1.061, 2.788 sec/game, 16.2 min. total, 613.8 MB
anyplace_passage v9 524 games, 464199 moves, e=0.540, loss: 86.6, -, 19.6% elo% vs. simple_bot, avg. reward: -1.038, 2.789 sec/game, 16.3 min. total, 618.5 MB
anyplace_passage v9 525 games, 465469 moves, e=0.539, loss: 97.7, -, 19.1% elo% vs. simple_bot, avg. reward: -1.023, 2.777 sec/game, 16.3 min. total, 615.3 MB
anyplace_passage v9 526 games, 466813 moves, e=0.538, loss: 99.8, -, 18.5% elo% vs. simple_bot, avg. reward: -1.013, 2.777 sec/game, 16.4 min. total, 614.4 MB
anyplace_passage v9 527 games, 468106 moves, e=0.537, loss: 101.5, -, 18.0% elo% vs. simple_bot, avg. reward: -1.005, 2.788 sec/game, 16.4 min. total, 616.0 MB
anyplace_passage v9 528 games, 469511 moves, e=0.535, loss: 95.9, -, 17.5% elo% vs. simple_bot, avg. reward: -0.998, 2.775 sec/game, 16.5 min. total, 617.1 MB
anyplace_passage v9 529 games, 470767 moves, e=0.534, loss: 102.1, -, 17.1% elo% vs. simple_bot, avg. reward: -0.978, 2.773 sec/game, 16.5 min. total, 617.2 MB
anyplace_passage v9 530 games, 471996 moves, e=0.533, loss: 113.3, -, 16.6% elo% vs. simple_bot, avg. reward: -0.965, 2.750 sec/game, 16.6 min. total, 617.2 MB
anyplace_passage v9 531 games, 473165 moves, e=0.532, loss: 116.8, -, 16.2% elo% vs. simple_bot, avg. reward: -0.950, 2.738 sec/game, 16.6 min. total, 617.2 MB
anyplace_passage v9 532 games, 474552 moves, e=0.530, loss: 95.3, -, 15.8% elo% vs. simple_bot, avg. reward: -0.939, 2.766 sec/game, 16.7 min. total, 616.4 MB
anyplace_passage v9 533 games, 475776 moves, e=0.529, loss: 108.5, -, 15.4% elo% vs. simple_bot, avg. reward: -0.932, 2.754 sec/game, 16.7 min. total, 617.2 MB
anyplace_passage v9 534 games, 477156 moves, e=0.528, loss: 112.3, -, 15.1% elo% vs. simple_bot, avg. reward: -0.914, 2.746 sec/game, 16.8 min. total, 620.4 MB
anyplace_passage v9 535 games, 478267 moves, e=0.527, loss: 113.3, -, 14.7% elo% vs. simple_bot, avg. reward: -0.901, 2.756 sec/game, 16.8 min. total, 623.4 MB
anyplace_passage v9 536 games, 479582 moves, e=0.525, loss: 112.0, -, 14.4% elo% vs. simple_bot, avg. reward: -0.893, 2.768 sec/game, 16.9 min. total, 618.9 MB
anyplace_passage v9 537 games, 481007 moves, e=0.524, loss: 127.0, -, 14.0% elo% vs. simple_bot, avg. reward: -0.866, 2.786 sec/game, 16.9 min. total, 619.2 MB
anyplace_passage v9 538 games, 482151 moves, e=0.523, loss: 135.5, -, 13.7% elo% vs. simple_bot, avg. reward: -0.854, 2.769 sec/game, 16.9 min. total, 620.7 MB
anyplace_passage v9 539 games, 483350 moves, e=0.521, loss: 115.1, -, 13.4% elo% vs. simple_bot, avg. reward: -0.853, 2.781 sec/game, 17.0 min. total, 619.3 MB
anyplace_passage v9 540 games, 484718 moves, e=0.520, loss: 119.1, -, 13.1% elo% vs. simple_bot, avg. reward: -0.837, 2.799 sec/game, 17.0 min. total, 620.6 MB
anyplace_passage v9 541 games, 485821 moves, e=0.519, loss: 118.7, -, 12.9% elo% vs. simple_bot, avg. reward: -0.835, 2.798 sec/game, 17.1 min. total, 620.5 MB
anyplace_passage v9 542 games, 487280 moves, e=0.518, loss: 128.2, -, 12.6% elo% vs. simple_bot, avg. reward: -0.804, 2.810 sec/game, 17.1 min. total, 622.1 MB
anyplace_passage v9 543 games, 488727 moves, e=0.516, loss: 138.4, -, 12.4% elo% vs. simple_bot, avg. reward: -0.786, 2.830 sec/game, 17.2 min. total, 620.6 MB
anyplace_passage v9 544 games, 490077 moves, e=0.515, loss: 132.3, -, 12.1% elo% vs. simple_bot, avg. reward: -0.786, 2.819 sec/game, 17.2 min. total, 620.7 MB
anyplace_passage v9 545 games, 491365 moves, e=0.514, loss: 139.1, -, 11.9% elo% vs. simple_bot, avg. reward: -0.782, 2.822 sec/game, 17.3 min. total, 624.1 MB
anyplace_passage v9 546 games, 492796 moves, e=0.512, loss: 136.8, -, 11.7% elo% vs. simple_bot, avg. reward: -0.775, 2.832 sec/game, 17.3 min. total, 622.5 MB
anyplace_passage v9 547 games, 494113 moves, e=0.511, loss: 140.4, -, 11.4% elo% vs. simple_bot, avg. reward: -0.751, 2.831 sec/game, 17.4 min. total, 624.0 MB
anyplace_passage v9 548 games, 495217 moves, e=0.510, loss: 148.9, -, 11.2% elo% vs. simple_bot, avg. reward: -0.747, 2.798 sec/game, 17.4 min. total, 624.0 MB
anyplace_passage v9 549 games, 496504 moves, e=0.508, loss: 146.1, -, 11.0% elo% vs. simple_bot, avg. reward: -0.727, 2.811 sec/game, 17.5 min. total, 624.2 MB
anyplace_passage v9 550 games, 497911 moves, e=0.507, loss: 141.0, -, 10.8% elo% vs. simple_bot, avg. reward: -0.700, 2.827 sec/game, 17.5 min. total, 623.7 MB
anyplace_passage v9 551 games, 499169 moves, e=0.506, loss: 143.5, -, 10.6% elo% vs. simple_bot, avg. reward: -0.683, 2.846 sec/game, 17.6 min. total, 623.6 MB
anyplace_passage v9 552 games, 500386 moves, e=0.505, loss: 138.9, -, 10.4% elo% vs. simple_bot, avg. reward: -0.680, 2.852 sec/game, 17.6 min. total, 625.0 MB
anyplace_passage v9 553 games, 501745 moves, e=0.503, loss: 136.6, -, 10.3% elo% vs. simple_bot, avg. reward: -0.673, 2.855 sec/game, 17.7 min. total, 623.5 MB
anyplace_passage v9 554 games, 502949 moves, e=0.502, loss: 124.9, -, 10.1% elo% vs. simple_bot, avg. reward: -0.667, 2.882 sec/game, 17.7 min. total, 625.1 MB
anyplace_passage v9 555 games, 504257 moves, e=0.501, loss: 128.8, -, 9.9% elo% vs. simple_bot, avg. reward: -0.654, 2.898 sec/game, 17.8 min. total, 628.3 MB
anyplace_passage v9 556 games, 505643 moves, e=0.499, loss: 123.0, -, 9.8% elo% vs. simple_bot, avg. reward: -0.631, 2.922 sec/game, 17.8 min. total, 629.1 MB
anyplace_passage v9 557 games, 507251 moves, e=0.498, loss: 123.8, -, 9.6% elo% vs. simple_bot, avg. reward: -0.605, 2.930 sec/game, 17.9 min. total, 627.8 MB
anyplace_passage v9 558 games, 508654 moves, e=0.496, loss: 132.5, -, 9.5% elo% vs. simple_bot, avg. reward: -0.567, 2.974 sec/game, 17.9 min. total, 626.3 MB
anyplace_passage v9 559 games, 510075 moves, e=0.495, loss: 131.9, -, 9.3% elo% vs. simple_bot, avg. reward: -0.547, 3.017 sec/game, 18.0 min. total, 626.3 MB
anyplace_passage v9 560 games, 511624 moves, e=0.493, loss: 122.8, -, 9.2% elo% vs. simple_bot, avg. reward: -0.514, 3.064 sec/game, 18.1 min. total, 626.5 MB
anyplace_passage v9 561 games, 513125 moves, e=0.492, loss: 121.3, -, 9.0% elo% vs. simple_bot, avg. reward: -0.490, 3.116 sec/game, 18.1 min. total, 631.0 MB
anyplace_passage v9 562 games, 514751 moves, e=0.490, loss: 126.6, -, 8.9% elo% vs. simple_bot, avg. reward: -0.459, 3.163 sec/game, 18.2 min. total, 630.5 MB
anyplace_passage v9 563 games, 516127 moves, e=0.489, loss: 115.1, -, 8.8% elo% vs. simple_bot, avg. reward: -0.451, 3.176 sec/game, 18.2 min. total, 630.7 MB
anyplace_passage v9 564 games, 517638 moves, e=0.488, loss: 105.0, -, 8.6% elo% vs. simple_bot, avg. reward: -0.426, 3.226 sec/game, 18.3 min. total, 631.2 MB
anyplace_passage v9 565 games, 519263 moves, e=0.486, loss: 104.2, -, 8.5% elo% vs. simple_bot, avg. reward: -0.409, 3.274 sec/game, 18.4 min. total, 633.3 MB
anyplace_passage v9 566 games, 520835 moves, e=0.484, loss: 97.0, -, 8.4% elo% vs. simple_bot, avg. reward: -0.386, 3.327 sec/game, 18.4 min. total, 631.9 MB
anyplace_passage v9 567 games, 522308 moves, e=0.483, loss: 94.9, -, 8.3% elo% vs. simple_bot, avg. reward: -0.368, 3.343 sec/game, 18.5 min. total, 634.6 MB
anyplace_passage v9 568 games, 523740 moves, e=0.481, loss: 97.5, -, 8.1% elo% vs. simple_bot, avg. reward: -0.347, 3.384 sec/game, 18.5 min. total, 634.7 MB
anyplace_passage v9 569 games, 525358 moves, e=0.480, loss: 95.9, -, 8.0% elo% vs. simple_bot, avg. reward: -0.326, 3.414 sec/game, 18.6 min. total, 634.1 MB
anyplace_passage v9 570 games, 527029 moves, e=0.478, loss: 94.5, -, 7.9% elo% vs. simple_bot, avg. reward: -0.302, 3.437 sec/game, 18.7 min. total, 634.5 MB
anyplace_passage v9 571 games, 528594 moves, e=0.477, loss: 95.0, -, 7.8% elo% vs. simple_bot, avg. reward: -0.293, 3.459 sec/game, 18.7 min. total, 634.5 MB
anyplace_passage v9 572 games, 529827 moves, e=0.475, loss: 113.0, -, 7.7% elo% vs. simple_bot, avg. reward: -0.296, 3.437 sec/game, 18.8 min. total, 634.7 MB
anyplace_passage v9 573 games, 531172 moves, e=0.474, loss: 113.4, -, 7.6% elo% vs. simple_bot, avg. reward: -0.287, 3.444 sec/game, 18.8 min. total, 635.8 MB
anyplace_passage v9 574 games, 532734 moves, e=0.473, loss: 117.6, -, 7.5% elo% vs. simple_bot, avg. reward: -0.274, 3.439 sec/game, 18.9 min. total, 636.1 MB
anyplace_passage v9 575 games, 534289 moves, e=0.471, loss: 120.7, -, 7.4% elo% vs. simple_bot, avg. reward: -0.267, 3.471 sec/game, 18.9 min. total, 636.5 MB
anyplace_passage v9 576 games, 535845 moves, e=0.470, loss: 111.7, -, 7.3% elo% vs. simple_bot, avg. reward: -0.253, 3.470 sec/game, 19.0 min. total, 635.0 MB
anyplace_passage v9 577 games, 537354 moves, e=0.468, loss: 105.8, -, 7.2% elo% vs. simple_bot, avg. reward: -0.235, 3.466 sec/game, 19.0 min. total, 637.8 MB
anyplace_passage v9 578 games, 538945 moves, e=0.466, loss: 102.1, -, 7.2% elo% vs. simple_bot, avg. reward: -0.212, 3.464 sec/game, 19.1 min. total, 636.9 MB
anyplace_passage v9 579 games, 540481 moves, e=0.465, loss: 102.8, -, 7.1% elo% vs. simple_bot, avg. reward: -0.187, 3.447 sec/game, 19.1 min. total, 638.7 MB
anyplace_passage v9 580 games, 542164 moves, e=0.463, loss: 96.9, -, 7.0% elo% vs. simple_bot, avg. reward: -0.172, 3.432 sec/game, 19.2 min. total, 638.8 MB
anyplace_passage v9 581 games, 543921 moves, e=0.462, loss: 88.3, -, 6.9% elo% vs. simple_bot, avg. reward: -0.142, 3.442 sec/game, 19.3 min. total, 637.2 MB
anyplace_passage v9 582 games, 545272 moves, e=0.460, loss: 109.9, -, 6.8% elo% vs. simple_bot, avg. reward: -0.132, 3.384 sec/game, 19.3 min. total, 638.3 MB
anyplace_passage v9 583 games, 546817 moves, e=0.459, loss: 111.7, -, 6.7% elo% vs. simple_bot, avg. reward: -0.120, 3.386 sec/game, 19.4 min. total, 639.6 MB
anyplace_passage v9 584 games, 548330 moves, e=0.457, loss: 111.7, -, 6.7% elo% vs. simple_bot, avg. reward: -0.110, 3.349 sec/game, 19.4 min. total, 640.0 MB
anyplace_passage v9 585 games, 549908 moves, e=0.456, loss: 104.9, -, 6.6% elo% vs. simple_bot, avg. reward: -0.098, 3.335 sec/game, 19.5 min. total, 639.9 MB
anyplace_passage v9 586 games, 551590 moves, e=0.454, loss: 105.6, -, 6.5% elo% vs. simple_bot, avg. reward: -0.067, 3.308 sec/game, 19.5 min. total, 640.6 MB
anyplace_passage v9 587 games, 553195 moves, e=0.452, loss: 93.8, -, 6.4% elo% vs. simple_bot, avg. reward: -0.037, 3.308 sec/game, 19.6 min. total, 642.8 MB
anyplace_passage v9 588 games, 554841 moves, e=0.451, loss: 96.0, -, 6.4% elo% vs. simple_bot, avg. reward: -0.033, 3.329 sec/game, 19.7 min. total, 642.8 MB
anyplace_passage v9 589 games, 556391 moves, e=0.449, loss: 80.6, -, 6.3% elo% vs. simple_bot, avg. reward: -0.005, 3.318 sec/game, 19.7 min. total, 643.1 MB
anyplace_passage v9 590 games, 557892 moves, e=0.448, loss: 66.0, -, 6.2% elo% vs. simple_bot, avg. reward: 0.024, 3.305 sec/game, 19.8 min. total, 643.1 MB
anyplace_passage v9 591 games, 559371 moves, e=0.446, loss: 64.0, -, 6.2% elo% vs. simple_bot, avg. reward: 0.032, 3.301 sec/game, 19.8 min. total, 643.0 MB
anyplace_passage v9 592 games, 561176 moves, e=0.444, loss: 67.3, -, 6.1% elo% vs. simple_bot, avg. reward: 0.055, 3.347 sec/game, 19.9 min. total, 643.2 MB
