anyplace_passage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
anyplace_passage v4 107 games, 77529 moves, e=0.923, loss: 51.4, +, 50.4% elo% vs. random_no_suicide, avg. reward: -5.092, 1.487 sec/game, 2.2 min. total, 488.8 MB
anyplace_passage v4 108 games, 78323 moves, e=0.922, loss: 52.3, +, 52.7% elo% vs. random_no_suicide, avg. reward: -5.090, 1.489 sec/game, 2.2 min. total, 488.9 MB
anyplace_passage v4 109 games, 79034 moves, e=0.922, loss: 54.3, -, 50.2% elo% vs. random_no_suicide, avg. reward: -5.092, 1.489 sec/game, 2.3 min. total, 489.0 MB
anyplace_passage v4 110 games, 79751 moves, e=0.921, loss: 55.2, -, 47.9% elo% vs. random_no_suicide, avg. reward: -5.082, 1.504 sec/game, 2.3 min. total, 493.6 MB
anyplace_passage v4 111 games, 80508 moves, e=0.920, loss: 53.4, -, 45.7% elo% vs. random_no_suicide, avg. reward: -5.079, 1.479 sec/game, 2.3 min. total, 493.7 MB
anyplace_passage v4 112 games, 81320 moves, e=0.919, loss: 53.9, -, 43.6% elo% vs. random_no_suicide, avg. reward: -5.071, 1.500 sec/game, 2.3 min. total, 494.1 MB
anyplace_passage v4 113 games, 81973 moves, e=0.919, loss: 55.3, -, 41.7% elo% vs. random_no_suicide, avg. reward: -5.086, 1.497 sec/game, 2.4 min. total, 489.7 MB
anyplace_passage v4 114 games, 82814 moves, e=0.918, loss: 57.5, +, 44.3% elo% vs. random_no_suicide, avg. reward: -5.054, 1.498 sec/game, 2.4 min. total, 490.1 MB
anyplace_passage v4 115 games, 83472 moves, e=0.917, loss: 55.6, -, 42.3% elo% vs. random_no_suicide, avg. reward: -5.052, 1.494 sec/game, 2.4 min. total, 490.7 MB
anyplace_passage v4 116 games, 84289 moves, e=0.917, loss: 54.8, -, 40.4% elo% vs. random_no_suicide, avg. reward: -5.030, 1.495 sec/game, 2.4 min. total, 496.7 MB
anyplace_passage v4 117 games, 85011 moves, e=0.916, loss: 55.0, -, 38.6% elo% vs. random_no_suicide, avg. reward: -5.037, 1.491 sec/game, 2.5 min. total, 492.8 MB
anyplace_passage v4 118 games, 85796 moves, e=0.915, loss: 53.3, -, 37.0% elo% vs. random_no_suicide, avg. reward: -5.046, 1.490 sec/game, 2.5 min. total, 497.5 MB
anyplace_passage v4 119 games, 86525 moves, e=0.914, loss: 51.8, -, 35.4% elo% vs. random_no_suicide, avg. reward: -5.052, 1.477 sec/game, 2.5 min. total, 492.7 MB
anyplace_passage v4 120 games, 87327 moves, e=0.914, loss: 53.2, -, 33.9% elo% vs. random_no_suicide, avg. reward: -5.030, 1.483 sec/game, 2.5 min. total, 492.8 MB
anyplace_passage v4 121 games, 88099 moves, e=0.913, loss: 54.3, +, 36.7% elo% vs. random_no_suicide, avg. reward: -5.024, 1.481 sec/game, 2.6 min. total, 493.3 MB
anyplace_passage v4 122 games, 88758 moves, e=0.912, loss: 52.6, -, 35.1% elo% vs. random_no_suicide, avg. reward: -5.033, 1.471 sec/game, 2.6 min. total, 497.7 MB
anyplace_passage v4 123 games, 89510 moves, e=0.911, loss: 53.8, -, 33.7% elo% vs. random_no_suicide, avg. reward: -5.026, 1.483 sec/game, 2.6 min. total, 497.7 MB
