jaybird_flanked v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
jaybird_flanked v1 98 games, 69098 moves, e=0.932, loss: 131.3, +, 43.9% elo% vs. v0, avg. reward: -3.271, 1.571 sec/game, 2.1 min. total, 421.9 MB
jaybird_flanked v1 99 games, 69824 moves, e=0.931, loss: 144.5, -, 41.9% elo% vs. v0, avg. reward: -3.297, 1.575 sec/game, 2.2 min. total, 421.9 MB
jaybird_flanked v1 100 games, 70639 moves, e=0.930, loss: 152.6, +, 44.5% elo% vs. v0, avg. reward: -3.309, 1.576 sec/game, 2.2 min. total, 422.5 MB
jaybird_flanked v2 101 games, 71303 moves, e=0.929, loss: 153.0, -, 47.7% elo% vs. v0, avg. reward: -3.366, 1.587 sec/game, 2.2 min. total, 422.4 MB
jaybird_flanked v2 102 games, 72044 moves, e=0.929, loss: 157.5, -, 45.5% elo% vs. v0, avg. reward: -3.332, 1.570 sec/game, 2.2 min. total, 422.4 MB
jaybird_flanked v2 103 games, 72717 moves, e=0.928, loss: 155.9, -, 43.4% elo% vs. v0, avg. reward: -3.313, 1.582 sec/game, 2.3 min. total, 422.5 MB
jaybird_flanked v2 104 games, 73454 moves, e=0.927, loss: 168.3, +, 46.0% elo% vs. v0, avg. reward: -3.282, 1.576 sec/game, 2.3 min. total, 423.2 MB
jaybird_flanked v2 105 games, 74221 moves, e=0.927, loss: 162.9, -, 43.9% elo% vs. v0, avg. reward: -3.304, 1.587 sec/game, 2.3 min. total, 423.9 MB
jaybird_flanked v2 106 games, 74949 moves, e=0.926, loss: 154.8, -, 41.9% elo% vs. v0, avg. reward: -3.292, 1.591 sec/game, 2.3 min. total, 425.2 MB
jaybird_flanked v2 107 games, 75827 moves, e=0.925, loss: 165.9, +, 44.6% elo% vs. v0, avg. reward: -3.271, 1.605 sec/game, 2.4 min. total, 427.4 MB
jaybird_flanked v2 108 games, 76634 moves, e=0.924, loss: 165.5, +, 47.1% elo% vs. v0, avg. reward: -3.208, 1.608 sec/game, 2.4 min. total, 425.2 MB
jaybird_flanked v2 109 games, 77376 moves, e=0.923, loss: 163.5, +, 49.5% elo% vs. v0, avg. reward: -3.181, 1.609 sec/game, 2.4 min. total, 427.4 MB
jaybird_flanked v2 110 games, 78174 moves, e=0.923, loss: 166.6, +, 51.9% elo% vs. v0, avg. reward: -3.187, 1.610 sec/game, 2.5 min. total, 425.1 MB
jaybird_flanked v2 111 games, 78920 moves, e=0.922, loss: 183.6, -, 49.5% elo% vs. v0, avg. reward: -3.132, 1.594 sec/game, 2.5 min. total, 425.1 MB
jaybird_flanked v2 112 games, 79750 moves, e=0.921, loss: 163.4, +, 51.8% elo% vs. v0, avg. reward: -3.052, 1.612 sec/game, 2.5 min. total, 425.9 MB
jaybird_flanked v2 113 games, 80496 moves, e=0.920, loss: 171.2, +, 54.0% elo% vs. v0, avg. reward: -3.069, 1.615 sec/game, 2.5 min. total, 428.9 MB
jaybird_flanked v2 114 games, 81263 moves, e=0.920, loss: 171.1, +, 56.1% elo% vs. v0, avg. reward: -3.051, 1.618 sec/game, 2.6 min. total, 427.6 MB
jaybird_flanked v2 115 games, 81921 moves, e=0.919, loss: 171.7, +, 58.1% elo% vs. v0, avg. reward: -3.026, 1.609 sec/game, 2.6 min. total, 429.3 MB
jaybird_flanked v2 116 games, 82649 moves, e=0.918, loss: 172.9, +, 59.9% elo% vs. v0, avg. reward: -3.017, 1.609 sec/game, 2.6 min. total, 429.4 MB
jaybird_flanked v2 117 games, 83335 moves, e=0.917, loss: 165.4, +, 61.7% elo% vs. v0, avg. reward: -3.015, 1.620 sec/game, 2.6 min. total, 429.5 MB
jaybird_flanked v2 118 games, 84091 moves, e=0.917, loss: 165.5, -, 59.0% elo% vs. v0, avg. reward: -2.954, 1.625 sec/game, 2.7 min. total, 428.7 MB
jaybird_flanked v2 119 games, 84824 moves, e=0.916, loss: 184.3, +, 60.8% elo% vs. v0, avg. reward: -2.922, 1.625 sec/game, 2.7 min. total, 429.9 MB
